ranker,player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
1,Kerry Abello,usUSA,MF,Orlando Pride,23,1999,14.0,,23,,,,,,,,,,,4,,,,Matches
2,Adriana,brBRA,"MF,FW",Orlando Pride,26,1996,18.3,,17,,,,,,,,,,,9,,,,Matches
3,Jillienne Aguilera,prPUR,DF,Red Stars,25,1998,2.1,,0,,,,,,,,,,,2,,,,Matches
4,Amirah Ali,usUSA,"FW,MF",SD Wave,24,1998,5.1,,8,,,,,,,,,,,0,,,,Matches
5,Amanda Allen,caCAN,FW,Orlando Pride,17,2005,0.1,,0,,,,,,,,,,,0,,,,Matches
6,Michelle Alozie,ngNGA,"FW,DF",Houston Dash,25,1997,11.2,,8,,,,,,,,,,,8,,,,Matches
7,Angelina Anderson,usUSA,GK,Angel City FC,21,2001,4.0,,0,,,,,,,,,,,0,,,,Matches
8,Joelle Anderson,usUSA,MF,Houston Dash,24,1998,12.0,,21,,,,,,,,,,,10,,,,Matches
9,Andressa,brBRA,MF,Houston Dash,30,1992,3.4,,4,,,,,,,,,,,1,,,,Matches
10,Angelina,brBRA,MF,Reign,23,2000,0.4,,2,,,,,,,,,,,0,,,,Matches
11,Ary Borges,brBRA,MF,Racing Louisville,23,1999,16.2,,19,,,,,,,,,,,17,,,,Matches
12,Olivia Athens,usUSA,MF,Reign,23,1999,1.4,,3,,,,,,,,,,,0,,,,Matches
13,Taylor Aylmer,usUSA,MF,Racing Louisville,24,1998,1.0,,2,,,,,,,,,,,4,,,,Matches
14,Jordan Baggett,usUSA,MF,Racing Louisville,26,1996,2.8,,2,,,,,,,,,,,2,,,,Matches
15,Jordan Baggett,usUSA,MF,Washington Spirit,26,1996,0.0,,0,,,,,,,,,,,0,,,,Matches
16,Dorian Bailey,usUSA,DF,Washington Spirit,26,1997,14.2,,21,,,,,,,,,,,16,,,,Matches
17,Elizabeth Ball,usUSA,DF,Current,27,1995,10.7,,7,,,,,,,,,,,13,,,,Matches
18,Stine Ballisager Pedersen,dkDEN,DF,Current,29,1994,2.5,,3,,,,,,,,,,,1,,,,Matches
19,Melanie Barcenas,usUSA,FW,SD Wave,15,2007,1.4,,4,,,,,,,,,,,0,,,,Matches
20,Lauren Barnes,usUSA,DF,Reign,33,1989,21.4,,28,,,,,,,,,,,40,,,,Matches
21,Nicole Barnhart,usUSA,GK,Washington Spirit,41,1981,2.0,,0,,,,,,,,,,,0,,,,Matches
22,Natalie Beckman,usUSA,FW,Portland Thorns,22,2000,0.1,,0,,,,,,,,,,,0,,,,Matches
23,Elyse Bennett,usUSA,"FW,MF",Reign,23,1999,7.7,,5,,,,,,,,,,,2,,,,Matches
24,Malia Berkely,usUSA,DF,NC Courage,24,1998,16.8,,10,,,,,,,,,,,16,,,,Matches
25,Hannah Betfort,usUSA,FW,Portland Thorns,24,1999,5.3,,1,,,,,,,,,,,1,,,,Matches
26,Camryn Biegalski,usUSA,MF,Washington Spirit,24,1998,3.1,,2,,,,,,,,,,,2,,,,Matches
27,Jenna Bike,usUSA,MF,Red Stars,24,1998,4.8,,7,,,,,,,,,,,7,,,,Matches
28,Bella Bixby,usUSA,GK,Portland Thorns,27,1995,21.0,,0,,,,,,,,,,,0,,,,Matches
29,Lynn Biyendolo,usUSA,"FW,MF",Gotham FC,29,1993,18.4,,26,,,,,,,,,,,20,,,,Matches
30,Tess Boade,usUSA,FW,NC Courage,23,1999,8.0,,6,,,,,,,,,,,1,,,,Matches
31,Bethany Bos,usUSA,"MF,FW",Reign,25,1997,15.6,,23,,,,,,,,,,,11,,,,Matches
32,Emily Boyd,usUSA,GK,Red Stars,26,1996,2.0,,0,,,,,,,,,,,1,,,,Matches
33,Isabella Briede,usUSA,MF,SD Wave,24,1998,2.8,,2,,,,,,,,,,,3,,,,Matches
34,Messiah Bright,usUSA,FW,Orlando Pride,23,2000,15.2,,12,,,,,,,,,,,2,,,,Matches
35,Amber Brooks,usUSA,"DF,MF",Washington Spirit,32,1991,6.8,,2,,,,,,,,,,,3,,,,Matches
36,Ryanne Brown,usUSA,DF,Reign,24,1999,3.7,,8,,,,,,,,,,,7,,,,Matches
37,Bruninha,brBRA,DF,Gotham FC,20,2002,15.4,,24,,,,,,,,,,,23,,,,Matches
38,Haley Bugeja,mtMLT,FW,Orlando Pride,18,2004,0.3,,2,,,,,,,,,,,0,,,,Matches
39,Anaïg Butel,frFRA,DF,Washington Spirit,30,1992,5.1,,6,,,,,,,,,,,7,,,,Matches
40,Scarlett Camberos,mxMEX,MF,Angel City FC,22,2000,10.1,,13,,,,,,,,,,,7,,,,Matches
41,Jane Campbell,usUSA,GK,Houston Dash,27,1995,22.0,,0,,,,,,,,,,,0,,,,Matches
42,Marley Canales,usUSA,MF,Reign,25,1997,0.0,,0,,,,,,,,,,,0,,,,Matches
43,Gabrielle Carle,caCAN,DF,Washington Spirit,24,1998,21.1,,29,,,,,,,,,,,42,,,,Matches
44,Kyra Carusa,ieIRL,"FW,MF",SD Wave,27,1995,3.8,,3,,,,,,,,,,,2,,,,Matches
45,Allysha Chapman,caCAN,DF,Houston Dash,34,1989,11.4,,23,,,,,,,,,,,25,,,,Matches
46,Simone Charley,usUSA,FW,Angel City FC,27,1995,0.6,,1,,,,,,,,,,,0,,,,Matches
47,Alex Chidiac,auAUS,MF,Racing Louisville,24,1999,1.6,,1,,,,,,,,,,,1,,,,Matches
48,Rylan Childers,,MF,Current,,,0.2,,1,,,,,,,,,,,1,,,,Matches
49,Mikayla Cluff,usUSA,MF,Orlando Pride,23,1999,16.8,,41,,,,,,,,,,,24,,,,Matches
50,Sam Coffey,usUSA,MF,Portland Thorns,24,1998,21.8,,48,,,,,,,,,,,33,,,,Matches
51,Danielle Colaprico,usUSA,MF,SD Wave,29,1993,19.2,,22,,,,,,,,,,,41,,,,Matches
52,Kaylie Collins,usUSA,GK,Orlando Pride,24,1998,1.0,,0,,,,,,,,,,,0,,,,Matches
53,Sydney Collins,caCAN,DF,NC Courage,23,1999,2.2,,9,,,,,,,,,,,5,,,,Matches
54,Shea Connors,usUSA,FW,SD Wave,26,1996,0.0,,0,,,,,,,,,,,0,,,,Matches
55,Alana Cook,usUSA,DF,Reign,25,1997,17.5,,17,,,,,,,,,,,40,,,,Matches
56,Ava Cook,usUSA,"MF,FW",Red Stars,22,2000,10.7,,14,,,,,,,,,,,10,,,,Matches
57,Michelle Cooper,usUSA,"MF,FW",Current,20,2002,18.1,,24,,,,,,,,,,,11,,,,Matches
58,Chai Cortez,usUSA,DF,SD Wave,24,1998,0.7,,1,,,,,,,,,,,0,,,,Matches
59,Caitlin Cosme,prPUR,DF,Orlando Pride,24,1999,4.0,,2,,,,,,,,,,,3,,,,Matches
60,Chardonnay Curran,usUSA,MF,Current,23,1999,3.4,,1,,,,,,,,,,,5,,,,Matches
