ranker,player,nationality,position,team,age,birth_year,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,matches
1,Kerry Abello,usUSA,MF,Orlando Pride,23,1999,20,,63.0,63.5,14.0,14,79.0,6,6,26.0,0,1.4,17.0,21.0,-4.0,-0.29,-0.66,Matches
2,Adriana,brBRA,"MF,FW",Orlando Pride,26,1996,19,,86.0,83.0,18.3,19,86.0,14,0,,0,1.32,23.0,22.0,1.0,0.05,0.59,Matches
3,Jillienne Aguilera,prPUR,DF,Red Stars,25,1998,11,185.0,17.0,9.3,2.1,1,45.0,0,10,14.0,9,0.64,3.0,6.0,-3.0,-1.46,-0.51,Matches
4,Amirah Ali,usUSA,"FW,MF",SD Wave,24,1998,16,462.0,29.0,23.3,5.1,5,58.0,0,11,16.0,6,1.35,7.0,6.0,1.0,0.19,-0.28,Matches
5,Amanda Allen,caCAN,FW,Orlando Pride,17,2005,3,11.0,4.0,0.6,0.1,0,,0,3,4.0,4,2.0,0.0,0.0,0.0,0.0,0.05,Matches
6,Michelle Alozie,ngNGA,"FW,DF",Houston Dash,25,1997,17,,59.0,50.8,11.2,13,70.0,2,4,24.0,3,1.12,11.0,9.0,2.0,0.18,0.55,Matches
7,Emily Alvarado,mxMEX,GK,Houston Dash,24,1998,0,,,,,0,,0,0,,16,,,,,,,Matches
8,Angelina Anderson,usUSA,GK,Angel City FC,21,2001,4,360.0,90.0,18.2,4.0,4,90.0,4,0,,9,1.8,8.0,3.0,5.0,1.25,1.47,Matches
9,Joelle Anderson,usUSA,MF,Houston Dash,24,1998,18,,60.0,54.4,12.0,13,72.0,4,5,27.0,0,1.39,11.0,11.0,0.0,0.0,0.2,Matches
10,Andressa,brBRA,MF,Houston Dash,30,1992,5,307.0,61.0,15.5,3.4,4,75.0,0,1,9.0,0,1.2,3.0,2.0,1.0,0.29,0.45,Matches
11,Angelina,brBRA,MF,Reign,23,2000,4,36.0,9.0,1.8,0.4,0,,0,4,9.0,4,1.0,0.0,0.0,0.0,0.0,-0.23,Matches
12,Ary Borges,brBRA,MF,Racing Louisville,23,1999,18,,81.0,73.4,16.2,17,85.0,11,1,17.0,0,1.11,15.0,17.0,-2.0,-0.12,-0.64,Matches
13,Olivia Athens,usUSA,MF,Reign,23,1999,6,128.0,21.0,6.5,1.4,1,62.0,0,5,13.0,11,1.0,3.0,1.0,2.0,1.41,1.26,Matches
14,Taylor Aylmer,usUSA,MF,Racing Louisville,24,1998,2,94.0,47.0,4.7,1.0,1,90.0,1,1,4.0,4,2.0,3.0,2.0,1.0,0.96,0.96,Matches
15,Jordan Baggett,usUSA,MF,Racing Louisville,26,1996,10,252.0,25.0,12.7,2.8,2,90.0,2,8,9.0,1,1.5,6.0,3.0,3.0,1.07,1.18,Matches
16,Jordan Baggett,usUSA,MF,Washington Spirit,26,1996,1,1.0,1.0,0.1,0.0,0,,0,1,1.0,2,3.0,0.0,0.0,0.0,0.0,0.14,Matches
17,Dorian Bailey,usUSA,DF,Washington Spirit,26,1997,20,,64.0,64.5,14.2,14,85.0,13,6,16.0,0,1.3,20.0,21.0,-1.0,-0.07,0.19,Matches
18,Elizabeth Ball,usUSA,DF,Current,27,1995,13,961.0,74.0,48.5,10.7,12,79.0,7,1,10.0,0,1.31,20.0,14.0,6.0,0.56,1.62,Matches
19,Stine Ballisager Pedersen,dkDEN,DF,Current,29,1994,3,225.0,75.0,11.4,2.5,2,90.0,2,1,45.0,2,2.0,8.0,5.0,3.0,1.2,1.66,Matches
20,Melanie Barcenas,usUSA,FW,SD Wave,15,2007,7,123.0,18.0,6.2,1.4,0,,0,7,18.0,13,1.0,3.0,2.0,1.0,0.73,0.34,Matches
21,Lauren Barnes,usUSA,DF,Reign,33,1989,22,,88.0,97.2,21.4,22,88.0,18,0,,0,1.52,28.0,23.0,5.0,0.23,0.23,Matches
22,Nicole Barnhart,usUSA,GK,Washington Spirit,41,1981,3,181.0,60.0,9.1,2.0,2,90.0,2,1,1.0,19,1.33,2.0,5.0,-3.0,-1.49,-1.49,Matches
23,Hillary Beall,usUSA,GK,Racing Louisville,24,1999,0,,,,,0,,0,0,,5,,,,,,,Matches
24,Natalie Beckman,usUSA,FW,Portland Thorns,22,2000,1,13.0,13.0,0.7,0.1,0,,0,1,13.0,1,0.0,0.0,0.0,0.0,0.0,-0.46,Matches
25,Elyse Bennett,usUSA,"FW,MF",Reign,23,1999,21,696.0,33.0,35.2,7.7,7,73.0,2,14,13.0,1,1.41,8.0,9.0,-1.0,-0.13,-0.55,Matches
26,Malia Berkely,usUSA,DF,NC Courage,24,1998,17,,89.0,76.2,16.8,17,89.0,15,0,,3,1.61,25.0,15.0,10.0,0.6,1.17,Matches
27,Hannah Betfort,usUSA,FW,Portland Thorns,24,1999,10,478.0,48.0,24.1,5.3,4,77.0,0,6,28.0,7,1.0,6.0,8.0,-2.0,-0.38,-1.1,Matches
28,Michelle Betos,usUSA,GK,Gotham FC,34,1988,0,,,,,0,,0,0,,13,,,,,,,Matches
29,Camryn Biegalski,usUSA,MF,Washington Spirit,24,1998,9,280.0,31.0,14.1,3.1,2,68.0,1,7,21.0,4,0.78,3.0,2.0,1.0,0.32,0.53,Matches
30,Jenna Bike,usUSA,MF,Red Stars,24,1998,16,434.0,27.0,21.9,4.8,2,45.0,0,14,25.0,6,1.06,5.0,13.0,-8.0,-1.66,-0.84,Matches
31,Bella Bixby,usUSA,GK,Portland Thorns,27,1995,21,,90.0,95.5,21.0,21,90.0,21,0,,1,1.52,38.0,30.0,8.0,0.38,-1.62,Matches
32,Lynn Biyendolo,usUSA,"FW,MF",Gotham FC,29,1993,19,,87.0,83.5,18.4,18,90.0,17,1,34.0,0,1.64,22.0,21.0,1.0,0.05,0.05,Matches
33,Jordyn Bloomer,usUSA,GK,Racing Louisville,25,1997,0,,,,,0,,0,0,,1,,,,,,,Matches
34,Tess Boade,usUSA,FW,NC Courage,23,1999,12,716.0,60.0,36.2,8.0,11,63.0,0,1,26.0,1,1.46,15.0,6.0,9.0,1.13,1.27,Matches
35,Bethany Bos,usUSA,"MF,FW",Reign,25,1997,22,,64.0,70.9,15.6,19,70.0,4,3,24.0,0,1.52,22.0,20.0,2.0,0.13,-0.34,Matches
36,Lyza Bosselmann,,GK,Washington Spirit,,,0,,,,,0,,0,0,,16,,,,,,,Matches
37,Marisa Bova,usUSA,GK,NC Courage,22,2000,0,,,,,0,,0,0,,2,,,,,,,Matches
