ranker,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches
1,Kerry Abello,usUSA,MF,Orlando Pride,23,1999,20,14,,14.0,1,0,1,1,0,0,1,0,0.07,0.0,0.07,0.07,0.07,Matches
2,Adriana,brBRA,"MF,FW",Orlando Pride,26,1996,19,19,,18.3,6,4,10,6,0,0,2,0,0.33,0.22,0.55,0.33,0.55,Matches
3,Jillienne Aguilera,prPUR,DF,Red Stars,25,1998,11,1,185.0,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
4,Amirah Ali,usUSA,"FW,MF",SD Wave,24,1998,16,5,462.0,5.1,2,0,2,2,0,0,1,0,0.39,0.0,0.39,0.39,0.39,Matches
5,Amanda Allen,caCAN,FW,Orlando Pride,17,2005,3,0,11.0,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
6,Michelle Alozie,ngNGA,"FW,DF",Houston Dash,25,1997,17,13,,11.2,4,1,5,4,0,0,1,1,0.36,0.09,0.45,0.36,0.45,Matches
7,Angelina Anderson,usUSA,GK,Angel City FC,21,2001,4,4,360.0,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
8,Joelle Anderson,usUSA,MF,Houston Dash,24,1998,18,13,,12.0,1,0,1,1,0,0,4,0,0.08,0.0,0.08,0.08,0.08,Matches
9,Andressa,brBRA,MF,Houston Dash,30,1992,5,4,307.0,3.4,1,0,1,1,0,0,0,0,0.29,0.0,0.29,0.29,0.29,Matches
10,Angelina,brBRA,MF,Reign,23,2000,4,0,36.0,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
11,Ary Borges,brBRA,MF,Racing Louisville,23,1999,18,17,,16.2,1,0,1,1,0,0,4,0,0.06,0.0,0.06,0.06,0.06,Matches
12,Olivia Athens,usUSA,MF,Reign,23,1999,6,1,128.0,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
13,Taylor Aylmer,usUSA,MF,Racing Louisville,24,1998,2,1,94.0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
14,Jordan Baggett,usUSA,MF,Racing Louisville,26,1996,10,2,252.0,2.8,1,0,1,1,0,0,0,0,0.36,0.0,0.36,0.36,0.36,Matches
