team,players_used,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense
Angel City FC,24,22.0,,,,,,,,,,,,,,,,
Current,25,22.0,,,,,,,,,,,,,,,,
Gotham FC,28,22.0,,,,,,,,,,,,,,,,
Houston Dash,27,22.0,,,,,,,,,,,,,,,,
NC Courage,25,22.0,,,,,,,,,,,,,,,,
Orlando Pride,25,22.0,,,,,,,,,,,,,,,,
Portland Thorns,23,22.0,,,,,,,,,,,,,,,,
Racing Louisville,25,22.0,,,,,,,,,,,,,,,,
Red Stars,26,22.0,,,,,,,,,,,,,,,,
Reign,26,22.0,,,,,,,,,,,,,,,,
SD Wave,27,22.0,,,,,,,,,,,,,,,,
Washington Spirit,26,22.0,,,,,,,,,,,,,,,,
