team,players_used,gk_games,gk_games_starts,gk_minutes,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct
Angel City FC,2,22,22,,22.0,30,1.36,107,77,76.6,8,7,7,4,18.2,5,5,0,0,0.0
Current,2,22,22,,22.0,36,1.64,102,68,67.6,8,2,12,5,22.7,4,3,1,0,25.0
Gotham FC,2,22,22,,22.0,24,1.09,80,57,70.0,8,7,7,6,27.3,0,0,0,0,
Houston Dash,1,22,22,,22.0,18,0.82,108,91,85.2,6,8,8,8,36.4,3,2,0,1,0.0
NC Courage,2,22,22,,22.0,22,1.0,74,53,74.3,9,6,7,10,45.5,3,3,0,0,0.0
Orlando Pride,3,22,22,,22.0,28,1.27,111,84,77.5,10,1,11,7,31.8,4,3,1,0,25.0
Portland Thorns,2,22,22,,22.0,32,1.45,99,69,70.7,10,5,7,6,27.3,3,3,0,0,0.0
Racing Louisville,1,22,22,,22.0,24,1.09,113,89,81.4,6,9,7,6,27.3,3,3,0,0,0.0
Red Stars,2,22,22,,22.0,50,2.27,136,88,66.2,7,3,12,5,22.7,6,4,0,2,0.0
Reign,2,22,22,,22.0,24,1.09,90,66,74.4,9,5,8,7,31.8,1,1,0,0,0.0
SD Wave,2,22,22,,22.0,22,1.0,90,69,78.9,11,4,7,9,40.9,3,3,0,0,0.0
Washington Spirit,2,22,22,,22.0,29,1.32,93,65,74.2,7,9,6,4,18.2,5,5,0,0,0.0
