team,players_used,avg_age,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90
Angel City FC,24,27.8,22,,90,100,22.0,242,81,146,97,22,96,1.41,31,30,1,0.05
Current,25,26.3,22,,90,100,22.0,242,83,155,87,20,96,1.18,30,36,-6,-0.27
Gotham FC,28,28.8,22,,90,100,22.0,242,82,148,95,21,100,1.41,25,24,1,0.05
Houston Dash,27,27.3,22,,90,100,22.0,242,82,152,87,21,105,1.18,16,18,-2,-0.09
NC Courage,25,25.6,22,,90,100,22.0,242,84,161,79,19,117,1.5,29,22,7,0.32
Orlando Pride,25,27.1,22,,90,100,22.0,242,82,153,88,20,108,1.41,27,28,-1,-0.05
Portland Thorns,23,27.6,22,,90,100,22.0,242,81,143,98,22,100,1.59,42,32,10,0.45
Racing Louisville,25,26.6,22,,90,100,22.0,242,82,151,90,20,104,1.23,25,24,1,0.05
Red Stars,26,27.7,22,,90,100,22.0,242,82,153,90,22,103,1.09,28,50,-22,-1.0
Reign,26,27.8,22,,90,100,22.0,242,83,148,93,19,105,1.45,29,24,5,0.23
SD Wave,27,27.1,22,,90,100,22.0,242,82,152,89,22,108,1.68,31,22,9,0.41
Washington Spirit,26,25.9,22,,90,100,22.0,242,84,164,78,17,115,1.36,26,29,-3,-0.14
