team,players_used,possession,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received
Angel City FC,24,51.2,22.0,,,,,,,,,,,,,,,,,,,,
Current,25,49.3,22.0,,,,,,,,,,,,,,,,,,,,
Gotham FC,28,54.1,22.0,,,,,,,,,,,,,,,,,,,,
Houston Dash,27,47.2,22.0,,,,,,,,,,,,,,,,,,,,
NC Courage,25,59.6,22.0,,,,,,,,,,,,,,,,,,,,
Orlando Pride,25,46.4,22.0,,,,,,,,,,,,,,,,,,,,
Portland Thorns,23,51.5,22.0,,,,,,,,,,,,,,,,,,,,
Racing Louisville,25,47.6,22.0,,,,,,,,,,,,,,,,,,,,
Red Stars,26,48.0,22.0,,,,,,,,,,,,,,,,,,,,
Reign,26,48.5,22.0,,,,,,,,,,,,,,,,,,,,
SD Wave,27,50.0,22.0,,,,,,,,,,,,,,,,,,,,
Washington Spirit,26,46.6,22.0,,,,,,,,,,,,,,,,,,,,
