ranker,player,nationality,position,team,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,matches
1,Kerry Abello,usUSA,DF,Orlando Pride,24,1999,23.4,,,,,,,,,,,,,,,,,Matches
2,Emeri Adames,usUSA,"MF,FW",Reign,17,2006,6.0,,,,,,,,,,,,,,,,,Matches
3,Adriana,brBRA,"MF,FW",Orlando Pride,27,1996,18.7,,,,,,,,,,,,,,,,,Matches
4,Amirah Ali,usUSA,"FW,MF",SD Wave,25,1998,6.4,,,,,,,,,,,,,,,,,Matches
5,Aline,brBRA,"FW,MF",NC Courage,18,2005,4.1,,,,,,,,,,,,,,,,,Matches
6,Amanda Allen,caCAN,FW,Orlando Pride,18,2005,1.0,,,,,,,,,,,,,,,,,Matches
7,Michelle Alozie,ngNGA,"FW,MF",Houston Dash,26,1997,15.0,,,,,,,,,,,,,,,,,Matches
8,Angelina Anderson,usUSA,GK,Angel City FC,22,2001,3.0,,,,,,,,,,,,,,,,,Matches
9,Hannah Anderson,usUSA,DF,Red Stars,22,2001,15.1,,,,,,,,,,,,,,,,,Matches
10,Joelle Anderson,usUSA,MF,Bay FC,25,1998,10.2,,,,,,,,,,,,,,,,,Matches
11,Andressa,brBRA,"MF,FW",Houston Dash,31,1992,13.1,,,,,,,,,,,,,,,,,Matches
12,Angelina,brBRA,MF,Orlando Pride,24,2000,16.5,,,,,,,,,,,,,,,,,Matches
13,Mackenzie Arnold,auAUS,GK,Portland Thorns,29,1994,5.0,,,,,,,,,,,,,,,,,Matches
14,Ary Borges,brBRA,MF,Racing Louisville,24,1999,9.2,,,,,,,,,,,,,,,,,Matches
15,Kimmi Ascanio,usUSA,MF,SD Wave,16,2008,1.6,,,,,,,,,,,,,,,,,Matches
16,Olivia Athens,usUSA,"MF,FW",Reign,24,1999,7.7,,,,,,,,,,,,,,,,,Matches
17,Rosella Ayane,maMAR,FW,Red Stars,27,1996,0.5,,,,,,,,,,,,,,,,,Matches
18,Madison Ayson,,DF,Houston Dash,,,0.1,,,,,,,,,,,,,,,,,Matches
19,Ramona Bachmann,chSUI,"FW,MF",Houston Dash,33,1990,9.3,,,,,,,,,,,,,,,,,Matches
20,Jordan Baggett,usUSA,MF,Racing Louisville,27,1996,0.9,,,,,,,,,,,,,,,,,Matches
21,Elexa Bahr,coCOL,"FW,MF",Racing Louisville,25,1998,11.6,,,,,,,,,,,,,,,,,Matches
22,Dorian Bailey,usUSA,MF,Bay FC,27,1997,18.7,,,,,,,,,,,,,,,,,Matches
23,Elizabeth Ball,usUSA,DF,Current,28,1995,13.6,,,,,,,,,,,,,,,,,Matches
24,Stine Ballisager Pedersen,dkDEN,DF,Current,30,1994,11.9,,,,,,,,,,,,,,,,,Matches
25,Barbra Banda,zmZAM,FW,Orlando Pride,23,2000,19.3,,,,,,,,,,,,,,,,,Matches
26,Melanie Barcenas,usUSA,MF,SD Wave,16,2007,5.0,,,,,,,,,,,,,,,,,Matches
27,Lauren Barnes,usUSA,DF,Reign,34,1989,16.6,,,,,,,,,,,,,,,,,Matches
28,Ángela Barón,coCOL,DF,Racing Louisville,20,2003,0.1,,,,,,,,,,,,,,,,,Matches
