ranker,player,nationality,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,matches
1,Kerry Abello,usUSA,DF,Orlando Pride,24,1999,23.4,2,0,0,20,15,1,41,25,35,,,0,Matches
2,Emeri Adames,usUSA,"MF,FW",Reign,17,2006,6.0,0,0,0,6,0,1,37,7,5,,,0,Matches
3,Adriana,brBRA,"MF,FW",Orlando Pride,27,1996,18.7,0,0,0,5,28,4,46,12,6,,,0,Matches
4,Amirah Ali,usUSA,"FW,MF",SD Wave,25,1998,6.4,0,0,0,8,8,1,7,6,4,,,0,Matches
5,Aline,brBRA,"FW,MF",NC Courage,18,2005,4.1,0,0,0,2,8,0,10,5,6,,,0,Matches
6,Amanda Allen,caCAN,FW,Orlando Pride,18,2005,1.0,1,0,0,1,0,0,0,0,4,,,0,Matches
7,Michelle Alozie,ngNGA,"FW,MF",Houston Dash,26,1997,15.0,3,0,0,17,18,10,29,10,8,,,0,Matches
8,Angelina Anderson,usUSA,GK,Angel City FC,22,2001,3.0,0,0,0,0,0,0,0,0,0,,,0,Matches
9,Hannah Anderson,usUSA,DF,Red Stars,22,2001,15.1,3,0,0,6,4,2,2,10,11,,,0,Matches
10,Joelle Anderson,usUSA,MF,Bay FC,25,1998,10.2,2,0,0,9,3,0,48,14,20,,,0,Matches
11,Andressa,brBRA,"MF,FW",Houston Dash,31,1992,13.1,3,0,0,31,27,3,45,13,20,,,0,Matches
12,Angelina,brBRA,MF,Orlando Pride,24,2000,16.5,1,0,0,19,21,1,47,16,20,,,0,Matches
13,Mackenzie Arnold,auAUS,GK,Portland Thorns,29,1994,5.0,0,0,0,0,0,0,0,0,0,,,0,Matches
14,Ary Borges,brBRA,MF,Racing Louisville,24,1999,9.2,3,0,0,17,11,0,7,10,15,,,0,Matches
15,Kimmi Ascanio,usUSA,MF,SD Wave,16,2008,1.6,0,0,0,1,2,0,0,0,2,,,0,Matches
16,Olivia Athens,usUSA,"MF,FW",Reign,24,1999,7.7,2,0,0,4,6,1,4,5,15,,,0,Matches
17,Rosella Ayane,maMAR,FW,Red Stars,27,1996,0.5,0,0,0,0,0,0,0,0,3,,,0,Matches
18,Madison Ayson,,DF,Houston Dash,,,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
19,Ramona Bachmann,chSUI,"FW,MF",Houston Dash,33,1990,9.3,3,0,0,15,10,2,38,2,12,,,0,Matches
20,Jordan Baggett,usUSA,MF,Racing Louisville,27,1996,0.9,1,0,0,2,0,1,1,0,1,,,0,Matches
21,Elexa Bahr,coCOL,"FW,MF",Racing Louisville,25,1998,11.6,0,0,0,4,12,11,4,4,10,,,0,Matches
22,Dorian Bailey,usUSA,MF,Bay FC,27,1997,18.7,1,0,0,12,19,1,57,19,28,,,0,Matches
23,Elizabeth Ball,usUSA,DF,Current,28,1995,13.6,0,0,0,8,1,0,1,14,13,,,0,Matches
24,Stine Ballisager Pedersen,dkDEN,DF,Current,30,1994,11.9,0,0,0,9,7,0,0,9,6,,,0,Matches
25,Barbra Banda,zmZAM,FW,Orlando Pride,23,2000,19.3,0,0,0,27,37,13,33,4,6,,,0,Matches
26,Melanie Barcenas,usUSA,MF,SD Wave,16,2007,5.0,0,0,0,9,8,1,4,2,12,,,0,Matches
27,Lauren Barnes,usUSA,DF,Reign,34,1989,16.6,1,0,0,8,5,0,33,18,14,,,0,Matches
28,Ángela Barón,coCOL,DF,Racing Louisville,20,2003,0.1,0,0,0,1,0,0,0,3,1,,,0,Matches
29,Hillary Beall,usUSA,GK,SD Wave,25,1999,1.3,0,0,0,0,1,0,0,0,0,,,0,Matches
30,Beatriz,brBRA,FW,Current,30,1993,9.6,0,0,0,14,17,4,10,4,13,,,0,Matches
31,Jennifer Beattie,sctSCO,DF,Bay FC,32,1991,4.5,1,0,0,6,1,0,0,4,3,,,0,Matches
32,Maycee Bell,usUSA,DF,NC Courage,23,2000,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
33,Maycee Bell,usUSA,DF,Gotham FC,23,2000,3.2,0,0,0,2,6,0,3,4,9,,,0,Matches
34,Elyse Bennett,usUSA,"MF,FW",SD Wave,24,1999,3.0,2,0,0,10,6,1,3,0,1,,,0,Matches
35,Ann-Katrin Berger,deGER,GK,Gotham FC,33,1990,22.0,0,0,0,0,8,0,0,1,0,,,0,Matches
36,Malia Berkely,usUSA,DF,NC Courage,25,1998,24.5,0,0,0,3,4,0,48,22,22,,,0,Matches
37,Hannah Betfort,usUSA,FW,Royals,25,1999,18.6,2,0,0,18,9,7,14,1,5,,,0,Matches
38,Croix Bethune,usUSA,MF,Washington Spirit,22,2001,15.3,1,0,0,11,27,4,21,9,22,,,0,Matches
39,Camryn Biegalski,usUSA,"DF,MF",Red Stars,25,1998,4.2,0,0,0,4,0,0,2,6,7,,,0,Matches
40,Jenna Bike,usUSA,"MF,FW",Red Stars,25,1998,14.8,4,0,0,20,24,5,20,16,11,,,0,Matches
41,Lynn Biyendolo,usUSA,"FW,MF",Gotham FC,30,1993,10.2,1,0,0,13,4,4,20,5,27,,,0,Matches
42,Tess Boade,usUSA,"MF,FW",Bay FC,24,1999,22.7,2,0,0,29,20,3,26,16,33,,,0,Matches
43,Bethany Bos,usUSA,"FW,MF",Reign,26,1997,12.0,2,1,1,16,17,6,14,3,11,,,0,Matches
44,Bethany Bos,usUSA,"FW,MF",Racing Louisville,26,1997,7.9,0,0,0,11,4,3,2,5,6,,,0,Matches
45,Lyza Bosselmann,,GK,Washington Spirit,,,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
46,Jordan Brewster,usUSA,DF,Bay FC,24,1999,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
47,Isabella Briede,usUSA,MF,Houston Dash,25,1998,4.1,0,0,0,1,2,0,3,5,2,,,0,Matches
48,Messiah Bright,usUSA,FW,Angel City FC,24,2000,7.6,2,0,0,14,4,9,8,2,7,,,0,Matches
49,Courtney Brown,usUSA,MF,Washington Spirit,23,2000,10.5,0,0,0,17,5,2,12,8,20,,,0,Matches
50,Ryanne Brown,usUSA,DF,Reign,25,1999,3.1,1,0,0,5,4,0,5,10,5,,,0,Matches
51,Bruninha,brBRA,DF,Gotham FC,21,2002,9.6,3,0,0,19,10,0,18,9,10,,,0,Matches
52,Jordyn Bugg,usUSA,DF,Reign,17,2006,5.5,0,0,0,3,4,0,1,10,6,,,0,Matches
53,Zoe Burns,caCAN,"DF,MF",Royals,22,2002,14.7,1,0,0,5,14,0,14,24,29,,,0,Matches
54,Anaïg Butel,frFRA,DF,Washington Spirit,31,1992,21.2,3,0,0,20,8,0,2,40,21,,,1,Matches
55,Jenna Butler,,DF,Washington Spirit,,,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
56,Scarlett Camberos,mxMEX,"FW,MF",Bay FC,23,2000,7.7,2,0,0,15,6,3,23,6,10,,,0,Matches
57,Jane Campbell,usUSA,GK,Houston Dash,28,1995,25.0,2,0,0,0,2,0,0,1,1,,,0,Matches
58,Gabrielle Carle,caCAN,DF,Washington Spirit,25,1998,22.5,2,0,0,23,9,1,39,31,41,,,0,Matches
59,Jess Carter,engENG,DF,Gotham FC,26,1997,9.4,1,0,0,7,7,0,17,19,17,,,0,Matches
60,Kyra Carusa,ieIRL,FW,SD Wave,28,1995,7.0,1,0,0,18,5,12,9,0,4,,,0,Matches
61,Delphine Cascarino,frFRA,"MF,FW",SD Wave,26,1997,7.1,0,0,0,4,7,1,50,2,8,,,0,Matches
62,Deyna Castellanos,veVEN,"MF,FW",Bay FC,24,1999,11.8,1,0,0,8,14,0,77,6,14,,,0,Matches
63,Allysha Chapman,caCAN,DF,Houston Dash,35,1989,6.0,2,0,0,7,7,1,3,18,6,,,0,Matches
64,Temwa Chaŵinga,mwMWI,"MF,FW",Current,25,1998,23.8,1,0,0,35,25,14,21,9,29,,,0,Matches
65,Milly Clegg,nzNZL,FW,Racing Louisville,18,2005,0.2,0,0,0,0,0,0,0,0,0,,,0,Matches
66,Mikayla Cluff,usUSA,MF,Royals,24,1999,5.3,2,0,0,18,11,1,0,11,11,,,0,Matches
67,Sam Coffey,usUSA,MF,Portland Thorns,25,1998,22.1,0,0,0,33,15,1,54,33,46,,,0,Matches
68,Danielle Colaprico,usUSA,MF,SD Wave,30,1993,17.3,3,0,0,17,31,0,9,31,26,,,0,Matches
69,Caroline Conti,usUSA,MF,Bay FC,22,2001,1.1,0,0,0,0,1,1,0,0,2,,,0,Matches
70,Alana Cook,usUSA,DF,Reign,26,1997,9.4,1,0,0,8,5,0,2,7,5,,,0,Matches
71,Alana Cook,usUSA,DF,Current,26,1997,9.5,1,0,0,7,3,0,0,16,10,,,1,Matches
72,Ally Cook,,FW,Red Stars,,,2.4,0,0,0,2,3,2,2,2,4,,,0,Matches
73,Ava Cook,usUSA,FW,Red Stars,23,2000,1.1,1,0,0,3,1,0,0,1,3,,,0,Matches
74,Michelle Cooper,usUSA,"MF,FW",Current,21,2002,14.9,2,0,0,26,26,3,50,12,22,,,0,Matches
75,Ana-Maria Crnogorčević,chSUI,"FW,MF",Reign,33,1990,8.0,0,0,0,6,4,3,12,8,9,,,0,Matches
76,Chardonnay Curran,usUSA,FW,Red Stars,24,1999,2.7,1,0,0,1,5,1,5,4,4,,,0,Matches
77,Madison Curry,usUSA,DF,Angel City FC,23,2001,17.7,5,0,0,25,16,0,13,47,47,,,0,Matches
78,Izzy D'Aquila,usUSA,"MF,FW",Portland Thorns,22,2001,5.0,0,0,0,3,7,4,6,0,6,,,0,Matches
79,Abby Dahlkemper,usUSA,DF,Bay FC,30,1993,9.0,0,0,0,5,4,0,1,11,7,,,0,Matches
80,Abby Dahlkemper,usUSA,DF,SD Wave,30,1993,12.5,1,0,0,3,4,1,2,14,10,,,0,Matches
81,Tierna Davidson,usUSA,DF,Gotham FC,25,1998,15.7,1,0,0,7,15,0,6,22,18,,,0,Matches
82,Debinha,brBRA,"MF,FW",Current,32,1991,16.3,0,0,0,4,9,6,39,17,18,,,0,Matches
83,Kate Del Fava,usUSA,DF,Royals,25,1998,26.0,3,0,0,22,16,0,2,38,26,,,0,Matches
84,Cece Delzer,usUSA,"FW,MF",Gotham FC,26,1997,0.7,0,0,0,0,1,3,2,2,5,,,0,Matches
85,Cece Delzer,usUSA,"FW,MF",Houston Dash,26,1997,2.4,0,0,0,1,0,0,0,1,3,,,0,Matches
86,Savannah Demelo,usUSA,MF,Racing Louisville,25,1998,19.4,5,0,0,43,85,0,79,8,21,,,0,Matches
87,Ana Dias,ptPOR,FW,Portland Thorns,26,1997,2.6,3,0,0,6,5,3,2,1,2,,,0,Matches
88,Vanessa DiBernardo,usUSA,"MF,FW",Current,31,1992,17.0,3,0,0,19,9,1,70,25,26,,,0,Matches
89,Claudia Dickey,usUSA,GK,Reign,24,2000,17.7,0,0,0,0,3,0,0,0,0,,,0,Matches
90,Marisa DiGrande,usUSA,MF,Racing Louisville,26,1997,19.5,0,0,0,3,11,1,12,8,9,,,0,Matches
91,Maya Doms,usUSA,MF,Bay FC,22,2001,0.2,0,0,0,0,0,0,0,0,0,,,0,Matches
92,Makenzy Doniak,usUSA,MF,SD Wave,29,1994,15.7,0,0,0,8,13,3,47,12,10,,,0,Matches
93,Imani Dorsey,usUSA,DF,Royals,27,1996,1.5,0,0,0,1,3,0,2,0,1,,,0,Matches
94,Meggie Dougherty Howard,usUSA,MF,Angel City FC,28,1995,12.9,2,0,0,21,22,0,18,13,13,,,0,Matches
95,Julie Doyle,usUSA,MF,Orlando Pride,25,1998,15.2,2,0,0,15,25,2,39,4,20,,,0,Matches
96,Evelina Duljan,seSWE,FW,Orlando Pride,20,2003,2.0,0,0,0,7,6,0,2,2,10,,,0,Matches
97,Crystal Dunn,usUSA,"MF,FW",Gotham FC,31,1992,11.7,2,0,0,15,10,8,41,8,27,,,0,Matches
98,Caprice Dydasco,usUSA,DF,Bay FC,30,1993,22.5,2,0,0,21,9,0,32,40,33,,,0,Matches
99,Cori Dyke,usUSA,DF,Orlando Pride,23,2000,12.2,0,0,0,1,3,0,12,10,21,,,0,Matches
100,Elizabeth Eddy,usUSA,MF,Angel City FC,32,1991,0.4,0,0,0,0,0,0,2,1,1,,,0,Matches
101,Emily van Egmond,auAUS,MF,SD Wave,30,1993,21.0,3,0,0,18,12,0,16,14,23,,,0,Matches
102,Claire Emslie,sctSCO,"MF,FW",Angel City FC,29,1994,21.8,3,0,0,24,22,6,180,6,15,,,0,Matches
103,Sierra Enge,usUSA,DF,SD Wave,23,2000,1.0,0,0,0,0,0,0,0,0,0,,,0,Matches
104,Abby Erceg,nzNZL,DF,Racing Louisville,34,1989,26.0,0,0,0,4,2,2,0,32,16,,,0,Matches
105,Sinead Farrelly,ieIRL,MF,Gotham FC,34,1989,0.0,0,0,0,1,0,0,0,0,0,,,0,Matches
106,Bayley Feist,usUSA,MF,Current,26,1997,6.4,0,0,0,8,4,1,7,11,14,,,0,Matches
107,Kayla Fischer,usUSA,"MF,FW",Racing Louisville,24,2000,12.6,10,0,0,51,35,5,17,18,28,,,0,Matches
108,Jess Fishlock,wlsWAL,"MF,FW",Reign,37,1987,15.5,0,0,0,11,25,1,10,16,20,,,0,Matches
109,Jessie Fleming,caCAN,MF,Portland Thorns,25,1998,18.9,3,0,0,22,35,1,18,12,44,,,0,Matches
110,Taylor Flint,usUSA,MF,Racing Louisville,25,1998,22.8,6,0,0,40,26,2,1,75,60,,,0,Matches
111,Lauren Flynn,usUSA,DF,Royals,21,2002,9.9,3,0,0,16,9,0,3,19,19,,,0,Matches
112,Dana Foederer,nlNED,MF,Royals,21,2002,17.0,4,0,0,20,9,3,11,9,20,,,0,Matches
113,Adrianna Franch,usUSA,GK,Current,33,1990,17.0,1,0,0,1,0,0,0,0,0,,,0,Matches
114,Bea Franklin,usUSA,MF,Red Stars,23,2000,12.3,2,0,0,15,9,0,3,19,22,,,0,Matches
115,Macey Fraser,nzNZL,MF,Royals,21,2002,2.3,0,0,0,4,1,0,3,2,6,,,0,Matches
116,Mandy Freeman,usUSA,DF,Gotham FC,28,1995,8.3,3,0,0,7,9,1,15,8,9,,,0,Matches
117,Kennedy Fuller,usUSA,"MF,FW",Angel City FC,16,2007,10.9,1,0,0,10,29,1,6,9,10,,,0,Matches
118,Ryan Gareis,usUSA,"MF,FW",Houston Dash,25,1998,3.6,0,0,0,0,2,2,9,2,2,,,0,Matches
119,Morgan Gautrat,usUSA,MF,Orlando Pride,30,1993,9.4,3,0,0,10,6,0,8,15,10,,,0,Matches
120,Naomi Girma,usUSA,DF,SD Wave,23,2000,19.0,3,0,0,8,2,0,4,22,18,,,1,Matches
121,Hanna Glas,seSWE,DF,Reign,30,1993,5.3,1,0,0,9,1,0,8,9,6,,,0,Matches
122,Parker Goins,usUSA,MF,Racing Louisville,25,1998,1.9,0,0,0,0,0,2,2,2,7,,,0,Matches
123,Nádia Gomes,ptPOR,"MF,FW",Red Stars,27,1996,2.6,0,0,0,3,4,0,4,5,12,,,0,Matches
124,Esther González,esESP,"FW,MF",Gotham FC,31,1992,17.5,1,0,0,21,10,12,21,5,7,,,0,Matches
125,Sarah Gorden,usUSA,DF,Angel City FC,31,1992,22.8,0,0,0,8,26,0,2,20,22,,,0,Matches
126,Emily Gray,usUSA,MF,Royals,23,2000,0.0,0,0,0,1,0,0,0,0,1,,,0,Matches
127,Sarah Griffith,usUSA,MF,Red Stars,24,1999,2.1,0,0,0,3,1,1,0,1,3,,,0,Matches
128,Shea Groom,usUSA,"MF,FW",Red Stars,30,1993,5.9,1,0,0,10,9,0,4,8,6,,,0,Matches
129,Julia Grosso,caCAN,MF,Red Stars,23,2000,9.5,0,0,0,1,5,1,17,8,9,,,0,Matches
130,Kristen Hamilton,usUSA,"FW,MF",Current,31,1992,1.0,0,0,0,0,1,0,1,0,1,,,0,Matches
131,Madison Hammond,usUSA,MF,Angel City FC,26,1997,15.4,5,0,0,19,10,0,2,18,18,,,0,Matches
132,DiDi Haracic,baBIH,GK,Angel City FC,31,1992,23.0,2,0,0,1,4,0,0,1,0,,,0,Matches
133,Jyllissa Harris,usUSA,DF,Houston Dash,23,2000,8.9,1,0,0,3,0,0,2,8,6,,,0,Matches
134,Ashley Hatch,usUSA,"FW,MF",Washington Spirit,28,1995,15.6,0,0,0,15,15,3,12,4,12,,,0,Matches
135,Anna Heilferty,usUSA,DF,Washington Spirit,24,1999,0.8,0,0,0,0,0,0,0,2,0,,,0,Matches
136,Amandine Henry,frFRA,MF,Angel City FC,34,1989,2.9,1,0,0,4,3,1,1,6,4,,,0,Matches
137,Amandine Henry,frFRA,MF,Royals,34,1989,9.3,2,0,0,13,12,0,10,9,12,,,0,Matches
138,Hal Hershfelt,usUSA,MF,Washington Spirit,22,2001,23.1,6,0,0,34,20,0,7,30,45,,,0,Matches
139,Samantha Hiatt,usUSA,DF,Gotham FC,26,1998,12.4,2,0,0,10,8,0,0,21,11,,,0,Matches
140,Rachel Hill,usUSA,"MF,FW",Bay FC,28,1995,12.3,0,0,0,13,14,5,36,7,21,,,0,Matches
141,Heather Hinz,usUSA,GK,Houston Dash,22,2001,1.0,0,0,0,0,0,0,0,0,0,,,0,Matches
142,Sophie Hirst,usUSA,MF,Portland Thorns,23,2000,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
143,Sophie Hirst,usUSA,MF,Houston Dash,23,2000,3.2,0,0,0,1,0,0,1,0,0,,,0,Matches
144,Penelope Hocking,usUSA,"FW,MF",Red Stars,24,1999,10.9,5,0,0,15,10,3,7,4,13,,,0,Matches
145,Penelope Hocking,usUSA,"MF,FW",Bay FC,24,1999,4.1,1,0,0,6,3,2,3,2,5,,,0,Matches
146,Shelby Hogan,usUSA,GK,Portland Thorns,25,1998,21.0,0,0,0,0,1,0,0,1,0,,,0,Matches
147,Shae Holmes,usUSA,DF,Reign,23,2000,13.2,0,0,0,4,2,3,30,21,17,,,0,Matches
148,Haley Hopkins,usUSA,"FW,MF",NC Courage,25,1998,16.3,2,0,0,21,18,10,26,5,10,,,0,Matches
149,Jaelin Howell,usUSA,MF,Reign,24,1999,5.3,4,0,0,10,14,2,3,9,8,,,0,Matches
150,Jaelin Howell,usUSA,MF,Racing Louisville,24,1999,7.8,4,0,0,17,15,0,1,11,17,,,0,Matches
151,Kelli Hubly,usUSA,DF,Portland Thorns,29,1994,19.1,6,0,0,19,4,1,3,35,17,,,0,Matches
152,Sofia Huerta,usUSA,DF,Reign,31,1992,19.0,4,0,0,13,20,2,129,29,17,,,0,Matches
153,Jordyn Huitema,caCAN,"FW,MF",Reign,22,2001,16.7,2,0,0,15,18,2,7,1,14,,,0,Matches
154,Claire Hutton,usUSA,MF,Current,18,2006,18.4,3,0,0,22,14,1,2,34,38,,,0,Matches
155,Laurel Ivory,usUSA,GK,Reign,24,1999,8.3,2,0,0,2,2,0,0,0,0,,,0,Matches
156,Riley Jackson,usUSA,MF,NC Courage,18,2005,3.5,0,0,0,2,4,0,2,1,12,,,0,Matches
157,Natalie Jacobs,usUSA,DF,Houston Dash,26,1997,13.8,2,0,0,9,14,0,5,15,12,,,0,Matches
158,Sofia Jakobsson,seSWE,"MF,FW",SD Wave,33,1990,6.2,0,0,0,5,3,6,31,2,13,,,0,Matches
159,Angharad James,wlsWAL,MF,Reign,29,1994,9.9,3,1,1,14,1,1,1,16,18,,,0,Matches
160,Ellie Jean,usUSA,DF,Racing Louisville,27,1997,6.6,0,0,0,1,2,0,4,4,3,,,0,Matches
161,Mwanalima Jereko,keKEN,MF,Current,26,1997,0.5,0,0,0,2,0,0,2,0,2,,,0,Matches
162,Celia Jiménez,esESP,DF,Orlando Pride,28,1995,0.8,0,0,0,2,0,0,2,1,4,,,0,Matches
163,Katie Johnson,mxMEX,"FW,MF",Angel City FC,29,1994,1.0,1,0,0,5,2,1,4,0,2,,,0,Matches
164,Mya Jones,caCAN,"MF,FW",SD Wave,22,2001,9.5,0,0,0,9,10,4,15,8,14,,,0,Matches
165,Jameese Joseph,usUSA,"MF,FW",Red Stars,21,2002,11.5,1,0,0,22,10,6,8,5,16,,,0,Matches
166,Júlia,brBRA,MF,Red Stars,26,1997,8.7,2,0,0,15,11,0,7,12,21,,,0,Matches
167,Uchenna Kanu,ngNGA,"MF,FW",Racing Louisville,26,1997,8.3,1,0,0,18,15,2,11,14,17,,,0,Matches
168,Kerolin,brBRA,FW,NC Courage,24,1999,2.6,0,0,0,2,3,0,3,1,2,,,0,Matches
169,Alex Kerr,usUSA,FW,Orlando Pride,22,2001,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
170,Savannah King,usUSA,DF,Bay FC,18,2005,12.3,1,0,0,10,5,2,23,25,22,,,0,Matches
171,Tziarra King,usUSA,"MF,FW",Reign,25,1998,14.9,1,1,0,15,14,7,33,10,17,,,0,Matches
172,Aubrey Kingsbury,usUSA,GK,Washington Spirit,32,1991,26.0,0,1,0,1,3,0,0,0,0,,,0,Matches
173,Meghan Klingenberg,usUSA,"MF,DF",Portland Thorns,35,1988,2.8,0,0,0,2,1,0,5,5,3,,,0,Matches
174,Rosemonde Kouassi,ciCIV,"MF,FW",Washington Spirit,22,2001,6.1,1,1,0,8,12,4,9,4,11,,,0,Matches
175,Casey Krueger,usUSA,DF,Washington Spirit,33,1990,18.6,1,0,0,15,18,2,30,25,23,,,0,Matches
176,Natalia Kuikka,fiFIN,DF,Red Stars,28,1995,22.9,1,0,0,3,16,0,15,26,30,,,0,Matches
177,Racheal Kundananji,zmZAM,"FW,MF",Bay FC,23,2000,20.3,6,0,0,47,22,5,52,14,33,,,0,Matches
178,Kaleigh Kurtz,usUSA,DF,NC Courage,26,1997,26.0,4,0,0,12,15,0,7,22,20,,,1,Matches
179,Lo'eau LaBonta,usUSA,MF,Current,30,1993,21.3,2,0,0,20,28,0,12,34,30,,,0,Matches
180,Cloé Lacasse,caCAN,"MF,FW",Royals,30,1993,7.4,1,0,0,15,6,2,33,3,5,,,0,Matches
181,Mariana Larroquette,arARG,FW,Orlando Pride,31,1992,0.6,0,0,0,1,3,1,1,0,4,,,0,Matches
182,Veronica Latsko,usUSA,"MF,DF",Reign,28,1995,13.1,0,0,0,14,24,6,50,14,19,,,0,Matches
183,Lauren,brBRA,DF,Current,21,2002,0.9,0,0,0,1,0,0,0,2,1,,,0,Matches
