team,players_used,minutes_90s,gk_goals_against,gk_pens_allowed,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions
Angel City FC,2,26.0,42,2,,,,,,,,,,,,,,,,,,,,,,,
Bay FC,2,26.0,41,3,,,,,,,,,,,,,,,,,,,,,,,
Current,2,26.0,31,1,,,,,,,,,,,,,,,,,,,,,,,
Gotham FC,2,26.0,20,3,,,,,,,,,,,,,,,,,,,,,,,
Houston Dash,2,26.0,42,4,,,,,,,,,,,,,,,,,,,,,,,
NC Courage,1,26.0,28,2,,,,,,,,,,,,,,,,,,,,,,,
Orlando Pride,1,26.0,20,1,,,,,,,,,,,,,,,,,,,,,,,
Portland Thorns,2,26.0,35,0,,,,,,,,,,,,,,,,,,,,,,,
Racing Louisville,1,26.0,39,5,,,,,,,,,,,,,,,,,,,,,,,
Red Stars,2,26.0,38,1,,,,,,,,,,,,,,,,,,,,,,,
Reign,2,26.0,44,5,,,,,,,,,,,,,,,,,,,,,,,
Royals,3,26.0,40,6,,,,,,,,,,,,,,,,,,,,,,,
SD Wave,2,26.0,35,2,,,,,,,,,,,,,,,,,,,,,,,
Washington Spirit,2,26.0,28,3,,,,,,,,,,,,,,,,,,,,,,,
