team,players_used,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area
Angel City FC,26,26.0,,,,,,,,,,,,,,,17,,,,,
Bay FC,26,26.0,,,,,,,,,,,,,,,20,,,,,
Current,28,26.0,,,,,,,,,,,,,,,34,,,,,
Gotham FC,27,26.0,,,,,,,,,,,,,,,29,,,,,
Houston Dash,29,26.0,,,,,,,,,,,,,,,13,,,,,
NC Courage,23,26.0,,,,,,,,,,,,,,,21,,,,,
Orlando Pride,26,26.0,,,,,,,,,,,,,,,23,,,,,
Portland Thorns,27,26.0,,,,,,,,,,,,,,,29,,,,,
Racing Louisville,26,26.0,,,,,,,,,,,,,,,21,,,,,
Red Stars,27,26.0,,,,,,,,,,,,,,,20,,,,,
Reign,30,26.0,,,,,,,,,,,,,,,11,,,,,
Royals,30,26.0,,,,,,,,,,,,,,,14,,,,,
SD Wave,26,26.0,,,,,,,,,,,,,,,13,,,,,
Washington Spirit,25,26.0,,,,,,,,,,,,,,,33,,,,,
