ranker,player,nationality,position,team,age,birth_year,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,matches
1,Kerry Abello,usUSA,DF,Orlando Pride,25,1999,17.2,,,,,,,,,,,,,,,,,,,,,Matches
2,Deborah Abiodun,ngNGA,"MF,DF",Washington Spirit,21,2003,6.5,,,,,,,,,,,,,,,,,,,,,Matches
3,Emeri Adames,usUSA,"MF,FW",Reign,18,2006,11.1,,,,,,,,,,,,,,,,,,,,,Matches
4,Marie-Yasmine Alidou,caCAN,"FW,MF",Portland Thorns,29,1995,8.0,,,,,,,,,,,,,,,,,,,,,Matches
5,Aline,brBRA,"MF,FW",NC Courage,19,2005,3.9,,,,,,,,,,,,,,,,,,,,,Matches
6,Emmie Allen,usUSA,GK,Bay FC,22,2002,2.0,,,,,,,,,,,,,,,,,,,,,Matches
7,Michelle Alozie,ngNGA,"DF,MF",Houston Dash,27,1997,7.3,,,,,,,,,,,,,,,,,,,,,Matches
8,Angelina Anderson,usUSA,GK,Angel City FC,23,2001,22.0,,,,,,,,,,,,,,,,,,,,,Matches
9,Hannah Anderson,usUSA,DF,Chicago Stars,23,2001,5.2,,,,,,,,,,,,,,,,,,,,,Matches
10,Joelle Anderson,usUSA,DF,Bay FC,26,1998,14.3,,,,,,,,,,,,,,,,,,,,,Matches
11,Angelina,brBRA,MF,Orlando Pride,25,2000,20.1,,,,,,,,,,,,,,,,,,,,,Matches
12,Daniela Arias,coCOL,DF,SD Wave,30,1994,0.1,,,,,,,,,,,,,,,,,,,,,Matches
13,Trinity Armstrong,usUSA,DF,SD Wave,17,2007,18.4,,,,,,,,,,,,,,,,,,,,,Matches
14,Mackenzie Arnold,auAUS,GK,Portland Thorns,30,1994,19.0,,,,,,,,,,,,,,,,,,,,,Matches
15,Ary Borges,brBRA,MF,Racing Louisville,25,1999,15.6,,,,,,,,,,,,,,,,,,,,,Matches
16,Kimmi Ascanio,usUSA,"FW,MF",SD Wave,17,2008,16.7,,,,,,,,,,,,,,,,,,,,,Matches
17,Ramona Bachmann,chSUI,"FW,MF",Houston Dash,34,1990,0.4,,,,,,,,,,,,,,,,,,,,,Matches
18,Dorian Bailey,usUSA,MF,Bay FC,28,1997,13.4,,,,,,,,,,,,,,,,,,,,,Matches
19,Elizabeth Ball,usUSA,DF,Current,29,1995,14.9,,,,,,,,,,,,,,,,,,,,,Matches
20,Barbra Banda,zmZAM,FW,Orlando Pride,24,2000,14.4,,,,,,,,,,,,,,,,,,,,,Matches
21,Melanie Barcenas,usUSA,MF,SD Wave,17,2007,5.2,,,,,,,,,,,,,,,,,,,,,Matches
22,Lauren Barnes,usUSA,DF,Reign,35,1989,14.5,,,,,,,,,,,,,,,,,,,,,Matches
23,Catherine Barry,usUSA,FW,Chicago Stars,23,2001,0.5,,,,,,,,,,,,,,,,,,,,,Matches
24,Beatriz,brBRA,FW,Current,31,1993,17.6,,,,,,,,,,,,,,,,,,,,,Matches
25,Hannah Bebar,usUSA,MF,Bay FC,23,2001,11.7,,,,,,,,,,,,,,,,,,,,,Matches
26,Maycee Bell,usUSA,DF,NC Courage,24,2000,21.0,,,,,,,,,,,,,,,,,,,,,Matches
27,Ann-Katrin Berger,deGER,GK,Gotham FC,34,1990,24.0,,,,,,,,,,,,,,,,,,,,,Matches
28,Malia Berkely,usUSA,"DF,MF",NC Courage,26,1998,8.9,,,,,,,,,,,,,,,,,,,,,Matches
29,Malia Berkely,usUSA,DF,Houston Dash,26,1998,6.0,,,,,,,,,,,,,,,,,,,,,Matches
30,Rebeca Bernal,mxMEX,"DF,MF",Washington Spirit,27,1997,19.1,,,,,,,,,,,,,,,,,,,,,Matches
31,Hannah Betfort,usUSA,"FW,MF",NC Courage,26,1999,7.7,,,,,,,,,,,,,,,,,,,,,Matches
32,Croix Bethune,usUSA,"MF,FW",Washington Spirit,23,2001,14.9,,,,,,,,,,,,,,,,,,,,,Matches
33,Camryn Biegalski,usUSA,DF,Chicago Stars,26,1998,17.3,,,,,,,,,,,,,,,,,,,,,Matches
34,Jenna Bike,usUSA,"MF,FW",Chicago Stars,26,1998,4.8,,,,,,,,,,,,,,,,,,,,,Matches
35,Bella Bixby,usUSA,GK,Portland Thorns,29,1995,7.0,,,,,,,,,,,,,,,,,,,,,Matches
36,Lynn Biyendolo,usUSA,"FW,MF",Reign,31,1993,8.8,,,,,,,,,,,,,,,,,,,,,Matches
37,Jordyn Bloomer,usUSA,GK,Racing Louisville,27,1997,20.0,,,,,,,,,,,,,,,,,,,,,Matches
38,Meg Boade,,MF,Washington Spirit,,,1.2,,,,,,,,,,,,,,,,,,,,,Matches
39,Tess Boade,usUSA,MF,Bay FC,25,1999,10.9,,,,,,,,,,,,,,,,,,,,,Matches
40,Lisa Boattin,itITA,DF,Houston Dash,27,1997,2.9,,,,,,,,,,,,,,,,,,,,,Matches
41,Bethany Bos,usUSA,"FW,MF",Racing Louisville,27,1997,0.5,,,,,,,,,,,,,,,,,,,,,Matches
42,Marisa Bova,usUSA,GK,NC Courage,24,2000,5.0,,,,,,,,,,,,,,,,,,,,,Matches
43,Jordan Brewster,usUSA,DF,Bay FC,25,1999,0.3,,,,,,,,,,,,,,,,,,,,,Matches
44,Messiah Bright,usUSA,FW,Houston Dash,25,2000,14.0,,,,,,,,,,,,,,,,,,,,,Matches
45,Courtney Brown,usUSA,"MF,FW",Washington Spirit,24,2000,4.9,,,,,,,,,,,,,,,,,,,,,Matches
46,Bruninha,brBRA,"DF,MF",Gotham FC,22,2002,15.1,,,,,,,,,,,,,,,,,,,,,Matches
47,Jordyn Bugg,usUSA,DF,Reign,18,2006,23.9,,,,,,,,,,,,,,,,,,,,,Matches
48,Jane Campbell,usUSA,GK,Houston Dash,29,1995,17.1,,,,,,,,,,,,,,,,,,,,,Matches
49,Ryan Campbell,usUSA,GK,Gotham FC,22,2002,0.0,,,,,,,,,,,,,,,,,,,,,Matches
50,Sofia Cantore,itITA,"FW,MF",Washington Spirit,25,1999,8.2,,,,,,,,,,,,,,,,,,,,,Matches
51,Gabrielle Carle,caCAN,"DF,MF",Washington Spirit,26,1998,23.0,,,,,,,,,,,,,,,,,,,,,Matches
52,Jess Carter,engENG,DF,Gotham FC,27,1997,21.1,,,,,,,,,,,,,,,,,,,,,Matches
53,Kyra Carusa,ieIRL,FW,SD Wave,29,1995,4.2,,,,,,,,,,,,,,,,,,,,,Matches
54,Sam Cary,usUSA,DF,Chicago Stars,24,2000,2.2,,,,,,,,,,,,,,,,,,,,,Matches
55,Delphine Cascarino,frFRA,"MF,FW",SD Wave,27,1997,22.0,,,,,,,,,,,,,,,,,,,,,Matches
56,Deyna Castellanos,veVEN,"FW,MF",Portland Thorns,25,1999,13.1,,,,,,,,,,,,,,,,,,,,,Matches
57,Ivonne Chacón,coCOL,FW,Chicago Stars,27,1997,2.0,,,,,,,,,,,,,,,,,,,,,Matches
58,Grace Chanda,zmZAM,FW,Orlando Pride,27,1997,0.4,,,,,,,,,,,,,,,,,,,,,Matches
59,Allysha Chapman,caCAN,DF,Houston Dash,36,1989,7.3,,,,,,,,,,,,,,,,,,,,,Matches
60,Simone Charley,usUSA,FW,Orlando Pride,29,1995,2.5,,,,,,,,,,,,,,,,,,,,,Matches
61,Zara Chavosi,caCAN,DF,Orlando Pride,22,2002,5.6,,,,,,,,,,,,,,,,,,,,,Matches
62,Temwa Chaŵinga,mwMWI,"FW,MF",Current,26,1998,20.1,,,,,,,,,,,,,,,,,,,,,Matches
63,Prisca Chilufya,zmZAM,"FW,MF",Orlando Pride,25,1999,5.7,,,,,,,,,,,,,,,,,,,,,Matches
64,Prisca Chilufya,zmZAM,FW,Angel City FC,25,1999,0.4,,,,,,,,,,,,,,,,,,,,,Matches
65,Mikayla Cluff,usUSA,MF,Royals,25,1999,1.7,,,,,,,,,,,,,,,,,,,,,Matches
66,Sam Coffey,usUSA,MF,Portland Thorns,26,1998,24.7,,,,,,,,,,,,,,,,,,,,,Matches
67,Danielle Colaprico,usUSA,MF,Houston Dash,31,1993,24.4,,,,,,,,,,,,,,,,,,,,,Matches
68,Sydney Collins,caCAN,DF,Bay FC,25,1999,8.5,,,,,,,,,,,,,,,,,,,,,Matches
69,Caroline Conti,usUSA,"MF,FW",Bay FC,23,2001,14.2,,,,,,,,,,,,,,,,,,,,,Matches
70,Alana Cook,usUSA,DF,Current,27,1997,6.5,,,,,,,,,,,,,,,,,,,,,Matches
71,Ava Cook,usUSA,FW,Chicago Stars,24,2000,1.0,,,,,,,,,,,,,,,,,,,,,Matches
72,Sofia Cook,usUSA,MF,Gotham FC,20,2004,2.0,,,,,,,,,,,,,,,,,,,,,Matches
73,Michelle Cooper,usUSA,"MF,FW",Current,22,2002,13.6,,,,,,,,,,,,,,,,,,,,,Matches
74,Gia Corley,deGER,MF,SD Wave,22,2002,17.6,,,,,,,,,,,,,,,,,,,,,Matches
75,Brooklyn Courtnall,caCAN,DF,Bay FC,22,2002,6.0,,,,,,,,,,,,,,,,,,,,,Matches
76,Brooklyn Courtnall,caCAN,DF,NC Courage,22,2002,0.3,,,,,,,,,,,,,,,,,,,,,Matches
77,Ana-Maria Crnogorčević,chSUI,"FW,MF",Reign,34,1990,4.3,,,,,,,,,,,,,,,,,,,,,Matches
78,McKinley Crone,,GK,Orlando Pride,,,1.4,,,,,,,,,,,,,,,,,,,,,Matches
79,Chardonnay Curran,usUSA,FW,Chicago Stars,25,1999,0.9,,,,,,,,,,,,,,,,,,,,,Matches
80,Madison Curry,usUSA,"MF,DF",Reign,24,2001,23.2,,,,,,,,,,,,,,,,,,,,,Matches
81,Maddie Dahlien,usUSA,"MF,FW",Reign,20,2004,20.3,,,,,,,,,,,,,,,,,,,,,Matches
