team,players_used,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors
Angel City FC,31,26.0,,321,,,,,,,,,,,228,,,
Bay FC,25,26.0,,292,,,,,,,,,,,281,,,
Chicago Stars,27,26.0,,304,,,,,,,,,,,247,,,
Current,27,26.0,,335,,,,,,,,,,,276,,,
Gotham FC,29,26.0,,279,,,,,,,,,,,212,,,
Houston Dash,27,26.0,,283,,,,,,,,,,,313,,,
NC Courage,25,26.0,,309,,,,,,,,,,,222,,,
Orlando Pride,27,26.0,,277,,,,,,,,,,,221,,,
Portland Thorns,25,26.0,,297,,,,,,,,,,,233,,,
Racing Louisville,20,26.0,,308,,,,,,,,,,,265,,,
Reign,24,26.0,,311,,,,,,,,,,,274,,,
Royals,28,26.0,,349,,,,,,,,,,,220,,,
SD Wave,25,26.0,,257,,,,,,,,,,,201,,,
Washington Spirit,28,26.0,,303,,,,,,,,,,,276,,,
