team,players_used,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals
Angel City FC,31,26.0,34,0,0,305,259,29,415,228,321,2,5,3
Bay FC,25,26.0,47,0,0,291,298,36,423,281,292,1,2,1
Chicago Stars,27,26.0,34,0,0,280,240,34,299,247,304,0,5,4
Current,27,26.0,27,1,0,285,237,49,406,276,335,3,2,1
Gotham FC,29,26.0,38,4,1,322,322,43,464,212,279,3,2,3
Houston Dash,27,26.0,29,1,1,277,274,42,356,313,283,0,3,0
NC Courage,25,26.0,22,0,0,246,256,51,398,222,309,3,2,1
Orlando Pride,27,26.0,27,0,0,277,295,54,535,221,277,5,1,1
Portland Thorns,25,26.0,29,0,0,289,314,31,344,233,297,8,1,2
Racing Louisville,20,26.0,39,1,0,307,287,53,492,265,308,3,6,3
Reign,24,26.0,33,0,0,250,241,36,361,274,311,3,2,1
Royals,28,26.0,53,1,1,376,269,43,300,220,349,1,6,2
SD Wave,25,26.0,32,1,0,249,291,55,479,201,257,1,5,0
Washington Spirit,28,26.0,32,1,1,297,299,32,361,276,303,2,4,4
