team,players_used,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked
Angel City FC,31,26.0,,,,,,,415,,,,,,,,
Bay FC,25,26.0,,,,,,,423,,,,,,,,
Chicago Stars,27,26.0,,,,,,,299,,,,,,,,
Current,27,26.0,,,,,,,406,,,,,,,,
Gotham FC,29,26.0,,,,,,,464,,,,,,,,
Houston Dash,27,26.0,,,,,,,356,,,,,,,,
NC Courage,25,26.0,,,,,,,398,,,,,,,,
Orlando Pride,27,26.0,,,,,,,535,,,,,,,,
Portland Thorns,25,26.0,,,,,,,344,,,,,,,,
Racing Louisville,20,26.0,,,,,,,492,,,,,,,,
Reign,24,26.0,,,,,,,361,,,,,,,,
Royals,28,26.0,,,,,,,300,,,,,,,,
SD Wave,25,26.0,,,,,,,479,,,,,,,,
Washington Spirit,28,26.0,,,,,,,361,,,,,,,,
