ranker,player,nationality,position,team,age,birth_year,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,pens_made,pens_att,matches
1,Deborah Abiodun,ngNGA,MF,Washington Spirit,22-156,2003,1.4,0,1,1,100.0,0.71,0.71,0.0,0.0,0,0,Matches
2,Emeri Adames,usUSA,MF,Reign,20-004,2006,2.9,0,5,1,20.0,1.73,0.35,0.0,0.0,0,0,Matches
3,Marie-Yasmine Alidou,caCAN,MF,Portland Thorns,30-344,1995,3.9,0,3,0,0.0,0.77,0.0,0.0,,0,0,Matches
4,Amanda Allen,caCAN,FW,Boston Legacy,21-045,2005,0.4,0,0,0,,0.0,0.0,,,0,0,Matches
5,Michelle Alozie,ngNGA,DF,Chicago Stars,28-344,1997,2.5,0,3,1,33.3,1.19,0.4,0.0,0.0,0,0,Matches
6,Angelina Anderson,usUSA,GK,Angel City FC,25-016,2001,4.0,0,0,0,,0.0,0.0,,,0,0,Matches
7,Hannah Anderson,usUSA,DF,Orlando Pride,25-004,2001,2.4,1,2,2,100.0,0.82,0.82,0.5,0.5,0,0,Matches
8,Joelle Anderson,usUSA,DF,Bay FC,27-183,1998,2.0,1,4,2,50.0,2.05,1.02,0.25,0.5,0,0,Matches
9,Andressa,brBRA,DF,Boston Legacy,26-248,1999,2.0,0,0,0,,0.0,0.0,,,0,0,Matches
10,Angelina,brBRA,MF,Orlando Pride,26-071,2000,2.9,0,3,1,33.3,1.05,0.35,0.0,0.0,0,0,Matches
11,Laurel Ansbrow,usUSA,DF,Boston Legacy,22-362,2003,2.3,0,0,0,,0.0,0.0,,,0,0,Matches
12,Mackenzie Arnold,auAUS,GK,Portland Thorns,32-041,1994,2.0,0,0,0,,0.0,0.0,,,0,0,Matches
13,Ary Borges,brBRA,MF,Angel City FC,26-100,1999,4.0,1,5,3,60.0,1.25,0.75,0.2,0.33,0,0,Matches
14,Kimmi Ascanio,usUSA,MF,SD Wave,18-076,2008,3.6,0,6,1,16.7,1.65,0.27,0.0,0.0,0,0,Matches
15,Dorian Bailey,usUSA,MF,Bay FC,29-069,1997,0.9,1,2,1,50.0,2.14,1.07,0.5,1.0,0,0,Matches
16,Elizabeth Ball,usUSA,DF,Current,30-169,1995,2.1,0,1,0,0.0,0.47,0.0,0.0,,0,0,Matches
17,Barbra Banda,zmZAM,FW,Orlando Pride,26-018,2000,4.8,3,24,12,50.0,5.02,2.51,0.13,0.25,0,0,Matches
18,Melanie Barcenas,usUSA,FW,SD Wave,18-159,2007,0.8,2,6,4,66.7,7.61,5.07,0.33,0.5,0,0,Matches
19,Keira Barry,engENG,MF,Bay FC,20-298,2005,2.1,1,4,1,25.0,1.9,0.48,0.25,1.0,0,0,Matches
20,Hannah Bebar,usUSA,MF,Bay FC,24-214,2001,3.9,0,4,0,0.0,1.02,0.0,0.0,,0,0,Matches
