team,players_used,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,pens_made,pens_att
Angel City FC,15,4.0,10,57,14,24.6,14.25,3.5,0.18,0.71,0,0
Bay FC,20,4.0,6,53,17,32.1,13.25,4.25,0.11,0.35,0,0
Boston Legacy,19,4.0,1,30,4,13.3,7.5,1.0,0.03,0.25,0,0
Chicago Stars,21,5.0,2,23,8,34.8,4.6,1.6,0.09,0.25,0,0
Current,22,5.0,5,54,20,37.0,10.8,4.0,0.09,0.25,0,0
Denver Summit,18,5.0,4,49,14,28.6,9.8,2.8,0.08,0.29,0,0
Gotham FC,19,5.0,2,54,15,27.8,10.8,3.0,0.04,0.13,0,0
Houston Dash,19,4.0,9,60,17,28.3,15.0,4.25,0.12,0.41,2,3
NC Courage,20,4.0,5,53,17,32.1,13.25,4.25,0.09,0.29,0,0
Orlando Pride,19,5.0,7,75,29,38.7,15.0,5.8,0.09,0.24,0,0
Portland Thorns,20,5.0,8,67,24,35.8,13.4,4.8,0.1,0.29,1,1
Racing Louisville,18,4.0,7,52,18,34.6,13.0,4.5,0.1,0.28,2,2
Reign,19,5.0,7,59,17,28.8,11.8,3.4,0.12,0.41,0,0
Royals,21,5.0,6,71,24,33.8,14.2,4.8,0.06,0.17,2,2
SD Wave,19,5.0,8,80,37,46.3,16.0,7.4,0.1,0.22,0,0
Washington Spirit,19,5.0,4,79,29,36.7,15.8,5.8,0.05,0.14,0,0
