team,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90
Angel City FC,15,23.9,56.8,4,44,360,4.0,10,6,16,10,0,0,5,0,2.5,1.5,4.0,2.5,4.0
Bay FC,20,24.8,49.8,4,44,360,4.0,6,5,11,6,0,0,10,1,1.5,1.25,2.75,1.5,2.75
Boston Legacy,19,26.1,53.0,4,44,360,4.0,1,1,2,1,0,0,14,1,0.25,0.25,0.5,0.25,0.5
Chicago Stars,21,27.1,44.4,5,55,450,5.0,2,1,3,2,0,0,4,0,0.4,0.2,0.6,0.4,0.6
Current,22,26.7,44.2,5,55,450,5.0,5,5,10,5,0,0,6,0,1.0,1.0,2.0,1.0,2.0
Denver Summit,18,27.6,47.2,5,55,450,5.0,4,3,7,4,0,0,6,1,0.8,0.6,1.4,0.8,1.4
Gotham FC,19,28.8,57.4,5,55,450,5.0,2,1,3,2,0,0,9,0,0.4,0.2,0.6,0.4,0.6
Houston Dash,19,26.5,41.3,4,44,360,4.0,9,5,14,7,2,3,8,0,2.25,1.25,3.5,1.75,3.0
NC Courage,20,26.0,53.3,4,44,360,4.0,5,5,10,5,0,0,4,0,1.25,1.25,2.5,1.25,2.5
Orlando Pride,19,27.0,45.4,5,55,450,5.0,7,5,12,7,0,0,5,0,1.4,1.0,2.4,1.4,2.4
Portland Thorns,20,25.6,42.0,5,55,450,5.0,8,5,13,7,1,1,6,2,1.6,1.0,2.6,1.4,2.4
Racing Louisville,18,26.4,41.3,4,44,360,4.0,7,4,11,5,2,2,5,0,1.75,1.0,2.75,1.25,2.25
Reign,19,26.6,53.6,5,55,450,5.0,7,6,13,7,0,0,6,0,1.4,1.2,2.6,1.4,2.6
Royals,21,27.3,51.0,5,55,450,5.0,6,4,10,4,2,2,10,1,1.2,0.8,2.0,0.8,1.6
SD Wave,19,26.3,59.2,5,55,450,5.0,8,6,14,8,0,0,3,0,1.6,1.2,2.8,1.6,2.8
Washington Spirit,19,26.1,59.8,5,55,450,5.0,4,2,6,4,0,0,1,0,0.8,0.4,1.2,0.8,1.2
