season,season_id,player_id,provider_id,team_team_id,team_official_name,media_first_name,media_last_name,short_name,role_label,nationality,bib_number,role,display_name,nationality_iso_code,rank_label,team_provider_id,team_short_name,team_acronym_name,team_media_name,team_country_code,games_played,minutes_played,goals,assists,total_scoring_attempts,goal_involvements,on_target_scoring_attempts,total_attacking_assist,tackles_won,fouls_committed,fouls_suffered,total_offside,yellow_cards,red_cards,aerials_won_perc,accurate_pass_percentage,goals_conceded,goals_against_average,corners,goals_free_kick,hit_woodwork,penalty_attempts,penalties_successful,yellow_red_cards,xg,xgefficiency,tackles_won_perc,duels_won_perc,aerial_duels_won_perc,crosses_complete_percentage,total_distance_covered,avg_distance_covered,total_distance_covered_walking,average_distance_covered_walking,total_distance_covered_jogging,average_distance_covered_jogging,total_distance_covered_low_intensity_running,average_distance_covered_low_intensity_running,total_distance_covered_sprinting,average_distance_covered_sprinting,total_distance_covered_high_intensity_running,average_distance_covered_high_intensity_running,sprints,unsuccessful_crosses_open_play,offsides,time_played,throw_ins_to_own_player,substitute_on,successful_lay_offs,successful_launches,right_foot_goals,open_play_passes,corners_won,backward_passes,successful_crosses_corners,successful_passes_opposition_half,unsuccessful_long_passes,putthrough_blocked_distribution_won,shots_off_target_inc_woodwork,goals_conceded_outside_box,aerial_duels_lost,total_losses_of_possession,successful_passes_own_half,total_tackles,unsuccessful_short_passes,total_passes,substitute_off,total_fouls_conceded,successful_dribbles,successful_short_passes,goals_conceded_inside_box,total_shots,total_unsuccessful_passes_excl_crosses_corners,rightside_passes,key_passes_attempt_assists,unsuccessful_passes_opposition_half,blocked_shots,throw_ins_to_opposition_player,recoveries,starts,putthrough_blocked_distribution,unsuccessful_passes_own_half,touches,corners_taken_incl_short_corners,appearances,foul_attempted_tackle,ground_duels,goals_from_outside_box,forward_passes,total_touches_in_opposition_box,index,duels_won,shots_on_target_inc_goals,successful_long_passes,successful_crosses_open_play,total_fouls_won,aerial_duels_won,unsuccessful_dribbles,duels,total_clearances,unsuccessful_crosses_corners,unsuccessful_corners_into_box,handballs_conceded,ground_duels_lost,leftside_passes,goals_from_inside_box,successful_open_play_passes,total_successful_passes_excl_crosses_corners,aerial_duels,unsuccessful_lay_offs,duels_lost,tackles_lost,interceptions,ground_duels_won,source_category_general,average_speed,top_speed,accurate_pass,accurate_forward_pass,total_pass,cross,assists_average_over_90_minutes,accurate_long_balls,turnover,cross_attempts,long_pass_attempts,long_passes_successful,medium_passes_successful,source_category_passing,gk_successful_distribution,unsuccessful_launches,set_pieces_goals,successful_corners_into_box,blocks,attempts_from_set_pieces,gk_unsuccessful_distribution,penalties_taken,clean_sheets,penalty_goals,penalties_conceded,own_goal_scored,clearances_off_the_line,through_balls,left_foot_goals,assists_intentional,goal_assists,headed_goals,last_man_tackle,saves_made,punches,catches,saves_made_from_outside_box,saves_made_parried,saves_made_from_inside_box,penalties_faced,saves_made_caught,crosses_not_claimed,goalkeeper_smother,drops,penalties_saved,saves_from_penalty,total_red_cards,red_cards_2nd_yellow,foul_won_penalty,other_goals,penalties_off_target,straight_red_cards
2016,nwsl::Football_Season::d2c9690effda46f698b046887407d1e7,nwsl::Football_Player::b58f51de59394e22b763518350c6a3c0,opta:Player:dx2cwi6giakekscdv70cpkp1x,nwsl::Football_Team::60d7d72f0a134943921fee199cca61a2,Boston Breakers,,,S. McCaffrey,Forward,USA,9,4,,USA,63,opta:Team:b8b7m094941l37s57ky5qydje,Breakers,BOS,Boston Breakers,US,38,2662,4,0,39,0,20,0,18,25,14,30,0,0,0,,52,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,30,2662,20,8,10,2,4,436,48,150,12,236,2,16,19,12,25,429,102,22,130,458,14,25,20,320,40,39,132,106,20,190,10,4,64,30,44,28,945,6,38,11,202,2,110,144,20,58,20,6,12,14,2,26,229,6,86,6,2,146,92,2,308,326,27,2,171,4,14,56,True,0,0,0,0,458,12,0,6,429,0,8,6,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,nwsl::Football_Season::d2c9690effda46f698b046887407d1e7,nwsl::Football_Player::4c46fffdcae6463c82689d0c5dba3084,opta:Player:2rsxbrc83nxa3ic6p7hd2rdud,nwsl::Football_Team::73ef53968527477284cdd9823cb9d5b4,FC Kansas City,,,Y. Averbuch,Midfielder,USA,14,3,,USA,8,opta:Team:84o73tduvg052h5xf8fp1kfpe,Kansas,KC,FC Kansas City,US,20,1788,3,0,17,0,9,0,31,18,5,0,1,0,0,,20,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,1788,6,,,19,3,920,6,35,2,156,115,8,8,4,7,288,543,36,145,957,1,18,1,611,16,17,260,194,7,167,3,2,76,20,18,104,1210,4,20,17,72,2,527,9,10,62,9,86,,5,20,,99,98,11,3,,30,201,1,679,697,27,1,37,5,24,42,True,0,0,0,0,957,0,0,86,288,0,201,86,0,True,1,43,2,1,7,13,2,1,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,nwsl::Football_Season::d2c9690effda46f698b046887407d1e7,nwsl::Football_Player::34a5810671a94cf784b4198422abfee2,opta:Player:dvkjopr8uepcvaza4d4lmo0yd,nwsl::Football_Team::60d7d72f0a134943921fee199cca61a2,Boston Breakers,,,K. Kallman,Defender,USA,5,2,,USA,13,opta:Team:b8b7m094941l37s57ky5qydje,Breakers,BOS,Boston Breakers,US,20,1800,0,0,0,0,0,0,21,9,18,0,0,0,0,,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1800,16,,,18,,807,,79,1,184,81,7,,8,13,219,458,28,126,848,,9,1,574,39,,207,230,5,112,,2,76,20,15,95,1116,,20,6,58,,439,5,10,69,,67,,18,24,,95,90,,,1,13,100,,617,641,37,,26,7,57,45,True,0,0,0,0,848,0,0,67,219,0,148,67,0,True,,44,,,11,,,,3,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2016,nwsl::Football_Season::d2c9690effda46f698b046887407d1e7,nwsl::Football_Player::b1c1d23e290f4c2cbce7696c8dc2428b,opta:Player:6g9v3mxjat3r8pximwk992twp,nwsl::Football_Team::96ba7b37bd8544a1a7329183459150ff,Portland Thorns,,,A. Kleiner,Defender,USA,30,2,,USA,65,opta:Team:446mp88j1vpk9iwui9fiifrp8,Thorns,POR,Portland Thorns,USA,18,1209,1,1,4,0,2,1,33,11,9,1,1,0,0,,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,1209,91,6,1,,,449,6,60,8,120,30,6,2,1,9,277,176,38,138,456,2,11,1,278,12,4,168,119,6,119,,60,43,12,18,68,804,,18,8,85,1,241,8,10,57,2,10,7,9,9,,103,24,19,,,37,36,,285,288,18,,46,5,23,48,True,0,0,0,0,456,7,0.07,10,277,0,40,10,0,True,,7,,,,,1,,6,,,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,
2016,nwsl::Football_Season::d2c9690effda46f698b046887407d1e7,nwsl::Football_Player::633dddd72e924526ac07df0a65df59d3,opta:Player:5yg4ks95qlwtgie8c0xik9ud,nwsl::Football_Team::73ef53968527477284cdd9823cb9d5b4,FC Kansas City,,,S. Hagen,Forward,USA,22,4,,USA,132,opta:Team:84o73tduvg052h5xf8fp1kfpe,Kansas,KC,FC Kansas City,USA,17,588,2,2,9,0,8,2,4,4,6,1,0,0,0,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,588,1,9,3,,1,138,2,54,1,66,3,2,1,1,15,72,34,5,47,149,7,4,,97,8,9,50,30,4,46,,1,8,8,2,6,205,,17,3,27,,41,21,10,22,8,2,1,6,11,,53,2,2,,,16,24,2,88,99,26,3,31,1,2,11,True,0,0,0,0,149,1,0.31,2,72,0,5,2,0,True,,,,,,,,,,,,,,,,2,2,1,,,,,,,,,,,,,,,,,,,,
2016,nwsl::Football_Season::d2c9690effda46f698b046887407d1e7,nwsl::Football_Player::32ca7b5a45224a07b33481b376aa6351,opta:Player:4bji7nr72zw8k792q16m51g45,nwsl::Football_Team::c83f2ca05aa84c738b5373f0d2a31b39,NJ/NY Gotham FC,,,M. Hayes,Forward,USA,11,4,,USA,117,opta:Team:bgkfdckqfqnfbmecbtz03n76d,Gotham FC,GFC,NJ/NY Gotham FC,US,16,749,3,0,10,0,6,0,19,6,8,6,0,0,0,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,749,4,8,1,,3,197,10,74,6,77,3,10,4,4,1,108,75,21,53,202,6,6,6,139,12,10,56,17,10,56,2,3,35,8,19,14,349,1,16,5,59,,48,25,10,37,6,7,6,8,2,2,62,3,14,,1,24,63,3,142,146,3,,25,2,12,35,True,0,0,0,0,202,6,0,7,108,0,10,7,0,True,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
2016,nwsl::Football_Season::d2c9690effda46f698b046887407d1e7,nwsl::Football_Player::8cabbe9a81254c53be638bf98a5e1f75,opta:Player:4ugb2oxe482b49bnljqaadii1,nwsl::Football_Team::73ef53968527477284cdd9823cb9d5b4,FC Kansas City,,,C. Kastor,Forward,USA,23,4,,USA,154,opta:Team:84o73tduvg052h5xf8fp1kfpe,Kansas,KC,FC Kansas City,USA,15,296,0,2,4,0,1,2,4,5,0,1,0,0,0,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,296,2,12,,,,62,,16,3,31,3,2,3,1,3,43,16,4,18,65,3,5,1,41,5,4,21,12,3,20,2,,9,3,2,4,117,,15,3,18,,20,15,10,7,1,3,3,,2,1,23,1,3,,,13,17,,41,44,5,,16,,4,5,True,0,0,0,0,65,3,0.61,3,43,0,6,3,0,True,,1,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,
2016,nwsl::Football_Season::d2c9690effda46f698b046887407d1e7,nwsl::Football_Player::d99fa3e8da5e4f6b8da2de3174e63f9a,opta:Player:ckrm5c1majf47iejtoifre0h5,nwsl::Football_Team::c83f2ca05aa84c738b5373f0d2a31b39,NJ/NY Gotham FC,,,K. Grubka,Defender,USA,13,2,,USA,44,opta:Team:bgkfdckqfqnfbmecbtz03n76d,Gotham FC,GFC,NJ/NY Gotham FC,US,15,1267,0,1,3,0,1,1,23,16,8,2,2,0,0,,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,1267,,1,,9,,530,1,37,,97,79,7,2,5,9,167,294,25,79,549,,16,1,343,15,3,158,62,2,87,,2,33,14,13,71,719,1,15,9,55,,273,6,10,45,1,48,,8,14,,78,70,,,,24,177,,374,391,23,,33,2,19,31,True,0,0,0,0,549,0,0.07,48,167,0,127,48,0,True,,48,,,10,,,,3,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,
2016,nwsl::Football_Season::d2c9690effda46f698b046887407d1e7,nwsl::Football_Player::1ee0b6326e4d47c581cf4ac075c411d5,opta:Player:9ed8g34eb1oo7iays3ah1ay95,nwsl::Football_Team::269e825b853f4b43a9d38390aa92bf6e,Chicago Stars FC,,,C. Walls,Forward,USA,12,4,,USA,111,opta:Team:dzxypx8djih58p668surbi4qm,Chicago Stars,CHI,Chicago Stars FC,US,13,767,1,0,10,0,7,0,5,10,4,8,0,0,0,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,767,,4,9,,1,212,6,65,,105,6,2,3,2,14,116,47,7,62,220,8,10,1,149,4,10,68,52,6,63,4,,18,9,8,12,305,1,13,4,42,1,47,23,10,24,7,3,,4,12,1,68,2,7,1,2,30,56,,145,152,26,2,44,2,1,12,True,0,0,0,0,220,0,0,3,116,0,9,3,0,True,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,nwsl::Football_Season::d2c9690effda46f698b046887407d1e7,nwsl::Football_Player::a018e00c1940460ebc076131463af982,opta:Player:3b8f2g09a7nrjzw2lnvsjipjp,nwsl::Football_Team::c83f2ca05aa84c738b5373f0d2a31b39,NJ/NY Gotham FC,,,S. Gordon,Midfielder,USA,2,3,,USA,129,opta:Team:bgkfdckqfqnfbmecbtz03n76d,Gotham FC,GFC,NJ/NY Gotham FC,US,11,444,0,0,4,0,1,0,8,2,1,1,0,0,0,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,444,1,6,,1,,170,2,35,1,56,6,5,3,2,3,62,71,9,39,171,4,2,,119,7,4,45,48,2,39,2,,21,5,6,9,223,2,11,2,21,,61,5,10,16,1,7,,1,7,,31,2,3,1,,12,27,,125,126,10,,15,1,7,9,True,0,0,0,0,171,0,0,7,62,0,13,7,0,True,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
