season,season_id,team_id,provider_id,official_name,short_name,acronym_name,media_name,country_code,team_type,games_played,total_points,total_wins,total_losses,total_draws,goals,goals_against,passes_accuracy,penalty_kick_taken,penalty_conceded,fouls_committed,fouls_suffered,total_offside,yellow_cards,red_cards,corners,total_distance_covered,avg_distance_covered,total_distance_covered_walking,average_distance_covered_walking,total_distance_covered_jogging,average_distance_covered_jogging,total_distance_covered_low_intensity_running,average_distance_covered_low_intensity_running,total_distance_covered_high_intensity_running,average_distance_covered_high_intensity_running,total_distance_covered_sprinting,average_distance_covered_sprinting,total_successful_final_third_pass,total_sub_goals,total_saves,average_possession,average_possession_time,crosses_complete_percentage,tackles_won_perc,aerial_duels_won_perc,duels_won_perc,defender_goals,midfielder_goals,forward_goals,total_shots,possession_percentage,total_fouls_won,unsuccessful_dribbles,putthrough_blocked_distribution,penalty_goals,headed_goals,unsuccessful_lay_offs,total_passes,crossing_accuracy,throw_ins_to_opposition_player,points_dropped_from_winning_positions,foul_won_penalty,total_unsuccessful_passes_excl_crosses_corners,shots_on_conceded_inside_box,throw_ins_to_own_player,shots_on_target_inc_goals,clean_sheets,hit_woodwork,passing_opp_half,successful_short_passes,tackles_lost,duels_won,goals_from_outside_box,blocks,goals_conceded_outside_box,total_clearances,aerial_duels_won,red_card_2nd_yellow,handballs_conceded,shots_on_conceded_outside_box,passing_accuracy,goals_conceded_inside_box,successful_open_play_passes,ground_duels_won,ground_duels,corners_won,penalties_taken,goal_assists,unsuccessful_launches,successful_lay_offs,total_fouls_conceded,unsuccessful_corners_into_box,gk_successful_distribution,successful_passes_opposition_half,penalties_off_target,unsuccessful_short_passes,interceptions,goals_from_inside_box,goal_conversion,tackle_success,total_shots_conceded,duels,unsuccessful_passes_own_half,offsides,aerial_duels,left_foot_goals,successful_crosses_open_play,points_gained_from_losing_positions,open_play_passes,right_foot_goals,unsuccessful_passes_opposition_half,foul_attempted_tackle,successful_long_passes,successful_crosses_corners,catches,key_passes_attempt_assists,goals_conceded,shooting_accuracy,corners_taken_incl_short_corners,unsuccessful_crosses_open_play,clearances_off_the_line,duels_lost,total_successful_passes_excl_crosses_corners,putthrough_blocked_distribution_won,attempts_from_set_pieces,unsuccessful_long_passes,recoveries,successful_launches,total_red_cards,aerial_duels_lost,blocked_shots,own_goals_conceded,gk_unsuccessful_distribution,penalties_conceded,successful_corners_into_box,tackles_won,drops,successful_passes_own_half,total_losses_of_possession,successful_dribbles,shots_off_target_inc_woodwork,ground_duels_lost,unsuccessful_crosses_corners,source_category_general,assists,total_attacking_assist,penalty_kick_goals,penalty_kick_percentage,total_scoring_attempts,on_target_scoring_attempts,accurate_shooting_percentage,corner_taken,source_category_attacking,accurate_pass,accurate_forward_pass,total_pass,accurate_pass_percentage,accurate_long_balls,long_ball_percentage,long_passes_successful,medium_passes_successful,source_category_passing,own_goals_accrued,set_pieces_goals,other_goals,last_man_tackle,penalties_saved,straight_red_cards
2016,nwsl::Football_Season::d2c9690effda46f698b046887407d1e7,nwsl::Football_Team::60d7d72f0a134943921fee199cca61a2,opta:Team:b8b7m094941l37s57ky5qydje,Boston Breakers,Breakers,BOS,Boston Breakers,US,,20,11,3,15,2,14,0,0,2,0,206,180,43,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,47,180,31,254,1,3,5,6849,25.57,167,8,2,2234,87,351,67,3,7,57.86,4067,77,741,2,50,8,412,179,1,10,50,67.38,39,4282,562,1192,67,2,7,419,34,206,44,171,2165,1,1376,320,12,8.97,77.42,296,1574,715,43,382,5,55,1,6240,6,1749,138,548,79,30,132,47,42.95,67,173,3,833,4615,104,11,858,987,145,1,203,38,1,91,5,19,264,2,2529,3297,70,89,630,230,True,7,7,1,50,156,67,43,67,True,0,0,7064,0,548,39,548,0,True,,,,,,
2016,nwsl::Football_Season::d2c9690effda46f698b046887407d1e7,nwsl::Football_Team::269e825b853f4b43a9d38390aa92bf6e,opta:Team:dzxypx8djih58p668surbi4qm,Chicago Stars,Chicago Stars,CHI,Chicago Stars,US,club,21,33,9,5,6,25,0,0,1,0,188,147,65,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,46,147,47,300,1,2,8,7428,21.19,173,7,1,2425,56,393,103,8,12,57.74,4459,58,767,5,59,3,387,154,,13,22,67.35,19,4743,613,1188,106,1,18,406,41,188,68,195,2329,,1496,303,20,11.79,84.32,248,1504,775,65,316,5,47,2,6930,17,1929,124,544,75,29,174,22,48.58,106,200,5,737,5003,164,4,929,1064,120,,162,48,,110,2,28,312,,2749,3531,109,109,575,279,True,18,18,1,100,212,103,49,106,True,0,0,7650,0,544,37,544,0,True,1,,,,,
2016,nwsl::Football_Season::d2c9690effda46f698b046887407d1e7,nwsl::Football_Team::73ef53968527477284cdd9823cb9d5b4,opta:Team:84o73tduvg052h5xf8fp1kfpe,FC Kansas City,Kansas,KC,FC Kansas City,US,,20,26,7,8,5,18,0,0,4,0,210,166,55,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,48,166,35,255,2,6,4,7176,25.63,183,4,4,2044,56,330,83,6,5,59.66,4653,63,800,4,46,4,363,158,1,9,45,71.52,16,4860,642,1278,89,4,11,236,28,210,59,233,2039,1,1381,251,14,9.33,83.55,244,1580,720,55,302,1,57,6,6719,10,1559,139,479,81,38,155,20,43.01,89,165,3,780,5132,124,18,663,1004,83,1,144,51,,69,2,22,320,2,3174,3146,109,110,636,235,True,11,11,2,50,193,83,43,89,True,0,0,7398,0,479,42,479,0,True,,2,1,,,
2016,nwsl::Football_Season::d2c9690effda46f698b046887407d1e7,nwsl::Football_Team::c83f2ca05aa84c738b5373f0d2a31b39,opta:Team:bgkfdckqfqnfbmecbtz03n76d,Gotham FC,Gotham FC,GFC,Gotham FC,US,club,20,26,7,8,5,24,0,0,4,0,163,179,80,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,47,179,14,226,3,4,3,7486,27.27,184,12,4,2056,56,324,84,5,5,62.38,4929,50,743,6,51,6,374,147,,10,38,72.54,24,5130,596,1118,76,4,14,255,16,163,43,153,2249,,1388,277,18,14.2,86.34,255,1416,754,80,298,4,61,9,6963,15,1542,117,501,90,33,138,30,49.7,76,188,1,673,5430,115,9,668,974,102,,151,36,,113,2,26,316,1,3271,3088,70,85,522,240,True,14,14,3,75,169,84,50,76,True,0,0,7710,0,501,43,501,0,True,1,,,1,,
2016,nwsl::Football_Season::d2c9690effda46f698b046887407d1e7,nwsl::Football_Team::ca3f464d6b794a9087d441d75961403f,opta:Team:c3v2ohfuzoqmc8ljm65hi80sj,Houston Dash,Dash,HOU,Houston Dash,US,club,20,22,6,10,4,29,0,0,1,0,177,161,90,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,50,161,47,235,1,1,,7909,24.24,118,7,1,2170,59,378,103,2,4,62.76,5196,53,778,7,49,6,289,168,,9,38,72.56,23,5432,610,1209,91,1,23,221,38,177,54,161,2540,,1482,236,22,13.24,85.75,239,1553,715,90,344,12,62,5,7424,16,1730,130,543,88,27,184,29,47.03,91,215,1,775,5739,113,8,688,1051,83,,176,70,2,102,2,25,319,3,3287,3270,99,116,599,275,True,23,23,1,100,219,103,47,91,True,0,0,8165,0,543,44,543,0,True,,,,,,
2016,nwsl::Football_Season::d2c9690effda46f698b046887407d1e7,nwsl::Football_Team::c3e9513e280b41e5bfbb8230076e8c43,opta:Team:966pdxhsoxaib9qt5083h8uus,Orlando Pride,Pride,ORL,Orlando Pride,US,club,20,19,6,13,1,20,0,0,0,0,179,212,42,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,52,212,71,265,,1,15,8132,22.42,153,14,,2249,63,433,86,4,4,60.6,5291,68,792,9,44,6,278,202,,12,40,72.34,24,5518,590,1170,88,,11,302,57,179,54,196,2517,,1482,274,11,12.05,78.34,252,1559,662,42,389,7,45,3,7564,11,1850,111,592,76,20,129,30,51.81,88,191,1,767,5883,128,21,767,1034,111,,187,37,1,86,2,23,246,1,3442,3369,80,80,580,263,True,11,11,0,0,166,86,52,88,True,0,0,8333,0,592,44,592,0,True,1,4,,1,,
2016,nwsl::Football_Season::d2c9690effda46f698b046887407d1e7,nwsl::Football_Team::96ba7b37bd8544a1a7329183459150ff,opta:Team:446mp88j1vpk9iwui9fiifrp8,Portland Thorns,Thorns,POR,Portland Thorns,US,club,21,41,12,3,5,38,0,0,4,0,243,195,65,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,51,195,45,263,4,11,3,8216,30.21,194,4,4,2350,66,362,108,7,6,61.02,5170,82,847,3,43,3,366,209,1,7,23,71.4,20,5544,638,1321,92,4,24,281,19,243,51,176,2526,,1523,290,35,19.0,78.31,247,1730,800,65,409,10,58,13,7623,15,1781,166,696,100,43,142,23,54.0,92,163,,883,5866,137,13,827,1183,137,1,200,41,,94,1,30,296,2,3440,3501,85,92,683,231,True,24,24,4,100,200,108,54,92,True,0,0,8408,0,696,46,696,0,True,1,,1,,1,
2016,nwsl::Football_Season::d2c9690effda46f698b046887407d1e7,nwsl::Football_Team::1151140adfc24339ba1c93cb0b6b0238,opta:Team:bl53jk6zlfe5f583pil7xzwi5,Seattle Reign,Reign,SEA,Seattle Reign,US,club,20,30,8,6,6,29,0,0,3,0,145,163,69,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,58,163,27,276,3,4,9,9814,22.12,161,7,3,2321,56,487,102,8,7,65.34,6777,57,707,4,52,2,322,147,,9,32,76.35,19,7157,560,1105,78,3,18,250,56,145,49,170,3287,,1570,268,25,15.34,82.73,222,1397,615,69,292,9,44,4,9348,15,1956,83,716,71,15,151,21,53.97,78,194,3,690,7493,119,9,751,1056,94,1,145,36,,49,3,21,273,,4277,3430,81,87,545,250,True,18,18,3,100,189,102,54,78,True,0,0,10013,0,716,49,716,0,True,1,1,,,1,1
2016,nwsl::Football_Season::d2c9690effda46f698b046887407d1e7,nwsl::Football_Team::c31d72afc09f42ee86418633aa41390a,opta:Team:f1ks82wpiewyqs6h3oz9v4hzj,Washington Spirit,Spirit,WAS,Washington Spirit,US,club,22,39,12,5,3,34,0,0,3,0,166,194,64,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,54,194,46,294,2,5,12,9289,23.29,173,4,3,2774,62,463,111,7,6,62.3,5961,72,834,6,53,5,352,177,,16,49,70.14,19,6268,657,1270,132,3,20,373,88,166,90,109,3275,1,1866,304,28,14.91,80.7,273,1674,852,64,404,9,56,,8685,20,2248,95,554,99,34,193,24,48.68,132,216,1,840,6515,153,6,908,1250,118,,227,75,1,155,3,32,301,4,3339,4071,106,117,613,326,True,20,20,2,67,228,111,49,132,True,0,0,9529,0,554,38,554,0,True,,,,,,
2016,nwsl::Football_Season::d2c9690effda46f698b046887407d1e7,nwsl::Football_Team::f293999870b84052be7faf214317b3e9,opta:Team:1e01hujrb8e4teqkouqsi6qqc,Western New York Flash,Flash,WNY,Western New York Flash,US,,22,32,9,6,5,46,0,0,5,0,227,180,50,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,46,180,70,290,4,9,12,7181,29.43,258,2,5,2686,55,454,151,5,19,53.71,3826,65,903,4,51,7,296,292,1,22,50,62.6,24,4192,611,1313,135,5,32,444,26,227,63,147,2500,1,1742,278,42,15.23,80.6,248,1848,679,50,535,11,107,11,6665,26,2417,140,669,171,35,217,31,50.0,135,327,2,945,4495,172,10,944,1072,172,1,243,59,,70,5,58,270,2,2166,4145,119,151,702,410,True,32,32,4,80,302,151,50,135,True,0,0,7545,0,669,41,669,0,True,,,,,,
