season,season_id,team_id,provider_id,official_name,short_name,acronym_name,media_name,country_code,team_type,games_played,total_points,total_wins,total_losses,total_draws,goals,goals_against,passes_accuracy,penalty_kick_taken,penalty_conceded,fouls_committed,fouls_suffered,total_offside,yellow_cards,red_cards,corners,total_distance_covered,avg_distance_covered,total_distance_covered_walking,average_distance_covered_walking,total_distance_covered_jogging,average_distance_covered_jogging,total_distance_covered_low_intensity_running,average_distance_covered_low_intensity_running,total_distance_covered_high_intensity_running,average_distance_covered_high_intensity_running,total_distance_covered_sprinting,average_distance_covered_sprinting,total_successful_final_third_pass,total_sub_goals,total_saves,average_possession,average_possession_time,crosses_complete_percentage,tackles_won_perc,aerial_duels_won_perc,duels_won_perc,defender_goals,midfielder_goals,forward_goals,total_shots,possession_percentage,total_fouls_won,unsuccessful_dribbles,putthrough_blocked_distribution,penalty_goals,headed_goals,unsuccessful_lay_offs,total_passes,crossing_accuracy,throw_ins_to_opposition_player,points_dropped_from_winning_positions,foul_won_penalty,total_unsuccessful_passes_excl_crosses_corners,shots_on_conceded_inside_box,throw_ins_to_own_player,shots_on_target_inc_goals,clean_sheets,hit_woodwork,passing_opp_half,successful_short_passes,own_goals_accrued,tackles_lost,duels_won,goals_from_outside_box,blocks,straight_red_cards,goals_conceded_outside_box,total_clearances,aerial_duels_won,handballs_conceded,shots_on_conceded_outside_box,passing_accuracy,goals_conceded_inside_box,successful_open_play_passes,ground_duels_won,ground_duels,corners_won,penalties_taken,goal_assists,unsuccessful_launches,successful_lay_offs,total_fouls_conceded,unsuccessful_corners_into_box,gk_successful_distribution,successful_passes_opposition_half,unsuccessful_short_passes,interceptions,goals_from_inside_box,goal_conversion,tackle_success,total_shots_conceded,duels,unsuccessful_passes_own_half,offsides,aerial_duels,left_foot_goals,successful_crosses_open_play,points_gained_from_losing_positions,open_play_passes,right_foot_goals,unsuccessful_passes_opposition_half,foul_attempted_tackle,successful_long_passes,successful_crosses_corners,catches,key_passes_attempt_assists,goals_conceded,shooting_accuracy,corners_taken_incl_short_corners,unsuccessful_crosses_open_play,clearances_off_the_line,duels_lost,total_successful_passes_excl_crosses_corners,putthrough_blocked_distribution_won,attempts_from_set_pieces,unsuccessful_long_passes,recoveries,successful_launches,total_red_cards,aerial_duels_lost,blocked_shots,own_goals_conceded,gk_unsuccessful_distribution,penalties_conceded,successful_corners_into_box,tackles_won,drops,successful_passes_own_half,total_losses_of_possession,successful_dribbles,shots_off_target_inc_woodwork,ground_duels_lost,unsuccessful_crosses_corners,source_category_general,assists,total_attacking_assist,penalty_kick_goals,penalty_kick_percentage,total_scoring_attempts,on_target_scoring_attempts,accurate_shooting_percentage,corner_taken,source_category_attacking,accurate_pass,accurate_forward_pass,total_pass,accurate_pass_percentage,accurate_long_balls,long_ball_percentage,long_passes_successful,medium_passes_successful,source_category_passing,penalties_off_target,red_card_2nd_yellow,penalties_saved,set_pieces_goals,last_man_tackle,other_goals
2017,nwsl::Football_Season::94c1960d277841139f67628f8a71ff79,nwsl::Football_Team::60d7d72f0a134943921fee199cca61a2,opta:Team:b8b7m094941l37s57ky5qydje,Boston Breakers,Breakers,BOS,Boston Breakers,US,,24,19,4,13,7,24,0,0,1,0,261,203,47,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,48,203,151,388,1,7,24,9014,23.7,149,9,1,2476,99,427,83,6,9,61.42,5821,2,123,1079,3,67,1,4,531,286,17,46,72.53,31,6153,793,1684,107,1,17,356,180,261,61,186,2831,1614,436,21,12.37,73.49,336,2266,758,47,582,3,61,3,8358,12,2027,128,717,96,17,175,35,42.78,107,233,5,1187,6538,180,6,862,1525,151,1,296,71,1,120,2,28,341,2,3803,4007,144,111,891,309,True,17,17,1,100,194,83,43,107,True,0,0,9271,0,717,45,717,0,True,,,,,,
2017,nwsl::Football_Season::94c1960d277841139f67628f8a71ff79,nwsl::Football_Team::269e825b853f4b43a9d38390aa92bf6e,opta:Team:dzxypx8djih58p668surbi4qm,Chicago Stars,Chicago Stars,CHI,Chicago Stars,US,club,25,39,11,7,6,33,0,0,6,0,257,209,79,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,47,209,145,494,4,4,33,9145,21.08,157,8,6,2814,75,494,125,6,11,61.52,5745,1,149,1177,3,87,1,4,674,331,28,33,69.23,27,6010,846,1655,108,6,20,457,204,257,69,220,3326,1761,443,30,13.1,71.29,303,2353,792,79,698,12,64,9,8531,16,2374,118,586,94,30,202,31,49.6,108,268,4,1176,6331,270,11,1053,1741,162,1,367,62,,117,5,25,370,4,3099,4420,136,127,809,352,True,20,20,4,67,252,125,50,108,True,0,0,9449,0,586,36,586,0,True,1,,,,,
2017,nwsl::Football_Season::94c1960d277841139f67628f8a71ff79,nwsl::Football_Team::73ef53968527477284cdd9823cb9d5b4,opta:Team:84o73tduvg052h5xf8fp1kfpe,FC Kansas City,Kansas,KC,FC Kansas City,US,,24,31,8,9,7,29,0,0,0,0,241,216,58,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,49,216,147,424,,6,28,10148,23.76,101,14,,2675,91,529,102,6,6,62.65,6891,,165,1150,5,79,1,7,588,280,14,40,73.64,24,7053,870,1698,83,,26,314,138,241,44,305,3117,1819,419,24,12.08,67.96,357,2234,860,58,536,5,43,9,9508,18,2046,150,582,72,27,188,31,42.5,83,176,5,1084,7473,198,12,856,1592,122,3,256,61,,94,4,26,350,,4428,3958,151,138,828,231,True,26,26,0,0,240,102,42,83,True,0,0,10329,0,582,40,582,0,True,,2,1,1,,
2017,nwsl::Football_Season::94c1960d277841139f67628f8a71ff79,nwsl::Football_Team::c83f2ca05aa84c738b5373f0d2a31b39,opta:Team:bgkfdckqfqnfbmecbtz03n76d,Gotham FC,Gotham FC,GFC,Gotham FC,US,club,24,33,10,11,3,42,0,0,10,0,210,203,69,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,51,203,138,416,6,7,29,10452,23.64,141,12,10,2661,112,509,141,3,7,65.06,7124,,133,1086,1,78,,5,483,268,13,34,74.54,46,7475,818,1620,113,10,29,465,176,210,76,172,3653,1742,376,41,16.09,73.08,344,2167,755,69,547,7,68,15,9865,28,2242,122,667,104,17,201,51,54.02,113,249,4,1081,7791,172,8,919,1549,173,,279,60,3,135,6,34,361,3,4242,4100,139,120,802,336,True,29,29,6,60,261,141,54,113,True,0,0,10740,0,667,42,667,0,True,2,,3,,1,
2017,nwsl::Football_Season::94c1960d277841139f67628f8a71ff79,nwsl::Football_Team::ca3f464d6b794a9087d441d75961403f,opta:Team:c3v2ohfuzoqmc8ljm65hi80sj,Houston Dash,Dash,HOU,Houston Dash,US,club,24,24,7,14,3,23,0,0,2,0,223,236,84,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,50,236,131,384,2,3,22,10035,23.45,102,2,2,2356,92,422,136,5,10,68.67,6966,,134,1195,3,89,2,2,504,300,6,29,76.52,37,7281,895,1704,112,2,16,349,194,223,56,221,3717,1512,411,20,8.16,73.88,360,2282,700,84,578,5,51,4,9408,15,1940,131,713,87,12,256,39,48.23,112,210,3,1087,7679,191,10,844,1521,131,2,278,70,2,104,4,34,379,1,4049,3645,158,146,809,284,True,16,16,2,100,282,136,48,112,True,0,0,10252,0,713,46,713,0,True,,,1,,1,
2017,nwsl::Football_Season::94c1960d277841139f67628f8a71ff79,nwsl::Football_Team::fb41ef4439dd495098cb6d40415767cc,opta:Team:b4fbmos00gxtk8qnaqsm392p5,North Carolina Courage,Courage,NC,North Carolina Courage,US,club,26,49,16,7,1,39,0,0,4,0,270,238,45,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340,48,238,212,445,2,4,24,9315,27.57,222,5,4,3028,60,586,148,13,12,59.25,5673,1,126,1289,4,40,,2,410,384,14,23,67.49,21,5885,905,1873,180,4,27,414,154,270,75,201,3449,2049,417,35,11.47,75.77,216,2562,761,45,689,5,66,3,8663,29,2669,145,614,153,27,304,23,43.53,180,307,,1273,6287,200,8,979,1736,118,1,305,114,,86,1,85,394,4,2991,4862,162,192,968,402,True,27,27,2,50,340,148,44,180,True,0,0,9554,0,614,39,614,0,True,,1,,1,1,
2017,nwsl::Football_Season::94c1960d277841139f67628f8a71ff79,nwsl::Football_Team::c3e9513e280b41e5bfbb8230076e8c43,opta:Team:966pdxhsoxaib9qt5083h8uus,Orlando Pride,Pride,ORL,Orlando Pride,US,club,25,40,11,6,7,46,0,0,4,0,212,255,54,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,53,255,175,383,3,5,10,10707,18.88,86,11,4,2382,80,569,134,4,10,69.52,7628,,121,1131,5,58,,3,529,306,16,31,77.75,32,7871,825,1724,149,4,31,273,164,212,91,219,3856,1604,328,41,17.16,70.91,294,2309,731,54,585,27,57,5,10051,14,2042,101,697,91,14,225,35,50.0,149,280,1,1178,8325,166,14,778,1449,117,,279,101,,91,8,27,295,,4560,4023,169,134,899,391,True,31,31,3,75,268,134,50,149,True,0,0,11009,0,697,47,697,0,True,,,1,1,,
2017,nwsl::Football_Season::94c1960d277841139f67628f8a71ff79,nwsl::Football_Team::96ba7b37bd8544a1a7329183459150ff,opta:Team:446mp88j1vpk9iwui9fiifrp8,Portland Thorns,Thorns,POR,Portland Thorns,US,club,26,47,14,5,5,42,0,0,7,0,295,264,69,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,53,264,165,473,5,8,24,11232,25.85,136,3,7,2870,65,494,118,12,11,62.69,7536,2,135,1297,4,81,,4,584,380,13,41,74.45,17,7915,917,1813,120,7,24,487,213,295,65,249,3470,1831,396,38,17.43,73.99,336,2511,868,69,698,4,63,6,10534,28,2306,159,826,106,39,199,21,48.96,120,211,,1214,8362,213,10,1039,1696,156,,318,81,,93,5,37,384,,4998,4398,146,123,896,304,True,24,24,5,71,241,118,49,120,True,0,0,11476,0,826,44,826,0,True,,,2,1,,
2017,nwsl::Football_Season::94c1960d277841139f67628f8a71ff79,nwsl::Football_Team::1151140adfc24339ba1c93cb0b6b0238,opta:Team:bl53jk6zlfe5f583pil7xzwi5,Seattle Reign,Reign,SEA,Seattle Reign,US,club,24,34,9,8,7,43,0,0,6,0,202,207,81,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,52,207,97,466,5,4,18,10580,19.63,124,13,6,2754,98,570,122,3,7,62.6,7162,2,136,987,6,92,1,1,563,229,15,39,73.97,36,7384,758,1505,138,6,27,416,159,202,100,255,3283,1805,395,37,17.7,71.13,401,2037,843,81,532,8,51,12,9977,27,2259,106,664,85,21,188,37,50.21,138,233,3,1050,7826,224,10,949,1455,149,1,303,57,1,90,4,29,335,1,4628,4175,94,121,747,348,True,27,27,5,83,243,122,50,138,True,0,0,10840,0,664,41,664,0,True,,,,1,1,2
2017,nwsl::Football_Season::94c1960d277841139f67628f8a71ff79,nwsl::Football_Team::c31d72afc09f42ee86418633aa41390a,opta:Team:f1ks82wpiewyqs6h3oz9v4hzj,Washington Spirit,Spirit,WAS,Washington Spirit,US,club,24,19,5,15,4,30,0,0,3,0,223,207,55,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,48,207,125,439,3,3,24,9253,19.83,183,18,3,2832,100,483,111,2,14,63.83,5882,1,105,1027,3,68,,5,489,252,17,41,69.39,43,6067,775,1530,129,3,17,470,143,223,77,168,3735,1858,425,27,13.16,77.32,351,2118,754,55,588,8,34,7,8550,17,2353,107,539,68,17,209,48,48.68,129,181,3,1091,6421,198,11,974,1490,171,,336,74,2,141,4,25,358,1,2754,4329,121,117,755,275,True,17,17,3,100,228,111,49,129,True,0,0,9424,0,539,36,539,0,True,,,1,,1,1
