season,season_id,player_id,provider_id,team_team_id,team_official_name,media_first_name,media_last_name,short_name,role_label,nationality,bib_number,role,display_name,nationality_iso_code,rank_label,team_provider_id,team_short_name,team_acronym_name,team_media_name,team_country_code,games_played,minutes_played,goals,assists,total_scoring_attempts,goal_involvements,on_target_scoring_attempts,total_attacking_assist,tackles_won,fouls_committed,fouls_suffered,total_offside,yellow_cards,red_cards,aerials_won_perc,accurate_pass_percentage,goals_conceded,goals_against_average,corners,goals_free_kick,hit_woodwork,penalty_attempts,penalties_successful,yellow_red_cards,xg,xgefficiency,tackles_won_perc,duels_won_perc,aerial_duels_won_perc,crosses_complete_percentage,total_distance_covered,avg_distance_covered,total_distance_covered_walking,average_distance_covered_walking,total_distance_covered_jogging,average_distance_covered_jogging,total_distance_covered_low_intensity_running,average_distance_covered_low_intensity_running,total_distance_covered_sprinting,average_distance_covered_sprinting,total_distance_covered_high_intensity_running,average_distance_covered_high_intensity_running,sprints,unsuccessful_crosses_open_play,offsides,time_played,throw_ins_to_own_player,substitute_on,successful_launches,open_play_passes,corners_won,backward_passes,successful_crosses_corners,successful_passes_opposition_half,unsuccessful_launches,unsuccessful_long_passes,putthrough_blocked_distribution_won,shots_off_target_inc_woodwork,goals_conceded_outside_box,aerial_duels_lost,total_losses_of_possession,successful_passes_own_half,total_tackles,unsuccessful_short_passes,total_passes,substitute_off,total_fouls_conceded,successful_dribbles,successful_short_passes,goals_conceded_inside_box,total_shots,total_unsuccessful_passes_excl_crosses_corners,rightside_passes,key_passes_attempt_assists,unsuccessful_passes_opposition_half,throw_ins_to_opposition_player,recoveries,starts,putthrough_blocked_distribution,unsuccessful_passes_own_half,touches,appearances,foul_attempted_tackle,blocks,ground_duels,forward_passes,total_touches_in_opposition_box,index,duels_won,shots_on_target_inc_goals,successful_long_passes,successful_crosses_open_play,total_fouls_won,aerial_duels_won,unsuccessful_dribbles,duels,total_clearances,unsuccessful_crosses_corners,handballs_conceded,ground_duels_lost,leftside_passes,successful_open_play_passes,total_successful_passes_excl_crosses_corners,aerial_duels,clean_sheets,duels_lost,tackles_lost,interceptions,ground_duels_won,source_category_general,average_speed,top_speed,accurate_pass,accurate_forward_pass,total_pass,cross,assists_average_over_90_minutes,accurate_long_balls,turnover,cross_attempts,long_pass_attempts,long_passes_successful,medium_passes_successful,source_category_passing,successful_lay_offs,through_balls,foul_won_penalty,unsuccessful_lay_offs,goal_assists,penalties_conceded,blocked_shots,assists_intentional,successful_corners_into_box,corners_taken_incl_short_corners,unsuccessful_corners_into_box,right_foot_goals,gk_unsuccessful_distribution,goals_from_inside_box,saves_made,gk_successful_distribution,punches,catches,saves_made_from_outside_box,saves_made_parried,saves_made_from_inside_box,drops,saves_made_caught,goals_from_outside_box,left_foot_goals,headed_goals,penalties_taken,penalty_goals,attempts_from_set_pieces,clearances_off_the_line,crosses_not_claimed,penalties_saved,goalkeeper_smother,penalties_faced,saves_from_penalty,last_man_tackle,second_goal_assists,own_goal_scored,penalties_off_target,set_pieces_goals,total_red_cards,straight_red_cards,other_goals
2018,nwsl::Football_Season::3d604e1786094afea81f7580f011e732,nwsl::Football_Player::b1c1d23e290f4c2cbce7696c8dc2428b,opta:Player:6g9v3mxjat3r8pximwk992twp,nwsl::Football_Team::96ba7b37bd8544a1a7329183459150ff,Portland Thorns,,,A. Kleiner,Defender,USA,30,2,,USA,110,opta:Team:446mp88j1vpk9iwui9fiifrp8,Thorns,POR,Portland Thorns,USA,10,414,0,0,2,0,1,0,7,6,5,2,1,0,0,,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,414,36,6,1,135,1,23,1,29,12,18,6,1,2,4,94,51,18,39,136,1,6,3,75,3,2,57,14,2,41,6,33,4,17,26,267,10,5,1,42,64,4,10,30,1,4,1,5,5,1,51,9,10,1,17,35,78,79,9,2,21,11,2,25,True,0,0,0,0,136,1,0,4,94,0,22,4,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,nwsl::Football_Season::3d604e1786094afea81f7580f011e732,nwsl::Football_Player::404d296f2db3430fa708712e6accb043,opta:Player:3uysozs12id1wskn39dqsn9p1,nwsl::Football_Team::269e825b853f4b43a9d38390aa92bf6e,Chicago Stars FC,,,M. Dalton,Goalkeeper,USA,18,1,,USA,152,opta:Team:dzxypx8djih58p668surbi4qm,Chicago Stars,CHI,Chicago Stars FC,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,nwsl::Football_Season::3d604e1786094afea81f7580f011e732,nwsl::Football_Player::a2419a96148f403cb151257a7d02d49c,opta:Player:d3ru8c2701kc4jq2c241d1v4l,nwsl::Football_Team::c83f2ca05aa84c738b5373f0d2a31b39,NJ/NY Gotham FC,,,M. Morris,Forward,USA,32,4,,USA,151,opta:Team:bgkfdckqfqnfbmecbtz03n76d,Gotham FC,GFC,NJ/NY Gotham FC,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,nwsl::Football_Season::3d604e1786094afea81f7580f011e732,nwsl::Football_Player::989bad2146034993b95111ac086931b3,opta:Player:51n7w1qor95qwacbcd2sap8q2,nwsl::Football_Team::ca3f464d6b794a9087d441d75961403f,Houston Dash,Michaela-Batya Bisi,Abam,M. Abam,Forward,Cameroon,34,4,,CMR,140,opta:Team:c3v2ohfuzoqmc8ljm65hi80sj,Dash,HOU,Houston Dash,USA,4,50,0,0,1,0,0,0,0,1,0,2,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,50,,4,,15,,4,,4,1,1,1,1,,3,15,4,,7,16,,1,2,8,1,1,8,3,1,10,,3,,1,1,28,4,1,,6,6,2,10,3,,,,,1,,10,,3,,4,3,7,8,4,,7,,1,2,True,0,0,0,0,16,0,0,0,15,0,1,0,0,True,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,nwsl::Football_Season::3d604e1786094afea81f7580f011e732,nwsl::Football_Player::0ea5a80af72f46e28cbb3277ca4d3193,opta:Player:e4yp0xwlmsjy50bc3v2u6pbkl,nwsl::Football_Team::1151140adfc24339ba1c93cb0b6b0238,Seattle Reign,Elizabeth,Addo,E. Addo,Forward,Ghana,11,4,,GHA,92,opta:Team:bl53jk6zlfe5f583pil7xzwi5,Reign,SEA,Seattle Reign,US,13,698,0,1,7,0,2,1,13,22,24,3,2,0,0,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,698,3,5,,255,8,54,,109,,3,4,5,2,17,184,72,21,73,257,5,22,27,179,7,7,76,36,9,64,,79,8,9,16,491,13,14,1,155,83,43,10,85,2,2,,24,13,18,185,3,4,2,83,84,179,181,30,1,100,8,16,72,True,0,0,0,0,257,0,0.13,2,184,0,5,2,0,True,5,4,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,nwsl::Football_Season::3d604e1786094afea81f7580f011e732,nwsl::Football_Player::27bc115157c2441ea2092b2560ca1950,opta:Player:s8dx6qb18fq6gff8ufjzd0wl,nwsl::Football_Team::c31d72afc09f42ee86418633aa41390a,Washington Spirit,Yanara Katherine Nicole,Aedo Muñoz,Y. Aedo,Forward,Chile,27,4,,CHL,153,opta:Team:f1ks82wpiewyqs6h3oz9v4hzj,Spirit,WAS,Washington Spirit,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,nwsl::Football_Season::3d604e1786094afea81f7580f011e732,nwsl::Football_Player::1276f005480e4a24b7bbf77e97b09fd4,opta:Player:4x5sks5f5hgorl2cburji1ped,nwsl::Football_Team::fb41ef4439dd495098cb6d40415767cc,North Carolina Courage,Lindsay Elizabeth,Agnew,L. Agnew,Forward,Canada,20,4,,CAN,102,opta:Team:b4fbmos00gxtk8qnaqsm392p5,Courage,NC,North Carolina Courage,USA,12,609,0,1,1,0,0,1,11,14,3,0,0,0,0,,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,,609,22,6,3,211,2,23,1,50,9,16,,1,,9,108,102,17,47,214,2,14,4,147,13,1,63,39,4,43,16,57,6,5,29,343,12,9,6,57,109,5,10,28,,4,1,3,4,7,70,11,9,,33,43,149,151,13,1,42,6,8,24,True,0,0,0,0,214,1,0.15,4,108,0,20,4,0,True,,,,,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,nwsl::Football_Season::3d604e1786094afea81f7580f011e732,nwsl::Football_Player::65345eaea5584a9f9e6c198bd975eecd,opta:Player:55xhr0l9dwjnahav66lh49djp,nwsl::Football_Team::1151140adfc24339ba1c93cb0b6b0238,Seattle Reign,Morgan,Andrews,M. Andrews,Midfielder,USA,12,3,,USA,78,opta:Team:bl53jk6zlfe5f583pil7xzwi5,Reign,SEA,Seattle Reign,US,16,773,0,0,6,0,1,0,11,15,7,0,1,0,0,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,,773,,9,2,387,2,84,1,135,10,34,4,5,3,25,160,133,14,89,390,4,15,5,244,6,6,123,61,5,101,,44,7,11,30,525,16,4,3,54,174,10,10,65,1,23,,7,41,1,120,17,8,2,30,71,264,267,66,1,55,3,19,24,True,0,0,0,0,390,0,0,23,160,0,57,23,0,True,10,1,,1,,,3,,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,nwsl::Football_Season::3d604e1786094afea81f7580f011e732,nwsl::Football_Player::6e446237f3374a319e49d075217bd799,opta:Player:5qvgs8yefgkayj9yt1kidkcfd,nwsl::Football_Team::c31d72afc09f42ee86418633aa41390a,Washington Spirit,Estefanía,Banini,E. Banini,Midfielder,Argentina,26,3,,ARG,72,opta:Team:f1ks82wpiewyqs6h3oz9v4hzj,Spirit,WAS,Washington Spirit,USA,12,891,1,0,16,0,9,0,14,5,21,0,0,0,0,,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,,891,9,1,,445,1,102,6,220,1,10,15,7,3,16,196,127,20,98,449,7,5,24,334,10,16,108,108,14,84,,90,11,32,32,685,12,3,2,116,156,20,10,74,9,7,3,21,11,15,143,4,8,,53,83,339,341,27,2,69,6,11,63,True,0,0,0,0,449,3,0,7,196,0,17,7,0,True,27,1,1,2,,,7,,3,5,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,nwsl::Football_Season::3d604e1786094afea81f7580f011e732,nwsl::Football_Player::4e3e0c90f6d84e75ae44f0ed0c6cbe7f,opta:Player:5fkw18yxmk3wccr46kjtoz5xx,nwsl::Football_Team::c3e9513e280b41e5bfbb8230076e8c43,Orlando Pride,Poliana,Barbosa Medeiros,Poliana,Defender,Brazil,19,2,,BRA,87,opta:Team:966pdxhsoxaib9qt5083h8uus,Pride,ORL,Orlando Pride,USA,10,694,0,0,5,0,2,0,9,5,3,1,0,0,0,,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,694,75,2,7,323,2,32,3,106,24,41,5,3,1,9,173,116,15,65,325,2,5,9,210,12,5,106,40,3,78,18,40,8,15,41,582,10,,3,62,167,10,10,38,2,9,3,3,11,9,82,20,13,,35,86,217,219,20,2,44,6,37,27,True,0,0,0,0,325,3,0,9,173,0,50,9,0,True,2,1,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,nwsl::Football_Season::3d604e1786094afea81f7580f011e732,nwsl::Football_Player::5ae4cbaf5a2f45eaa9c280ff2b6cec7f,opta:Player:7lt9nze7e2mk2hlp9dkvabkyd,nwsl::Football_Team::1151140adfc24339ba1c93cb0b6b0238,Seattle Reign,Lauren,Barnes,L. Barnes,Defender,USA,3,2,,USA,7,opta:Team:bl53jk6zlfe5f583pil7xzwi5,Reign,SEA,Seattle Reign,US,20,1769,0,0,4,0,1,0,18,12,9,0,2,0,0,,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1769,12,1,29,1059,3,88,3,206,90,157,11,3,2,21,310,609,28,130,1099,1,12,7,701,11,4,287,307,5,153,3,103,19,29,138,1381,20,7,17,74,583,1,10,71,1,111,2,9,28,1,123,101,4,1,31,121,782,812,49,10,52,10,47,43,True,0,0,0,0,1099,2,0,111,310,0,268,111,0,True,,,,,,,,,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,nwsl::Football_Season::3d604e1786094afea81f7580f011e732,nwsl::Football_Player::fbfe7392b0744bb6a8d7826010fe0a6e,opta:Player:1vm9mztp9ro7cnp6boinc7phx,nwsl::Football_Team::c31d72afc09f42ee86418633aa41390a,Washington Spirit,Nicole,Barnhart,N. Barnhart,Goalkeeper,USA,28,1,,USA,100,opta:Team:f1ks82wpiewyqs6h3oz9v4hzj,Spirit,WAS,Washington Spirit,US,8,648,0,0,0,0,0,0,0,0,1,0,0,0,0,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,648,,1,6,109,,,,11,27,69,,,1,,77,139,,4,223,,,,122,4,,73,27,,37,,91,7,,36,298,8,,,,140,,10,4,,28,,1,4,,4,4,,,,56,86,150,4,3,,,,,True,0,0,0,0,223,0,0,28,77,0,97,28,0,True,,,,,,,,,,,,,22,,19,91,1,6,5,3,14,,,,,,,,,,,,,,,,,,,,,,
