season,season_id,player_id,provider_id,team_team_id,team_official_name,media_first_name,media_last_name,short_name,role_label,nationality,bib_number,role,display_name,nationality_iso_code,rank_label,team_provider_id,team_short_name,team_acronym_name,team_media_name,team_country_code,games_played,minutes_played,goals,assists,total_scoring_attempts,goal_involvements,on_target_scoring_attempts,total_attacking_assist,tackles_won,fouls_committed,fouls_suffered,total_offside,yellow_cards,red_cards,aerials_won_perc,accurate_pass_percentage,goals_conceded,goals_against_average,corners,goals_free_kick,hit_woodwork,penalty_attempts,penalties_successful,yellow_red_cards,xg,xgefficiency,tackles_won_perc,duels_won_perc,aerial_duels_won_perc,crosses_complete_percentage,total_distance_covered,avg_distance_covered,total_distance_covered_walking,average_distance_covered_walking,total_distance_covered_jogging,average_distance_covered_jogging,total_distance_covered_low_intensity_running,average_distance_covered_low_intensity_running,total_distance_covered_sprinting,average_distance_covered_sprinting,total_distance_covered_high_intensity_running,average_distance_covered_high_intensity_running,sprints,unsuccessful_crosses_open_play,offsides,time_played,throw_ins_to_own_player,substitute_on,successful_launches,open_play_passes,corners_won,backward_passes,successful_crosses_corners,successful_passes_opposition_half,unsuccessful_launches,unsuccessful_long_passes,putthrough_blocked_distribution_won,goals_conceded_outside_box,aerial_duels_lost,total_losses_of_possession,successful_passes_own_half,total_tackles,unsuccessful_short_passes,total_passes,substitute_off,total_fouls_conceded,successful_dribbles,successful_short_passes,goals_conceded_inside_box,total_shots,total_unsuccessful_passes_excl_crosses_corners,rightside_passes,key_passes_attempt_assists,unsuccessful_passes_opposition_half,blocked_shots,throw_ins_to_opposition_player,recoveries,starts,putthrough_blocked_distribution,unsuccessful_passes_own_half,touches,appearances,foul_attempted_tackle,ground_duels,forward_passes,total_touches_in_opposition_box,index,duels_won,shots_on_target_inc_goals,successful_long_passes,successful_crosses_open_play,total_fouls_won,aerial_duels_won,unsuccessful_dribbles,duels,total_clearances,unsuccessful_crosses_corners,ground_duels_lost,leftside_passes,successful_open_play_passes,total_successful_passes_excl_crosses_corners,aerial_duels,clean_sheets,duels_lost,tackles_lost,interceptions,ground_duels_won,source_category_general,average_speed,top_speed,accurate_pass,accurate_forward_pass,total_pass,cross,assists_average_over_90_minutes,accurate_long_balls,turnover,cross_attempts,long_pass_attempts,long_passes_successful,medium_passes_successful,source_category_passing,penalties_conceded,successful_lay_offs,shots_off_target_inc_woodwork,successful_corners_into_box,corners_taken_incl_short_corners,catches,unsuccessful_corners_into_box,handballs_conceded,own_goal_scored,penalty_goals_conceded,blocks,saves_made,gk_successful_distribution,punches,goalkeeper_smother,saves_made_from_outside_box,saves_made_parried,saves_made_from_inside_box,penalties_faced,saves_made_caught,gk_unsuccessful_distribution,unsuccessful_lay_offs,winning_goal,drops,right_foot_goals,left_foot_goals,headed_goals,second_goal_assists,assists_intentional,goals_from_inside_box,penalties_taken,goal_assists,through_balls,times_tackled,attempts_from_set_pieces,foul_won_penalty,crosses_not_claimed,set_pieces_goals,goals_from_outside_box,last_man_tackle,penalties_saved,saves_from_penalty,total_red_cards,straight_red_cards,penalty_goals,clearances_off_the_line,other_goals,penalties_off_target,red_cards_2nd_yellow
2019,nwsl::Football_Season::79664e9589084e1b83d2dec2c279c18c,nwsl::Football_Player::1276f005480e4a24b7bbf77e97b09fd4,opta:Player:4x5sks5f5hgorl2cburji1ped,nwsl::Football_Team::fb41ef4439dd495098cb6d40415767cc,North Carolina Courage,Lindsay Elizabeth,Agnew,L. Agnew,Forward,Canada,20,4,,CAN,116,opta:Team:b4fbmos00gxtk8qnaqsm392p5,Courage,NC,North Carolina Courage,USA,7,373,0,0,1,0,1,0,8,7,3,1,2,0,0,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,373,40,2,1,145,1,24,3,31,5,11,4,1,7,64,78,14,29,146,4,7,3,103,3,1,40,45,1,24,1,6,21,5,7,20,269,7,2,35,53,4,10,23,1,3,3,3,3,1,45,6,4,15,24,105,106,10,1,22,6,8,20,True,0,0,0,0,146,3,0,3,64,0,14,3,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,nwsl::Football_Season::79664e9589084e1b83d2dec2c279c18c,nwsl::Football_Player::65345eaea5584a9f9e6c198bd975eecd,opta:Player:55xhr0l9dwjnahav66lh49djp,nwsl::Football_Team::1151140adfc24339ba1c93cb0b6b0238,Seattle Reign,Morgan,Andrews,M. Andrews,Midfielder,USA,12,3,,USA,79,opta:Team:bl53jk6zlfe5f583pil7xzwi5,Reign,SEA,Seattle Reign,US,9,604,0,0,6,0,2,0,9,10,4,0,0,0,0,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,604,1,2,3,335,2,36,2,104,13,38,10,1,12,139,121,13,78,339,2,10,5,197,8,6,116,71,10,90,2,,48,7,19,31,436,9,5,45,165,4,10,51,2,26,,4,29,3,86,10,5,23,67,221,223,41,,35,4,3,22,True,0,0,0,0,339,0,0,26,139,0,64,26,0,True,1,2,4,2,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,nwsl::Football_Season::79664e9589084e1b83d2dec2c279c18c,nwsl::Football_Player::9ccd079f4b56432e8f21ede69aabddee,opta:Player:68a0jc6cin6hxx0bkdch9hc5x,nwsl::Football_Team::96ba7b37bd8544a1a7329183459150ff,Portland Thorns,Mackenzie,Arnold,M. Arnold,Goalkeeper,Australia,30,1,,AUS,160,opta:Team:446mp88j1vpk9iwui9fiifrp8,Thorns,POR,Portland Thorns,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,nwsl::Football_Season::79664e9589084e1b83d2dec2c279c18c,nwsl::Football_Player::5ae4cbaf5a2f45eaa9c280ff2b6cec7f,opta:Player:7lt9nze7e2mk2hlp9dkvabkyd,nwsl::Football_Team::1151140adfc24339ba1c93cb0b6b0238,Seattle Reign,Lauren,Barnes,L. Barnes,Defender,USA,3,2,,USA,3,opta:Team:bl53jk6zlfe5f583pil7xzwi5,Reign,SEA,Seattle Reign,US,24,2190,0,0,0,0,0,0,26,9,10,0,5,0,0,,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,2190,6,,19,1253,3,95,5,221,81,164,6,4,19,308,840,36,103,1323,,9,5,933,25,,267,424,9,175,,,150,24,16,113,1609,24,4,76,597,,10,67,,123,,10,18,,113,79,21,27,207,1001,1056,37,7,46,10,35,49,True,0,0,0,0,1323,0,0,123,308,0,287,123,0,True,1,,,3,17,,11,1,1,2,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,nwsl::Football_Season::79664e9589084e1b83d2dec2c279c18c,nwsl::Football_Player::fbfe7392b0744bb6a8d7826010fe0a6e,opta:Player:1vm9mztp9ro7cnp6boinc7phx,nwsl::Football_Team::c31d72afc09f42ee86418633aa41390a,Washington Spirit,Nicole,Barnhart,N. Barnhart,Goalkeeper,USA,28,1,,USA,40,opta:Team:f1ks82wpiewyqs6h3oz9v4hzj,Spirit,WAS,Washington Spirit,US,24,2160,0,0,0,0,0,0,0,0,3,0,0,0,0,,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2160,,,27,290,,,,27,49,188,1,5,,204,429,,10,654,,,1,333,20,,198,120,,74,,,255,24,2,124,912,24,,3,408,,10,14,,123,,3,11,,14,19,,,126,233,456,11,10,,,,3,True,0,0,0,0,654,0,0,123,204,0,311,123,0,True,,,,,,13,,,,1,,61,336,8,4,22,22,39,1,6,101,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,nwsl::Football_Season::79664e9589084e1b83d2dec2c279c18c,nwsl::Football_Player::7060e45bfd8b40f3bcb110081bd6cc94,opta:Player:1e5460op99sb3m3b9xzb6pq3u,nwsl::Football_Team::fb41ef4439dd495098cb6d40415767cc,North Carolina Courage,Jorian Nicole,Baucom,J. Baucom,Forward,USA,33,4,,USA,161,opta:Team:b4fbmos00gxtk8qnaqsm392p5,Courage,NC,North Carolina Courage,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,nwsl::Football_Season::79664e9589084e1b83d2dec2c279c18c,nwsl::Football_Player::9e740d72f2044c11bdca08c94843e982,opta:Player:4h2grrz4my62j2r6fijfsynai,nwsl::Football_Team::c83f2ca05aa84c738b5373f0d2a31b39,Gotham FC,Nicole,Baxter,N. Baxter,Midfielder,USA,55,3,,USA,162,opta:Team:bgkfdckqfqnfbmecbtz03n76d,Gotham FC,GFC,Gotham FC,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,nwsl::Football_Season::79664e9589084e1b83d2dec2c279c18c,nwsl::Football_Player::d1bddbacbec54d86b8495442e2158e67,opta:Player:19oiwrbcmu0aowhvmfdzq1wix,nwsl::Football_Team::c31d72afc09f42ee86418633aa41390a,Washington Spirit,McKenzie,Berryhill,M. Berryhill,Defender,USA,18,2,,USA,115,opta:Team:f1ks82wpiewyqs6h3oz9v4hzj,Spirit,WAS,Washington Spirit,USA,3,196,0,0,1,0,0,0,1,2,2,0,0,0,0,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,196,,1,2,157,,5,,32,3,9,1,1,3,21,111,2,10,162,,2,1,132,3,1,19,19,1,9,,,13,2,2,10,184,3,,7,67,3,10,7,,11,,2,2,,12,4,,2,71,140,143,5,1,5,1,6,5,True,0,0,0,0,162,0,0,11,21,0,20,11,0,True,,,1,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,nwsl::Football_Season::79664e9589084e1b83d2dec2c279c18c,nwsl::Football_Player::f8682c257fa14a7c862ecccc4b892332,opta:Player:9ifjrfggioh9cmphk85gykzx1,nwsl::Football_Team::c83f2ca05aa84c738b5373f0d2a31b39,Gotham FC,Michelle,Betos,M. Betos,Goalkeeper,USA,33,1,,USA,125,opta:Team:bgkfdckqfqnfbmecbtz03n76d,Gotham FC,GFC,Gotham FC,US,4,359,0,0,0,0,0,0,0,0,1,0,0,0,0,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,359,,,9,61,,,,5,6,26,,,,30,84,,,115,,,,69,3,,26,35,,14,,,52,4,,12,173,4,,,52,,10,3,,20,,1,3,,3,3,,,28,53,89,3,1,,,,,True,0,0,0,0,115,0,0,20,30,0,46,20,0,True,,,,,,2,,,,,,14,52,1,1,3,5,11,,1,6,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
2019,nwsl::Football_Season::79664e9589084e1b83d2dec2c279c18c,nwsl::Football_Player::84b30914edbb45ddb082f69074fb818a,opta:Player:1yva0f096q2oqk5gz59utr42y,nwsl::Football_Team::96ba7b37bd8544a1a7329183459150ff,Portland Thorns,Bella,Bixby,B. Bixby,Goalkeeper,USA,1,1,,USA,163,opta:Team:446mp88j1vpk9iwui9fiifrp8,Thorns,POR,Portland Thorns,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
