season,season_id,player_id,provider_id,team_team_id,team_official_name,media_first_name,media_last_name,short_name,role_label,nationality,bib_number,role,display_name,nationality_iso_code,rank_label,team_provider_id,team_short_name,team_acronym_name,team_media_name,team_country_code,games_played,minutes_played,goals,assists,total_scoring_attempts,goal_involvements,on_target_scoring_attempts,total_attacking_assist,tackles_won,fouls_committed,fouls_suffered,total_offside,yellow_cards,red_cards,aerials_won_perc,accurate_pass_percentage,goals_conceded,goals_against_average,corners,goals_free_kick,hit_woodwork,penalty_attempts,penalties_successful,yellow_red_cards,xg,xgefficiency,tackles_won_perc,duels_won_perc,aerial_duels_won_perc,crosses_complete_percentage,total_distance_covered,avg_distance_covered,total_distance_covered_walking,average_distance_covered_walking,total_distance_covered_jogging,average_distance_covered_jogging,total_distance_covered_low_intensity_running,average_distance_covered_low_intensity_running,total_distance_covered_sprinting,average_distance_covered_sprinting,total_distance_covered_high_intensity_running,average_distance_covered_high_intensity_running,sprints,aerial_duels_lost,touches,substitute_on,aerial_duels,leftside_passes,offsides,successful_passes_opposition_half,index,total_passes,right_foot_goals,duels_lost,successful_open_play_passes,open_play_passes,tackles_lost,total_shots,time_played,rightside_passes,total_unsuccessful_passes_excl_crosses_corners,successful_passes_own_half,backward_passes,unsuccessful_crosses_corners,total_losses_of_possession,forward_passes,aerial_duels_won,recoveries,duels_won,appearances,successful_dribbles,foul_attempted_tackle,total_touches_in_opposition_box,successful_short_passes,times_tackled,total_fouls_conceded,total_fouls_won,ground_duels,unsuccessful_crosses_open_play,ground_duels_won,unsuccessful_dribbles,unsuccessful_long_passes,shots_on_target_inc_goals,duels,unsuccessful_short_passes,total_tackles,total_successful_passes_excl_crosses_corners,unsuccessful_passes_opposition_half,goals_from_inside_box,ground_duels_lost,successful_long_passes,home_goals,away_goals,winning_goal,source_category_general,average_speed,top_speed,accurate_pass,accurate_forward_pass,total_pass,cross,assists_average_over_90_minutes,accurate_long_balls,turnover,cross_attempts,long_pass_attempts,long_passes_successful,medium_passes_successful,source_category_passing,successful_lay_offs,throw_ins_to_own_player,goals_conceded_inside_box,putthrough_blocked_distribution,corners_taken_incl_short_corners,through_balls,blocked_shots,key_passes_attempt_assists,putthrough_blocked_distribution_won,blocks,substitute_off,shots_off_target_inc_woodwork,successful_crosses_open_play,successful_corners_into_box,successful_crosses_corners,unsuccessful_passes_own_half,total_clearances,interceptions,starts,unsuccessful_launches,throw_ins_to_opposition_player,unsuccessful_corners_into_box,handballs_conceded,corners_won,successful_launches,penalty_goals_conceded,clean_sheets,goal_assists,assists_intentional,unsuccessful_lay_offs,goals_conceded_outside_box,headed_goals,red_cards_2nd_yellow,penalties_conceded,total_red_cards,punches,gk_successful_distribution,saves_made_from_inside_box,saves_made,saves_made_parried,catches,saves_made_from_outside_box,gk_unsuccessful_distribution,drops,goalkeeper_smother,saves_made_caught,penalties_faced,crosses_not_claimed,left_foot_goals,penalties_taken,straight_red_cards,clearances_off_the_line,attempts_from_set_pieces,own_goal_scored,penalty_goals,goals_from_outside_box,other_goals,second_goal_assists,foul_won_penalty,penalties_saved,saves_from_penalty,last_man_tackle,set_pieces_goals,penalties_off_target
2021,nwsl::Football_Season::be274603a2704d7f95d5695efc7f7edc,nwsl::Football_Player::989bad2146034993b95111ac086931b3,opta:Player:51n7w1qor95qwacbcd2sap8q2,nwsl::Football_Team::ca3f464d6b794a9087d441d75961403f,Houston Dash,Michaela-Batya Bisi,Abam,M. Abam,Forward,Cameroon,34,4,,CMR,197,opta:Team:c3v2ohfuzoqmc8ljm65hi80sj,Dash,HOU,Houston Dash,USA,7,62,1,0,3,0,3,0,2,3,1,2,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,37,7,3,2,2,5,10,13,1,10,9,13,1,3,62,1,4,4,6,2,14,4,1,6,8,7,3,1,4,8,5,3,1,15,2,7,3,1,3,18,3,3,9,6,1,8,1,1,0,0,True,0,0,0,0,13,0,0,1,14,0,2,1,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,nwsl::Football_Season::be274603a2704d7f95d5695efc7f7edc,nwsl::Football_Player::1276f005480e4a24b7bbf77e97b09fd4,opta:Player:4x5sks5f5hgorl2cburji1ped,nwsl::Football_Team::fb41ef4439dd495098cb6d40415767cc,North Carolina Courage,Lindsay Elizabeth,Agnew,L. Agnew,Forward,Canada,20,4,,CAN,207,opta:Team:b4fbmos00gxtk8qnaqsm392p5,Courage,NC,North Carolina Courage,USA,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,1,,,,2,10,3,,,3,3,,,5,,,1,2,,,1,,,,1,,,,3,,,,,,,,,,,,,3,,,,,0,0,0,True,0,0,0,0,3,0,0,0,0,0,0,0,0,True,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,nwsl::Football_Season::be274603a2704d7f95d5695efc7f7edc,nwsl::Football_Player::3fa6c6b9fff049ddb7e32f7ea04d33ca,opta:Player:23nuijdnnuiwzkd5cf7jbyajt,nwsl::Football_Team::c3e9513e280b41e5bfbb8230076e8c43,Orlando Pride,Angelina,Alonso Costantino,Angelina,Midfielder,Brazil,15,3,,BRA,119,opta:Team:966pdxhsoxaib9qt5083h8uus,Pride,ORL,Orlando Pride,US,16,474,0,0,10,0,6,0,9,10,1,0,4,0,0,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,389,12,8,60,,142,10,270,,37,213,267,10,10,474,70,54,79,57,10,87,83,3,39,29,16,6,4,15,201,8,10,1,58,5,26,3,5,6,66,49,19,216,48,,32,15,0,0,0,True,0,0,0,0,270,3,0,15,87,0,20,15,0,True,7,2,5,23,4,2,1,5,13,1,4,4,3,1,5,16,4,7,4,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,nwsl::Football_Season::be274603a2704d7f95d5695efc7f7edc,nwsl::Football_Player::8772001989134074a48629a1110d6b62,opta:Player:edwr7f7jwnxm1plk91fx8hfro,nwsl::Football_Team::ca3f464d6b794a9087d441d75961403f,Houston Dash,Michelle,Alozie,M. Alozie,Forward,Nigeria,22,4,,NGA,189,opta:Team:c3v2ohfuzoqmc8ljm65hi80sj,Dash,HOU,Houston Dash,US,4,114,0,0,0,0,0,0,0,4,3,0,2,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31,4,4,1,,4,10,16,,8,8,16,,,114,6,8,4,5,1,15,4,3,6,6,4,,2,3,7,3,4,3,10,1,3,1,3,,14,5,,8,8,,7,1,0,0,0,True,0,0,0,0,16,0,0,1,15,0,4,1,0,True,1,,2,2,,,,,1,,,,,,,1,,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,nwsl::Football_Season::be274603a2704d7f95d5695efc7f7edc,nwsl::Football_Player::4ef17a90c8144861a3862385e6f3ca88,opta:Player:26lzsxt560alvd4702jr8yhre,nwsl::Football_Team::ca3f464d6b794a9087d441d75961403f,Houston Dash,Julia,Ashley,J. Ashley,Defender,USA,12,2,,USA,122,opta:Team:c3v2ohfuzoqmc8ljm65hi80sj,Dash,HOU,Houston Dash,USA,15,648,0,0,0,0,0,0,14,5,1,0,1,0,0,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,430,9,14,67,,66,10,254,,21,165,251,8,,648,23,87,102,32,7,137,132,5,56,29,15,1,4,2,153,1,5,1,36,7,24,,32,,50,55,22,167,69,,12,14,0,0,0,True,0,0,0,0,254,1,0,14,137,0,46,14,0,True,,54,11,17,,,,1,11,,3,,1,,1,25,18,5,6,13,28,,,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,nwsl::Football_Season::be274603a2704d7f95d5695efc7f7edc,nwsl::Football_Player::179c4f3ba6b844a6b1a7baabb09972bb,opta:Player:4b7ue8bo3zejn44b2v54bedck,nwsl::Football_Team::ac29701756da44a08457762380c10733,Racing Louisville FC,Taylor,Aylmer,T. Aylmer,Midfielder,USA,26,3,,USA,138,opta:Team:dtucewmt49th1p4selfutmnmc,Racing Lou,LOU,Racing Louisville FC,USA,10,319,1,1,2,0,2,1,3,4,2,0,1,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,210,8,6,40,,44,10,158,1,11,124,158,6,2,319,36,34,80,29,1,41,53,3,21,17,10,3,4,5,120,1,4,2,22,1,14,,8,2,28,26,9,124,25,1,8,4,0,1,1,True,0,0,0,0,158,0,0.28,4,41,0,12,4,0,True,2,,2,8,,1,1,5,5,2,1,,,,,10,10,4,2,5,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,nwsl::Football_Season::be274603a2704d7f95d5695efc7f7edc,nwsl::Football_Player::c8f867ab54e845239e4bf43547443cdc,opta:Player:347h4639fjw27rx29j0we0q5m,nwsl::Football_Team::ac29701756da44a08457762380c10733,Racing Louisville,Jordan,Baggett,J. Baggett,Midfielder,USA,19,3,,USA,185,opta:Team:dtucewmt49th1p4selfutmnmc,Racing Lou,LOU,Racing Louisville,US,3,73,0,0,0,0,0,0,1,0,0,0,0,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,40,3,1,3,,9,10,21,,3,13,20,1,,73,5,7,5,4,,17,9,1,3,5,3,2,,4,14,3,,,7,,4,2,1,,8,6,2,14,5,,3,,0,0,0,True,0,0,0,0,21,0,0,0,17,0,1,0,0,True,,,2,2,,,,,2,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,nwsl::Football_Season::be274603a2704d7f95d5695efc7f7edc,nwsl::Football_Player::5f4fe6c4f4a548cc845fce123513d52f,opta:Player:r0pg8rav5hikgunw3gwyxmju,nwsl::Football_Team::fb41ef4439dd495098cb6d40415767cc,North Carolina Courage,Rylee Ann,Baisden,R. Baisden,Forward,USA,29,4,,USA,195,opta:Team:b4fbmos00gxtk8qnaqsm392p5,Courage,NC,North Carolina Courage,USA,3,34,0,0,0,0,0,0,0,3,1,1,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,23,3,1,2,1,5,10,14,,3,9,14,2,,34,5,5,5,3,,6,4,1,6,5,3,1,,1,8,1,3,1,7,,4,,1,,8,4,2,9,5,,3,1,0,0,0,True,0,0,0,0,14,1,0,1,6,0,2,1,0,True,1,,1,1,,,,,1,,,,1,,1,,,1,,1,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,nwsl::Football_Season::be274603a2704d7f95d5695efc7f7edc,nwsl::Football_Player::ffba3a1b23c24750805ee8ef67bccd4c,opta:Player:4apwozsvcd68ki0o3469ftht6,nwsl::Football_Team::ac29701756da44a08457762380c10733,Racing Louisville,Bethany,Balcer,B. Balcer,Forward,USA,88,4,,USA,102,opta:Team:dtucewmt49th1p4selfutmnmc,Racing Lou,LOU,Racing Louisville,US,24,1210,9,0,40,0,22,0,19,20,16,11,3,0,0,,14,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,617,11,69,77,11,174,10,376,4,87,258,365,6,40,1210,75,107,98,125,12,186,99,39,56,92,24,13,6,65,258,29,20,16,110,11,53,9,12,22,179,95,25,269,93,9,57,11,6,3,3,True,0,0,0,0,376,3,0,11,186,0,23,11,0,True,18,3,13,22,1,,7,14,11,1,11,18,3,,3,26,16,6,13,5,,1,,11,,,,,,2,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,nwsl::Football_Season::be274603a2704d7f95d5695efc7f7edc,nwsl::Football_Player::810db7679a9d4660929f485ed49e1988,opta:Player:48l2ildbeme2l336nor2hw6lm,nwsl::Football_Team::2c1699409ff84c9eb491aeaca3d3edde,Kansas City Current,Elizabeth,Ball,E. Ball,Defender,USA,7,2,,USA,56,opta:Team:agxipc0vk4rtg09amjxv10nx0,KC Current,KC,Kansas City Current,US,16,1363,1,0,4,0,2,0,22,12,7,2,3,1,0,,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,881,,29,176,2,151,10,635,,41,459,610,12,4,1363,116,161,325,23,4,192,320,15,114,64,16,10,6,13,422,6,12,7,76,3,49,3,75,2,105,86,34,474,92,1,27,52,1,0,0,True,0,0,0,0,635,1,0,52,192,0,127,52,0,True,,25,20,26,,1,1,10,9,10,2,2,1,,2,73,65,23,16,28,5,,2,1,15,1,4,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
