season,season_id,team_id,provider_id,official_name,short_name,acronym_name,media_name,country_code,team_type,games_played,total_points,total_wins,total_losses,total_draws,goals,goals_against,passes_accuracy,penalty_kick_taken,penalty_conceded,fouls_committed,fouls_suffered,total_offside,yellow_cards,red_cards,corners,total_distance_covered,avg_distance_covered,total_distance_covered_walking,average_distance_covered_walking,total_distance_covered_jogging,average_distance_covered_jogging,total_distance_covered_low_intensity_running,average_distance_covered_low_intensity_running,total_distance_covered_high_intensity_running,average_distance_covered_high_intensity_running,total_distance_covered_sprinting,average_distance_covered_sprinting,total_successful_final_third_pass,total_sub_goals,total_saves,average_possession,average_possession_time,crosses_complete_percentage,tackles_won_perc,aerial_duels_won_perc,duels_won_perc,defender_goals,midfielder_goals,forward_goals,duels_won,possession_percentage,foul_attempted_tackle,successful_open_play_passes,penalty_goals,goals_from_inside_box,successful_lay_offs,tackle_success,recoveries,throw_ins_to_own_player,catches,penalty_goals_conceded,gk_successful_distribution,successful_long_passes,goals_conceded,clearances_off_the_line,aerial_duels,successful_launches,headed_goals,throw_ins_to_opposition_player,unsuccessful_dribbles,hit_woodwork,ground_duels,unsuccessful_launches,points_gained_from_losing_positions,total_shots,interceptions,successful_short_passes,key_passes_attempt_assists,total_clearances,total_red_cards,straight_red_cards,blocks,attempts_from_set_pieces,goal_assists,total_losses_of_possession,times_tackled,unsuccessful_short_passes,total_fouls_conceded,total_successful_passes_excl_crosses_corners,total_passes,goals_conceded_outside_box,shots_on_conceded_outside_box,unsuccessful_crosses_open_play,blocked_shots,clean_sheets,drops,own_goals_conceded,unsuccessful_crosses_corners,penalties_conceded,goals_conceded_inside_box,open_play_passes,unsuccessful_passes_opposition_half,red_card_2nd_yellow,successful_crosses_open_play,tackles_won,duels_lost,handballs_conceded,passing_opp_half,ground_duels_lost,successful_passes_opposition_half,successful_passes_own_half,own_goals_accrued,gk_unsuccessful_distribution,putthrough_blocked_distribution,ground_duels_won,corners_won,penalties_taken,goal_conversion,successful_corners_into_box,left_foot_goals,aerial_duels_lost,corners_taken_incl_short_corners,points_dropped_from_winning_positions,tackles_lost,shooting_accuracy,total_shots_conceded,successful_crosses_corners,aerial_duels_won,shots_on_target_inc_goals,crossing_accuracy,total_unsuccessful_passes_excl_crosses_corners,right_foot_goals,duels,total_fouls_won,shots_on_conceded_inside_box,putthrough_blocked_distribution_won,shots_off_target_inc_woodwork,offsides,successful_dribbles,unsuccessful_long_passes,unsuccessful_lay_offs,foul_won_penalty,unsuccessful_passes_own_half,unsuccessful_corners_into_box,passing_accuracy,other_goals,goals_from_outside_box,home_goals,away_goals,source_category_general,assists,total_attacking_assist,penalty_kick_goals,penalty_kick_percentage,total_scoring_attempts,on_target_scoring_attempts,accurate_shooting_percentage,corner_taken,source_category_attacking,accurate_pass,accurate_forward_pass,total_pass,accurate_pass_percentage,accurate_long_balls,long_ball_percentage,long_passes_successful,medium_passes_successful,source_category_passing,set_pieces_goals,last_man_tackle,penalties_saved,penalties_off_target
2021,nwsl::Football_Season::be274603a2704d7f95d5695efc7f7edc,nwsl::Football_Team::269e825b853f4b43a9d38390aa92bf6e,opta:Team:dzxypx8djih58p668surbi4qm,Chicago Stars,Chicago Stars,CHI,Chicago Stars,US,club,27,38,11,8,5,32,0,0,2,4,284,246,66,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1361,44,144,6224,2,29,62,59.82,2047,518,14,4,225,495,30,1,718,120,5,250,201,13,1963,362,12,261,359,6156,233,507,3,1,82,6,15,4881,449,2110,284,6651,9685,2,29,317,94,10,2,1,441,5,28,8996,2487,2,69,332,1320,16,60.24,948,3226,3551,6,71,599,1015,167,2,12.26,52,5,372,167,6,223,45.98,332,126,346,120,22.22,3034,15,2681,246,77,287,141,66,217,924,13,2,988,104,68.67,1,3,19,13,True,15,15,2,100,261,120,46,167,True,0,0,9996,0,495,35,495,0,True,,,,
2021,nwsl::Football_Season::be274603a2704d7f95d5695efc7f7edc,nwsl::Football_Team::c83f2ca05aa84c738b5373f0d2a31b39,opta:Team:bgkfdckqfqnfbmecbtz03n76d,Gotham FC,Gotham FC,GFC,Gotham FC,US,club,25,35,8,5,11,29,0,0,2,6,277,250,72,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1273,55,157,8989,2,25,89,59.67,1963,489,10,6,321,609,22,2,587,127,4,73,216,6,1979,290,8,229,288,8863,222,440,,,94,7,22,4015,514,1771,277,9472,11907,6,45,274,92,8,3,,371,6,16,11292,1963,,69,287,1293,16,72.14,1023,4243,5349,,47,512,956,138,2,12.66,47,7,270,138,13,194,38.43,359,120,317,88,24.44,2435,18,2566,250,79,264,141,72,228,664,14,2,843,74,79.55,,4,10,19,True,22,22,2,100,229,88,38,138,True,0,0,12189,0,609,48,609,0,True,1,1,,
2021,nwsl::Football_Season::be274603a2704d7f95d5695efc7f7edc,nwsl::Football_Team::ca3f464d6b794a9087d441d75961403f,opta:Team:c3v2ohfuzoqmc8ljm65hi80sj,Houston Dash,Dash,HOU,Houston Dash,US,club,24,32,9,10,5,31,0,0,1,1,234,228,58,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1206,47,135,6599,1,29,55,58.0,1718,492,6,1,248,552,31,3,598,103,8,102,183,5,1763,381,8,221,282,6458,200,503,,,64,9,18,3818,415,1556,234,7010,9434,4,29,259,81,4,3,2,344,1,27,8871,2026,,71,290,1155,10,63.96,849,3104,4025,1,58,476,914,118,1,14.03,43,8,306,118,14,210,44.8,300,119,292,99,25.7,2424,14,2361,228,75,233,122,58,190,868,17,1,742,67,74.31,,2,17,14,True,18,18,1,100,221,99,45,118,True,0,0,9710,0,552,39,552,0,True,1,,,
2021,nwsl::Football_Season::be274603a2704d7f95d5695efc7f7edc,nwsl::Football_Team::2c1699409ff84c9eb491aeaca3d3edde,opta:Team:agxipc0vk4rtg09amjxv10nx0,Kansas City Current,KC Current,KC,Kansas City Current,US,club,24,16,3,14,7,15,0,0,2,1,214,263,46,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1210,47,117,5884,2,12,54,57.34,1839,475,16,1,275,640,36,3,617,122,3,163,221,8,1775,380,3,240,291,5609,217,467,1,,79,13,8,4056,463,1630,214,6249,8733,4,25,231,79,6,4,3,324,4,32,8145,1983,1,44,250,1182,10,62.34,870,2831,3503,1,74,478,905,109,2,6.25,32,4,312,109,11,186,41.67,315,85,305,100,20.78,2484,7,2392,263,86,257,140,46,213,854,9,2,825,63,71.56,,3,9,6,True,8,8,2,100,240,100,42,109,True,0,0,8945,0,640,43,640,0,True,,,1,
2021,nwsl::Football_Season::be274603a2704d7f95d5695efc7f7edc,nwsl::Football_Team::fb41ef4439dd495098cb6d40415767cc,opta:Team:b4fbmos00gxtk8qnaqsm392p5,North Carolina Courage,Courage,NC,North Carolina Courage,US,club,25,33,9,9,6,28,0,0,2,1,188,197,61,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1137,53,98,8174,1,25,80,58.9,1879,467,34,1,384,661,24,,579,81,5,134,219,17,1733,326,1,278,329,7956,247,436,1,,93,2,19,4075,459,1699,188,8617,11087,5,49,375,75,12,2,,466,1,19,10541,2195,1,92,258,1175,9,68.6,903,3916,4840,1,49,476,830,144,2,10.07,38,7,272,144,6,180,46.04,381,139,307,128,22.98,2470,15,2312,197,85,240,150,61,199,771,17,2,741,76,77.72,,3,21,7,True,19,19,1,50,278,128,46,144,True,0,0,11487,0,661,46,661,0,True,,,,
2021,nwsl::Football_Season::be274603a2704d7f95d5695efc7f7edc,nwsl::Football_Team::c3e9513e280b41e5bfbb8230076e8c43,opta:Team:966pdxhsoxaib9qt5083h8uus,Orlando Pride,Pride,ORL,Orlando Pride,US,club,24,28,7,10,7,27,0,0,3,0,221,212,49,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1170,49,111,6620,1,21,69,62.39,1696,488,14,,312,680,32,3,582,99,4,80,174,7,1641,331,8,200,332,6411,164,496,,,77,7,22,3689,377,1575,221,7091,9497,6,35,234,53,3,5,,298,3,26,8868,1889,,64,282,1053,13,63.93,789,2917,4271,,53,430,852,89,3,13.5,30,13,264,89,10,170,48.5,362,97,318,97,24.56,2406,10,2223,212,87,200,103,49,191,831,7,3,815,51,74.67,,6,13,14,True,22,22,1,33,200,97,48,89,True,0,0,9758,0,680,45,680,0,True,,,3,2
2021,nwsl::Football_Season::be274603a2704d7f95d5695efc7f7edc,nwsl::Football_Team::96ba7b37bd8544a1a7329183459150ff,opta:Team:446mp88j1vpk9iwui9fiifrp8,Portland Thorns,Thorns,POR,Portland Thorns,US,club,24,44,13,6,5,30,0,0,6,3,240,198,50,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1205,53,137,7451,3,25,86,60.71,1856,578,24,3,250,598,19,1,631,101,5,51,243,13,1826,281,1,354,266,7253,328,490,,,61,5,19,4019,506,1726,240,7851,10290,2,24,331,118,13,2,,436,3,17,9752,2185,,87,275,1252,15,71.33,920,4500,3500,2,53,550,906,168,6,8.47,57,8,332,168,8,178,42.94,274,149,299,152,25.47,2439,14,2457,198,58,256,202,50,261,713,16,6,690,82,76.3,1,5,19,11,True,19,19,3,50,354,152,43,168,True,0,0,10632,0,598,46,598,0,True,,,,1
2021,nwsl::Football_Season::be274603a2704d7f95d5695efc7f7edc,nwsl::Football_Team::ac29701756da44a08457762380c10733,opta:Team:dtucewmt49th1p4selfutmnmc,Racing Louisville,Racing Lou,LOU,Racing Louisville,US,club,24,22,5,12,7,21,0,0,1,2,216,211,60,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1045,46,121,6508,1,18,60,62.37,1764,467,13,2,288,583,40,3,501,77,1,136,222,4,1653,329,5,153,267,6390,138,511,1,,115,2,12,3942,458,1601,216,6973,9458,5,39,208,61,4,2,1,279,2,35,8802,1908,1,42,242,1109,5,62.2,837,2744,4292,,50,436,816,80,1,13.73,17,6,272,80,8,146,43.79,420,63,229,67,18.42,2485,14,2154,211,114,175,86,60,222,884,15,1,856,58,73.73,,3,12,9,True,12,12,1,100,153,67,44,80,True,0,0,9686,0,583,40,583,0,True,,,,
2021,nwsl::Football_Season::be274603a2704d7f95d5695efc7f7edc,nwsl::Football_Team::1151140adfc24339ba1c93cb0b6b0238,opta:Team:bl53jk6zlfe5f583pil7xzwi5,Seattle Reign,Reign,SEA,Seattle Reign,US,club,24,42,13,8,3,35,0,0,5,0,248,236,59,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1167,54,135,8311,4,29,100,65.13,1889,473,24,,275,779,26,3,646,98,8,84,185,9,1672,335,11,315,309,7988,267,471,1,1,87,15,23,3973,380,1731,248,8767,11343,4,32,274,95,8,7,4,367,,22,10748,2121,,78,282,1151,10,69.16,827,4050,4834,1,28,505,845,121,5,11.11,43,4,324,121,3,151,44.76,312,117,322,141,24.17,2576,22,2318,236,75,215,174,59,178,845,8,5,822,69,77.29,,6,23,12,True,23,23,4,80,315,141,45,121,True,0,0,11666,0,779,48,779,0,True,1,,,
2021,nwsl::Football_Season::be274603a2704d7f95d5695efc7f7edc,nwsl::Football_Team::c31d72afc09f42ee86418633aa41390a,opta:Team:f1ks82wpiewyqs6h3oz9v4hzj,Washington Spirit,Spirit,WAS,Washington Spirit,US,club,25,39,11,7,6,34,0,0,3,2,239,196,43,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1203,51,117,8294,3,28,91,59.1,1861,486,23,2,325,596,22,1,572,111,4,115,252,11,1919,339,12,299,356,8166,267,535,2,1,82,9,20,3999,565,1685,239,8762,11204,3,27,221,99,9,5,2,289,2,19,10608,1815,1,51,263,1288,13,67.17,997,3219,5640,1,46,522,922,103,3,11.37,40,5,291,103,11,182,47.16,342,97,281,141,25.13,2442,24,2491,196,76,248,158,43,284,757,11,3,916,54,78.2,,6,18,16,True,20,20,3,100,299,141,47,103,True,0,0,11407,0,596,44,596,0,True,1,1,,
