season,season_id,match_id,provider_id,status,provider_status,phase,match_date_utc,match_date_local,local_time_utc_offset,home_team_id,home_official_name,away_team_id,away_official_name,home_score,away_score,round_name,match_week,stadium_name,city_name,win_reason,win_team_id,stadium_id,round_id,highlights_url,tickets_url,home_provider_id,home_short_name,home_acronym_name,home_media_name,home_country_code,away_provider_id,away_short_name,away_acronym_name,away_media_name,away_country_code
2022,nwsl::Football_Season::d1162e7ef3924fa19878d5c182e233bd,nwsl::Football_Match::de6a75c8de4441379a0e357a4687a5b6,opta:Match:28vvenzvfdoctq6vwqkbk0k5w,FINISHED,Played,FULL_TIME,2022-04-30T02:30:00Z,2022-04-29T19:30:00,+00:00,nwsl::Football_Team::9587b8ce40624165903b6bc9fd252634,Angel City,nwsl::Football_Team::fb41ef4439dd495098cb6d40415767cc,North Carolina Courage,2,1,,,BMO Stadium,"Los Angeles, California",RegularTime,nwsl::Football_Team::9587b8ce40624165903b6bc9fd252634,nwsl::Football_Stadium::b2af4f3aa2574314aae0327a7d817c8d,,,,opta:Team:6hbfgdczbi3yg4sdpqgtu6s,Angel City,LA,Angel City,US,opta:Team:b4fbmos00gxtk8qnaqsm392p5,Courage,NC,North Carolina Courage,US
2022,nwsl::Football_Season::d1162e7ef3924fa19878d5c182e233bd,nwsl::Football_Match::1cf66f79d6954d0283a4e0c19515a3dd,opta:Match:292tz5ahr9fubew4dte5yxst0,FINISHED,Played,FULL_TIME,2022-04-30T22:00:00Z,2022-04-30T15:00:00,+00:00,nwsl::Football_Team::96ba7b37bd8544a1a7329183459150ff,Portland Thorns,nwsl::Football_Team::2c1699409ff84c9eb491aeaca3d3edde,Kansas City Current,3,0,,,Providence Park,"Portland, Oregon",RegularTime,nwsl::Football_Team::96ba7b37bd8544a1a7329183459150ff,nwsl::Football_Stadium::f1f5cb502e8743f6b186bb5bd7022807,,,,opta:Team:446mp88j1vpk9iwui9fiifrp8,Thorns,POR,Portland Thorns,US,opta:Team:agxipc0vk4rtg09amjxv10nx0,KC Current,KC,Kansas City Current,US
2022,nwsl::Football_Season::d1162e7ef3924fa19878d5c182e233bd,nwsl::Football_Match::c03b9012eb76449e8a7776f7f11a0521,opta:Match:297gypkmw7a6ue5y7ccfqz7dg,FINISHED,Played,FULL_TIME,2022-05-01T00:00:00Z,2022-04-30T19:00:00,+00:00,nwsl::Football_Team::269e825b853f4b43a9d38390aa92bf6e,Chicago Stars,nwsl::Football_Team::ac29701756da44a08457762380c10733,Racing Louisville,2,1,,,SeatGeek Stadium,"Bridgeview, Illinois",RegularTime,nwsl::Football_Team::269e825b853f4b43a9d38390aa92bf6e,nwsl::Football_Stadium::a70355edf48b469f8e25dcc722030c4b,,,,opta:Team:dzxypx8djih58p668surbi4qm,Chicago Stars,CHI,Chicago Stars,US,opta:Team:dtucewmt49th1p4selfutmnmc,Racing Lou,LOU,Racing Louisville,US
2022,nwsl::Football_Season::d1162e7ef3924fa19878d5c182e233bd,nwsl::Football_Match::12e3710584534f3d92e10960c0efe6ad,opta:Match:29c45b4h82wwikpof6hl1s9w4,FINISHED,Played,FULL_TIME,2022-05-01T21:00:00Z,2022-05-01T17:00:00,+00:00,nwsl::Football_Team::c31d72afc09f42ee86418633aa41390a,Washington Spirit,nwsl::Football_Team::1151140adfc24339ba1c93cb0b6b0238,Seattle Reign,2,1,,,Audi Field,"Washington, District of Columbia",RegularTime,nwsl::Football_Team::c31d72afc09f42ee86418633aa41390a,nwsl::Football_Stadium::bd957621565b4c399ad0a51aefa5ddf2,,,,opta:Team:f1ks82wpiewyqs6h3oz9v4hzj,Spirit,WAS,Washington Spirit,US,opta:Team:bl53jk6zlfe5f583pil7xzwi5,Reign,SEA,Seattle Reign,US
2022,nwsl::Football_Season::d1162e7ef3924fa19878d5c182e233bd,nwsl::Football_Match::f457da85d43541c0adb9a9acad709b76,opta:Match:29lxq8s1jvk07sr67uj09pvro,FINISHED,Played,FULL_TIME,2022-05-01T23:00:00Z,2022-05-01T19:00:00,+00:00,nwsl::Football_Team::c3e9513e280b41e5bfbb8230076e8c43,Orlando Pride,nwsl::Football_Team::c83f2ca05aa84c738b5373f0d2a31b39,Gotham FC,0,3,,,Inter&Co Stadium,"Orlando, Florida",RegularTime,nwsl::Football_Team::c83f2ca05aa84c738b5373f0d2a31b39,nwsl::Football_Stadium::4ccd0af81c4d409eaf99d63e185eb4f9,,,,opta:Team:966pdxhsoxaib9qt5083h8uus,Pride,ORL,Orlando Pride,US,opta:Team:bgkfdckqfqnfbmecbtz03n76d,Gotham FC,GFC,Gotham FC,US
2022,nwsl::Football_Season::d1162e7ef3924fa19878d5c182e233bd,nwsl::Football_Match::e6953ae91a7f4b5b86c645bea95a0968,opta:Match:29gpua3xz2e8tn3c2o8jaw1lg,FINISHED,Played,FULL_TIME,2022-05-01T23:00:00Z,2022-05-01T18:00:00,+00:00,nwsl::Football_Team::ca3f464d6b794a9087d441d75961403f,Houston Dash,nwsl::Football_Team::ca719042b34443c4bcfe380ca4850eaf,San Diego Wave,0,1,,,Shell Energy Stadium,"Houston, Texas",RegularTime,nwsl::Football_Team::ca719042b34443c4bcfe380ca4850eaf,nwsl::Football_Stadium::8712697de6ee44f1bb0cc9269dde0a6e,,,,opta:Team:c3v2ohfuzoqmc8ljm65hi80sj,Dash,HOU,Houston Dash,US,opta:Team:esvbnzqbyvxp2k570ez7h1a1g,San Diego Wave,SD,San Diego Wave,US
2022,nwsl::Football_Season::d1162e7ef3924fa19878d5c182e233bd,nwsl::Football_Match::d15cb853f66c4dfb96b32812a68a3e97,opta:Match:29way3myyairtzuwn4xfnrl04,FINISHED,Played,FULL_TIME,2022-05-08T02:00:00Z,2022-05-07T19:00:00,+00:00,nwsl::Football_Team::ca719042b34443c4bcfe380ca4850eaf,San Diego Wave,nwsl::Football_Team::c83f2ca05aa84c738b5373f0d2a31b39,Gotham FC,4,0,,,Torero Stadium,"San Diego, California",RegularTime,nwsl::Football_Team::ca719042b34443c4bcfe380ca4850eaf,nwsl::Football_Stadium::1efac91b583e409bbfe882d9139654f8,,,,opta:Team:esvbnzqbyvxp2k570ez7h1a1g,San Diego Wave,SD,San Diego Wave,US,opta:Team:bgkfdckqfqnfbmecbtz03n76d,Gotham FC,GFC,Gotham FC,US
2022,nwsl::Football_Season::d1162e7ef3924fa19878d5c182e233bd,nwsl::Football_Match::3e26d7f2923a42309d9dce7364058b84,opta:Match:29ztmuige2271axq3thyv7a50,FINISHED,Played,FULL_TIME,2022-05-08T21:00:00Z,2022-05-08T16:00:00,+00:00,nwsl::Football_Team::2c1699409ff84c9eb491aeaca3d3edde,Kansas City Current,nwsl::Football_Team::ca3f464d6b794a9087d441d75961403f,Houston Dash,0,2,,,Children's Mercy Park,"Kansas City, Kansas",RegularTime,nwsl::Football_Team::ca3f464d6b794a9087d441d75961403f,nwsl::Football_Stadium::9879eebb24a54cdeae4e52c757c0e7e0,,,,opta:Team:agxipc0vk4rtg09amjxv10nx0,KC Current,KC,Kansas City Current,US,opta:Team:c3v2ohfuzoqmc8ljm65hi80sj,Dash,HOU,Houston Dash,US
2022,nwsl::Football_Season::d1162e7ef3924fa19878d5c182e233bd,nwsl::Football_Match::f97eeea8a0634443a6a730c26e334116,opta:Match:2a3jmppg546tcht39p0x0znkk,FINISHED,Played,FULL_TIME,2022-05-08T22:00:00Z,2022-05-08T15:00:00,+00:00,nwsl::Football_Team::1151140adfc24339ba1c93cb0b6b0238,Seattle Reign,nwsl::Football_Team::ac29701756da44a08457762380c10733,Racing Louisville,2,2,,,Lumen Field,"Seattle, Washington",Draw,,nwsl::Football_Stadium::5a196ebf1d69422880020401b49b2017,,,,opta:Team:bl53jk6zlfe5f583pil7xzwi5,Reign,SEA,Seattle Reign,US,opta:Team:dtucewmt49th1p4selfutmnmc,Racing Lou,LOU,Racing Louisville,US
2022,nwsl::Football_Season::d1162e7ef3924fa19878d5c182e233bd,nwsl::Football_Match::183b915f372a4cad80658c604d3e64ba,opta:Match:2a71dyek58uaqcv0gbz9dyyvo,FINISHED,Played,FULL_TIME,2022-05-09T00:00:00Z,2022-05-08T17:00:00,+00:00,nwsl::Football_Team::9587b8ce40624165903b6bc9fd252634,Angel City,nwsl::Football_Team::c3e9513e280b41e5bfbb8230076e8c43,Orlando Pride,0,1,,,BMO Stadium,"Los Angeles, California",RegularTime,nwsl::Football_Team::c3e9513e280b41e5bfbb8230076e8c43,nwsl::Football_Stadium::b2af4f3aa2574314aae0327a7d817c8d,,,,opta:Team:6hbfgdczbi3yg4sdpqgtu6s,Angel City,LA,Angel City,US,opta:Team:966pdxhsoxaib9qt5083h8uus,Pride,ORL,Orlando Pride,US
