season,season_id,player_id,provider_id,team_team_id,team_official_name,media_first_name,media_last_name,short_name,role_label,nationality,bib_number,role,display_name,nationality_iso_code,rank_label,team_provider_id,team_short_name,team_acronym_name,team_media_name,team_country_code,games_played,minutes_played,goals,assists,total_scoring_attempts,goal_involvements,on_target_scoring_attempts,total_attacking_assist,tackles_won,fouls_committed,fouls_suffered,total_offside,yellow_cards,red_cards,aerials_won_perc,accurate_pass_percentage,goals_conceded,goals_against_average,corners,goals_free_kick,hit_woodwork,penalty_attempts,penalties_successful,yellow_red_cards,xg,xgefficiency,tackles_won_perc,duels_won_perc,aerial_duels_won_perc,crosses_complete_percentage,total_distance_covered,avg_distance_covered,total_distance_covered_walking,average_distance_covered_walking,total_distance_covered_jogging,average_distance_covered_jogging,total_distance_covered_low_intensity_running,average_distance_covered_low_intensity_running,total_distance_covered_sprinting,average_distance_covered_sprinting,total_distance_covered_high_intensity_running,average_distance_covered_high_intensity_running,sprints,ground_duels_won,total_fouls_won,duels,recoveries,unsuccessful_dribbles,unsuccessful_long_passes,total_touches_in_opposition_box,penalty_goals_conceded,unsuccessful_crosses_corners,index,offsides,time_played,foul_won_penalty,aerial_duels,putthrough_blocked_distribution_won,total_successful_passes_excl_crosses_corners,substitute_off,shots_on_target_inc_goals,successful_crosses_corners,ground_duels_lost,forward_passes,ground_duels,successful_passes_opposition_half,goals_conceded_inside_box,unsuccessful_short_passes,foul_attempted_tackle,putthrough_blocked_distribution,unsuccessful_passes_opposition_half,total_shots,unsuccessful_passes_own_half,total_losses_of_possession,leftside_passes,unsuccessful_crosses_open_play,substitute_on,successful_crosses_open_play,backward_passes,tackles_lost,successful_short_passes,successful_open_play_passes,open_play_passes,successful_dribbles,shots_off_target_inc_woodwork,successful_lay_offs,total_passes,unsuccessful_launches,total_tackles,aerial_duels_won,starts,appearances,blocked_shots,times_tackled,duels_lost,total_unsuccessful_passes_excl_crosses_corners,aerial_duels_lost,duels_won,rightside_passes,key_passes_attempt_assists,successful_passes_own_half,touches,interceptions,corners_won,total_fouls_conceded,home_goals,away_goals,winning_goal,source_category_general,average_speed,top_speed,accurate_pass,accurate_forward_pass,total_pass,cross,assists_average_over_90_minutes,accurate_long_balls,turnover,cross_attempts,long_pass_attempts,long_passes_successful,medium_passes_successful,source_category_passing,goals_conceded_outside_box,successful_corners_into_box,corners_taken_incl_short_corners,successful_long_passes,unsuccessful_corners_into_box,total_clearances,throw_ins_to_opposition_player,clean_sheets,throw_ins_to_own_player,unsuccessful_lay_offs,through_balls,blocks,successful_launches,right_foot_goals,left_foot_goals,goal_assists,goals_from_inside_box,assists_intentional,handballs_conceded,headed_goals,clearances_off_the_line,own_goal_scored,last_man_tackle,penalties_conceded,attempts_from_set_pieces,saves_made_caught,punches,goalkeeper_smother,saves_made_parried,gk_unsuccessful_distribution,crosses_not_claimed,catches,drops,saves_made,penalties_faced,gk_successful_distribution,saves_made_from_outside_box,saves_made_from_inside_box,penalty_goals,penalties_taken,goals_from_outside_box,set_pieces_goals,penalties_saved,saves_from_penalty,second_goal_assists,goal_kicks,total_red_cards,red_cards_2nd_yellow,other_goals,penalties_off_target,straight_red_cards
2022,nwsl::Football_Season::d1162e7ef3924fa19878d5c182e233bd,nwsl::Football_Player::989bad2146034993b95111ac086931b3,opta:Player:51n7w1qor95qwacbcd2sap8q2,nwsl::Football_Team::ca3f464d6b794a9087d441d75961403f,Houston Dash,Michaela-Batya Bisi,Abam,M. Abam,Forward,Cameroon,34,4,,CMR,216,opta:Team:c3v2ohfuzoqmc8ljm65hi80sj,Dash,HOU,Houston Dash,USA,12,268,0,0,9,0,2,0,4,7,7,5,0,0,0,,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,7,58,15,4,5,15,1,4,10,5,268,1,15,2,39,3,2,1,23,15,43,21,4,20,5,7,21,9,8,59,27,4,9,1,11,1,39,34,59,8,7,2,64,2,5,6,3,12,2,15,32,25,9,26,11,4,19,144,2,3,7,0,0,0,True,0,0,0,0,64,1,0,0,59,0,5,0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,nwsl::Football_Season::d1162e7ef3924fa19878d5c182e233bd,nwsl::Football_Player::a79161648fb0412187766de7176ab440,opta:Player:dyfsbff9jueyw5jhjou424bo4,nwsl::Football_Team::c3e9513e280b41e5bfbb8230076e8c43,Orlando Pride,Kerry,Abello,K. Abello,Defender,USA,25,2,,USA,123,opta:Team:966pdxhsoxaib9qt5083h8uus,Pride,ORL,Orlando Pride,US,21,1041,0,0,14,0,5,0,15,14,9,6,2,0,0,,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,9,139,62,17,14,33,,36,10,6,1041,,17,11,226,11,5,6,68,102,122,117,20,82,10,28,93,14,39,214,35,27,9,5,83,15,218,224,320,15,9,3,322,6,30,8,12,21,3,43,77,96,9,62,102,4,115,595,8,6,14,0,0,0,True,0,0,0,0,322,5,0,8,214,0,22,8,0,True,1,1,9,8,7,9,5,1,28,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,nwsl::Football_Season::d1162e7ef3924fa19878d5c182e233bd,nwsl::Football_Player::6035494d357f4ed6944f1626ca400398,opta:Player:c11wgnz0v95lj8ldtecp7wges,nwsl::Football_Team::c31d72afc09f42ee86418633aa41390a,Washington Spirit,Jill,Aguilera,J. Aguilera,Defender,Puerto Rico,14,2,,PRI,142,opta:Team:f1ks82wpiewyqs6h3oz9v4hzj,Spirit,WAS,Washington Spirit,US,18,611,0,0,4,0,2,0,9,4,9,1,1,0,0,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,9,63,56,4,19,11,,17,10,1,611,,13,5,177,4,2,1,21,88,50,87,10,56,1,17,60,4,32,128,5,15,13,1,63,7,171,173,248,4,2,,252,12,16,6,5,18,1,7,28,75,7,35,96,5,91,426,8,6,4,0,0,0,True,0,0,0,0,252,1,0,6,128,0,25,6,0,True,,,2,6,2,23,10,,31,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,nwsl::Football_Season::d1162e7ef3924fa19878d5c182e233bd,nwsl::Football_Player::48396241af194827b6ecf96448925a00,opta:Player:b9zyytzb31lz9644187z6a13o,nwsl::Football_Team::ca719042b34443c4bcfe380ca4850eaf,San Diego Wave,Amirah,Ali,A. Ali,Forward,USA,7,4,,USA,182,opta:Team:esvbnzqbyvxp2k570ez7h1a1g,San Diego Wave,SD,San Diego Wave,US,20,559,2,1,13,0,11,1,9,5,17,5,0,0,0,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,17,117,38,10,5,33,2,14,10,5,559,1,19,5,89,4,11,,47,28,98,58,6,36,3,12,41,13,14,115,42,14,16,,29,6,87,88,129,19,2,4,130,4,15,6,4,20,3,37,60,41,13,57,31,2,31,312,3,8,5,2,0,1,True,0,0,0,0,130,0,0.16,2,115,0,7,2,0,True,,,,2,,5,,,4,1,1,,,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,nwsl::Football_Season::d1162e7ef3924fa19878d5c182e233bd,nwsl::Football_Player::3fa6c6b9fff049ddb7e32f7ea04d33ca,opta:Player:23nuijdnnuiwzkd5cf7jbyajt,nwsl::Football_Team::c3e9513e280b41e5bfbb8230076e8c43,Orlando Pride,Angelina,Alonso Costantino,Angelina,Midfielder,Brazil,15,3,,BRA,173,opta:Team:966pdxhsoxaib9qt5083h8uus,Pride,ORL,Orlando Pride,US,8,406,0,1,5,0,4,1,12,10,3,0,2,0,0,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3,61,18,4,2,16,,5,10,,406,,14,6,131,6,4,,22,36,47,93,3,36,8,14,33,5,10,70,29,5,2,,52,8,127,126,164,2,1,6,169,,20,5,6,8,1,8,31,38,9,30,52,2,38,259,2,1,10,0,0,0,True,0,0,0,0,169,0,0.22,4,70,0,6,4,0,True,,,,4,,1,,,,4,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,nwsl::Football_Season::d1162e7ef3924fa19878d5c182e233bd,nwsl::Football_Player::8772001989134074a48629a1110d6b62,opta:Player:edwr7f7jwnxm1plk91fx8hfro,nwsl::Football_Team::ca3f464d6b794a9087d441d75961403f,Houston Dash,Michelle,Alozie,M. Alozie,Forward,Nigeria,22,4,,NGA,212,opta:Team:c3v2ohfuzoqmc8ljm65hi80sj,Dash,HOU,Houston Dash,US,11,343,2,0,13,0,6,0,4,13,9,3,2,0,0,,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,9,78,22,5,7,28,1,8,10,3,343,,26,5,40,1,6,3,29,30,52,30,5,23,7,9,26,13,12,86,19,8,9,3,14,4,36,37,67,6,7,,70,3,8,11,2,11,5,14,44,30,15,34,7,6,13,189,,3,13,2,0,0,True,0,0,0,0,70,3,0,4,86,0,11,4,0,True,,,,4,,1,4,,1,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,nwsl::Football_Season::d1162e7ef3924fa19878d5c182e233bd,nwsl::Football_Player::4ef17a90c8144861a3862385e6f3ca88,opta:Player:26lzsxt560alvd4702jr8yhre,nwsl::Football_Team::ca3f464d6b794a9087d441d75961403f,Houston Dash,Julia,Ashley,J. Ashley,Defender,USA,12,2,,USA,206,opta:Team:c3v2ohfuzoqmc8ljm65hi80sj,Dash,HOU,Houston Dash,USA,5,149,0,0,1,0,0,0,2,0,1,0,0,0,0,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,6,9,,13,2,1,,10,,149,,,,57,2,,,1,41,6,23,3,9,,1,15,1,7,24,9,,3,,7,2,51,54,76,,1,,79,5,4,,2,5,,,1,22,,5,22,1,34,104,3,,,0,0,0,True,0,0,0,0,79,0,0,6,24,0,19,6,0,True,,,,6,,7,1,,3,,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,nwsl::Football_Season::d1162e7ef3924fa19878d5c182e233bd,nwsl::Football_Player::5dce6757f8e74511b0e957b0771121b5,opta:Player:e2drffyibnqhyo0sou3zahdsk,nwsl::Football_Team::1151140adfc24339ba1c93cb0b6b0238,Seattle Reign,Olivia,Athens,O. Athens,Midfielder,USA,12,3,,USA,213,opta:Team:bl53jk6zlfe5f583pil7xzwi5,Reign,SEA,Seattle Reign,US,8,126,1,0,1,0,1,0,2,0,1,2,0,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,12,8,,1,7,,,10,2,126,,2,1,49,1,1,,2,24,10,34,2,19,,3,18,1,2,29,12,,7,,16,,47,47,67,5,,4,69,,2,1,1,8,,2,3,20,1,9,17,1,15,94,3,,,1,0,0,True,0,0,0,0,69,0,0,2,29,0,3,2,0,True,,,,2,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,nwsl::Football_Season::d1162e7ef3924fa19878d5c182e233bd,nwsl::Football_Player::179c4f3ba6b844a6b1a7baabb09972bb,opta:Player:4b7ue8bo3zejn44b2v54bedck,nwsl::Football_Team::ac29701756da44a08457762380c10733,Racing Louisville FC,Taylor,Aylmer,T. Aylmer,Midfielder,USA,26,3,,USA,110,opta:Team:dtucewmt49th1p4selfutmnmc,Racing Lou,LOU,Racing Louisville FC,USA,15,737,0,0,8,0,1,0,7,15,4,0,1,0,0,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,4,66,62,4,10,13,,3,10,,737,,16,2,317,5,1,1,27,116,50,120,10,53,6,8,42,8,24,90,86,,7,,61,5,302,316,379,7,7,2,380,3,12,9,8,15,2,8,34,63,7,32,117,7,198,481,8,1,15,0,0,0,True,0,0,0,0,380,0,0,15,90,0,25,15,0,True,,1,4,15,3,10,,1,,,2,2,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,nwsl::Football_Season::d1162e7ef3924fa19878d5c182e233bd,nwsl::Football_Player::c8f867ab54e845239e4bf43547443cdc,opta:Player:347h4639fjw27rx29j0we0q5m,nwsl::Football_Team::ac29701756da44a08457762380c10733,Racing Louisville,Jordan,Baggett,J. Baggett,Midfielder,USA,19,3,,USA,170,opta:Team:dtucewmt49th1p4selfutmnmc,Racing Lou,LOU,Racing Louisville,US,9,480,1,1,7,0,4,1,4,5,6,0,0,0,0,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,6,55,32,5,3,17,2,4,10,,480,,16,4,135,6,4,,22,44,39,73,10,38,3,10,31,7,14,74,36,4,3,,59,4,131,129,169,3,3,3,176,2,8,12,6,9,1,15,26,41,4,29,37,5,62,258,3,1,5,0,1,0,True,0,0,0,0,176,0,0.19,4,74,0,7,4,0,True,1,,,4,,5,1,,1,1,,,1,,,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
