season,season_id,team_id,provider_id,official_name,short_name,acronym_name,media_name,country_code,team_type,games_played,total_points,total_wins,total_losses,total_draws,goals,goals_against,passes_accuracy,penalty_kick_taken,penalty_conceded,fouls_committed,fouls_suffered,total_offside,yellow_cards,red_cards,corners,total_distance_covered,avg_distance_covered,total_distance_covered_walking,average_distance_covered_walking,total_distance_covered_jogging,average_distance_covered_jogging,total_distance_covered_low_intensity_running,average_distance_covered_low_intensity_running,total_distance_covered_high_intensity_running,average_distance_covered_high_intensity_running,total_distance_covered_sprinting,average_distance_covered_sprinting,total_successful_final_third_pass,total_sub_goals,total_saves,average_possession,average_possession_time,crosses_complete_percentage,tackles_won_perc,aerial_duels_won_perc,duels_won_perc,defender_goals,midfielder_goals,forward_goals,shots_off_target_inc_woodwork,possession_percentage,ground_duels_won,duels_lost,goal_assists,hit_woodwork,total_shots_conceded,unsuccessful_launches,penalties_conceded,gk_unsuccessful_distribution,duels,passing_opp_half,aerial_duels_won,successful_open_play_passes,own_goals_accrued,total_clearances,clearances_off_the_line,successful_short_passes,total_successful_passes_excl_crosses_corners,foul_attempted_tackle,successful_passes_own_half,open_play_passes,clean_sheets,penalty_goals,corners_taken_incl_short_corners,successful_long_passes,offsides,throw_ins_to_own_player,successful_crosses_corners,red_card_2nd_yellow,tackles_lost,unsuccessful_passes_own_half,shots_on_conceded_inside_box,tackle_success,throw_ins_to_opposition_player,other_goals,total_fouls_won,successful_dribbles,unsuccessful_passes_opposition_half,tackles_won,passing_accuracy,successful_passes_opposition_half,goal_conversion,aerial_duels,interceptions,successful_corners_into_box,unsuccessful_crosses_corners,left_foot_goals,goals_from_outside_box,ground_duels,penalty_goals_conceded,unsuccessful_long_passes,blocks,recoveries,times_tackled,total_passes,unsuccessful_dribbles,shooting_accuracy,headed_goals,corners_won,unsuccessful_corners_into_box,goals_conceded,goals_conceded_inside_box,points_dropped_from_winning_positions,goal_kicks,crossing_accuracy,shots_on_conceded_outside_box,putthrough_blocked_distribution,total_unsuccessful_passes_excl_crosses_corners,right_foot_goals,goals_conceded_outside_box,last_man_tackle,attempts_from_set_pieces,total_losses_of_possession,penalties_off_target,total_red_cards,points_gained_from_losing_positions,total_fouls_conceded,handballs_conceded,successful_crosses_open_play,foul_won_penalty,unsuccessful_crosses_open_play,key_passes_attempt_assists,putthrough_blocked_distribution_won,drops,successful_launches,own_goals_conceded,ground_duels_lost,shots_on_target_inc_goals,catches,penalties_saved,unsuccessful_lay_offs,penalties_taken,unsuccessful_short_passes,duels_won,total_shots,blocked_shots,gk_successful_distribution,successful_lay_offs,goals_from_inside_box,aerial_duels_lost,home_goals,away_goals,source_category_general,assists,total_attacking_assist,penalty_kick_goals,penalty_kick_percentage,total_scoring_attempts,on_target_scoring_attempts,accurate_shooting_percentage,corner_taken,source_category_attacking,accurate_pass,accurate_forward_pass,total_pass,accurate_pass_percentage,accurate_long_balls,long_ball_percentage,long_passes_successful,medium_passes_successful,source_category_passing,straight_red_cards,set_pieces_goals
2022,nwsl::Football_Season::d1162e7ef3924fa19878d5c182e233bd,nwsl::Football_Team::9587b8ce40624165903b6bc9fd252634,opta:Team:6hbfgdczbi3yg4sdpqgtu6s,Angel City,Angel City,LA,Angel City,US,club,22,29,8,9,5,23,0,0,5,4,231,230,44,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,49,923,1161,13,5,323,295,5,62,2368,64.8,284,5869,1,515,2,5791,6261,120,3593,7979,4,2,102,470,44,420,83,1,192,804,71,62.35,137,2,230,185,1704,318,73.54,2751,11.98,566,277,32,255,6,1,1802,4,722,89,1619,467,8514,195,45.83,3,102,58,27,25,12,194,24.56,33,425,2253,11,2,2,2,3592,1,1,4,231,9,42,5,181,169,199,3,91,1,879,88,19,1,10,5,1531,1207,192,65,239,49,22,282,12,11,True,13,13,2,40,192,88,46,102,True,0,0,8685,0,470,39,470,0,True,,
2022,nwsl::Football_Season::d1162e7ef3924fa19878d5c182e233bd,nwsl::Football_Team::269e825b853f4b43a9d38390aa92bf6e,opta:Team:dzxypx8djih58p668surbi4qm,Chicago Stars,Chicago Stars,CHI,Chicago Stars,US,club,23,33,9,7,6,35,0,0,4,1,227,277,53,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,52,937,1032,26,12,292,312,3,65,2228,70.57,259,7337,,481,3,7250,7800,117,4519,9527,8,2,126,550,53,441,86,1,186,965,75,61.89,103,,277,173,1652,302,76.98,3367,15.98,512,307,35,284,7,7,1716,1,685,62,1674,405,10133,162,50.23,9,126,79,30,28,8,,23.24,26,460,2333,19,2,,7,3667,,2,3,227,17,45,4,179,174,203,1,108,,779,110,7,1,13,4,1648,1196,219,72,227,64,28,253,16,19,True,26,26,2,50,219,110,50,126,True,0,0,10327,0,550,45,550,0,True,1,
2022,nwsl::Football_Season::d1162e7ef3924fa19878d5c182e233bd,nwsl::Football_Team::c83f2ca05aa84c738b5373f0d2a31b39,opta:Team:bgkfdckqfqnfbmecbtz03n76d,Gotham FC,Gotham FC,GFC,Gotham FC,US,club,22,13,4,17,1,16,0,0,0,7,227,187,46,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,49,804,991,14,12,354,274,7,32,2012,63.78,217,6003,,431,1,5937,6437,123,3940,8077,3,,92,500,46,479,80,1,187,810,92,59.61,64,,187,156,1678,276,74.29,2577,8.74,448,222,23,260,5,1,1564,7,736,89,1558,364,8665,162,40.44,3,92,47,46,38,5,,23.53,46,400,2228,8,8,,11,3352,,1,1,227,9,52,,196,152,201,1,74,2,760,74,31,,10,,1492,1021,183,53,279,51,15,231,8,8,True,14,14,0,0,183,74,40,92,True,0,0,8886,0,500,40,500,0,True,,
2022,nwsl::Football_Season::d1162e7ef3924fa19878d5c182e233bd,nwsl::Football_Team::ca3f464d6b794a9087d441d75961403f,opta:Team:c3v2ohfuzoqmc8ljm65hi80sj,Houston Dash,Dash,HOU,Houston Dash,US,club,23,36,10,6,6,36,0,0,3,4,268,204,37,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,47,838,1151,22,15,247,404,4,77,2250,59.47,261,5609,3,364,1,5390,5952,157,3590,7811,6,3,112,562,37,451,84,,192,813,65,59.06,124,,204,168,1900,277,71.07,2446,16.0,548,291,32,290,9,3,1702,4,934,53,1707,420,8375,189,45.33,3,112,63,29,28,9,,22.46,23,432,2423,21,1,,7,3715,,,11,268,6,40,3,209,182,204,,105,2,864,102,24,,8,3,1489,1099,225,76,178,46,33,287,17,19,True,22,22,3,100,225,102,45,112,True,0,0,8553,0,562,38,562,0,True,,
2022,nwsl::Football_Season::d1162e7ef3924fa19878d5c182e233bd,nwsl::Football_Team::2c1699409ff84c9eb491aeaca3d3edde,opta:Team:agxipc0vk4rtg09amjxv10nx0,Kansas City Current,KC Current,KC,Kansas City Current,US,club,25,36,10,6,6,33,0,0,8,4,264,265,37,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,48,917,1206,20,3,324,373,5,86,2365,61.44,242,5701,,460,2,5619,6145,149,3329,8065,7,7,121,526,37,466,89,1,200,817,93,58.68,176,,265,169,2055,284,70.4,2905,15.0,534,270,33,288,3,5,1831,4,858,84,1853,507,8729,221,53.64,3,121,57,32,31,6,,23.61,29,464,2584,27,1,1,12,4092,,1,11,264,20,47,8,212,168,216,2,105,3,914,118,24,1,6,8,1726,1159,220,63,258,42,28,292,17,16,True,20,20,7,88,220,118,54,121,True,0,0,8928,0,526,38,526,0,True,,1
2022,nwsl::Football_Season::d1162e7ef3924fa19878d5c182e233bd,nwsl::Football_Team::fb41ef4439dd495098cb6d40415767cc,opta:Team:b4fbmos00gxtk8qnaqsm392p5,North Carolina Courage,Courage,NC,North Carolina Courage,US,club,22,32,9,8,5,46,0,0,2,2,210,168,48,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,55,785,1122,33,8,280,217,2,32,2105,71.8,198,7878,1,312,1,7662,8208,110,4524,9828,7,2,115,546,48,471,116,,178,606,77,58.7,101,,168,187,1822,253,79.99,3800,20.0,429,234,32,375,9,2,1676,2,648,74,1589,519,10261,251,51.74,11,115,67,33,30,16,,23.63,31,396,2053,25,3,1,7,3532,,,2,210,11,80,2,298,183,216,4,66,,891,119,17,,9,2,1405,983,230,72,240,44,44,231,27,19,True,33,33,2,100,230,119,52,115,True,0,0,10600,0,546,46,546,0,True,,
2022,nwsl::Football_Season::d1162e7ef3924fa19878d5c182e233bd,nwsl::Football_Team::c3e9513e280b41e5bfbb8230076e8c43,opta:Team:966pdxhsoxaib9qt5083h8uus,Orlando Pride,Pride,ORL,Orlando Pride,US,club,22,22,5,10,7,22,0,0,3,0,243,251,39,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,48,826,1037,11,8,288,212,1,26,2087,67.32,224,6216,2,404,,6260,6667,133,4076,8146,4,2,90,407,39,449,74,,164,783,80,57.95,84,,251,187,1526,226,76.56,2665,13.58,408,253,19,268,9,1,1679,,608,54,1527,474,8708,177,48.77,4,90,48,45,36,9,,21.64,39,446,2041,7,9,3,4,3376,,,4,243,4,48,3,193,148,198,3,40,,853,79,17,1,6,3,1433,1050,162,56,281,55,21,184,14,8,True,11,11,2,67,162,79,49,90,True,0,0,8930,0,407,40,407,0,True,,
2022,nwsl::Football_Season::d1162e7ef3924fa19878d5c182e233bd,nwsl::Football_Team::96ba7b37bd8544a1a7329183459150ff,opta:Team:446mp88j1vpk9iwui9fiifrp8,Portland Thorns,Thorns,POR,Portland Thorns,US,club,24,39,10,3,9,53,0,0,3,0,204,210,30,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,51,851,1138,30,11,287,301,1,67,2207,71.43,218,7735,3,446,,7526,8104,106,4228,9831,10,3,130,578,30,556,100,,186,720,71,57.92,59,,210,201,1861,256,78.12,3976,16.11,473,268,38,311,20,8,1734,,762,55,1725,528,10374,255,51.67,5,130,72,25,23,12,,24.33,28,443,2270,25,2,,6,3673,,,6,204,8,58,3,220,282,211,,70,1,883,170,29,1,6,3,1508,1069,329,108,204,62,45,255,31,22,True,30,30,3,100,329,170,52,130,True,0,0,10612,0,578,43,578,0,True,,
2022,nwsl::Football_Season::d1162e7ef3924fa19878d5c182e233bd,nwsl::Football_Team::ac29701756da44a08457762380c10733,opta:Team:dtucewmt49th1p4selfutmnmc,Racing Louisville,Racing Lou,LOU,Racing Louisville,US,club,22,23,5,9,8,23,0,0,3,3,250,266,51,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,49,819,1157,14,8,336,315,3,84,2277,62.09,301,5495,1,410,7,5368,5833,119,3289,7461,6,2,106,465,51,428,90,1,150,660,102,62.87,161,,266,153,1909,254,72.5,2634,11.5,594,221,28,356,7,4,1683,3,783,85,1622,467,8046,227,42.0,2,106,60,35,34,9,173,20.18,50,391,2213,13,1,1,13,3663,,1,7,250,14,54,3,269,162,186,5,93,,864,84,14,,10,3,1430,1120,200,59,159,48,19,293,11,12,True,14,14,2,67,200,84,42,106,True,0,0,8314,0,465,37,465,0,True,,2
2022,nwsl::Football_Season::d1162e7ef3924fa19878d5c182e233bd,nwsl::Football_Team::ca719042b34443c4bcfe380ca4850eaf,opta:Team:esvbnzqbyvxp2k570ez7h1a1g,San Diego Wave,San Diego Wave,SD,San Diego Wave,US,club,24,36,10,6,6,35,0,0,5,3,252,211,62,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,49,823,1169,24,12,306,401,7,86,2368,59.67,376,6062,,531,,5818,6447,120,3685,8540,9,5,123,629,62,552,114,1,201,791,68,56.87,120,,211,148,2234,265,70.81,2876,13.83,722,258,33,367,18,1,1646,3,945,74,1758,415,9105,148,45.06,5,123,79,24,19,5,,23.7,29,505,2658,12,5,,7,4049,,2,6,252,8,76,5,267,204,217,3,124,,823,114,22,4,15,5,1713,1199,253,76,244,46,34,346,18,17,True,24,24,5,100,253,114,45,123,True,0,0,9426,0,629,40,629,0,True,1,
