season,season_id,player_id,provider_id,team_team_id,team_official_name,media_first_name,media_last_name,short_name,role_label,nationality,bib_number,role,display_name,nationality_iso_code,rank_label,team_provider_id,team_short_name,team_acronym_name,team_media_name,team_country_code,games_played,minutes_played,goals,assists,total_scoring_attempts,goal_involvements,on_target_scoring_attempts,total_attacking_assist,tackles_won,fouls_committed,fouls_suffered,total_offside,yellow_cards,red_cards,aerials_won_perc,accurate_pass_percentage,goals_conceded,goals_against_average,corners,goals_free_kick,hit_woodwork,penalty_attempts,penalties_successful,yellow_red_cards,xg,xgefficiency,tackles_won_perc,duels_won_perc,aerial_duels_won_perc,crosses_complete_percentage,total_distance_covered,avg_distance_covered,total_distance_covered_walking,average_distance_covered_walking,total_distance_covered_jogging,average_distance_covered_jogging,total_distance_covered_low_intensity_running,average_distance_covered_low_intensity_running,total_distance_covered_sprinting,average_distance_covered_sprinting,total_distance_covered_high_intensity_running,average_distance_covered_high_intensity_running,sprints,goals_conceded_outside_box,unsuccessful_long_passes,attempts_from_set_pieces,unsuccessful_dribbles,total_clearances,ground_duels_lost,key_passes_attempt_assists,aerial_duels_lost,corners_taken_incl_short_corners,unsuccessful_crosses_corners,times_tackled,putthrough_blocked_distribution_won,unsuccessful_launches,time_played,unsuccessful_corners_into_box,touches,left_foot_goals,successful_passes_opposition_half,offsides,blocks,clean_sheets,total_unsuccessful_passes_excl_crosses_corners,unsuccessful_short_passes,duels,total_tackles,shots_off_target_inc_woodwork,goals_conceded_inside_box,successful_long_passes,goals_from_inside_box,substitute_on,foul_attempted_tackle,penalty_goals_conceded,shots_on_target_inc_goals,successful_dribbles,total_touches_in_opposition_box,successful_crosses_open_play,total_passes,leftside_passes,total_fouls_won,unsuccessful_passes_own_half,successful_lay_offs,total_shots,open_play_passes,ground_duels,rightside_passes,handballs_conceded,interceptions,forward_passes,total_fouls_conceded,appearances,putthrough_blocked_distribution,duels_won,successful_open_play_passes,successful_corners_into_box,recoveries,successful_crosses_corners,tackles_lost,aerial_duels,blocked_shots,successful_passes_own_half,unsuccessful_crosses_open_play,starts,overruns,aerial_duels_won,throw_ins_to_own_player,successful_short_passes,corners_won,duels_lost,substitute_off,index,unsuccessful_passes_opposition_half,backward_passes,ground_duels_won,total_successful_passes_excl_crosses_corners,total_losses_of_possession,home_goals,away_goals,winning_goal,source_category_general,average_speed,top_speed,accurate_pass,accurate_forward_pass,total_pass,cross,assists_average_over_90_minutes,accurate_long_balls,turnover,cross_attempts,long_pass_attempts,long_passes_successful,medium_passes_successful,source_category_passing,throw_ins_to_opposition_player,successful_launches,unsuccessful_lay_offs,headed_goals,total_red_cards,goals_from_outside_box,right_foot_goals,goal_assists,through_balls,straight_red_cards,assists_intentional,foul_won_penalty,saves_made_caught,goal_kicks,catches,gk_successful_distribution,gk_unsuccessful_distribution,saves_made_from_inside_box,saves_made_from_outside_box,saves_made_parried,saves_made,saves,penalty_conceded,long_ball_percentage,total_cleareance,goalkeeper_saves_per_90_min,goalkeeper_saves_per_match,source_category_goalkeeping,penalties_conceded,own_goal_scored,goalkeeper_smother,punches,drops,crosses_not_claimed,penalties_faced,penalties_taken,penalty_goals,clearances_off_the_line,red_cards_2nd_yellow,penalties_off_target,last_man_tackle,second_goal_assists,penalties_saved,saves_from_penalty,other_goals,last_player_tackle,set_pieces_goals
2023,nwsl::Football_Season::e7e78907d0b549aba3282000d7ed5437,nwsl::Football_Player::a79161648fb0412187766de7176ab440,opta:Player:dyfsbff9jueyw5jhjou424bo4,nwsl::Football_Team::c3e9513e280b41e5bfbb8230076e8c43,Orlando Pride,Kerry,Abello,K. Abello,Defender,USA,25,2,,USA,106,opta:Team:966pdxhsoxaib9qt5083h8uus,Pride,ORL,Orlando Pride,US,20,1256,1,0,22,0,12,0,25,20,10,1,1,0,57,78,21,1.5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,24,1,17,10,84,17,8,15,27,45,12,10,1256,8,691,1,194,1,2,1,91,67,175,39,10,19,14,1,6,16,3,12,23,45,4,413,78,10,30,3,22,410,156,113,1,7,139,20,20,26,83,319,6,96,11,14,19,6,139,19,14,2,11,4,308,9,92,8,10,88,83,72,322,200,0,1,0,True,0,0,0,0,450,4,0,14,200,37,38,14,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,nwsl::Football_Season::e7e78907d0b549aba3282000d7ed5437,nwsl::Football_Player::6035494d357f4ed6944f1626ca400398,opta:Player:c11wgnz0v95lj8ldtecp7wges,nwsl::Football_Team::c31d72afc09f42ee86418633aa41390a,Washington Spirit,Jill,Aguilera,J. Aguilera,Defender,Puerto Rico,14,2,,PRI,211,opta:Team:f1ks82wpiewyqs6h3oz9v4hzj,Spirit,WAS,Washington Spirit,US,11,176,0,0,4,0,0,0,0,2,2,0,0,0,0,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,,3,9,7,1,2,,3,4,6,2,176,,133,,26,,,,30,24,12,1,4,6,1,,10,2,1,,,5,1,76,8,2,17,,4,76,10,24,,2,31,2,11,13,3,46,,15,1,1,2,,21,3,1,,,14,45,2,9,1,10,16,13,3,46,46,,,0,True,0,0,0,0,76,1,0,1,46,0,7,1,0,True,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,nwsl::Football_Season::e7e78907d0b549aba3282000d7ed5437,nwsl::Football_Player::48396241af194827b6ecf96448925a00,opta:Player:b9zyytzb31lz9644187z6a13o,nwsl::Football_Team::ca719042b34443c4bcfe380ca4850eaf,San Diego Wave,Amirah,Ali,A. Ali,Forward,USA,7,4,,USA,186,opta:Team:esvbnzqbyvxp2k570ez7h1a1g,San Diego Wave,SD,San Diego Wave,US,17,467,2,0,13,0,6,0,8,3,15,3,1,0,64,65,6,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,,14,7,35,2,6,,9,29,11,4,467,,275,1,43,3,2,,42,35,90,12,7,5,1,2,12,3,1,6,11,27,1,120,39,15,14,1,13,120,73,15,,2,38,3,17,19,49,78,,37,1,4,17,4,36,9,5,,11,1,77,7,41,5,10,37,28,38,78,102,2,0,1,True,0,0,0,0,130,1,0,1,102,10,8,1,0,True,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,nwsl::Football_Season::e7e78907d0b549aba3282000d7ed5437,nwsl::Football_Player::a0afe0dd22bc4b4eb895446288d523c8,opta:Player:a79iaz3p6ag1g6qx8ws1y8ff8,nwsl::Football_Team::c3e9513e280b41e5bfbb8230076e8c43,Orlando Pride,Amanda,Allen,A. Allen,Forward,Canada,29,4,,CAN,266,opta:Team:966pdxhsoxaib9qt5083h8uus,Pride,ORL,Orlando Pride,US,3,9,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1,,,,,1,,,9,,5,,1,1,,,1,1,1,,,,,,3,,,,,1,,2,,,,,,2,1,1,,,,,3,,,1,,2,,,,1,,,,,,,1,,1,,10,1,1,,1,3,,,0,True,0,0,0,0,2,0,0,0,3,0,0,0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,nwsl::Football_Season::e7e78907d0b549aba3282000d7ed5437,nwsl::Football_Player::3fa6c6b9fff049ddb7e32f7ea04d33ca,opta:Player:23nuijdnnuiwzkd5cf7jbyajt,nwsl::Football_Team::c3e9513e280b41e5bfbb8230076e8c43,Orlando Pride,Angelina,Alonso Costantino,Angelina,Midfielder,Brazil,15,3,,BRA,253,opta:Team:966pdxhsoxaib9qt5083h8uus,Pride,ORL,Orlando Pride,US,4,33,0,0,0,0,0,0,1,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,,4,1,,,,3,,,33,,26,,12,,,,3,3,8,3,,,,,4,1,,,,3,,17,4,,1,,,17,7,6,,,3,1,4,,4,14,,4,,2,1,,2,,,1,1,,14,,4,,10,2,4,3,14,8,,,0,True,0,0,0,0,17,0,0,0,8,0,0,0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,nwsl::Football_Season::e7e78907d0b549aba3282000d7ed5437,nwsl::Football_Player::8772001989134074a48629a1110d6b62,opta:Player:edwr7f7jwnxm1plk91fx8hfro,nwsl::Football_Team::ca3f464d6b794a9087d441d75961403f,Houston Dash,Michelle,Alozie,M. Alozie,Forward,Nigeria,22,4,,NGA,153,opta:Team:c3v2ohfuzoqmc8ljm65hi80sj,Dash,HOU,Houston Dash,US,17,1013,4,1,23,0,9,1,8,15,14,3,1,1,65,66,9,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,,23,13,68,12,11,,26,46,9,5,1013,,494,1,75,3,,,73,59,141,11,14,7,7,3,4,6,1,9,17,52,3,210,65,14,17,1,23,209,109,26,,6,75,15,17,20,62,136,,57,3,3,32,6,65,26,13,9,21,20,130,11,79,10,10,82,44,41,137,210,2,2,1,True,0,0,0,0,239,3,0.09,7,210,29,21,7,0,True,14,1,,,1,1,3,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,nwsl::Football_Season::e7e78907d0b549aba3282000d7ed5437,nwsl::Football_Player::568564ac8f3547abaa1771d92b41e021,opta:Player:1tvu4rv4o96wqjzk836y9bp3p,nwsl::Football_Team::96ba7b37bd8544a1a7329183459150ff,Portland Thorns,Emily,Alvarado,E. Alvarado,Goalkeeper,Mexico,99,1,,MEX,269,opta:Team:446mp88j1vpk9iwui9fiifrp8,Thorns,POR,Portland Thorns,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,nwsl::Football_Season::e7e78907d0b549aba3282000d7ed5437,nwsl::Football_Player::8f646310f20a489f84c92d5c4b831d1b,opta:Player:9tbrhbbmfxq8l363kybl4g7ah,nwsl::Football_Team::ac29701756da44a08457762380c10733,Racing Louisville,Ariadina,Alves Borges,Ary Borges,Midfielder,Brazil,8,3,,BRA,41,opta:Team:dtucewmt49th1p4selfutmnmc,Racing Lou,LOU,Racing Louisville,US,18,1459,1,0,23,0,10,0,23,20,28,0,4,0,56,86,17,1.05,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,,10,14,77,21,13,15,12,29,20,12,1459,4,966,1,294,,6,4,103,84,185,37,13,16,34,1,1,11,1,10,13,30,1,688,191,28,38,5,23,648,155,131,1,15,196,20,18,30,95,545,4,112,7,14,30,9,298,7,17,1,17,4,551,5,90,6,10,77,170,78,585,176,1,0,0,True,0,0,0,0,705,1,0,34,176,17,53,34,0,True,1,2,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,nwsl::Football_Season::e7e78907d0b549aba3282000d7ed5437,nwsl::Football_Player::b31098033cad49f0b4e19ced007afc4f,opta:Player:5et546tgrpw51ep3kfbzdyx1x,nwsl::Football_Team::ca3f464d6b794a9087d441d75961403f,Houston Dash,Andressa,Alves da Silva,Andressa Alves,Midfielder,Brazil,10,3,,BRA,206,opta:Team:c3v2ohfuzoqmc8ljm65hi80sj,Dash,HOU,Houston Dash,US,5,309,1,0,9,0,3,0,5,5,7,0,0,0,40,76,2,0.58,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,,3,6,19,4,6,3,7,9,1,,309,3,149,1,29,,,,20,17,47,9,6,2,2,1,1,4,1,3,2,12,,81,27,7,9,2,9,80,37,15,,1,23,5,5,5,22,60,,27,,4,10,4,32,1,4,2,4,,59,4,25,4,10,18,16,18,61,44,1,0,0,True,0,0,0,0,88,0,0,2,44,7,5,2,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,nwsl::Football_Season::e7e78907d0b549aba3282000d7ed5437,nwsl::Football_Player::e4c0dd7de1294525a9f1635b7e210792,opta:Player:lg9muzm3sbiijicsik53m3je,nwsl::Football_Team::9587b8ce40624165903b6bc9fd252634,Angel City,Angelina,Anderson,A. Anderson,Goalkeeper,USA,19,1,,USA,2,opta:Team:6hbfgdczbi3yg4sdpqgtu6s,Angel City,LA,Angel City,US,5,450,0,0,0,0,0,0,0,0,0,0,0,0,100,82,4,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,36,,,5,,,,,,,,8,450,,255,,17,,,1,38,2,1,,,4,35,,,,,,,,,209,54,,17,,,165,,51,,1,104,,5,,1,142,,32,,,1,,154,,5,,1,,136,,,,10,21,,,171,38,,,0,True,0,0,0,0,209,0,0,35,38,0,71,35,0,True,,3,,,,,,,,,,,3,35,2,42,9,12,9,6,21,21,0,49,5,0,0,True,,,,,,,,,,,,,,,,,,,
