season,season_id,team_id,provider_id,official_name,short_name,acronym_name,media_name,country_code,team_type,games_played,total_points,total_wins,total_losses,total_draws,goals,goals_against,passes_accuracy,penalty_kick_taken,penalty_conceded,fouls_committed,fouls_suffered,total_offside,yellow_cards,red_cards,corners,total_distance_covered,avg_distance_covered,total_distance_covered_walking,average_distance_covered_walking,total_distance_covered_jogging,average_distance_covered_jogging,total_distance_covered_low_intensity_running,average_distance_covered_low_intensity_running,total_distance_covered_high_intensity_running,average_distance_covered_high_intensity_running,total_distance_covered_sprinting,average_distance_covered_sprinting,total_successful_final_third_pass,total_sub_goals,total_saves,average_possession,average_possession_time,crosses_complete_percentage,tackles_won_perc,aerial_duels_won_perc,duels_won_perc,defender_goals,midfielder_goals,forward_goals,possession_percentage,headed_goals,total_fouls_conceded,ground_duels,shots_on_target_inc_goals,foul_won_penalty,clearances_off_the_line,tackle_success,handballs_conceded,unsuccessful_corners_into_box,total_shots,points_gained_from_losing_positions,own_goals_accrued,corners_taken_incl_short_corners,gk_successful_distribution,goals_conceded_outside_box,duels,duels_lost,total_unsuccessful_passes_excl_crosses_corners,points_dropped_from_winning_positions,left_foot_goals,shots_on_conceded_inside_box,catches,unsuccessful_long_passes,offsides,passing_accuracy,total_clearances,putthrough_blocked_distribution_won,corners_won,duels_won,passing_opp_half,overruns,hit_woodwork,shots_on_conceded_outside_box,successful_crosses_corners,aerial_duels,penalty_goals,attempts_from_set_pieces,goals_from_inside_box,throw_ins_to_opposition_player,total_passes,drops,shooting_accuracy,right_foot_goals,successful_corners_into_box,shots_off_target_inc_woodwork,unsuccessful_passes_opposition_half,crossing_accuracy,interceptions,total_shots_conceded,key_passes_attempt_assists,successful_passes_own_half,recoveries,goal_assists,putthrough_blocked_distribution,successful_dribbles,unsuccessful_crosses_corners,unsuccessful_launches,successful_open_play_passes,goals_conceded_inside_box,other_goals,goals_conceded,times_tackled,tackles_won,blocked_shots,successful_lay_offs,goals_from_outside_box,unsuccessful_short_passes,aerial_duels_won,aerial_duels_lost,unsuccessful_dribbles,tackles_lost,successful_passes_opposition_half,goal_kicks,successful_long_passes,penalty_goals_conceded,total_fouls_won,successful_launches,goal_conversion,unsuccessful_crosses_open_play,total_losses_of_possession,throw_ins_to_own_player,successful_crosses_open_play,penalties_taken,total_successful_passes_excl_crosses_corners,blocks,penalties_conceded,gk_unsuccessful_distribution,open_play_passes,clean_sheets,ground_duels_lost,unsuccessful_lay_offs,foul_attempted_tackle,successful_short_passes,unsuccessful_passes_own_half,ground_duels_won,home_goals,away_goals,source_category_general,assists,total_attacking_assist,penalty_kick_goals,penalty_kick_percentage,total_scoring_attempts,on_target_scoring_attempts,accurate_shooting_percentage,corner_taken,source_category_attacking,accurate_pass,accurate_forward_pass,total_pass,accurate_pass_percentage,accurate_long_balls,long_ball_percentage,long_passes_successful,medium_passes_successful,source_category_passing,own_goals_conceded,last_man_tackle,straight_red_cards,penalties_off_target,set_pieces_goals,total_red_cards,penalties_saved,red_card_2nd_yellow,last_player_tackle
2023,nwsl::Football_Season::e7e78907d0b549aba3282000d7ed5437,nwsl::Football_Team::9587b8ce40624165903b6bc9fd252634,opta:Team:6hbfgdczbi3yg4sdpqgtu6s,Angel City,Angel City,LA,Angel City,US,club,23,31,8,7,7,31,31,75,2,5,247,218,53,30,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,3,247,1730,105,2,1,63.36,13,100,213,11,2,165,226,5,2390,1227,2333,12,12,80,12,622,53,74.04,441,210,165,1163,66.94,25,8,31,114,660,1,5,29,137,8986,1,49.3,12,40,108,2030,20.65,188,291,206,3429,1731,24,500,208,438,260,6262,26,2,31,450,268,98,54,2,1711,316,344,185,155,3338,174,448,5,218,70,14.55,315,3862,506,67,2,6653,50,5,40,8493,4,883,13,128,6205,741,847,16,15,True,24,24,1,50,213,105,49,165,True,0,0,9310,75,448,42,448,0,True,,,,,,,,,
2023,nwsl::Football_Season::e7e78907d0b549aba3282000d7ed5437,nwsl::Football_Team::269e825b853f4b43a9d38390aa92bf6e,opta:Team:dzxypx8djih58p668surbi4qm,Chicago Stars,Chicago Stars,CHI,Chicago Stars,US,club,22,24,7,12,3,28,50,77,2,4,230,222,31,26,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,7,230,1675,69,2,1,65.24,12,64,154,3,3,98,277,5,2092,1057,2094,3,5,104,14,624,31,76.25,477,207,98,1035,67.52,33,9,35,72,417,2,4,27,97,8817,,44.81,13,27,85,1476,25.26,221,341,142,4097,1558,16,461,221,213,228,6284,45,,50,458,244,58,95,1,1470,218,199,192,130,2698,209,448,4,222,60,18.18,131,3337,398,39,2,6723,81,6,55,8214,5,858,13,139,6275,831,817,14,14,True,16,16,2,100,154,69,45,98,True,0,0,8971,77,448,42,448,0,True,2,2,,,,,,,
2023,nwsl::Football_Season::e7e78907d0b549aba3282000d7ed5437,nwsl::Football_Team::c83f2ca05aa84c738b5373f0d2a31b39,opta:Team:bgkfdckqfqnfbmecbtz03n76d,Gotham FC,Gotham FC,GFC,Gotham FC,US,club,25,31,8,7,7,30,25,75,5,0,281,237,34,47,1,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1,281,1982,119,5,2,64.95,13,80,253,5,,146,195,2,2631,1333,2787,4,8,74,8,875,34,74.6,429,292,146,1298,66.08,40,20,18,89,649,4,7,24,164,10974,,47.04,21,29,134,2255,22.14,263,230,240,4403,1986,18,566,273,313,307,7754,23,,25,521,302,96,67,6,1912,325,324,236,163,3873,164,610,,237,94,11.86,212,4383,529,59,5,8187,56,,62,10368,8,1009,11,138,7577,845,973,9,21,True,18,18,4,80,253,119,47,146,True,0,0,11240,75,610,41,610,0,True,1,3,1,1,1,1,,,
2023,nwsl::Football_Season::e7e78907d0b549aba3282000d7ed5437,nwsl::Football_Team::ca3f464d6b794a9087d441d75961403f,opta:Team:c3v2ohfuzoqmc8ljm65hi80sj,Houston Dash,Dash,HOU,Houston Dash,US,club,22,26,6,8,8,16,18,73,1,2,236,186,31,27,3,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,2,236,1517,86,1,5,64.84,5,73,201,6,,97,207,3,1995,1079,2178,5,6,80,13,805,31,72.2,443,195,97,916,60.93,50,7,33,70,478,1,4,15,101,7835,1,42.79,8,18,115,1725,17.9,224,309,170,3467,1549,10,427,162,321,304,5330,15,,18,388,236,73,43,1,1373,206,272,170,128,2260,188,542,2,186,65,7.96,228,3440,466,49,1,5657,78,3,78,7322,8,807,6,128,5115,774,710,8,8,True,10,10,1,100,201,86,43,97,True,0,0,8109,73,542,40,542,0,True,1,,3,,,3,,,
2023,nwsl::Football_Season::e7e78907d0b549aba3282000d7ed5437,nwsl::Football_Team::2c1699409ff84c9eb491aeaca3d3edde,opta:Team:agxipc0vk4rtg09amjxv10nx0,Kansas City Current,KC Current,KC,Kansas City Current,US,club,22,26,8,12,2,30,36,76,4,3,207,238,34,27,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,2,207,1563,96,4,2,62.01,13,53,196,1,1,97,242,6,1917,969,2157,11,8,70,38,686,34,75.31,449,205,97,948,67.33,36,4,38,86,354,4,7,27,132,8736,,48.98,19,24,100,1613,25.83,223,309,166,3764,1637,20,461,184,247,230,6152,30,,36,387,222,58,44,3,1471,171,183,183,136,2901,179,451,3,238,51,15.31,183,3405,439,53,4,6579,83,4,34,8160,5,786,10,98,6128,791,777,15,15,True,20,20,4,100,196,96,49,97,True,0,0,8941,76,451,40,451,0,True,3,,,,,,1,,
2023,nwsl::Football_Season::e7e78907d0b549aba3282000d7ed5437,nwsl::Football_Team::fb41ef4439dd495098cb6d40415767cc,opta:Team:b4fbmos00gxtk8qnaqsm392p5,North Carolina Courage,Courage,NC,North Carolina Courage,US,club,23,33,9,7,6,29,24,83,3,3,216,220,52,25,2,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,1,216,1673,93,3,3,62.32,12,51,188,1,2,99,206,1,2107,1062,2139,12,3,63,15,694,52,82.11,344,206,99,1045,74.56,31,8,21,75,434,2,6,25,88,11955,2,49.47,23,26,95,1596,22.59,214,257,176,5892,1643,22,463,224,257,241,9440,23,,24,419,263,71,128,4,1445,179,255,177,159,3999,169,493,3,220,53,15.43,194,3399,494,46,3,9816,73,3,47,11437,10,807,20,111,9323,800,866,15,14,True,22,22,2,67,188,93,49,99,True,0,0,12159,83,493,42,493,0,True,1,,2,1,1,2,,,
2023,nwsl::Football_Season::e7e78907d0b549aba3282000d7ed5437,nwsl::Football_Team::c3e9513e280b41e5bfbb8230076e8c43,opta:Team:966pdxhsoxaib9qt5083h8uus,Orlando Pride,Pride,ORL,Orlando Pride,US,club,22,31,10,11,1,27,28,76,4,3,233,233,34,24,1,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,7,233,1806,103,4,3,61.93,7,76,211,6,1,122,193,2,2299,1120,1967,3,7,78,22,626,34,75.45,398,209,122,1179,67.31,30,12,38,96,493,4,6,26,71,8011,5,48.82,12,42,108,1572,24.18,194,286,191,3427,1588,18,436,229,301,201,5680,26,,28,450,283,81,54,1,1341,262,231,206,174,2713,151,449,3,233,44,12.8,213,3251,445,45,4,6044,74,4,47,7502,7,889,10,130,5595,696,917,18,9,True,18,18,4,100,211,103,49,122,True,0,0,8197,76,449,42,449,0,True,2,,1,,1,1,1,,
2023,nwsl::Football_Season::e7e78907d0b549aba3282000d7ed5437,nwsl::Football_Team::96ba7b37bd8544a1a7329183459150ff,opta:Team:446mp88j1vpk9iwui9fiifrp8,Portland Thorns,Thorns,POR,Portland Thorns,US,club,23,35,10,7,5,42,33,78,2,3,179,196,45,21,1,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,3,179,1707,151,2,,64.86,9,79,291,6,,124,192,4,2199,1058,2280,15,17,80,30,737,45,77.17,470,269,124,1141,69.87,38,12,23,86,492,2,1,35,93,9985,1,51.89,22,34,140,1812,21.99,222,284,263,4211,1728,31,514,249,305,262,7352,29,,33,412,299,95,77,7,1543,242,250,190,162,3580,206,549,3,196,78,14.43,214,3588,505,48,2,7705,77,3,78,9429,6,808,6,100,7156,773,899,23,19,True,31,31,2,100,291,151,52,124,True,0,0,10203,78,549,43,549,0,True,2,1,1,,,1,,,
2023,nwsl::Football_Season::e7e78907d0b549aba3282000d7ed5437,nwsl::Football_Team::ac29701756da44a08457762380c10733,opta:Team:dtucewmt49th1p4selfutmnmc,Racing Louisville,Racing Lou,LOU,Racing Louisville,US,club,22,27,6,7,9,25,24,77,6,3,239,265,50,32,2,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,4,239,1629,111,6,3,59.94,16,75,236,12,2,119,265,1,2066,1039,1915,6,7,76,20,632,50,76.75,399,214,119,1027,68.75,30,10,39,95,437,5,8,22,92,8236,,47.03,12,27,125,1606,21.94,236,350,229,3532,1681,11,411,195,338,194,5931,23,,24,379,214,86,33,3,1283,212,225,174,143,2884,187,436,3,265,57,10.59,242,3218,392,59,6,6321,99,3,49,7696,6,814,14,109,5885,647,815,18,7,True,11,11,5,83,236,111,47,119,True,0,0,8505,77,436,41,436,0,True,,,1,1,,2,,1,
2023,nwsl::Football_Season::e7e78907d0b549aba3282000d7ed5437,nwsl::Football_Team::ca719042b34443c4bcfe380ca4850eaf,opta:Team:esvbnzqbyvxp2k570ez7h1a1g,San Diego Wave,San Diego Wave,SD,San Diego Wave,US,club,23,37,11,7,4,31,23,76,2,3,232,249,64,32,1,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,5,232,1508,114,2,1,58.91,17,63,213,4,1,110,266,4,2088,1010,2268,8,11,64,22,723,64,75.36,468,215,110,1078,62.44,19,10,33,94,580,2,3,26,103,9206,3,53.52,14,37,99,1780,23.5,218,296,177,4488,1565,19,507,159,306,245,6506,19,,23,335,228,75,49,5,1545,289,291,148,159,2544,193,561,3,249,76,14.55,229,3471,531,51,2,6938,92,3,34,8662,9,719,7,104,6377,794,789,18,13,True,19,19,2,100,213,114,54,110,True,0,0,9423,76,561,44,561,0,True,1,1,1,,,1,,,
