season,season_id,player_id,provider_id,team_team_id,team_official_name,media_first_name,media_last_name,short_name,role_label,nationality,bib_number,role,display_name,nationality_iso_code,rank_label,team_provider_id,team_short_name,team_acronym_name,team_media_name,team_country_code,games_played,minutes_played,goals,assists,total_scoring_attempts,goal_involvements,on_target_scoring_attempts,total_attacking_assist,tackles_won,fouls_committed,fouls_suffered,total_offside,yellow_cards,red_cards,aerials_won_perc,accurate_pass_percentage,goals_conceded,goals_against_average,corners,goals_free_kick,hit_woodwork,penalty_attempts,penalties_successful,yellow_red_cards,xg,xgefficiency,tackles_won_perc,duels_won_perc,aerial_duels_won_perc,crosses_complete_percentage,total_distance_covered,avg_distance_covered,total_distance_covered_walking,average_distance_covered_walking,total_distance_covered_jogging,average_distance_covered_jogging,total_distance_covered_low_intensity_running,average_distance_covered_low_intensity_running,total_distance_covered_sprinting,average_distance_covered_sprinting,total_distance_covered_high_intensity_running,average_distance_covered_high_intensity_running,sprints,ground_duels_lost,total_losses_of_possession,index,clean_sheets,backward_passes,starts,interceptions,total_clearances,successful_long_passes,left_foot_goals,total_successful_passes_excl_crosses_corners,goals_conceded_outside_box,total_passes,assists_intentional,key_passes_attempt_assists,appearances,unsuccessful_lay_offs,leftside_passes,shots_off_target_inc_woodwork,total_shots,blocks,substitute_on,goal_assists,successful_launches,time_played,rightside_passes,unsuccessful_long_passes,unsuccessful_dribbles,successful_lay_offs,substitute_off,putthrough_blocked_distribution,unsuccessful_passes_own_half,forward_passes,total_unsuccessful_passes_excl_crosses_corners,recoveries,total_fouls_won,aerial_duels_lost,unsuccessful_launches,tackles_lost,putthrough_blocked_distribution_won,corners_taken_incl_short_corners,ground_duels,open_play_passes,unsuccessful_passes_opposition_half,penalty_goals_conceded,touches,total_tackles,times_tackled,goals_conceded_inside_box,successful_passes_own_half,total_fouls_conceded,successful_open_play_passes,unsuccessful_corners_into_box,successful_dribbles,blocked_shots,successful_short_passes,throw_ins_to_opposition_player,shots_on_target_inc_goals,offsides,successful_crosses_open_play,handballs_conceded,successful_passes_opposition_half,duels_lost,unsuccessful_crosses_corners,duels,corners_won,penalties_conceded,unsuccessful_crosses_open_play,throw_ins_to_own_player,foul_attempted_tackle,successful_crosses_corners,aerial_duels,unsuccessful_short_passes,ground_duels_won,duels_won,total_touches_in_opposition_box,aerial_duels_won,goals_from_inside_box,home_goals,away_goals,winning_goal,source_category_general,average_speed,top_speed,accurate_pass,accurate_forward_pass,total_pass,cross,assists_average_over_90_minutes,accurate_long_balls,turnover,cross_attempts,long_pass_attempts,long_passes_successful,medium_passes_successful,source_category_passing,through_balls,successful_corners_into_box,overruns,other_goals,right_foot_goals,second_goal_assists,goals_from_outside_box,headed_goals,attempts_from_set_pieces,gk_successful_distribution,drops,saves_made,goal_kicks,catches,saves_made_parried,saves_made_from_inside_box,punches,saves_made_from_outside_box,saves_made_caught,gk_unsuccessful_distribution,penalties_saved,penalties_faced,saves_from_penalty,last_player_tackle,foul_won_penalty,clearances_off_the_line,red_cards_2nd_yellow,penalty_goals,penalties_taken,total_red_cards,own_goal_scored,goalkeeper_smother,saves,penalty_conceded,long_ball_percentage,total_cleareance,goalkeeper_saves_per_90_min,goalkeeper_saves_per_match,source_category_goalkeeping,penalties_off_target,set_pieces_goals,straight_red_cards,crosses_not_claimed
2024,nwsl::Football_Season::fe17bea0b7234cf7957c7249cb828270,nwsl::Football_Player::a79161648fb0412187766de7176ab440,opta:Player:dyfsbff9jueyw5jhjou424bo4,nwsl::Football_Team::c3e9513e280b41e5bfbb8230076e8c43,Orlando Pride,Kerry,Abello,K. Abello,Defender,USA,25,2,,USA,26,opta:Team:966pdxhsoxaib9qt5083h8uus,Pride,ORL,Orlando Pride,US,29,2378,1,2,9,3,5,2,34,23,16,1,3,0,0,81,22,0.83,1,0,0,0,0,0,0,0,53.12,49.4,59.26,14.58,0,0,0,0,0,0,0,0,0,0,0,0,0,115,425,10,9,211,28,26,65,35,1,905,4,1123,2,16,29,1,83,4,9,10,1,2,10,2378,341,63,27,2,9,64,92,488,218,125,16,11,44,30,24,1,222,1100,167,2,1853,64,67,18,504,23,883,1,27,3,870,46,5,1,7,2,408,126,41,249,14,1,39,219,12,7,27,155,107,123,40,16,1,1,0,0,True,0,0,0,0,1171,7,0.08,35,425,48,98,35,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,nwsl::Football_Season::fe17bea0b7234cf7957c7249cb828270,nwsl::Football_Player::aaf2552ae4c54dcfa1ec352db94d8b0f,opta:Player:e2q91279c3j489oaaqgb6iwb8,nwsl::Football_Team::1151140adfc24339ba1c93cb0b6b0238,Seattle Reign,Emeri,Adames,E. Adames,Forward,USA,47,4,,USA,263,opta:Team:bl53jk6zlfe5f583pil7xzwi5,Reign,SEA,Seattle Reign,US,21,535,1,0,16,1,4,0,7,7,1,1,0,0,0,64,15,2.52,13,0,1,0,0,0,0,0,63.64,34.21,46.15,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,43,143,10,,30,6,7,2,2,1,89,,141,,5,21,,28,12,16,1,15,,1,535,39,8,22,2,6,19,14,44,52,24,1,7,2,4,7,13,63,137,67,2,316,11,28,15,21,7,85,8,8,2,87,1,4,1,4,1,75,50,29,76,7,,20,2,3,7,13,44,20,26,34,6,1,0,1,0,True,0,0,0,0,177,4,0,2,143,36,10,2,0,True,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,nwsl::Football_Season::fe17bea0b7234cf7957c7249cb828270,nwsl::Football_Player::48396241af194827b6ecf96448925a00,opta:Player:b9zyytzb31lz9644187z6a13o,nwsl::Football_Team::ca719042b34443c4bcfe380ca4850eaf,San Diego Wave,Amirah,Ali,A. Ali,Forward,USA,7,4,,USA,274,opta:Team:esvbnzqbyvxp2k570ez7h1a1g,San Diego Wave,SD,San Diego Wave,US,14,567,1,0,9,1,5,0,5,7,8,1,0,0,0,74,11,1.75,0,0,0,0,0,0,0,0,62.5,39.66,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,89,10,,38,4,5,2,2,,80,1,109,,5,14,1,24,4,9,1,10,,,567,24,1,4,9,4,9,4,23,29,18,8,5,1,3,2,,50,97,32,,229,8,20,10,23,7,68,,4,3,78,,5,1,,1,57,35,7,58,5,,7,2,4,,8,28,20,23,30,3,1,0,1,0,True,0,0,0,0,116,0,0,2,89,7,3,2,0,True,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,nwsl::Football_Season::fe17bea0b7234cf7957c7249cb828270,nwsl::Football_Player::a0afe0dd22bc4b4eb895446288d523c8,opta:Player:a79iaz3p6ag1g6qx8ws1y8ff8,nwsl::Football_Team::c3e9513e280b41e5bfbb8230076e8c43,Orlando Pride,Amanda,Allen,A. Allen,Forward,Canada,29,4,,CAN,326,opta:Team:966pdxhsoxaib9qt5083h8uus,Pride,ORL,Orlando Pride,US,8,82,0,1,1,0,0,1,4,1,0,0,1,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,25,10,,7,,,1,,,22,,31,1,2,8,,10,1,1,,8,1,,82,3,1,2,,,9,4,11,9,8,,,,2,5,,20,31,5,,76,6,9,,10,1,22,,3,,22,2,,,,,12,11,,20,2,,,3,1,,,8,9,9,4,,,,,0,True,0,0,0,0,31,0,1.1,0,25,0,1,0,0,True,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,nwsl::Football_Season::fe17bea0b7234cf7957c7249cb828270,nwsl::Football_Player::963846c568d34a539e360dcd93046ebd,opta:Player:4yor5z7hocccrrs0p85jf179w,nwsl::Football_Team::19674698cec24f53af8866cd21abaf8f,Bay,Emmie,Allen,E. Allen,Goalkeeper,USA,32,1,,USA,361,opta:Team:eka22bj7co8bw5qxa6qlbinf8,Bay,BAY,Bay,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,nwsl::Football_Season::fe17bea0b7234cf7957c7249cb828270,nwsl::Football_Player::3fa6c6b9fff049ddb7e32f7ea04d33ca,opta:Player:23nuijdnnuiwzkd5cf7jbyajt,nwsl::Football_Team::c3e9513e280b41e5bfbb8230076e8c43,Orlando Pride,Angelina,Alonso Costantino,Angelina,Midfielder,Brazil,15,3,,BRA,50,opta:Team:966pdxhsoxaib9qt5083h8uus,Pride,ORL,Orlando Pride,US,24,1753,2,3,15,5,7,3,24,21,24,1,2,0,0,82,18,0.92,34,0,1,0,0,0,0,0,53.33,51.89,42.86,5.17,0,0,0,0,0,0,0,0,0,0,0,0,0,77,276,10,3,184,19,24,19,54,,735,4,907,2,29,24,,208,8,15,2,5,3,4,1753,240,34,14,9,8,44,47,275,172,127,24,12,14,21,25,34,164,862,171,2,1234,45,27,14,351,21,696,25,18,6,681,,7,1,3,,397,89,46,185,6,1,13,4,10,13,21,138,87,96,18,9,1,1,1,1,True,0,0,0,0,965,3,0.15,54,276,58,88,54,0,True,5,9,,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,nwsl::Football_Season::fe17bea0b7234cf7957c7249cb828270,nwsl::Football_Player::8772001989134074a48629a1110d6b62,opta:Player:edwr7f7jwnxm1plk91fx8hfro,nwsl::Football_Team::ca3f464d6b794a9087d441d75961403f,Houston Dash,Michelle,Alozie,M. Alozie,Forward,Nigeria,22,4,,NGA,208,opta:Team:c3v2ohfuzoqmc8ljm65hi80sj,Dash,HOU,Houston Dash,US,24,1347,0,1,16,1,6,1,8,17,18,11,3,0,0,69,23,1.54,0,0,0,0,0,0,0,0,50,35.09,45.45,12.9,0,0,0,0,0,0,0,0,0,0,0,0,0,93,259,10,1,80,14,7,12,1,,187,4,274,1,8,24,,62,10,16,3,10,1,,1347,55,15,28,4,9,43,24,77,87,63,18,18,9,8,15,,138,263,90,2,624,16,68,19,78,17,176,,11,10,186,13,6,11,4,,113,111,27,171,18,,27,34,8,4,33,72,45,60,74,15,,,,0,True,0,0,0,0,305,4,0.07,1,259,31,16,1,0,True,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,nwsl::Football_Season::fe17bea0b7234cf7957c7249cb828270,nwsl::Football_Player::568564ac8f3547abaa1771d92b41e021,opta:Player:1tvu4rv4o96wqjzk836y9bp3p,nwsl::Football_Team::96ba7b37bd8544a1a7329183459150ff,Portland Thorns,Emily,Alvarado,E. Alvarado,Goalkeeper,Mexico,99,1,,MEX,362,opta:Team:446mp88j1vpk9iwui9fiifrp8,Thorns,POR,Portland Thorns,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,nwsl::Football_Season::fe17bea0b7234cf7957c7249cb828270,nwsl::Football_Player::8f646310f20a489f84c92d5c4b831d1b,opta:Player:9tbrhbbmfxq8l363kybl4g7ah,nwsl::Football_Team::ac29701756da44a08457762380c10733,Racing Louisville,Ariadina,Alves Borges,Ary Borges,Midfielder,Brazil,8,3,,BRA,142,opta:Team:dtucewmt49th1p4selfutmnmc,Racing Lou,LOU,Racing Louisville,US,14,826,1,2,14,3,6,2,16,17,11,0,3,0,0,83,14,1.53,1,0,0,0,0,0,0,0,61.54,48.15,40.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,108,10,,89,10,10,22,13,,373,2,452,2,6,14,3,133,8,14,1,4,2,3,826,107,17,2,6,5,20,42,123,79,73,11,13,12,10,8,1,86,435,43,2,605,26,8,12,189,17,356,,6,2,360,,6,,,,186,56,6,108,,,5,2,14,2,22,62,43,52,13,9,1,1,0,0,True,0,0,0,0,458,0,0.22,13,108,6,30,13,0,True,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,nwsl::Football_Season::fe17bea0b7234cf7957c7249cb828270,nwsl::Football_Player::b31098033cad49f0b4e19ced007afc4f,opta:Player:5et546tgrpw51ep3kfbzdyx1x,nwsl::Football_Team::ca3f464d6b794a9087d441d75961403f,Houston Dash,Andressa,Alves da Silva,Andressa Alves,Midfielder,Brazil,10,3,,BRA,167,opta:Team:c3v2ohfuzoqmc8ljm65hi80sj,Dash,HOU,Houston Dash,US,24,1186,1,1,14,2,8,1,20,31,28,3,3,0,0,74,21,1.59,32,0,2,0,0,0,0,0,71.43,43.53,23.33,4.35,0,0,0,0,0,0,0,0,0,0,0,0,0,73,193,10,,98,15,15,9,15,,275,3,373,1,18,24,6,95,6,14,3,9,1,1,1186,86,20,14,7,11,25,25,94,98,57,28,23,9,8,14,32,140,356,105,3,641,28,26,18,113,31,260,17,11,3,260,,8,3,2,1,176,96,32,170,9,1,9,5,23,14,30,78,67,74,33,7,1,1,0,0,True,0,0,0,0,419,2,0.08,15,193,46,35,15,0,True,1,12,2,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
