season,season_id,team_id,provider_id,official_name,short_name,acronym_name,media_name,country_code,team_type,games_played,total_points,total_wins,total_losses,total_draws,goals,goals_against,passes_accuracy,penalty_kick_taken,penalty_conceded,fouls_committed,fouls_suffered,total_offside,yellow_cards,red_cards,corners,total_distance_covered,avg_distance_covered,total_distance_covered_walking,average_distance_covered_walking,total_distance_covered_jogging,average_distance_covered_jogging,total_distance_covered_low_intensity_running,average_distance_covered_low_intensity_running,total_distance_covered_high_intensity_running,average_distance_covered_high_intensity_running,total_distance_covered_sprinting,average_distance_covered_sprinting,total_successful_final_third_pass,total_sub_goals,total_saves,average_possession,average_possession_time,crosses_complete_percentage,tackles_won_perc,aerial_duels_won_perc,duels_won_perc,defender_goals,midfielder_goals,forward_goals,own_goals_accrued,possession_percentage,aerial_duels_won,ground_duels_won,total_fouls_conceded,successful_corners_into_box,goals_from_inside_box,goal_kicks,blocked_shots,offsides,catches,goal_assists,unsuccessful_short_passes,points_dropped_from_winning_positions,corners_won,unsuccessful_passes_own_half,shots_on_target_inc_goals,total_successful_passes_excl_crosses_corners,last_player_tackle,goals_conceded,key_passes_attempt_assists,headed_goals,drops,shots_on_conceded_outside_box,unsuccessful_crosses_open_play,total_passes,open_play_passes,successful_crosses_open_play,unsuccessful_dribbles,total_shots_conceded,clearances_off_the_line,passing_opp_half,successful_short_passes,successful_passes_own_half,unsuccessful_passes_opposition_half,ground_duels,aerial_duels,times_tackled,shots_off_target_inc_woodwork,unsuccessful_long_passes,foul_attempted_tackle,successful_dribbles,points_gained_from_losing_positions,total_fouls_won,foul_won_penalty,goal_conversion,penalties_taken,penalty_goals,hit_woodwork,corners_taken_incl_short_corners,total_losses_of_possession,putthrough_blocked_distribution,duels,overruns,passing_accuracy,gk_successful_distribution,total_unsuccessful_passes_excl_crosses_corners,crossing_accuracy,clean_sheets,throw_ins_to_own_player,successful_crosses_corners,recoveries,shooting_accuracy,successful_open_play_passes,tackle_success,successful_passes_opposition_half,unsuccessful_crosses_corners,attempts_from_set_pieces,set_pieces_goals,successful_long_passes,right_foot_goals,putthrough_blocked_distribution_won,successful_launches,duels_lost,penalty_goals_conceded,penalties_conceded,total_clearances,blocks,goals_conceded_outside_box,unsuccessful_lay_offs,goals_from_outside_box,handballs_conceded,duels_won,unsuccessful_corners_into_box,throw_ins_to_opposition_player,tackles_won,unsuccessful_launches,total_shots,tackles_lost,shots_on_conceded_inside_box,ground_duels_lost,aerial_duels_lost,goals_conceded_inside_box,left_foot_goals,interceptions,successful_lay_offs,gk_unsuccessful_distribution,home_goals,away_goals,source_category_general,assists,total_attacking_assist,penalty_kick_goals,penalty_kick_percentage,total_scoring_attempts,on_target_scoring_attempts,accurate_shooting_percentage,corner_taken,source_category_attacking,accurate_pass,accurate_forward_pass,total_pass,accurate_pass_percentage,accurate_long_balls,long_ball_percentage,long_passes_successful,medium_passes_successful,source_category_passing,penalties_saved,other_goals,own_goals_conceded,total_red_cards,straight_red_cards,red_card_2nd_yellow,penalties_off_target
2024,nwsl::Football_Season::fe17bea0b7234cf7957c7249cb828270,nwsl::Football_Team::9587b8ce40624165903b6bc9fd252634,opta:Team:6hbfgdczbi3yg4sdpqgtu6s,Angel City,Angel City,LA,Angel City,US,club,26,1,0,2,1,29,42,79,4,2,284,286,51,45,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.44,62.75,51.86,49.85,0,0,0,2,54,293,1018,284,42,25,215,87,51,18,18,1666,18,139,965,117,9095,3,42,191,4,2,37,252,11550,10918,56,248,342,2,70.57,8569,5522,1833,2065,565,580,95,789,177,196,2,286,4,13.68,4,3,9,139,4028,529,2630,39,78.74,265,2455,23.44,4,574,105,1437,55.19,8592,62.75,3678,343,6,1,526,14,244,144,1319,2,2,635,77,3,9,4,7,1311,69,115,342,456,212,203,100,1047,272,39,9,263,116,43,15,14,True,18,18,3,75,212,117,55,139,True,0,0,11789,79,526,40,526,0,True,,,,,,,
2024,nwsl::Football_Season::fe17bea0b7234cf7957c7249cb828270,nwsl::Football_Team::19674698cec24f53af8866cd21abaf8f,opta:Team:eka22bj7co8bw5qxa6qlbinf8,Bay,Bay,BAY,Bay,US,club,27,3,1,2,0,32,43,79,2,3,309,204,42,36,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.97,62.39,46.85,47.88,0,0,0,2,49,260,994,309,36,29,191,94,42,41,21,1711,11,160,828,116,8880,,43,232,4,2,37,262,11363,10806,75,284,348,4,69.69,8364,5075,2023,2064,555,588,137,772,159,217,6,204,2,12.65,2,2,10,160,4264,580,2619,46,78.15,289,2483,23.97,6,529,116,1634,45.85,8440,62.39,3921,368,2,,516,20,284,107,1365,3,5,541,89,5,21,3,14,1254,83,190,360,393,253,217,93,1070,295,38,5,293,129,36,13,19,True,21,21,2,100,253,116,46,160,True,0,0,11676,79,516,40,516,0,True,2,1,3,,,,
2024,nwsl::Football_Season::fe17bea0b7234cf7957c7249cb828270,nwsl::Football_Team::269e825b853f4b43a9d38390aa92bf6e,opta:Team:dzxypx8djih58p668surbi4qm,Chicago Stars,Chicago Stars,CHI,Chicago Stars,US,club,27,7,2,0,1,32,42,73,4,2,257,229,49,32,1,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.81,62.94,49.51,51.24,0,0,0,1,42,354,930,257,26,29,296,63,49,13,20,1510,5,104,937,92,6763,1,42,158,5,3,48,162,9291,8591,43,218,460,6,60.34,6175,4342,1831,1791,715,447,96,1018,147,172,5,229,4,17.02,4,2,12,104,3981,471,2506,27,72.79,310,2528,23.81,6,418,75,1463,48.94,6302,62.94,2496,240,3,,588,17,237,176,1222,2,3,732,144,7,15,3,14,1284,53,235,338,565,188,199,94,861,361,35,9,264,64,115,12,20,True,20,20,2,50,188,92,49,104,True,0,0,9472,73,588,37,588,0,True,,,3,1,1,,
2024,nwsl::Football_Season::fe17bea0b7234cf7957c7249cb828270,nwsl::Football_Team::c83f2ca05aa84c738b5373f0d2a31b39,opta:Team:bgkfdckqfqnfbmecbtz03n76d,Gotham FC,Gotham FC,GFC,Gotham FC,US,club,28,3,1,1,0,44,22,79,3,3,331,290,51,50,2,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.51,67.46,52.16,48.13,0,0,0,1,53,362,1052,331,44,39,165,102,51,37,31,1798,6,139,799,152,9793,2,22,272,7,4,28,279,12452,11814,85,262,267,1,70.86,9108,5271,2221,2244,694,660,140,861,180,224,2,290,3,15.07,3,2,15,139,4547,598,2938,45,78.65,206,2659,27.51,9,510,137,1814,52.05,9296,67.46,4659,361,3,,685,27,294,142,1524,3,3,437,55,3,16,5,9,1414,64,203,369,440,292,178,83,1192,332,19,9,276,75,57,25,19,True,31,31,2,67,292,152,52,139,True,0,0,12761,79,685,44,685,0,True,,,1,2,,2,
2024,nwsl::Football_Season::fe17bea0b7234cf7957c7249cb828270,nwsl::Football_Team::ca3f464d6b794a9087d441d75961403f,opta:Team:c3v2ohfuzoqmc8ljm65hi80sj,Houston Dash,Dash,HOU,Houston Dash,US,club,26,4,1,1,1,20,42,77,3,4,304,294,42,47,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.81,61.95,44.25,47.2,0,0,0,1,47,254,992,304,32,19,213,76,42,21,13,1513,3,115,851,82,7543,2,42,167,2,,42,203,9822,9167,54,243,414,3,66.85,6929,4663,1725,2066,574,561,104,766,181,176,4,294,3,10.75,3,2,6,115,3783,505,2640,31,76.8,299,2279,24.81,8,477,98,1501,44.09,7039,61.95,2978,297,4,,614,8,259,131,1394,4,5,573,111,5,21,1,15,1246,69,116,324,389,186,199,121,1074,320,37,9,290,96,56,9,11,True,13,13,2,67,186,82,44,115,True,0,0,10040,77,614,44,614,0,True,1,,1,,,,
2024,nwsl::Football_Season::fe17bea0b7234cf7957c7249cb828270,nwsl::Football_Team::2c1699409ff84c9eb491aeaca3d3edde,opta:Team:agxipc0vk4rtg09amjxv10nx0,Kansas City Current,KC Current,KC,Kansas City Current,US,club,28,9,3,0,0,60,34,77,4,1,287,239,56,31,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.46,65.75,50.7,51.04,0,0,0,1,47,288,1115,287,35,54,175,134,56,21,35,1796,11,137,803,179,8642,,34,306,3,2,41,240,11308,10757,86,270,312,2,66.97,7974,4864,2202,2181,568,561,182,870,175,260,12,239,4,16.62,4,4,10,137,4336,596,2749,44,76.42,272,2666,26.46,10,546,122,1717,49.58,8202,65.75,3900,339,4,1,668,35,306,169,1346,1,1,546,89,5,9,6,8,1403,75,143,407,494,361,212,80,1066,280,29,21,366,72,41,38,22,True,35,35,4,100,361,179,50,137,True,0,0,11633,77,668,43,668,0,True,,,2,,,,
2024,nwsl::Football_Season::fe17bea0b7234cf7957c7249cb828270,nwsl::Football_Team::fb41ef4439dd495098cb6d40415767cc,opta:Team:b4fbmos00gxtk8qnaqsm392p5,North Carolina Courage,Courage,NC,North Carolina Courage,US,club,27,6,2,1,0,34,29,84,3,2,244,250,56,29,1,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.17,64.58,49.61,48.39,0,0,0,2,58,255,977,244,24,29,206,64,56,15,21,1669,3,106,886,104,11858,1,29,199,5,1,34,252,14243,13645,63,251,340,3,74.55,11310,7467,1829,2032,514,604,124,716,137,202,11,250,3,14.91,3,1,10,106,3973,539,2546,26,83.25,277,2385,22.17,6,604,94,1584,45.61,11364,64.58,4485,330,4,,548,25,257,106,1314,2,3,479,100,4,18,5,8,1232,64,95,341,328,228,187,83,1055,259,25,2,281,154,40,22,12,True,21,21,1,33,228,104,46,106,True,0,0,14527,84,548,43,548,0,True,1,,2,1,,1,1
2024,nwsl::Football_Season::fe17bea0b7234cf7957c7249cb828270,nwsl::Football_Team::c3e9513e280b41e5bfbb8230076e8c43,opta:Team:966pdxhsoxaib9qt5083h8uus,Orlando Pride,Pride,ORL,Orlando Pride,US,club,29,3,0,0,3,54,23,81,6,2,278,343,44,35,3,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22,60.18,45.85,49.88,0,0,0,3,50,243,1162,278,40,49,238,133,44,26,30,1541,4,166,808,175,9580,,23,298,8,5,51,274,11948,11237,75,285,351,1,72.25,8949,5518,1973,2287,530,633,153,827,156,271,2,343,6,16.46,6,6,11,166,4166,539,2817,36,80.18,308,2368,22.22,14,552,118,1683,53.35,9040,60.18,4180,413,13,,631,27,254,131,1412,2,2,510,85,4,8,5,6,1405,113,117,334,438,328,221,68,1125,287,19,16,261,108,61,35,19,True,30,30,6,100,328,175,53,166,True,0,0,12286,81,631,43,631,0,True,,,1,3,,3,
2024,nwsl::Football_Season::fe17bea0b7234cf7957c7249cb828270,nwsl::Football_Team::96ba7b37bd8544a1a7329183459150ff,opta:Team:446mp88j1vpk9iwui9fiifrp8,Portland Thorns,Thorns,POR,Portland Thorns,US,club,27,1,0,2,1,38,37,79,3,0,269,267,48,30,1,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.76,61.11,49.01,50.71,0,0,0,,49,273,1054,269,27,34,222,99,48,25,30,1661,5,96,813,152,9294,1,37,269,2,4,30,197,11818,11199,51,231,365,6,70.67,8706,5171,1987,2060,557,537,126,863,140,197,2,267,3,13.67,3,3,8,96,4027,496,2617,33,78.64,234,2524,23.76,9,518,86,1638,54.68,8870,61.11,4209,276,2,,588,24,244,122,1290,,1,527,104,4,13,4,16,1327,59,120,363,500,278,231,101,1006,284,33,12,315,87,84,22,16,True,30,30,3,100,278,152,55,96,True,0,0,12033,79,588,41,588,0,True,1,,,1,,1,
2024,nwsl::Football_Season::fe17bea0b7234cf7957c7249cb828270,nwsl::Football_Team::ac29701756da44a08457762380c10733,opta:Team:dtucewmt49th1p4selfutmnmc,Racing Louisville,Racing Lou,LOU,Racing Louisville,US,club,26,3,0,0,3,33,39,80,4,5,280,311,54,40,1,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.2,59.05,60.36,53.48,0,0,0,1,47,300,1006,280,30,30,190,55,54,10,20,1539,14,84,761,117,8421,1,39,203,8,1,35,206,10625,10053,74,222,348,1,69.68,7874,5105,1718,1945,497,459,132,665,168,195,8,311,4,13.25,4,3,10,84,3554,461,2442,41,79.26,232,2204,30.2,5,468,119,1522,46.99,7962,59.05,3435,275,10,1,547,17,229,141,1136,5,5,526,111,8,20,3,7,1306,42,93,297,373,249,206,80,939,197,31,7,315,81,44,20,13,True,20,20,3,75,249,117,47,84,True,0,0,10870,80,547,45,547,0,True,,,3,1,1,,
