season,season_id,player_id,provider_id,team_team_id,team_official_name,media_first_name,media_last_name,short_name,role_label,nationality,bib_number,role,display_name,nationality_iso_code,rank_label,team_provider_id,team_short_name,team_acronym_name,team_media_name,team_country_code,games_played,minutes_played,goals,assists,total_scoring_attempts,goal_involvements,on_target_scoring_attempts,total_attacking_assist,tackles_won,fouls_committed,fouls_suffered,total_offside,yellow_cards,red_cards,aerials_won_perc,accurate_pass_percentage,goals_conceded,goals_against_average,corners,goals_free_kick,hit_woodwork,penalty_attempts,penalties_successful,yellow_red_cards,xg,xgefficiency,tackles_won_perc,duels_won_perc,aerial_duels_won_perc,crosses_complete_percentage,total_distance_covered,avg_distance_covered,total_distance_covered_walking,average_distance_covered_walking,total_distance_covered_jogging,average_distance_covered_jogging,total_distance_covered_low_intensity_running,average_distance_covered_low_intensity_running,total_distance_covered_sprinting,average_distance_covered_sprinting,total_distance_covered_high_intensity_running,average_distance_covered_high_intensity_running,sprints,aerial_duels,aerial_duels_lost,aerial_duels_won,appearances,backward_passes,blocked_shots,blocks,carries,clean_sheets,corners_won,duels,duels_lost,duels_won,final_third_touches,forward_passes,foul_attempted_tackle,goals_conceded_inside_box,goals_conceded_outside_box,goals_from_outside_box,ground_duels,ground_duels_lost,ground_duels_won,handballs_conceded,index,interceptions,key_passes_attempt_assists,left_foot_goals,leftside_passes,offsides,open_play_passes,overruns,own_goal_scored,penalty_goals_conceded,progressive_carries,putthrough_blocked_distribution,putthrough_blocked_distribution_won,recoveries,rightside_passes,shots_off_target_inc_woodwork,shots_on_target_inc_goals,starts,substitute_off,substitute_on,successful_crosses_corners,successful_crosses_open_play,successful_dribbles,successful_launches,successful_lay_offs,successful_long_passes,successful_open_play_passes,successful_passes_opposition_half,successful_passes_own_half,successful_short_passes,tackles_lost,throw_ins_to_opposition_player,throw_ins_to_own_player,time_played,times_tackled,total_clearances,total_fouls_conceded,total_fouls_won,total_losses_of_possession,total_passes,total_shots,total_successful_passes_excl_crosses_corners,total_tackles,total_touches_in_opposition_box,total_unsuccessful_passes_excl_crosses_corners,touches,unsuccessful_crosses_corners,unsuccessful_crosses_open_play,unsuccessful_dribbles,unsuccessful_launches,unsuccessful_long_passes,unsuccessful_passes_opposition_half,unsuccessful_passes_own_half,unsuccessful_short_passes,home_goals,away_goals,winning_goal,source_category_general,average_speed,top_speed,accurate_pass,accurate_forward_pass,total_pass,cross,assists_average_over_90_minutes,accurate_long_balls,turnover,cross_attempts,long_pass_attempts,long_passes_successful,medium_passes_successful,source_category_passing,assists_intentional,goal_assists,through_balls,total_big_chances_created,total_big_chances_saved,corners_taken_incl_short_corners,goals_openplay,goals_from_inside_box,penalties_taken,penalty_goals,successful_corners_into_box,total_big_chances_scored,unsuccessful_corners_into_box,unsuccessful_lay_offs,foul_won_penalty,total_big_chances_missed,total_red_cards,straight_red_cards,red_cards_2nd_yellow,drops,gk_successful_distribution,gk_unsuccessful_distribution,goal_kicks,goalkeeper_smother,saves_made,saves_made_from_inside_box,saves_made_from_outside_box,right_foot_goals,catches,penalties_conceded,penalties_faced,penalties_saved,punches,saves_from_penalty,saves_made_caught,saves_made_parried,saves,penalty_conceded,long_ball_percentage,total_cleareance,goalkeeper_saves_per_90_min,goalkeeper_saves_per_match,source_category_goalkeeping,clearances_off_the_line,headed_goals,last_player_tackle,attempts_from_set_pieces,second_goal_assists,set_pieces_goals,other_goals,penalties_off_target,direct_setpiece_goals,crosses_not_claimed
2025,nwsl::Football_Season::fad050beee834db88fa9f2eb28ce5a5c,nwsl::Football_Player::a79161648fb0412187766de7176ab440,opta:Player:dyfsbff9jueyw5jhjou424bo4,nwsl::Football_Team::c3e9513e280b41e5bfbb8230076e8c43,Orlando Pride,Kerry,Abello,K. Abello,Defender,USA,25,2,,USA,45,opta:Team:966pdxhsoxaib9qt5083h8uus,Pride,ORL,Orlando Pride,US,25,1732,1,0,11,1,3,0,36,17,7,1,2,0,0,81,19,0.99,0,0,0,0,0,0,0,0,69.23,53.94,52.94,22.22,0,0,0,0,0,0,0,0,0,0,0,0,0,17,8,9,25,128,8,2,213,4,9,165,76,89,107,390,10,15,4,1,148,68,80,2,10,9,7,1,66,1,877,3,1,1,135,44,12,85,317,8,3,20,7,5,6,6,21,7,1,19,706,345,389,709,16,14,162,1732,31,42,17,7,277,901,11,728,52,20,173,1376,21,21,10,24,46,134,60,127,0,1,0,True,0,0,728,0,928,6,0,19,277,27,65,19,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,nwsl::Football_Season::fad050beee834db88fa9f2eb28ce5a5c,nwsl::Football_Player::91b542420acc43c6955b5f8a782b2adb,opta:Player:3yq6kd2n7n13dmqpmcg4f13bo,nwsl::Football_Team::c31d72afc09f42ee86418633aa41390a,Washington Spirit,Deborah,Abiodun,D. Abiodun,Midfielder,Nigeria,20,3,,NGA,169,opta:Team:f1ks82wpiewyqs6h3oz9v4hzj,Spirit,WAS,Washington Spirit,US,10,607,0,1,6,1,4,1,23,15,5,0,2,0,0,83,7,1.04,0,0,0,0,0,0,0,0,69.7,48.98,40,57.14,0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,6,10,57,2,2,80,2,2,98,50,48,93,98,11,6,1,,83,41,42,,10,26,4,,75,,321,,,1,33,13,9,57,94,2,4,6,2,4,4,4,4,2,2,14,264,138,133,253,10,4,8,607,14,21,15,5,86,324,6,267,33,8,57,483,3,3,2,8,15,38,22,42,,,0,True,0,0,267,0,331,4,0.15,14,86,7,29,14,0,True,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,nwsl::Football_Season::fad050beee834db88fa9f2eb28ce5a5c,nwsl::Football_Player::aaf2552ae4c54dcfa1ec352db94d8b0f,opta:Player:e2q91279c3j489oaaqgb6iwb8,nwsl::Football_Team::1151140adfc24339ba1c93cb0b6b0238,Seattle Reign,Emeri,Adames,E. Adames,Forward,USA,47,4,,USA,189,opta:Team:bl53jk6zlfe5f583pil7xzwi5,Reign,SEA,Seattle Reign,US,22,1010,6,0,21,6,13,0,4,2,12,1,0,0,0,63,16,1.43,11,0,3,1,1,0,0,0,50,42.31,40,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,4,22,62,4,,121,,6,78,45,33,41,87,,16,,,68,39,29,,10,4,7,6,91,1,270,1,,2,56,17,8,51,37,8,13,11,9,11,5,1,10,2,8,14,167,110,67,158,4,,1,1010,24,4,2,12,202,277,21,172,8,35,105,466,26,15,13,12,24,108,23,81,2,4,1,True,0,0,172,0,307,1,0,14,202,30,38,14,0,True,,,2,2,,11,5,6,1,1,3,4,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,nwsl::Football_Season::fad050beee834db88fa9f2eb28ce5a5c,nwsl::Football_Player::452e1e88a12648b18de7e60d6da83626,opta:Player:d0zsyv4xdt0hunaikjy3tde96,nwsl::Football_Team::96ba7b37bd8544a1a7329183459150ff,Portland Thorns,Mimi,Alidou,M. Alidou,Midfielder,Canada,26,3,,CAN,234,opta:Team:446mp88j1vpk9iwui9fiifrp8,Thorns,POR,Portland Thorns,US,20,709,1,1,9,2,6,1,7,9,15,1,1,0,0,75,8,1.02,0,0,0,0,0,0,0,0,58.33,37.93,20,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12,3,20,45,3,,69,,4,87,54,33,30,63,3,7,1,,72,42,30,,10,2,6,1,36,1,174,2,,,37,15,6,38,33,3,6,6,6,14,1,1,3,3,5,8,128,87,45,123,5,,3,709,31,7,9,15,106,177,9,131,12,26,46,308,6,6,8,4,7,40,12,39,1,0,0,True,0,0,131,0,184,1,0.13,8,106,7,15,8,0,True,1,1,,,,,1,1,,,,1,,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,nwsl::Football_Season::fad050beee834db88fa9f2eb28ce5a5c,nwsl::Football_Player::a0afe0dd22bc4b4eb895446288d523c8,opta:Player:a79iaz3p6ag1g6qx8ws1y8ff8,nwsl::Football_Team::c3e9513e280b41e5bfbb8230076e8c43,Orlando Pride,Amanda,Allen,A. Allen,Forward,Canada,29,4,,CAN,355,opta:Team:966pdxhsoxaib9qt5083h8uus,Pride,ORL,Orlando Pride,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,True,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,nwsl::Football_Season::fad050beee834db88fa9f2eb28ce5a5c,nwsl::Football_Player::963846c568d34a539e360dcd93046ebd,opta:Player:4yor5z7hocccrrs0p85jf179w,nwsl::Football_Team::19674698cec24f53af8866cd21abaf8f,Bay,Emmie,Allen,E. Allen,Goalkeeper,USA,32,1,,USA,310,opta:Team:eka22bj7co8bw5qxa6qlbinf8,Bay,BAY,Bay,US,2,180,0,0,0,0,0,0,0,0,0,0,0,0,0,72,3,1.5,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,2,,,,2,,,1,,1,,17,,3,,,,,,,10,,,,8,,16,,,,,,,11,10,,,2,,,,,,1,,4,15,2,23,21,,,,180,,,,,10,35,,25,,,10,48,,,,3,10,4,6,,,,0,True,0,0,25,0,35,0,0,4,10,0,14,4,0,True,,,,,,,,,,,,,,,,,,,,1,14,3,11,2,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,nwsl::Football_Season::fad050beee834db88fa9f2eb28ce5a5c,nwsl::Football_Player::3fa6c6b9fff049ddb7e32f7ea04d33ca,opta:Player:23nuijdnnuiwzkd5cf7jbyajt,nwsl::Football_Team::c3e9513e280b41e5bfbb8230076e8c43,Orlando Pride,Angelina,Alonso Costantino,Angelina,Midfielder,Brazil,15,3,,BRA,36,opta:Team:966pdxhsoxaib9qt5083h8uus,Pride,ORL,Orlando Pride,US,26,1996,0,1,16,1,6,1,16,23,28,0,2,0,0,77,24,1.08,22,0,1,1,0,0,0,0,51.61,48.86,55.26,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,38,17,21,26,177,4,9,173,5,10,176,90,86,129,358,15,21,3,,138,73,65,,10,12,22,,171,,938,1,,1,63,56,29,104,265,10,6,23,9,3,10,4,6,11,25,64,707,417,332,675,15,2,14,1996,38,22,23,28,357,971,16,739,31,30,232,1324,36,20,8,33,65,216,52,167,,,0,True,0,0,739,0,1015,4,0.05,64,357,44,129,64,0,True,1,1,5,2,,22,,,1,,4,,12,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,nwsl::Football_Season::fad050beee834db88fa9f2eb28ce5a5c,nwsl::Football_Player::8772001989134074a48629a1110d6b62,opta:Player:edwr7f7jwnxm1plk91fx8hfro,nwsl::Football_Team::ca3f464d6b794a9087d441d75961403f,Houston Dash,Michelle,Alozie,M. Alozie,Forward,Nigeria,22,4,,NGA,235,opta:Team:c3v2ohfuzoqmc8ljm65hi80sj,Dash,HOU,Houston Dash,US,20,647,1,0,5,1,3,0,7,11,11,5,2,0,0,72,11,1.53,0,0,0,0,0,0,0,0,70,38.75,42.11,22.22,0,0,0,0,0,0,0,0,0,0,0,0,0,19,11,8,20,48,,1,68,,7,80,49,31,56,69,7,10,1,,61,38,23,,10,8,4,,42,5,171,1,,,44,16,3,30,16,2,3,5,5,15,4,4,2,,1,5,122,87,42,120,3,19,41,647,18,19,11,11,118,175,5,125,10,21,50,366,14,14,13,9,13,49,15,37,0,1,1,True,0,0,125,0,193,4,0,5,118,18,18,5,0,True,,,,1,,,1,1,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
2025,nwsl::Football_Season::fad050beee834db88fa9f2eb28ce5a5c,nwsl::Football_Player::8f646310f20a489f84c92d5c4b831d1b,opta:Player:9tbrhbbmfxq8l363kybl4g7ah,nwsl::Football_Team::ac29701756da44a08457762380c10733,Racing Louisville,Ariadina,Alves Borges,Ary Borges,Midfielder,Brazil,8,3,,BRA,112,opta:Team:dtucewmt49th1p4selfutmnmc,Racing Lou,LOU,Racing Louisville,US,22,1525,1,0,25,1,9,0,27,36,32,1,4,1,0,74,25,1.48,0,0,4,1,1,0,0,0,51.92,56.42,52.94,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,51,24,27,22,106,10,5,118,2,4,218,95,123,87,190,23,16,9,,167,71,96,3,10,14,13,,118,1,543,,1,2,37,28,13,101,138,16,9,17,6,5,1,1,12,6,11,24,396,236,170,381,25,2,8,1525,21,32,36,32,202,552,25,405,52,31,147,847,2,2,9,29,41,108,41,106,1,0,0,True,0,0,405,0,555,1,0,24,202,3,65,24,0,True,,,1,,,,,1,1,1,,1,,,1,5,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
2025,nwsl::Football_Season::fad050beee834db88fa9f2eb28ce5a5c,nwsl::Football_Player::e4c0dd7de1294525a9f1635b7e210792,opta:Player:lg9muzm3sbiijicsik53m3je,nwsl::Football_Team::9587b8ce40624165903b6bc9fd252634,Angel City,Angelina,Anderson,A. Anderson,Goalkeeper,USA,19,1,,USA,13,opta:Team:6hbfgdczbi3yg4sdpqgtu6s,Angel City,LA,Angel City,US,22,1980,0,0,0,0,0,0,0,1,2,0,0,0,0,69,37,1.68,0,0,0,0,0,0,0,0,0,83.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,2,22,,,,60,2,,6,1,5,,344,1,33,4,,4,1,3,,10,,,,177,,413,,,4,20,1,,155,140,,,22,,,,,1,48,,111,321,45,409,343,,,,1980,,16,1,2,212,661,,454,,,207,834,,,,108,200,112,95,7,,,0,True,0,0,454,0,661,0,0,111,212,0,311,111,0,True,,,,,3,,,,,,,,,,,,,,,,169,69,166,,69,45,24,,9,1,5,1,1,1,1,13,69,1,36,16,0,0,True,,,,,,,,,,
