season,season_id,team_id,provider_id,official_name,short_name,acronym_name,media_name,country_code,team_type,games_played,total_points,total_wins,total_losses,total_draws,goals,goals_against,passes_accuracy,penalty_kick_taken,penalty_conceded,fouls_committed,fouls_suffered,total_offside,yellow_cards,red_cards,corners,total_distance_covered,avg_distance_covered,total_distance_covered_walking,average_distance_covered_walking,total_distance_covered_jogging,average_distance_covered_jogging,total_distance_covered_low_intensity_running,average_distance_covered_low_intensity_running,total_distance_covered_high_intensity_running,average_distance_covered_high_intensity_running,total_distance_covered_sprinting,average_distance_covered_sprinting,total_successful_final_third_pass,total_sub_goals,total_saves,average_possession,average_possession_time,crosses_complete_percentage,tackles_won_perc,aerial_duels_won_perc,duels_won_perc,defender_goals,midfielder_goals,forward_goals,aerial_duels,possession_percentage,aerial_duels_lost,aerial_duels_won,attempts_from_set_pieces,blocked_shots,blocks,catches,clean_sheets,clearances_off_the_line,corners_taken_incl_short_corners,corners_won,crossing_accuracy,drops,duels,duels_lost,duels_won,foul_attempted_tackle,foul_won_penalty,gk_successful_distribution,gk_unsuccessful_distribution,goal_assists,goal_conversion,goal_kicks,goals_conceded,goals_conceded_inside_box,goals_conceded_outside_box,goals_openplay,goals_from_inside_box,goals_from_outside_box,ground_duels,ground_duels_lost,ground_duels_won,handballs_conceded,headed_goals,hit_woodwork,interceptions,key_passes_attempt_assists,last_player_tackle,left_foot_goals,number_of_defensive_actions,number_of_opposition_passes,offsides,open_play_passes,overruns,own_goals_accrued,own_goals_conceded,ppda,passing_opp_half,passing_accuracy,penalties_conceded,penalties_saved,penalties_taken,penalty_goals,penalty_goals_conceded,points_dropped_from_winning_positions,points_gained_from_losing_positions,putthrough_blocked_distribution,putthrough_blocked_distribution_won,recoveries,right_foot_goals,shooting_accuracy,shots_off_target_inc_woodwork,shots_on_conceded_inside_box,shots_on_conceded_outside_box,shots_on_target_inc_goals,successful_corners_into_box,successful_crosses_corners,successful_crosses_open_play,successful_dribbles,successful_launches,successful_lay_offs,successful_long_passes,successful_open_play_passes,successful_passes_opposition_half,successful_passes_own_half,successful_short_passes,tackle_success,tackles_lost,tackles_won,throw_ins_to_opposition_player,throw_ins_to_own_player,times_tackled,total_clearances,total_fouls_conceded,total_fouls_won,total_losses_of_possession,total_passes,total_shots,total_shots_conceded,total_successful_passes_excl_crosses_corners,total_unsuccessful_passes_excl_crosses_corners,unsuccessful_corners_into_box,unsuccessful_crosses_corners,unsuccessful_crosses_open_play,unsuccessful_dribbles,unsuccessful_launches,unsuccessful_long_passes,unsuccessful_passes_opposition_half,unsuccessful_passes_own_half,unsuccessful_short_passes,unsuccessful_lay_offs,home_goals,away_goals,source_category_general,assists,total_attacking_assist,penalty_kick_goals,penalty_kick_percentage,total_scoring_attempts,on_target_scoring_attempts,accurate_shooting_percentage,corner_taken,source_category_attacking,accurate_pass,accurate_forward_pass,total_pass,accurate_pass_percentage,accurate_long_balls,long_ball_percentage,long_passes_successful,medium_passes_successful,source_category_passing,direct_setpiece_goals,set_pieces_goals,red_card_2nd_yellow,straight_red_cards,total_red_cards,other_goals,penalties_off_target
2025,nwsl::Football_Season::fad050beee834db88fa9f2eb28ce5a5c,nwsl::Football_Team::9587b8ce40624165903b6bc9fd252634,opta:Team:6hbfgdczbi3yg4sdpqgtu6s,Angel City,Angel City,LA,Angel City,US,club,26,27,7,13,6,31,41,77,2,4,305,259,29,34,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.19,63.76,45.44,49.92,0,0,0,537,50.5,293,244,5,87,75,9,4,5,136,136,28.19,1,2408,1206,1202,164,2,219,77,20,11.83,204,41,36,5,23,28,3,1871,913,958,11,4,7,228,246,4,11,254,2217,29,9244,16,1,3,8.7,66.47,76.83,5,1,2,1,4,15,4,482,260,1283,15,44.27,146,91,38,116,53,117,55,198,128,94,528,7156,3253,4408,7016,63.76,183,322,130,455,449,633,305,259,3643,9819,262,337,7544,2275,78,298,199,176,489,888,1880,693,1387,9,17,14,True,20,20,1,50,262,116,44,136,True,7544,0,10014,77,528,37,528,0,True,,,,,,,
2025,nwsl::Football_Season::fad050beee834db88fa9f2eb28ce5a5c,nwsl::Football_Team::19674698cec24f53af8866cd21abaf8f,opta:Team:eka22bj7co8bw5qxa6qlbinf8,Bay,Bay,BAY,Bay,US,club,26,20,4,14,8,26,41,78,3,0,291,298,36,46,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,66.45,48.58,50.56,0,0,0,527,49.9,271,256,3,72,77,8,4,3,132,132,26.0,5,2324,1149,1175,136,3,261,52,19,11.26,213,41,36,5,16,21,5,1797,878,919,9,4,12,282,203,5,8,221,2426,36,9745,28,,1,11.0,68.27,77.07,2,2,3,3,,18,3,491,222,1332,14,45.45,126,92,30,105,31,110,70,176,145,163,495,7520,3624,4510,7529,66.45,152,301,126,509,428,673,291,298,3867,10411,231,334,8024,2387,71,313,222,209,408,766,1946,754,1621,17,14,12,True,19,19,3,100,231,105,45,132,True,8024,0,10680,78,495,39,495,0,True,,,,,,,
2025,nwsl::Football_Season::fad050beee834db88fa9f2eb28ce5a5c,nwsl::Football_Team::269e825b853f4b43a9d38390aa92bf6e,opta:Team:dzxypx8djih58p668surbi4qm,Chicago Stars,Chicago Stars,CHI,Chicago Stars,US,club,26,20,3,12,11,32,54,77,0,4,280,240,34,34,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.84,61.01,53.83,51.63,0,0,0,574,46.8,265,309,3,61,102,11,1,1,104,104,25.84,2,2365,1144,1221,156,,288,64,25,14.81,258,54,49,5,23,28,4,1791,879,912,13,4,9,251,192,5,9,186,1951,34,8602,18,,4,10.5,64.79,76.25,5,1,,,4,9,11,476,234,1339,19,50.93,106,104,33,110,29,77,45,181,145,101,489,6552,2596,4534,6564,61.01,193,302,147,421,461,711,280,240,3591,9250,216,391,7053,2197,58,221,154,195,367,707,1590,828,1490,25,21,11,True,25,25,0,0,216,110,51,104,True,7053,0,9424,77,489,41,489,0,True,1,1,,,,,
2025,nwsl::Football_Season::fad050beee834db88fa9f2eb28ce5a5c,nwsl::Football_Team::c83f2ca05aa84c738b5373f0d2a31b39,opta:Team:bgkfdckqfqnfbmecbtz03n76d,Gotham FC,Gotham FC,GFC,Gotham FC,US,club,29,36,9,8,9,39,26,79,3,2,359,365,52,43,4,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.58,61.96,47.7,49.34,0,0,0,610,53.0,319,291,4,90,67,33,13,2,135,135,27.58,10,2858,1448,1410,160,3,219,39,25,15.66,158,26,22,4,24,31,8,2248,1129,1119,16,8,12,254,211,2,12,404,3576,52,11013,43,2,3,8.9,67.76,78.5,2,,3,3,2,11,7,518,235,1564,17,51.0,122,63,27,127,46,139,87,252,151,67,616,8630,3905,5416,8566,61.96,194,316,184,537,590,636,359,365,4289,11697,249,246,9182,2515,70,365,266,257,383,795,2157,723,1720,11,15,24,True,25,25,3,100,249,127,51,135,True,9182,0,12012,79,616,44,616,0,True,2,2,1,3,4,,
2025,nwsl::Football_Season::fad050beee834db88fa9f2eb28ce5a5c,nwsl::Football_Team::ca3f464d6b794a9087d441d75961403f,opta:Team:c3v2ohfuzoqmc8ljm65hi80sj,Houston Dash,Dash,HOU,Houston Dash,US,club,26,30,8,12,6,27,39,79,1,3,277,274,42,27,1,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.91,62.86,44.53,47.55,0,0,0,494,49.8,274,220,6,70,96,27,6,,104,104,21.91,1,2322,1218,1104,144,1,256,62,19,16.07,192,39,34,5,20,23,4,1828,944,884,9,1,9,314,152,5,11,237,2599,42,9845,37,2,,11.0,69.47,78.07,3,,1,,3,12,12,494,227,1367,12,47.62,88,114,33,80,24,78,44,167,124,140,442,7727,3516,4727,7723,62.86,166,281,112,479,518,657,277,274,3756,10458,168,372,8165,2293,61,278,204,262,405,756,1789,782,1537,24,15,12,True,19,19,0,0,168,80,48,104,True,8165,0,10659,79,442,37,442,0,True,,,1,,1,1,
2025,nwsl::Football_Season::fad050beee834db88fa9f2eb28ce5a5c,nwsl::Football_Team::2c1699409ff84c9eb491aeaca3d3edde,opta:Team:agxipc0vk4rtg09amjxv10nx0,Kansas City Current,KC Current,KC,Kansas City Current,US,club,27,65,21,3,2,50,15,77,6,0,300,255,51,29,1,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.04,66.3,48.69,50.6,0,0,0,495,45.9,254,241,5,99,76,29,16,1,143,143,23.04,3,2421,1196,1225,174,6,275,52,33,17.86,198,15,15,,34,45,5,1926,942,984,17,6,7,291,247,,11,324,3707,51,9833,21,1,1,11.4,67.58,76.82,2,1,6,6,,3,3,484,240,1503,32,50.71,138,49,34,142,32,100,62,185,112,93,574,7564,3669,4438,7433,66.3,184,362,124,492,483,622,300,255,3959,10423,280,257,8007,2416,83,334,235,235,384,796,2046,704,1620,17,30,20,True,33,33,6,100,280,142,51,143,True,8007,0,10692,77,574,42,574,0,True,1,2,,1,1,,
2025,nwsl::Football_Season::fad050beee834db88fa9f2eb28ce5a5c,nwsl::Football_Team::fb41ef4439dd495098cb6d40415767cc,opta:Team:b4fbmos00gxtk8qnaqsm392p5,North Carolina Courage,Courage,NC,North Carolina Courage,US,club,26,35,9,9,8,37,39,81,5,2,246,256,51,22,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.37,63.3,46.64,50.71,0,0,0,461,52.8,246,215,3,81,95,14,5,2,96,96,23.37,3,2187,1078,1109,104,5,248,62,21,14.98,206,39,32,7,30,35,2,1726,832,894,14,2,10,227,222,2,12,208,2197,51,10845,26,2,1,10.6,72.92,80.98,2,,5,2,2,15,9,472,248,1239,21,52.63,117,85,27,130,24,93,62,158,65,127,531,8799,3911,5448,8735,63.3,178,307,91,532,428,646,246,256,3562,11442,247,325,9266,2176,47,305,235,176,330,689,1723,758,1487,16,18,19,True,21,21,2,40,247,130,53,96,True,9266,0,11707,81,531,44,531,0,True,,,,,,,1
2025,nwsl::Football_Season::fad050beee834db88fa9f2eb28ce5a5c,nwsl::Football_Team::c3e9513e280b41e5bfbb8230076e8c43,opta:Team:966pdxhsoxaib9qt5083h8uus,Orlando Pride,Pride,ORL,Orlando Pride,US,club,28,40,11,8,7,35,28,81,6,1,301,316,58,30,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.61,63.79,52.36,50.54,0,0,0,508,52.5,242,266,5,98,99,19,8,2,169,169,24.61,3,2420,1197,1223,162,6,274,31,20,13.41,192,28,22,6,19,33,2,1912,955,957,7,5,8,239,225,2,9,290,3498,58,10783,24,6,1,12.1,73.06,80.88,1,,6,4,1,2,11,501,215,1382,15,49.43,132,84,30,129,36,141,97,184,119,128,620,8690,4334,5055,8628,63.79,168,296,71,575,504,610,301,316,3718,11434,261,341,9248,2186,92,432,315,219,298,656,1978,640,1530,14,19,16,True,20,20,4,67,261,129,49,169,True,9248,0,11828,81,620,49,620,0,True,,,,,,,
2025,nwsl::Football_Season::fad050beee834db88fa9f2eb28ce5a5c,nwsl::Football_Team::96ba7b37bd8544a1a7329183459150ff,opta:Team:446mp88j1vpk9iwui9fiifrp8,Portland Thorns,Thorns,POR,Portland Thorns,US,club,28,40,11,8,7,37,31,79,9,0,304,338,31,32,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.73,63.87,51.94,50.23,0,0,0,593,47.1,285,308,14,102,92,18,8,3,116,116,31.73,2,2660,1324,1336,158,9,251,69,20,12.46,212,31,28,3,21,30,7,2067,1039,1028,9,4,9,252,263,3,8,264,3288,31,10049,37,1,2,12.5,68.29,78.09,1,1,9,7,,4,13,510,271,1441,24,47.47,156,95,32,141,40,119,72,184,161,122,565,7882,3480,5023,7819,63.87,185,327,104,545,561,759,304,338,3875,10736,297,348,8384,2352,59,256,180,256,434,828,1817,791,1524,17,23,14,True,20,20,7,78,297,141,47,116,True,8384,0,10963,79,565,41,565,0,True,2,2,,,,,1
2025,nwsl::Football_Season::fad050beee834db88fa9f2eb28ce5a5c,nwsl::Football_Team::ac29701756da44a08457762380c10733,opta:Team:dtucewmt49th1p4selfutmnmc,Racing Louisville,Racing Lou,LOU,Racing Louisville,US,club,27,37,10,9,7,36,39,71,4,3,320,297,54,40,2,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.87,63.27,63.45,52.97,0,0,0,621,40.5,227,394,7,100,85,13,6,2,136,136,30.87,3,2492,1172,1320,167,4,214,84,25,11.8,209,39,29,10,22,31,5,1871,945,926,11,7,11,278,254,1,6,239,2887,54,7027,26,1,3,12.1,62.84,70.36,6,3,4,4,3,15,9,476,242,1350,22,40.66,181,87,58,124,61,159,84,139,141,70,502,4964,3024,2495,4858,63.27,184,317,117,495,426,760,320,297,3696,7618,305,366,5360,2258,65,356,254,206,470,835,2050,564,1423,7,13,23,True,25,25,4,100,305,124,41,136,True,5360,0,7890,71,502,38,502,0,True,1,1,,2,2,,
