season,season_id,player_id,player_name,team_id,team_name,match_id,match_date_utc,match_date_local,status,venue,opponent_team_name,home_team_name,away_team_name,home_score,away_score,goals_for,goals_against,result,stadium_name,city_name,provider_id,match_provider_id,opponent_team_id,opponent_team_acronym_name,pass_attempts,big_chances,shots_on_goal_successful,own_goals,blocked_shots,chances_created,goal_involvements,clearences,passes_successful,passing_accuracy_perc,dribbles,distance_covered,corners,offsides,fouls,saves,yellow_cards,red_cards,expected_goals,expected_goals_efficiency,assists,arials_won_perc,minutes,free_kicks,shots_at_goal_inside_box,shots_at_goal_outside_box,missed_passes,crosses,crosses_successful,total_ggoalkeeper_interceptions,maximum_speed,average_speed,average_position,shot_at_goal_parcipitations,shots_on_goal,shots,tackles_successful,tackles_total,hit_woodwork,aerials_won_perc,distance_covered_jogging,distance_covered_low_intensity_running,distance_covered_high_intensity_running,distance_covered_sprinting,distance_covered_walking,average_speed_jogging,average_speed_low_intensity_running,average_speed_high_intensity_running,average_speed_sprinting,average_speed_walking,tackles_won_perc,aerial_duels_won_perc,duels_won_perc,crosses_complete_perc,sprints,headed_goals,touches_opponent_box,saves_inside_box,shots_from_freekick,goals_inside_box,goals_outside_box,aerial_duels_won,fouls_suffered,accurate_pass,accurate_forward_pass,accuratefwdzonepass,accuratepass,attemptsconcededibox,backwardpass,blockedpass,carries,duellost,leftsidepass,minsplayed,openplaypass,passesleft,passesright,posslostall,posslostctrl,progressivecarries,putthrough,successfulfinalthirdpasses,successfulopenplaypass,successfulputthrough,totalcontest,totalfinalthirdpasses,totalfwdzonepass,totalpass,totalsubon,touches,touchesinfinalthird,touchesinoppbox,winninggoal,timestackled,formationplace,accuratebackzonepass,aerialwon,attemptedtacklefoul,attemptsconcededobox,ballrecovery,challengelost,dispossessed,duelwon,effectiveclearance,finalthirdentries,fwdpass,gamestarted,headpass,interception,interceptionwon,longpassowntoopp,longpassowntooppsuccess,penareaentries,posswondef3rd,posswonmid3rd,rightsidepass,totalbackzonepass,totalclearance,totalsuboff,totaltackle,turnover,unsuccessfultouch,wontackle,accuratechippedpass,aeriallost,attbxcentre,attbxright,attcmissright,attiboxblocked,attiboxmiss,attmissright,attopenplay,attrftotal,attemptsibox,blockedscoringatt,shotofftarget,totalchippedpass,totalscoringatt,accuratelongballs,totallongballs,atthdtotal,attsetpiece,effectiveheadclearance,goalsconceded,goalsconcededibox,headclearance,outfielderblock,sixyardblock,totallaunches,totalthrows,woncorners,accuratelaunches,accuratethrows,attassistopenplay,attoboxblocked,attobxcentre,attemptsobox,crosses18yard,offtargetattassist,shotcreated,totalattassist,totalcross,totalcrossnocorner,attfastbreak,attlftarget,attlftotal,attlgcentre,attoboxtarget,attsvlowright,ontargetscoringatt,shotfastbreak,totalfastbreak,totallayoffs,totaloffside,wasfouled,woncontest,attcmissleft,attiboxpost,attmissleft,attpostleft,hitwoodwork,posswonatt3rd,postscoringatt,accurategoalkicks,cleansheet,goalkicks,interceptionsinbox,offsideprovoked,blockedcross,effectiveblockedcross,lostcorners,accuratecornersintobox,accuratecross,accuratecrossnocorner,accuratefreekickcross,attassistsetplay,cornertaken,crosses18yardplus,freekickcross,ontargetattassist,totalcornersintobox,shieldballoop,accuratekeeperthrows,keeperpickup,keeperthrows,savedobox,standsave,attbxleft,attgoallowright,attiboxgoal,attiboxtarget,attlfgoal,attoneonone,bigchancescored,goals,goalsopenplay,accurateflickon,accuratelayoffs,bigchancecreated,goalassist,goalassistopenplay,totalflickon,attoboxmiss,attmisshighleft,totalpullback,divingsave,savedibox,attcorner,atthdmiss,attrftarget,attsvlowcentre,attmisshigh,fouledfinalthird,yellowcard,accuratekeepersweeper,totalkeepersweeper,attcmisshighright,attmisshighright,redcard,secondyellow,divesave,attcmisshigh,attrfgoal,attsvhighcentre,attfreekicktarget,attfreekicktotal,assistpasslost,overrun,attsvhighright,bigchancemissed,attgoallowleft,attsvlowleft,goalassistintentional,goalassistsetplay,atthdtarget,handball,totalthroughball,atthdgoal,foulthrowin,bigchancesaves,punches,attcmisshighleft,attgoalhighleft,attgoalhighright,goodhighclaim,totalhighclaim,accuratethroughball,attsvhighleft,divecatch,gksmother,goalfastbreak,standcatch,errorleadtoshot,errorleadtogoal,attgoallowcentre,goalassistdeadball,goalsconcededobox,attoboxgoal,attposthigh,penaltyfaced,penaltysave,attfreekickmiss,penaltyconceded,attgoalhighcentre,accuratepullback,penaltywon,attpentarget,lastmantackle,attobxdleft,assistattemptsaved,attoboxpost,attpostright,secondgoalassist,atthdpost,pengoalsconceded,attpengoal,assistpenaltywon,attobxdright,attobpgoal,finalthirdentriesopenplay,successfulfinalthirdentries,successfulfinalthirdentriesopenplay,successfulpenareaentries,penareaentriesopenplay,successfulpenareaentriesopenplay,dangerousplay,assisthandballwon,clearanceoffline,attobxleft,owngoalsconceded,owngoals
2026,nwsl::Football_Season::0b6761e4701749f593690c0f338da74c,nwsl::Football_Player::d5c841dcdea54696979eda5b6d0fbdb6,Alexa Spaanstra,nwsl::Football_Team::96ba7b37bd8544a1a7329183459150ff,Portland Thorns,nwsl::Football_Match::834675f37cea4328bece6743d94c7d2d,2026-03-14T00:00:00Z,2026-03-13T20:00:00,FINISHED,Away,Washington Spirit,Washington Spirit,Portland Thorns,0,1,1,0,W,Audi Field,"Washington, District of Columbia",opta:Player:1115fgmv9xa3nwx3bu19jr9pl,opta:Match:10k6xigs31oxgxrlol52xh3pw,nwsl::Football_Team::c31d72afc09f42ee86418633aa41390a,WAS,2,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,3,1,1,2,1,1,5,2,1,1,2,2,2,2,1,1,1,1,2,2,2,1,4,4,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,nwsl::Football_Season::0b6761e4701749f593690c0f338da74c,nwsl::Football_Player::8d5a9316dcc64f99bade9c227befbceb,Cassandra Bogere,nwsl::Football_Team::96ba7b37bd8544a1a7329183459150ff,Portland Thorns,nwsl::Football_Match::834675f37cea4328bece6743d94c7d2d,2026-03-14T00:00:00Z,2026-03-13T20:00:00,FINISHED,Away,Washington Spirit,Washington Spirit,Portland Thorns,0,1,1,0,W,Audi Field,"Washington, District of Columbia",opta:Player:cjkvwfookgchoji7xxnsct1w,opta:Match:10k6xigs31oxgxrlol52xh3pw,nwsl::Football_Team::c31d72afc09f42ee86418633aa41390a,WAS,23,0,0,0,0,0,0,1,0,83,0,0,0,0,2,0,0,0,0,0,0,0,61,0,0,0,4,0,0,0,0,0,,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,50,0,33.33,0,0,0,0,0,0,0,0,1,0,19,6,6,19,3,5,,2,6,7,61,23,,4,9,9,,,3,19,,,6,10,23,,32,3,,0,2,4,13,1,1,3,6,2,2,3,1,4,6,1,2,1,1,3,2,1,1,5,5,13,1,1,2,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,nwsl::Football_Season::0b6761e4701749f593690c0f338da74c,nwsl::Football_Player::0562367d242746f0ada9dacd4b93fa2f,Claudia Martínez,nwsl::Football_Team::c31d72afc09f42ee86418633aa41390a,Washington Spirit,nwsl::Football_Match::834675f37cea4328bece6743d94c7d2d,2026-03-14T00:00:00Z,2026-03-13T20:00:00,FINISHED,Home,Portland Thorns,Washington Spirit,Portland Thorns,0,1,0,1,L,Audi Field,"Washington, District of Columbia",opta:Player:1j32gwf2s9e0jipy1wsw400es,opta:Match:10k6xigs31oxgxrlol52xh3pw,nwsl::Football_Team::96ba7b37bd8544a1a7329183459150ff,POR,6,0,0,0,1,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,19,0,2,0,3,0,0,0,0,0,,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,100,0,33.33,0,0,0,3,0,0,0,0,0,0,3,1,1,3,2,,,1,2,,19,6,,2,7,7,,,,3,,,2,4,6,1,14,8,3,0,1,0,2,,,1,,,1,1,,1,4,,,,,2,1,1,,,2,2,,,1,3,3,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,nwsl::Football_Season::0b6761e4701749f593690c0f338da74c,nwsl::Football_Player::91b542420acc43c6955b5f8a782b2adb,Deborah Abiodun,nwsl::Football_Team::c31d72afc09f42ee86418633aa41390a,Washington Spirit,nwsl::Football_Match::834675f37cea4328bece6743d94c7d2d,2026-03-14T00:00:00Z,2026-03-13T20:00:00,FINISHED,Home,Portland Thorns,Washington Spirit,Portland Thorns,0,1,0,1,L,Audi Field,"Washington, District of Columbia",opta:Player:3yq6kd2n7n13dmqpmcg4f13bo,opta:Match:10k6xigs31oxgxrlol52xh3pw,nwsl::Football_Team::96ba7b37bd8544a1a7329183459150ff,POR,7,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,1,0,5,3,3,5,,1,,,1,1,6,7,2,,2,2,,,2,5,,,2,5,7,1,8,3,,0,0,0,2,1,,1,1,1,,1,,,3,,2,,,1,,1,1,,2,2,,,,,,,1,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,nwsl::Football_Season::0b6761e4701749f593690c0f338da74c,nwsl::Football_Player::3c910418abe84f8db2c11156356d97d9,Emma Gaines-Ramos,nwsl::Football_Team::c31d72afc09f42ee86418633aa41390a,Washington Spirit,nwsl::Football_Match::834675f37cea4328bece6743d94c7d2d,2026-03-14T00:00:00Z,2026-03-13T20:00:00,FINISHED,Home,Portland Thorns,Washington Spirit,Portland Thorns,0,1,0,1,L,Audi Field,"Washington, District of Columbia",opta:Player:bm89hy84ea9w9qr8qc2hy3c44,opta:Match:10k6xigs31oxgxrlol52xh3pw,nwsl::Football_Team::96ba7b37bd8544a1a7329183459150ff,POR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,nwsl::Football_Season::0b6761e4701749f593690c0f338da74c,nwsl::Football_Player::18d7e7320d2949b083c7315e3831b1a1,Esme Morgan,nwsl::Football_Team::c31d72afc09f42ee86418633aa41390a,Washington Spirit,nwsl::Football_Match::834675f37cea4328bece6743d94c7d2d,2026-03-14T00:00:00Z,2026-03-13T20:00:00,FINISHED,Home,Portland Thorns,Washington Spirit,Portland Thorns,0,1,0,1,L,Audi Field,"Washington, District of Columbia",opta:Player:bo5e35lsptja0pnlvk1y38dex,opta:Match:10k6xigs31oxgxrlol52xh3pw,nwsl::Football_Team::96ba7b37bd8544a1a7329183459150ff,POR,95,0,0,0,1,0,0,2,0,88,0,0,0,0,1,0,0,0,0,0,0,0,90,0,1,0,12,0,0,0,0,0,,1,0,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,50,0,77.78,0,0,0,1,0,0,0,0,1,0,83,31,31,83,6,2,,21,2,37,90,94,,23,14,14,16,1,13,82,,,16,39,95,,110,4,1,0,0,5,52,1,1,3,5,1,,7,2,14,48,1,1,3,3,16,14,,2,3,8,56,2,,6,,,3,2,,,1,,1,,,,,1,1,,4,1,5,8,1,1,2,1,1,2,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,nwsl::Football_Season::0b6761e4701749f593690c0f338da74c,nwsl::Football_Player::ebadefdb2cd142aa92580387d5fde3b8,Gabrielle Carle,nwsl::Football_Team::c31d72afc09f42ee86418633aa41390a,Washington Spirit,nwsl::Football_Match::834675f37cea4328bece6743d94c7d2d,2026-03-14T00:00:00Z,2026-03-13T20:00:00,FINISHED,Home,Portland Thorns,Washington Spirit,Portland Thorns,0,1,0,1,L,Audi Field,"Washington, District of Columbia",opta:Player:en29qfiuu01nsmekoqhycjo45,opta:Match:10k6xigs31oxgxrlol52xh3pw,nwsl::Football_Team::96ba7b37bd8544a1a7329183459150ff,POR,41,0,0,0,1,1,0,2,0,91,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,1,4,1,0,0,0,0,,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,0,0,1,0,0,0,0,0,0,37,20,20,37,6,8,,9,2,16,84,40,,17,7,7,5,1,11,36,,1,12,24,41,,59,19,1,0,1,2,17,,,2,2,,,2,2,5,16,1,,,,6,5,2,,2,1,18,2,1,2,,,1,1,1,,,,,,,1,1,,1,,1,1,4,4,,,,1,1,,,,1,8,,1,7,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,nwsl::Football_Season::0b6761e4701749f593690c0f338da74c,nwsl::Football_Player::3c58742afd5842708efeae28767d5d3c,Gift Monday,nwsl::Football_Team::c31d72afc09f42ee86418633aa41390a,Washington Spirit,nwsl::Football_Match::834675f37cea4328bece6743d94c7d2d,2026-03-14T00:00:00Z,2026-03-13T20:00:00,FINISHED,Home,Portland Thorns,Washington Spirit,Portland Thorns,0,1,0,1,L,Audi Field,"Washington, District of Columbia",opta:Player:yay5mq8trvoxv9mwm4mqzn8q,opta:Match:10k6xigs31oxgxrlol52xh3pw,nwsl::Football_Team::96ba7b37bd8544a1a7329183459150ff,POR,15,0,0,0,0,0,0,0,0,94,3,0,0,2,1,0,0,0,0,0,0,0,64,0,0,1,1,0,0,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,2,0,0,0,0,0,1,14,10,10,14,3,6,,5,6,2,64,13,3,,7,7,3,,6,12,,4,6,10,15,,27,10,2,0,2,9,4,,1,1,2,,1,4,,1,2,1,,,,,,,,2,5,5,,1,,4,4,,,3,,,,,,,1,,,,,,1,,,,,,1,1,,,,,,,,,,,,1,,,,,,,1,1,1,1,1,1,1,1,1,1,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,nwsl::Football_Season::0b6761e4701749f593690c0f338da74c,nwsl::Football_Player::4b0092d3c4b148ce81259ba635ca7777,Hal Hershfelt,nwsl::Football_Team::c31d72afc09f42ee86418633aa41390a,Washington Spirit,nwsl::Football_Match::834675f37cea4328bece6743d94c7d2d,2026-03-14T00:00:00Z,2026-03-13T20:00:00,FINISHED,Home,Portland Thorns,Washington Spirit,Portland Thorns,0,1,0,1,L,Audi Field,"Washington, District of Columbia",opta:Player:coy005g9noltjta4ka7utllp0,opta:Match:10k6xigs31oxgxrlol52xh3pw,nwsl::Football_Team::96ba7b37bd8544a1a7329183459150ff,POR,59,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,90,0,2,0,6,0,0,0,0,0,,2,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,100,0,33.33,0,0,0,2,0,0,0,0,0,0,53,30,30,53,6,15,,10,2,13,90,59,3,16,8,8,5,1,15,53,,1,18,34,59,,66,19,2,0,2,8,23,,,3,6,,1,1,,7,13,1,,1,1,5,5,1,2,3,18,25,,,1,,,1,3,,,1,,,1,,2,2,2,,2,3,2,1,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,nwsl::Football_Season::0b6761e4701749f593690c0f338da74c,nwsl::Football_Player::ab5925e484b549b084e72c85df4de7df,Isabella Obaze,nwsl::Football_Team::96ba7b37bd8544a1a7329183459150ff,Portland Thorns,nwsl::Football_Match::834675f37cea4328bece6743d94c7d2d,2026-03-14T00:00:00Z,2026-03-13T20:00:00,FINISHED,Away,Washington Spirit,Washington Spirit,Portland Thorns,0,1,1,0,W,Audi Field,"Washington, District of Columbia",opta:Player:8oj7cqgjacle67i49w4a3gx6,opta:Match:10k6xigs31oxgxrlol52xh3pw,nwsl::Football_Team::c31d72afc09f42ee86418633aa41390a,WAS,40,0,0,0,0,0,0,3,0,83,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,7,0,0,0,0,0,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,1,0,33,3,3,33,10,1,,7,,7,90,36,3,2,7,7,4,1,2,31,,,4,8,40,,45,,,0,0,6,30,1,,3,1,,,2,3,4,16,1,1,1,1,7,2,,1,,16,32,3,,1,,,1,1,,,,,,,,,,,,,4,,1,6,,,2,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
