season,season_id,player_id,provider_id,team_team_id,team_official_name,media_first_name,media_last_name,short_name,role_label,nationality,bib_number,role,display_name,nationality_iso_code,rank_label,team_provider_id,team_short_name,team_acronym_name,team_media_name,team_country_code,source_category_general,games_played,minutes_played,goals,assists,total_scoring_attempts,goal_involvements,on_target_scoring_attempts,total_attacking_assist,tackles_won,fouls_committed,fouls_suffered,total_offside,yellow_cards,red_cards,aerials_won_perc,accurate_pass_percentage,goals_conceded,goals_against_average,corners,goals_free_kick,hit_woodwork,penalty_attempts,penalties_successful,yellow_red_cards,xg,xgefficiency,tackles_won_perc,duels_won_perc,aerial_duels_won_perc,crosses_complete_percentage,total_distance_covered,avg_distance_covered,total_distance_covered_walking,average_distance_covered_walking,total_distance_covered_jogging,average_distance_covered_jogging,total_distance_covered_low_intensity_running,average_distance_covered_low_intensity_running,total_distance_covered_sprinting,average_distance_covered_sprinting,total_distance_covered_high_intensity_running,average_distance_covered_high_intensity_running,sprints,aerial_duels,aerial_duels_lost,aerial_duels_won,appearances,backward_passes,blocked_shots,carries,clean_sheets,corners_taken_incl_short_corners,corners_won,duels,duels_lost,duels_won,final_third_touches,forward_passes,foul_attempted_tackle,goals_conceded_inside_box,goals_conceded_outside_box,goals_openplay,goals_from_inside_box,ground_duels,ground_duels_lost,ground_duels_won,handballs_conceded,interceptions,key_passes_attempt_assists,leftside_passes,offsides,open_play_passes,penalties_taken,penalty_goals_conceded,progressive_carries,putthrough_blocked_distribution,putthrough_blocked_distribution_won,recoveries,right_foot_goals,rightside_passes,shots_created,shots_on_target_inc_goals,starts,substitute_off,substitute_on,successful_crosses_corners,successful_crosses_open_play,successful_dribbles,successful_launches,successful_lay_offs,successful_long_passes,successful_open_play_passes,successful_passes_opposition_half,successful_passes_own_half,successful_short_passes,tackles_lost,throw_ins_to_own_player,time_played,times_tackled,total_big_chances_created,total_big_chances_missed,total_clearances,total_fouls_conceded,total_fouls_won,total_losses_of_possession,total_passes,total_shots,total_successful_passes_excl_crosses_corners,total_tackles,total_touches_in_opposition_box,total_unsuccessful_passes_excl_crosses_corners,touches,unsuccessful_crosses_corners,unsuccessful_crosses_open_play,unsuccessful_dribbles,unsuccessful_launches,unsuccessful_long_passes,unsuccessful_passes_opposition_half,unsuccessful_passes_own_half,unsuccessful_short_passes,unsuccessful_lay_offs,home_goals,away_goals,winning_goal,left_foot_goals,total_big_chances_scored,assists_intentional,blocks,gk_successful_distribution,goal_assists,goal_kicks,overruns,shots_off_target_inc_woodwork,successful_corners_into_box,throw_ins_to_opposition_player,unsuccessful_corners_into_box,total_red_cards,straight_red_cards,red_cards_2nd_yellow,foul_won_penalty,through_balls,clearances_off_the_line,gk_unsuccessful_distribution,penalty_goals,attempts_from_set_pieces,catches,drops,goalkeeper_smother,penalties_faced,punches,saves_made,saves_made_from_inside_box,saves_made_from_outside_box,saves_made_caught,saves_made_parried,total_big_chances_saved,goals_from_outside_box,last_player_tackle,penalties_conceded,headed_goals,own_goal_scored,second_goal_assists,penalties_saved,saves_from_penalty,direct_setpiece_goals,set_pieces_goals,other_goals,source_category_passing,average_speed,top_speed,accurate_pass,accurate_forward_pass,total_pass,cross,assists_average_over_90_minutes,accurate_long_balls,turnover,cross_attempts,long_pass_attempts,long_passes_successful,medium_passes_successful,source_category_defending,tackle,tackle_percentage,interception,headed_duel,source_category_goalkeeping,saves,penalty_conceded,long_ball_percentage,total_cleareance,goalkeeper_saves_per_90_min,goalkeeper_saves_per_match
2026,nwsl::Football_Season::0b6761e4701749f593690c0f338da74c,nwsl::Football_Player::0021a2896ee54ef191fb324dec97dd78,opta:Player:e2obgph6szyo04em3qr94g1qt,nwsl::Football_Team::c3e9513e280b41e5bfbb8230076e8c43,Orlando Pride,Barbra,Banda,B. Banda,Forward,Zambia,11,4,,ZAM,,opta:Team:966pdxhsoxaib9qt5083h8uus,Pride,ORL,Orlando Pride,US,True,11,915,9,0,47,9,25,0,3,19,27,11,2,0,0,66.0,15,1.48,0,0,0,0,0,0,5.8565,3.1435,100.0,42.06,44.0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,14.0,11.0,11.0,19.0,10.0,88.0,2.0,,21.0,126.0,73.0,53.0,237.0,17.0,7.0,12.0,3.0,7.0,8.0,101.0,59.0,42.0,,3.0,17.0,31.0,11.0,96.0,,2.0,64.0,11.0,7.0,23.0,7.0,34.0,17.0,25.0,10.0,4.0,1.0,1.0,1.0,12.0,,4.0,4.0,62.0,53.0,14.0,62.0,,3.0,915.0,38.0,3.0,5.0,2.0,19.0,27.0,132.0,101.0,47.0,66.0,3.0,104.0,35.0,326.0,12.0,12.0,25.0,1.0,4.0,42.0,5.0,31.0,3.0,5.0,4.0,2.0,1.0,6.0,,,1.0,,1.0,5.0,22.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,True,0,0,66,0,114,1,0.0,4,132,13,8,4,0,True,3,100,3,25,True,0,0,50,2,0,0
2026,nwsl::Football_Season::0b6761e4701749f593690c0f338da74c,nwsl::Football_Player::013bc7a18d344452bd3002c22b237f64,opta:Player:52de6kplxflapgb49f1gzc7x0,nwsl::Football_Team::ac29701756da44a08457762380c10733,Racing Louisville,Taylor,White,T. White,Forward,USA,11,4,,USA,,opta:Team:dtucewmt49th1p4selfutmnmc,Racing Lou,LOU,Racing Louisville,US,True,4,116,0,0,2,0,1,0,1,6,1,0,0,0,0,56.0,4,3.1,0,0,1,0,0,0,0.3586,-0.3586,50.0,21.74,40.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,3.0,2.0,4.0,5.0,1.0,3.0,,,2.0,23.0,18.0,5.0,17.0,4.0,3.0,3.0,1.0,,,18.0,15.0,3.0,,,1.0,5.0,,18.0,,,2.0,2.0,1.0,2.0,,4.0,1.0,1.0,1.0,1.0,3.0,,,,,,1.0,10.0,7.0,3.0,9.0,1.0,1.0,116.0,7.0,,,,6.0,1.0,17.0,18.0,2.0,10.0,2.0,6.0,8.0,35.0,,,1.0,1.0,1.0,7.0,1.0,7.0,,,,0.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,0,10,0,18,0,0.0,1,17,0,2,1,0,True,1,50,0,5,True,0,0,50,0,0,0
2026,nwsl::Football_Season::0b6761e4701749f593690c0f338da74c,nwsl::Football_Player::01429efe66554be8bc7f86ee0a9fa184,opta:Player:68sz2cp2lpnb8k36jkhr3wrje,nwsl::Football_Team::2c1699409ff84c9eb491aeaca3d3edde,Kansas City Current,Ellie,Bravo-Young,E. Bravo-Young,Defender,USA,5,2,,USA,,opta:Team:agxipc0vk4rtg09amjxv10nx0,KC Current,KC,Kansas City Current,US,True,8,553,0,0,1,0,0,0,9,3,0,0,2,0,0,66.0,11,1.79,0,0,0,0,0,0,0.1258,-0.1258,60.0,53.49,42.86,40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,8.0,6.0,8.0,14.0,1.0,18.0,,,1.0,43.0,20.0,23.0,62.0,115.0,2.0,10.0,1.0,,,29.0,12.0,17.0,,5.0,2.0,54.0,,189.0,,1.0,9.0,4.0,1.0,18.0,,13.0,2.0,,6.0,,2.0,2.0,2.0,2.0,2.0,,10.0,124.0,56.0,75.0,119.0,6.0,69.0,553.0,6.0,,,19.0,3.0,,109.0,196.0,1.0,129.0,15.0,4.0,67.0,363.0,3.0,3.0,2.0,15.0,29.0,48.0,22.0,38.0,1.0,,,0.0,,,,2.0,,,,,1.0,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,0,129,0,201,2,0.0,10,109,5,39,10,0,True,9,60,5,14,True,0,0,26,19,0,0
2026,nwsl::Football_Season::0b6761e4701749f593690c0f338da74c,nwsl::Football_Player::01adaea2f8c14226a374de5a95b3273f,opta:Player:84qpzxg0yujjb3rh1r1c9vris,nwsl::Football_Team::cbfcacbef5bc4a278442c00926ac9ebc,Denver Summit,Jordan,Nytes,J. Nytes,Goalkeeper,USA,17,1,,USA,,opta:Team:b6ztd03z31b0yfcae0qovefpw,Denver,DEN,Denver Summit,US,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,0,0,0,0,0,0.0,0,0,0,0,0,0,True,0,0,0,0,True,0,0,0,0,0,0
2026,nwsl::Football_Season::0b6761e4701749f593690c0f338da74c,nwsl::Football_Player::021370e22b6846a48f5e988c6f4c9478,opta:Player:bilgoekg6gqwr3qbp6dp0j1zp,nwsl::Football_Team::c3e9513e280b41e5bfbb8230076e8c43,Orlando Pride,Rafaelle Leone,Carvalho Souza,Rafaelle,Defender,Brazil,4,2,,BRA,,opta:Team:966pdxhsoxaib9qt5083h8uus,Pride,ORL,Orlando Pride,US,True,9,670,0,2,3,2,2,2,7,9,2,0,2,0,0,81.0,9,1.21,0,0,0,0,0,0,0.1376,-0.1376,63.64,65.31,72.73,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0,6.0,16.0,9.0,19.0,1.0,92.0,3.0,,1.0,49.0,17.0,32.0,20.0,158.0,3.0,6.0,3.0,,,27.0,11.0,16.0,1.0,16.0,2.0,62.0,,313.0,,,51.0,6.0,3.0,39.0,,92.0,4.0,2.0,8.0,2.0,1.0,,,3.0,5.0,1.0,23.0,248.0,78.0,187.0,242.0,4.0,,670.0,1.0,1.0,,52.0,9.0,2.0,72.0,331.0,3.0,265.0,11.0,6.0,66.0,440.0,,,,15.0,34.0,41.0,25.0,32.0,,,,0.0,,,1.0,8.0,,2.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,True,0,0,265,0,331,0,0.27,23,72,0,57,23,0,True,7,64,16,22,True,0,0,40,52,0,0
2026,nwsl::Football_Season::0b6761e4701749f593690c0f338da74c,nwsl::Football_Player::03ef0251e6f546d09c0a41a5c52ce7b0,opta:Player:1533xkmkmi8rpb6yoa8807xn8,nwsl::Football_Team::269e825b853f4b43a9d38390aa92bf6e,Chicago Stars,Ivonne,Chacón,I. Chacón,Forward,Colombia,18,4,,COL,,opta:Team:dzxypx8djih58p668surbi4qm,Chicago Stars,CHI,Chicago Stars,US,True,8,194,0,0,2,0,1,0,3,12,2,2,0,0,0,83.0,3,1.39,0,0,0,0,0,0,0.4245,-0.4245,100.0,29.73,50.0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,2.0,2.0,8.0,18.0,1.0,17.0,,,2.0,37.0,26.0,11.0,42.0,4.0,4.0,3.0,,,,33.0,24.0,9.0,,,3.0,7.0,2.0,31.0,,1.0,11.0,1.0,,9.0,,5.0,3.0,1.0,1.0,1.0,7.0,1.0,1.0,4.0,,2.0,,25.0,19.0,10.0,28.0,,,194.0,10.0,,,2.0,12.0,2.0,24.0,34.0,2.0,28.0,3.0,16.0,6.0,72.0,1.0,1.0,5.0,,,6.0,1.0,6.0,,,,0.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,0,28,0,36,1,0.0,0,24,2,0,0,0,True,3,100,0,4,True,0,0,0,2,0,0
2026,nwsl::Football_Season::0b6761e4701749f593690c0f338da74c,nwsl::Football_Player::04a1aad603eb46dd9c349c2ba91d2322,opta:Player:736jvvtkgwc3g1vooviaod33d,nwsl::Football_Team::2c1699409ff84c9eb491aeaca3d3edde,Kansas City Current,Izzy,Rodriguez,I. Rodriguez,Defender,USA,18,2,,USA,,opta:Team:agxipc0vk4rtg09amjxv10nx0,KC Current,KC,Kansas City Current,US,True,11,981,0,2,5,2,3,2,10,8,8,0,0,0,0,66.0,17,1.56,10,0,0,0,0,0,0.4598,-0.4598,50.0,56.06,54.55,20.37,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,5.0,6.0,11.0,57.0,2.0,85.0,1.0,10.0,11.0,66.0,29.0,37.0,188.0,194.0,6.0,16.0,1.0,,,55.0,24.0,31.0,,16.0,10.0,12.0,,367.0,,1.0,58.0,21.0,11.0,20.0,,121.0,12.0,3.0,11.0,1.0,,13.0,11.0,4.0,12.0,,28.0,239.0,141.0,124.0,224.0,10.0,88.0,981.0,8.0,1.0,1.0,36.0,8.0,8.0,213.0,384.0,5.0,252.0,20.0,16.0,132.0,688.0,42.0,31.0,5.0,33.0,64.0,130.0,44.0,68.0,,,,0.0,,,2.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,19.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,0,252,0,438,11,0.18,28,213,54,92,28,0,True,10,50,16,11,True,0,0,30,36,0,0
2026,nwsl::Football_Season::0b6761e4701749f593690c0f338da74c,nwsl::Football_Player::0562367d242746f0ada9dacd4b93fa2f,opta:Player:1j32gwf2s9e0jipy1wsw400es,nwsl::Football_Team::c31d72afc09f42ee86418633aa41390a,Washington Spirit,Claudia,Martínez,C. Martínez,Forward,Paraguay,11,4,,PRY,,opta:Team:f1ks82wpiewyqs6h3oz9v4hzj,Spirit,WAS,Washington Spirit,US,True,10,327,3,0,10,3,7,0,3,4,0,1,0,0,0,60.0,4,1.1,0,0,0,0,0,0,2.403,0.597,60.0,36.11,40.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,3.0,2.0,10.0,25.0,5.0,31.0,,,5.0,36.0,23.0,13.0,79.0,31.0,3.0,4.0,,3.0,3.0,31.0,20.0,11.0,,1.0,,13.0,1.0,96.0,,,17.0,10.0,6.0,17.0,2.0,27.0,,7.0,2.0,2.0,8.0,,,6.0,,3.0,,57.0,38.0,19.0,57.0,2.0,,327.0,14.0,,3.0,2.0,4.0,,68.0,96.0,10.0,57.0,5.0,28.0,39.0,164.0,2.0,2.0,7.0,2.0,4.0,30.0,11.0,35.0,1.0,1.0,2.0,2.0,1.0,2.0,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,0,57,0,98,0,0.0,0,68,2,4,0,0,True,3,60,1,5,True,0,0,0,2,0,0
2026,nwsl::Football_Season::0b6761e4701749f593690c0f338da74c,nwsl::Football_Player::0647eef6fb274236a6776c40e84d6eb3,opta:Player:58ggl2oa2ucyrv91ofv44ump6,nwsl::Football_Team::19674698cec24f53af8866cd21abaf8f,Bay,Alyssa,Malonson,A. Malonson,Defender,USA,20,2,,USA,,opta:Team:eka22bj7co8bw5qxa6qlbinf8,Bay,BAY,Bay,US,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,0,0,0,0,0,0.0,0,0,0,0,0,0,True,0,0,0,0,True,0,0,0,0,0,0
2026,nwsl::Football_Season::0b6761e4701749f593690c0f338da74c,nwsl::Football_Player::06897a454ecd4389a815a64dfb95ba2d,opta:Player:a88r8d1jd5r928pvskginyiqy,nwsl::Football_Team::19674698cec24f53af8866cd21abaf8f,Bay,Racheal,Kundananji,R. Kundananji,Forward,Zambia,9,4,,ZAM,,opta:Team:eka22bj7co8bw5qxa6qlbinf8,Bay,BAY,Bay,US,True,7,484,1,0,10,1,6,0,4,13,1,0,1,0,0,67.0,4,0.74,0,0,1,0,0,0,2.0894,-1.0894,66.67,40.3,33.33,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,6.0,3.0,7.0,36.0,5.0,59.0,1.0,,4.0,67.0,40.0,27.0,136.0,25.0,3.0,3.0,1.0,1.0,1.0,58.0,34.0,24.0,,1.0,7.0,16.0,,115.0,,1.0,27.0,15.0,6.0,32.0,,38.0,7.0,6.0,5.0,2.0,2.0,5.0,5.0,17.0,,1.0,3.0,76.0,62.0,19.0,73.0,2.0,,484.0,17.0,,2.0,,13.0,1.0,91.0,115.0,10.0,76.0,6.0,39.0,39.0,233.0,10.0,10.0,11.0,1.0,6.0,47.0,2.0,33.0,1.0,0.0,1.0,1.0,1.0,1.0,,1.0,,,,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,0,76,0,130,5,0.0,3,91,15,9,3,0,True,4,67,1,9,True,0,0,33,0,0,0
