season,season_id,team_id,provider_id,official_name,short_name,acronym_name,media_name,country_code,team_type,source_category_general,games_played,total_points,total_wins,total_losses,total_draws,goals,goals_against,passes_accuracy,penalty_kick_taken,penalty_conceded,fouls_committed,fouls_suffered,total_offside,yellow_cards,red_cards,corners,total_distance_covered,avg_distance_covered,total_distance_covered_walking,average_distance_covered_walking,total_distance_covered_jogging,average_distance_covered_jogging,total_distance_covered_low_intensity_running,average_distance_covered_low_intensity_running,total_distance_covered_high_intensity_running,average_distance_covered_high_intensity_running,total_distance_covered_sprinting,average_distance_covered_sprinting,total_successful_final_third_pass,total_sub_goals,total_saves,average_possession,average_possession_time,crosses_complete_percentage,tackles_won_perc,aerial_duels_won_perc,duels_won_perc,defender_goals,midfielder_goals,forward_goals,aerial_duels,possession_percentage,aerial_duels_lost,aerial_duels_won,attempts_from_set_pieces,blocked_shots,blocks,catches,clean_sheets,corners_taken_incl_short_corners,corners_won,crossing_accuracy,drops,duels,duels_lost,duels_won,final_third_touches,foul_attempted_tackle,foul_won_penalty,gk_successful_distribution,gk_unsuccessful_distribution,goal_assists,goal_conversion,goal_kicks,goals_conceded,goals_conceded_inside_box,goals_conceded_outside_box,goals_openplay,goals_from_inside_box,goals_from_outside_box,ground_duels,ground_duels_lost,ground_duels_won,handballs_conceded,headed_goals,hit_woodwork,interceptions,key_passes_attempt_assists,last_player_tackle,left_foot_goals,number_of_defensive_actions,number_of_opposition_passes,offsides,open_play_passes,overruns,ppda,passing_opp_half,passing_accuracy,penalties_conceded,penalties_saved,penalties_taken,penalty_goals,points_dropped_from_winning_positions,points_gained_from_losing_positions,putthrough_blocked_distribution,putthrough_blocked_distribution_won,recoveries,right_foot_goals,shooting_accuracy,shots_created,shots_off_target_inc_woodwork,shots_on_conceded_inside_box,shots_on_conceded_outside_box,shots_on_target_inc_goals,straight_red_cards,successful_corners_into_box,successful_crosses_corners,successful_crosses_open_play,successful_dribbles,successful_launches,successful_lay_offs,successful_long_passes,successful_open_play_passes,successful_passes_opposition_half,successful_passes_own_half,successful_short_passes,tackle_success,tackles_lost,tackles_won,throw_ins_to_opposition_player,throw_ins_to_own_player,times_tackled,total_clearances,total_fouls_conceded,total_fouls_won,total_losses_of_possession,total_passes,total_red_cards,total_shots,total_shots_conceded,total_successful_passes_excl_crosses_corners,total_unsuccessful_passes_excl_crosses_corners,unsuccessful_corners_into_box,unsuccessful_crosses_corners,unsuccessful_crosses_open_play,unsuccessful_dribbles,unsuccessful_launches,unsuccessful_long_passes,unsuccessful_passes_opposition_half,unsuccessful_passes_own_half,unsuccessful_short_passes,unsuccessful_lay_offs,home_goals,away_goals,clearances_off_the_line,penalty_goals_conceded,own_goals_conceded,own_goals_accrued,penalties_off_target,red_card_2nd_yellow,direct_setpiece_goals,set_pieces_goals,other_goals,source_category_attacking,assists,total_attacking_assist,penalty_kick_goals,penalty_kick_percentage,total_scoring_attempts,on_target_scoring_attempts,accurate_shooting_percentage,corner_taken,shotsongoalperc,source_category_passing,accurate_pass,accurate_forward_pass,total_pass,accurate_pass_percentage,accurate_long_balls,long_ball_percentage,long_passes_successful,medium_passes_successful,source_category_defending,tackle,tackle_percentage,total_tackles,interception
2026,nwsl::Football_Season::0b6761e4701749f593690c0f338da74c,nwsl::Football_Team::1151140adfc24339ba1c93cb0b6b0238,opta:Team:bl53jk6zlfe5f583pil7xzwi5,Seattle Reign,Reign,SEA,Seattle Reign,US,club,True,16,23,7,7,2,20,21,78,3,1,176,171,27,24,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.99,63.11,50.65,51.32,0,0,0,310,48.6,153,157,6.0,59,70,9,5.0,64,64,28.99,1.0,1401,682,719,1953,89,3.0,174,8,16,15.38,127,21,17,4.0,13,18,1.0,1091,529,562,10,5.0,7,192,122,2.0,4,449,5029,27,5890,13,11.2,63.18,77.53,1.0,,3.0,2.0,6.0,,289,150,865,10,50.77,138,64,55,26,66,,25,80,46,83,91,64,344,4556,1741,3184,4501,63.11,114,195,87,307,256,401,176,171,2284,6249,,130,249,4845,1404,34,196,153,129,272,592,1164,436,812,8,7,13,1.0,1.0,,1.0,1.0,,,,,True,16,16,2,67,130,66,51,64,0,True,4845,0,6408,78,344,37,344,0,True,195,63,309,192
2026,nwsl::Football_Season::0b6761e4701749f593690c0f338da74c,nwsl::Football_Team::19674698cec24f53af8866cd21abaf8f,opta:Team:eka22bj7co8bw5qxa6qlbinf8,Bay,Bay,BAY,Bay,US,club,True,17,18,5,9,3,18,24,79,1,3,177,173,37,26,3,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.42,66.56,43.59,50.24,0,0,0,273,49.9,154,119,6.0,59,60,8,4.0,76,76,19.42,,1435,714,721,2375,87,1.0,160,36,11,11.69,139,24,23,1.0,15,17,1.0,1162,560,602,9,1.0,8,188,139,4.0,5,487,5163,37,6199,6,10.6,70.2,78.33,4.0,1.0,1.0,1.0,4.0,,259,125,935,12,49.35,150,78,75,22,76,2.0,16,47,31,117,85,49,362,4851,2466,2767,4824,66.56,105,209,61,280,289,402,177,173,2362,6621,3.0,154,238,5186,1435,40,195,143,138,219,489,1222,408,946,16,9,9,2.0,3.0,2.0,,,1.0,,,,True,11,11,1,100,154,76,49,76,0,True,5186,0,6781,79,362,43,362,0,True,209,67,314,188
2026,nwsl::Football_Season::0b6761e4701749f593690c0f338da74c,nwsl::Football_Team::269e825b853f4b43a9d38390aa92bf6e,opta:Team:dzxypx8djih58p668surbi4qm,Chicago Stars,Chicago Stars,CHI,Chicago Stars,US,club,True,17,12,4,13,0,9,33,78,0,4,179,160,28,17,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.59,64.88,55.17,48.68,0,0,0,290,47.7,130,160,5.0,32,76,7,2.0,52,52,19.59,3.0,1473,756,717,1736,90,,255,69,4,7.83,221,33,32,1.0,3,7,2.0,1183,626,557,4,1.0,3,172,111,5.0,7,407,4808,28,5647,22,11.8,68.03,77.97,5.0,1.0,,,,3.0,269,130,815,1,45.22,114,63,87,18,52,,14,38,24,103,70,74,271,4418,1828,3009,4528,64.88,105,194,82,285,310,456,179,160,2253,6155,,115,315,4799,1356,32,156,118,135,229,471,997,515,885,9,7,2,2.0,4.0,,,,,1.0,1.0,,True,4,4,0,0,115,52,45,52,0,True,4799,0,6278,78,271,37,271,0,True,194,65,299,172
2026,nwsl::Football_Season::0b6761e4701749f593690c0f338da74c,nwsl::Football_Team::2c1699409ff84c9eb491aeaca3d3edde,opta:Team:agxipc0vk4rtg09amjxv10nx0,Kansas City Current,KC Current,KC,Kansas City Current,US,club,True,18,29,9,7,2,29,25,76,2,2,146,180,36,13,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.83,61.42,50.32,50.47,0,0,0,316,47.3,157,159,5.0,40,54,8,4.0,89,89,25.83,3.0,1593,789,804,2583,82,2.0,185,52,23,15.93,153,25,22,3.0,27,28,,1277,632,645,9,,10,210,137,2.0,7,555,5857,36,6309,27,10.6,66.02,75.82,2.0,,2.0,,2.0,11.0,319,170,1001,21,53.3,160,85,51,26,97,,20,70,47,129,58,60,293,4775,2332,2845,4814,61.42,130,207,141,349,352,476,146,180,2770,6736,,182,221,5107,1629,45,201,148,168,232,536,1365,465,1093,11,22,7,1.0,2.0,,1.0,1.0,,,,,True,23,23,0,0,182,97,53,89,0,True,5107,0,6918,76,293,35,293,0,True,207,61,337,210
2026,nwsl::Football_Season::0b6761e4701749f593690c0f338da74c,nwsl::Football_Team::9587b8ce40624165903b6bc9fd252634,opta:Team:6hbfgdczbi3yg4sdpqgtu6s,Angel City,Angel City,LA,Angel City,US,club,True,16,23,7,7,2,24,17,77,2,0,203,159,14,20,1,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.36,67.69,49.63,49.87,0,0,0,407,50.3,205,202,5.0,73,46,12,5.0,89,89,21.36,2.0,1530,767,763,2302,99,2.0,101,47,15,14.63,110,17,16,1.0,15,22,2.0,1123,562,561,7,4.0,7,147,156,2.0,8,474,4443,14,5370,12,9.4,66.76,76.19,2.0,1.0,2.0,2.0,2.0,3.0,290,126,804,12,40.85,171,97,46,24,67,1.0,20,66,41,109,71,47,314,4133,2060,2349,4029,67.69,95,199,132,274,293,382,203,159,2352,5700,1.0,164,177,4343,1357,65,243,155,145,250,502,1236,364,855,7,14,10,,,,,,,,,,True,15,15,2,100,164,67,41,89,0,True,4343,0,5892,77,314,38,314,0,True,199,68,294,147
2026,nwsl::Football_Season::0b6761e4701749f593690c0f338da74c,nwsl::Football_Team::96ba7b37bd8544a1a7329183459150ff,opta:Team:446mp88j1vpk9iwui9fiifrp8,Portland Thorns,Thorns,POR,Portland Thorns,US,club,True,18,28,8,6,4,28,25,78,3,0,172,190,26,17,3,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.25,62.69,53.73,50.18,0,0,0,335,45.5,155,180,2.0,69,65,19,8.0,76,76,29.25,1.0,1630,812,818,2011,94,3.0,217,41,21,16.67,168,25,21,4.0,18,25,3.0,1295,657,638,6,5.0,7,171,145,1.0,13,493,5978,26,6054,13,12.1,64.0,77.14,,,3.0,3.0,18.0,2.0,313,169,987,10,55.36,166,75,68,26,93,2.0,35,62,20,116,91,63,383,4677,1774,3283,4612,62.69,125,210,89,328,339,502,172,190,2487,6475,3.0,168,259,4995,1480,39,150,95,146,265,527,1113,517,953,9,16,12,1.0,,,,,1.0,,,,True,21,21,3,100,168,93,55,76,0,True,4995,0,6543,78,383,42,383,0,True,210,63,335,171
2026,nwsl::Football_Season::0b6761e4701749f593690c0f338da74c,nwsl::Football_Team::ac29701756da44a08457762380c10733,opta:Team:dtucewmt49th1p4selfutmnmc,Racing Louisville,Racing Lou,LOU,Racing Louisville,US,club,True,17,14,4,11,2,21,34,71,3,2,179,164,35,26,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.16,59.8,53.22,48.16,0,0,0,342,40.6,160,182,7.0,75,79,6,,87,87,24.16,2.0,1547,802,745,2104,84,3.0,121,63,12,14.89,142,34,29,5.0,13,16,5.0,1205,642,563,3,4.0,6,204,137,,4,525,5801,35,4578,11,11.0,59.65,70.66,2.0,,3.0,3.0,7.0,3.0,306,153,891,12,46.81,149,75,68,28,66,,27,72,38,103,86,33,373,3245,1692,1882,3129,59.8,119,177,94,329,365,415,179,164,2550,4956,,141,270,3502,1454,53,226,161,140,278,576,1322,358,878,2,12,9,1.0,2.0,1.0,,,,1.0,1.0,1.0,True,12,12,3,100,141,66,47,87,0,True,3502,0,5113,71,373,39,373,0,True,177,60,296,204
2026,nwsl::Football_Season::0b6761e4701749f593690c0f338da74c,nwsl::Football_Team::acffc559cf7d485a9c05fa23ab57054b,opta:Team:bn7w86uw8j61dga3xr5s0yiju,Utah Royals,Royals,UTA,Utah Royals,US,club,True,18,33,10,5,3,31,19,74,5,2,223,175,36,28,1,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.41,62.18,46.94,49.06,0,0,0,392,52.0,208,184,2.0,68,53,17,6.0,105,105,30.41,2.0,1655,843,812,2371,113,5.0,192,38,24,16.67,158,19,16,3.0,17,29,1.0,1263,635,628,8,6.0,9,167,174,4.0,7,597,4740,36,5896,8,7.9,63.69,73.84,2.0,,5.0,5.0,11.0,5.0,370,176,927,17,48.39,198,96,53,16,90,,32,97,58,99,103,84,406,4352,2172,2602,4271,62.18,135,222,70,380,305,414,223,175,2624,6334,1.0,186,197,4677,1657,44,222,170,127,354,628,1405,474,1029,11,15,16,4.0,2.0,,1.0,,1.0,,,,True,24,24,5,100,186,90,48,105,0,True,4677,0,6525,74,406,39,406,0,True,222,62,357,167
2026,nwsl::Football_Season::0b6761e4701749f593690c0f338da74c,nwsl::Football_Team::c31d72afc09f42ee86418633aa41390a,opta:Team:f1ks82wpiewyqs6h3oz9v4hzj,Washington Spirit,Spirit,WAS,Washington Spirit,US,club,True,18,36,11,4,3,26,13,82,1,0,180,176,28,18,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.12,64.46,49.35,49.45,0,0,0,308,55.6,156,152,3.0,49,56,6,8.0,78,78,24.12,2.0,1634,826,808,2710,95,1.0,182,24,19,15.03,137,13,11,2.0,18,19,6.0,1326,670,656,10,3.0,4,193,148,,8,507,5283,28,7914,19,10.4,73.72,82.0,1.0,1.0,1.0,,2.0,1.0,326,147,1000,14,52.02,167,83,43,15,90,,16,55,37,149,58,106,325,6483,2961,3921,6502,64.46,118,214,107,366,400,394,180,176,2580,8326,,173,198,6827,1499,32,173,130,181,206,416,1209,463,1083,16,11,15,1.0,,1.0,1.0,,,1.0,1.0,,True,19,19,0,0,173,90,52,78,0,True,6827,0,8479,82,325,44,325,0,True,214,64,332,193
2026,nwsl::Football_Season::0b6761e4701749f593690c0f338da74c,nwsl::Football_Team::c3e9513e280b41e5bfbb8230076e8c43,opta:Team:966pdxhsoxaib9qt5083h8uus,Orlando Pride,Pride,ORL,Orlando Pride,US,club,True,18,23,7,9,2,22,26,79,3,2,200,189,31,23,1,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.4,62.75,49.67,50.48,0,0,0,300,47.2,151,149,5.0,72,53,14,6.0,88,88,21.4,2.0,1561,773,788,2323,93,3.0,210,35,17,12.22,166,26,23,3.0,15,18,4.0,1261,622,639,6,2.0,9,200,162,2.0,7,533,5698,31,6269,16,10.7,68.01,78.26,2.0,,3.0,1.0,3.0,1.0,316,146,917,13,47.78,179,94,50,29,86,1.0,20,61,33,95,76,78,394,4898,2193,3116,4854,62.75,133,224,56,345,298,416,200,189,2403,6706,1.0,180,244,5248,1458,51,224,154,131,262,549,1227,455,909,21,14,8,1.0,2.0,,,,,,,,True,17,17,1,33,180,86,48,88,0,True,5248,0,6860,79,394,42,394,0,True,224,63,357,200
