player,season,award
Lauren Holiday,2013,Most Valuable Player
Kim Little,2014,Most Valuable Player
Crystal Dunn,2015,Most Valuable Player
Lynn Williams,2016,Most Valuable Player
Sam Kerr,2017,Most Valuable Player
Lindsey Horan,2018,Most Valuable Player
Lindsey Horan,2019,Most Valuable Player
Lauren Holiday,2013,Golden Boot
Kim Little,2014,Golden Boot
Crystal Dunn,2015,Golden Boot
Lynn Williams,2016,Golden Boot
Sam Kerr,2017,Golden Boot
Sam Kerr,2018,Golden Boot
Sam Kerr,2019,Golden Boot
Becky Sauerbrunn,2013,Defender of the Year
Becky Sauerbrunn,2014,Defender of the Year
Becky Sauerbrunn,2015,Defender of the Year
Lauren Barnes,2016,Defender of the Year
Abby Dahlkemper,2017,Defender of the Year
Abby Erceg,2018,Defender of the Year
Becky Sauerbrunn,2019,Defender of the Year
Nicole Barnhart,2013,Goalkeeper of the Year
Alyssa Naeher,2014,Goalkeeper of the Year
Michelle Betos,2015,Goalkeeper of the Year
Ashlyn Harris,2016,Goalkeeper of the Year
Adrianna Franch,2017,Goalkeeper of the Year
Adrianna Franch,2018,Goalkeeper of the Year
Aubrey Bledsoe,2019,Goalkeeper of the Year
Erika Tymrak,2013,Rookie of the Year
Julie Ertz,2014,Rookie of the Year
Danielle Colaprico,2015,Rookie of the Year
Raquel Rodríguez,2016,Rookie of the Year
Ashley Hatch,2017,Rookie of the Year
Imani Dorsey,2018,Rookie of the Year
Bethany Balcer,2019,Rookie of the Year
Nicole Barnhart,2013,Best XI
Christie Pearce,2013,Best XI
Leigh Ann Brown,2013,Best XI
Becky Sauerbrunn,2013,Best XI
Brittany Kolmel,2013,Best XI
Lori Chalupny,2013,Best XI
Jess Fishlock,2013,Best XI
Lauren Holiday,2013,Best XI
Diana Matheson,2013,Best XI
Sydney Leroux,2013,Best XI
Abby Wambach,2013,Best XI
Alyssa Naeher,2014,Best XI
Kendall Fletcher,2014,Best XI
Ali Krieger,2014,Best XI
Christie Pearce,2014,Best XI
Becky Sauerbrunn,2014,Best XI
Verónica Boquete,2014,Best XI
Jess Fishlock,2014,Best XI
Kim Little,2014,Best XI
Lauren Holiday,2014,Best XI
Nahomi Kawasumi,2014,Best XI
Amy Rodriguez,2014,Best XI
Michelle Betos,2015,Best XI
Lauren Barnes,2015,Best XI
Julie Ertz,2015,Best XI
Amy LePeilbet,2015,Best XI
Becky Sauerbrunn,2015,Best XI
Jess Fishlock,2015,Best XI
Kim Little,2015,Best XI
Allie Long,2015,Best XI
Crystal Dunn,2015,Best XI
Christen Press,2015,Best XI
Beverly Yanez,2015,Best XI
Ashlyn Harris,2016,Best XI
