season,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR
2013,1,Marisa Abegg,us USA,DF,Washington Spirit,25.0,1987.0,5,4,,0.0,0.0,0.0,0.0,0.0,0.0
2013,2,Danesha Adams,us USA,"FW,MF",Sky Blue FC,26.0,1986.0,20,20,,3.0,3.0,1.0,1.0,0.0,0.0
2013,3,Adriana,es ESP,FW,Western New York Flash,26.0,1986.0,15,14,3.0,1.0,,0.0,1.0,2.0,0.0
2013,4,Leigh Ann Brown,us USA,"DF,MF",FC Kansas City,26.0,1986.0,22,22,1900.0,0.0,5.0,0.0,0.0,1.0,0.0
2013,5,Jazmyne Avant,us USA,DF,Portland Thorns FC,23.0,1990.0,4,2,212.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,6,Jazmyne Avant,us USA,DF,Boston Breakers,23.0,1990.0,11,11,990.0,0.0,1.0,0.0,0.0,0.0,0.0
2013,7,Ashley Baker,,GK,Sky Blue FC,22.0,1990.0,1,0,1.0,,,0.0,0.0,,
2013,8,Amy Barczuk,us USA,DF,Western New York Flash,22.0,1990.0,7,2,,0.0,,0.0,0.0,0.0,0.0
2013,9,Lauren Barnes,us USA,DF,Seattle,23.0,1989.0,22,22,,0.0,1.0,0.0,0.0,0.0,0.0
2013,10,Nicole Barnhart,us USA,GK,FC Kansas City,31.0,1981.0,20,20,1800.0,,,0.0,0.0,,
2013,11,Michelle Betos,us USA,GK,Seattle,24.0,1988.0,7,7,630.0,,,0.0,0.0,,
2013,12,Brittany Bock,us USA,MF,Sky Blue FC,25.0,1987.0,7,5,,0.0,0.0,0.0,0.0,1.0,0.0
2013,13,Liz Bogus,us USA,FW,Seattle,28.0,1984.0,20,11,,1.0,2.0,0.0,0.0,0.0,0.0
2013,14,Melanie Booth,ca CAN,DF,Sky Blue FC,28.0,1984.0,3,0,,0.0,0.0,0.0,0.0,0.0,0.0
2013,15,Shannon Boxx,us USA,MF,Chicago Red Stars,35.0,1977.0,2,1,123.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,16,Rachel Breton,us USA,"DF,FW",Sky Blue FC,22.0,1990.0,1,0,,0.0,0.0,0.0,0.0,0.0,0.0
2013,17,Jen Buczkowski,us USA,"DF,MF",FC Kansas City,27.0,1985.0,22,22,1980.0,0.0,2.0,0.0,0.0,0.0,0.0
2013,18,Mariah Bullock,us USA,"DF,MF",Boston Breakers,21.0,1991.0,20,16,1408.0,3.0,1.0,0.0,0.0,1.0,0.0
2013,19,Zakiya Bywaters,us USA,FW,Chicago Red Stars,21.0,1991.0,6,5,372.0,2.0,0.0,0.0,0.0,0.0,0.0
2013,20,Brittany Cameron,us USA,GK,Sky Blue FC,26.0,1986.0,18,18,1619.0,,,0.0,0.0,,
2013,21,Tiffany Cameron,jm JAM,FW,FC Kansas City,21.0,1991.0,1,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,22,Tiffany Cameron,jm JAM,FW,Seattle,21.0,1991.0,7,4,,0.0,0.0,0.0,0.0,0.0,0.0
2013,23,Lori Chalupny,us USA,MF,Chicago Red Stars,29.0,1984.0,18,17,1500.0,5.0,4.0,0.0,0.0,3.0,0.0
2013,24,Candace Chapman,ca CAN,DF,Washington Spirit,29.0,1983.0,8,8,,0.0,0.0,0.0,0.0,0.0,0.0
