season,Rk,Player,Nation,Pos,Squad,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,Matches
2013,1,Ashley Baker,,GK,Sky Blue FC,1,0,1,0,0.0,1.0,1.0,1.0,0,0,0,0,,Matches
2013,2,Nicole Barnhart,us USA,GK,FC Kansas City,20,20,1800,19,0.95,86.0,67.0,0.779,10,5,5,10,50.0,Matches
2013,3,Michelle Betos,us USA,GK,Seattle,7,7,630,14,2.0,48.0,34.0,0.708,0,1,6,0,0.0,Matches
2013,4,Brittany Cameron,us USA,GK,Sky Blue FC,18,18,1619,17,0.95,82.0,65.0,0.793,9,5,4,8,44.4,Matches
2013,5,Adrianna Franch,us USA,GK,Western New York Flash,22,22,1978,20,0.91,118.0,98.0,0.831,10,8,4,7,31.8,Matches
2013,6,Ashlyn Harris,us USA,GK,Washington Spirit,18,18,1620,33,1.83,118.0,85.0,0.72,2,5,11,1,5.6,Matches
2013,7,Bianca Henninger,us USA,GK,FC Kansas City,2,2,180,3,1.5,8.0,5.0,0.625,1,0,1,1,50.0,Matches
2013,8,Chantel Jones,us USA,GK,Washington Spirit,4,4,350,6,1.54,21.0,15.0,0.714,1,0,3,1,25.0,Matches
2013,9,Haley Kopmeyer,us USA,GK,Seattle,1,1,90,3,3.0,9.0,6.0,0.667,0,0,1,0,0.0,Matches
2013,10,Karina LeBlanc,ca CAN,GK,Portland Thorns FC,21,21,1890,23,1.1,115.0,92.0,0.8,11,5,5,7,33.3,Matches
2013,11,Cris Lewis,us USA,GK,Portland Thorns FC,1,1,90,2,2.0,2.0,0.0,0.0,0,0,1,0,0.0,Matches
2013,12,Jillian Loyden,us USA,GK,Sky Blue FC,4,4,360,9,2.25,30.0,21.0,0.7,1,1,2,0,0.0,Matches
2013,13,Erin McLeod,ca CAN,GK,Chicago Red Stars,16,16,1440,28,1.75,92.0,64.0,0.696,5,5,6,4,25.0,Matches
2013,14,Alyssa Naeher,us USA,GK,Boston Breakers,9,8,765,11,1.29,47.0,36.0,0.766,4,2,2,2,25.0,Matches
