competition_name,season_name,match_id,match_date,kick_off,match_week,competition_stage,stadium,referee,home_team,away_team,home_score,away_score
NWSL,2018,7430,2018-04-15,01:00:00.000,3,Regular Season,Maureen Hendricks Field Maryland SoccerPlex,Jasmine Peralta,Washington Spirit,North Carolina Courage,2,4
NWSL,2018,7443,2018-05-05,21:30:00.000,6,Regular Season,Providence Park,Karen Abt,Portland Thorns,OL Reign,2,3
NWSL,2018,7444,2018-05-06,21:00:00.000,6,Regular Season,WakeMed Soccer Park,Marco Vega,North Carolina Courage,Chicago Red Stars,1,1
NWSL,2018,7445,2018-05-06,03:00:00.000,6,Regular Season,America First Field,Reyna Fonseca,Utah Royals,Washington Spirit,2,0
NWSL,2018,7451,2018-05-13,01:00:00.000,7,Regular Season,WakeMed Soccer Park,Jonathan Bilinski,North Carolina Courage,Washington Spirit,1,0
NWSL,2018,7456,2018-05-20,01:00:00.000,6,Regular Season,Yurcak Field,Danielle Chesky,NJ/NY Gotham FC,North Carolina Courage,1,2
NWSL,2018,7457,2018-05-24,01:30:00.000,9,Regular Season,Exploria Stadium,Christina Unkel,Orlando Pride,North Carolina Courage,3,4
NWSL,2018,7519,2018-05-31,04:30:00.000,11,Regular Season,Providence Park,Joe Dickerson,Portland Thorns,North Carolina Courage,1,4
NWSL,2018,7520,2018-06-03,03:00:00.000,9,Regular Season,Maureen Hendricks Field Maryland SoccerPlex,Karen Abt,Washington Spirit,Chicago Red Stars,0,2
NWSL,2018,7521,2018-06-03,01:00:00.000,9,Regular Season,Yurcak Field,Lorant Varga,NJ/NY Gotham FC,Utah Royals,1,2
NWSL,2018,7522,2018-06-04,01:00:00.000,10,Regular Season,Shell Energy Stadium,Natalie Simon,Houston Dash,North Carolina Courage,1,1
NWSL,2018,7523,2018-06-04,03:00:00.000,10,Regular Season,UW Medicine Pitch at Memorial Stadium,Danielle Chesky,OL Reign,Orlando Pride,0,0
NWSL,2018,7471,2018-06-30,21:30:00.000,15,Regular Season,Exploria Stadium,Elvis Osmanovic,Orlando Pride,North Carolina Courage,0,3
NWSL,2018,7472,2018-07-01,04:00:00.000,13,Regular Season,UW Medicine Pitch at Memorial Stadium,Christina Unkel,OL Reign,Portland Thorns,1,0
NWSL,2018,7473,2018-07-01,04:00:00.000,13,Regular Season,America First Field,Víctor Rivas,Utah Royals,NJ/NY Gotham FC,3,1
NWSL,2018,7474,2018-07-02,00:00:00.000,13,Regular Season,SeatGeek Stadium,Sergii Demianchuk,Chicago Red Stars,Washington Spirit,2,0
NWSL,2018,7475,2018-07-05,01:00:00.000,14,Regular Season,WakeMed Soccer Park,Matthew Franz,North Carolina Courage,Chicago Red Stars,4,1
NWSL,2018,7477,2018-07-07,05:00:00.000,15,Regular Season,Providence Park,Farhad Dadkho,Portland Thorns,Utah Royals,4,0
NWSL,2018,7476,2018-07-08,01:00:00.000,13,Regular Season,Yurcak Field,Jasmine Peralta,NJ/NY Gotham FC,Chicago Red Stars,1,3
NWSL,2018,7478,2018-07-08,04:00:00.000,14,Regular Season,UW Medicine Pitch at Memorial Stadium,Reyna Fonseca,OL Reign,Houston Dash,3,1
NWSL,2018,7479,2018-07-08,01:30:00.000,16,Regular Season,Exploria Stadium,Danielle Chesky,Orlando Pride,Washington Spirit,2,1
NWSL,2018,7480,2018-07-12,04:30:00.000,15,Regular Season,UW Medicine Pitch at Memorial Stadium,Katja Koroleva,OL Reign,Utah Royals,1,0
NWSL,2018,7482,2018-07-12,01:00:00.000,15,Regular Season,WakeMed Soccer Park,Daniel Gutierrez,North Carolina Courage,Washington Spirit,2,0
NWSL,2018,7524,2018-07-12,02:30:00.000,14,Regular Season,Shell Energy Stadium,Christina Unkel,Houston Dash,Orlando Pride,3,1
NWSL,2018,7483,2018-07-15,01:00:00.000,16,Regular Season,America First Field,Reyna Fonseca,Utah Royals,Orlando Pride,1,2
NWSL,2018,7484,2018-07-15,01:00:00.000,14,Regular Season,Yurcak Field,Danielle Chesky,NJ/NY Gotham FC,North Carolina Courage,0,4
NWSL,2018,7485,2018-07-15,02:00:00.000,16,Regular Season,SeatGeek Stadium,Natalie Simon,Chicago Red Stars,OL Reign,1,0
NWSL,2018,7486,2018-07-16,05:00:00.000,16,Regular Season,Providence Park,Eric Tattersall,Portland Thorns,Houston Dash,3,1
NWSL,2018,7487,2018-07-21,04:00:00.000,17,Regular Season,America First Field,Christina Unkel,Utah Royals,North Carolina Courage,0,0
NWSL,2018,7490,2018-07-22,01:00:00.000,15,Regular Season,Yurcak Field,Reyna Fonseca,NJ/NY Gotham FC,Portland Thorns,1,2
NWSL,2018,7492,2018-08-06,01:30:00.000,19,Regular Season,Exploria Stadium,Luis Guardia,Orlando Pride,NJ/NY Gotham FC,2,2
NWSL,2018,7493,2018-08-06,03:00:00.000,17,Regular Season,UW Medicine Pitch at Memorial Stadium,Mark Allatin,OL Reign,Washington Spirit,2,0
NWSL,2018,7494,2018-08-06,02:30:00.000,17,Regular Season,Shell Energy Stadium,Rosendo Mendoza,Houston Dash,Utah Royals,1,2
NWSL,2018,7496,2018-08-09,04:00:00.000,19,Regular Season,America First Field,Timothy Ford,Utah Royals,Washington Spirit,1,0
NWSL,2018,7497,2018-08-11,02:00:00.000,17,Regular Season,SeatGeek Stadium,Matthew Franz,Chicago Red Stars,North Carolina Courage,1,1
NWSL,2018,7500,2018-08-12,01:30:00.000,20,Regular Season,Exploria Stadium,Katja Koroleva,Orlando Pride,Portland Thorns,0,2
