player,team,shots,goals,shots_on_target,total_xg,avg_xg_per_shot
Lynn Raenie Williams,North Carolina Courage,51,7,14,8.737195355999999,0.17131755599999998
Jessica McDonald,North Carolina Courage,39,3,11,6.065374818,0.15552243123076923
Samantha May Kerr,Chicago Red Stars,46,7,20,5.371121889,0.11676351932608696
Débora Cristiane de Oliveira,North Carolina Courage,37,6,15,4.714316929,0.12741397105405405
Crystal Alyssia Dunn Soubrier,North Carolina Courage,38,3,17,4.340831787,0.11423241544736842
Jodie Taylor,OL Reign,19,4,11,4.237874403,0.22304602121052633
Marta Vieira da Silva,Orlando Pride,25,2,9,3.567547235,0.1427018894
Ashley Hatch,Washington Spirit,35,1,9,3.367491332,0.09621403805714286
Lindsey Michelle Horan,Portland Thorns,19,5,10,2.932728511,0.15435413215789473
Imani Dorsey,NJ/NY Gotham FC,12,3,9,2.8281041780000002,0.2356753481666667
Ana-Maria Crnogorčević,Portland Thorns,15,3,7,2.680569771,0.1787046514
Alexandra Morgan Carrasco,Orlando Pride,16,1,5,2.626073784,0.1641296115
Samantha June Mewis,North Carolina Courage,26,3,8,2.609750779,0.10037502996153846
Sydney Rae Leroux,Orlando Pride,20,2,7,2.60615942,0.130307971
Kristen Hamilton,North Carolina Courage,18,1,7,2.439141575,0.13550786527777778
Hayley Emma Raso,Portland Thorns,15,2,4,2.34073508,0.15604900533333332
Yuki Nagasato,Chicago Red Stars,9,3,6,2.095811276,0.23286791955555555
Dani Weatherholt,Orlando Pride,12,1,4,2.084392605,0.17369938375000002
Megan Anna Rapinoe,OL Reign,21,2,6,1.9838834893,0.09447064234761904
Rachel Daly,Houston Dash,15,2,4,1.979103127,0.13194020846666665
McCall Zerboni,North Carolina Courage,12,3,5,1.8718393610000001,0.15598661341666667
Katie Stengel,Utah Royals,14,4,9,1.819480419,0.12996288707142858
Carli Anne Hollins,NJ/NY Gotham FC,15,2,7,1.7966048168,0.11977365445333334
Amy Rodriguez,Utah Royals,12,1,4,1.770035912,0.14750299266666667
Jasmyne Spencer,OL Reign,8,1,2,1.61755535,0.20219441875
Beverly Yanez,OL Reign,13,1,4,1.577612123,0.1213547786923077
Abby Erceg,North Carolina Courage,15,2,3,1.56835865,0.10455724333333333
Christen Annemarie Press,Utah Royals,17,2,6,1.5520019446,0.09129423203529412
Alanna Stephanie Kennedy,Orlando Pride,12,1,2,1.534806153,0.12790051275
Kealia Ohai,Houston Dash,8,2,4,1.427982237,0.178497779625
Tobin Powell Heath,Portland Thorns,13,1,2,1.3165258016999999,0.10127121551538461
Emily Louise van Egmond,Orlando Pride,11,0,4,1.265327115,0.11502973772727274
Chioma Ubogagu,Orlando Pride,12,1,4,1.2569377443,0.10474481202500001
Francisca Ordega,Washington Spirit,6,1,4,1.1769856385,0.1961642730833333
Allie Long,OL Reign,9,1,4,1.117444494,0.12416049933333333
Shea Groom,NJ/NY Gotham FC,10,2,5,1.092777827,0.10927778269999999
Tyler Lussi,Portland Thorns,6,1,3,1.062399464,0.17706657733333334
Jessica Fishlock,OL Reign,11,0,4,1.021555322,0.09286866563636363
Tori Huster,Washington Spirit,5,0,2,0.960923196,0.1921846392
Christine Margaret Sinclair,Portland Thorns,12,0,3,0.88756488,0.07396374
Michele Vasconcelos,Chicago Red Stars,4,0,1,0.8105031570000001,0.20262578925000002
Kyah Pam Simon,Houston Dash,9,0,3,0.8045606200000001,0.08939562444444445
