match_id,match_date,competition_stage,home_team,away_team,team,player,minute,second,period,play_pattern,shot_type,body_part,technique,outcome,statsbomb_xg,first_time,one_on_one,open_goal,deflected,under_pressure,shot_key_pass_player,location_x,location_y,end_location_x,end_location_y,end_location_z,is_goal,is_on_target
7430,2018-04-15,Regular Season,Washington Spirit,North Carolina Courage,Washington Spirit,Mallory Pugh,2,42,1,Regular Play,Open Play,Right Foot,Normal,Goal,0.097240604,,,,True,,,106.0,35.0,120.0,43.6,1.7,True,True
7430,2018-04-15,Regular Season,Washington Spirit,North Carolina Courage,North Carolina Courage,Abby Erceg,7,56,1,From Corner,Open Play,Head,Normal,Blocked,0.053301424,,,,,,,105.0,39.0,110.0,38.0,,False,False
7430,2018-04-15,Regular Season,Washington Spirit,North Carolina Courage,North Carolina Courage,Jessica McDonald,10,0,1,Regular Play,Open Play,Right Foot,Normal,Saved,0.09457453,,,,,,,106.0,32.0,119.0,40.3,1.6,False,True
7430,2018-04-15,Regular Season,Washington Spirit,North Carolina Courage,North Carolina Courage,Crystal Alyssia Dunn Soubrier,16,46,1,From Goal Kick,Open Play,Right Foot,Normal,Saved,0.03135553,,,,,,,95.0,48.0,120.0,42.2,2.3,False,True
7430,2018-04-15,Regular Season,Washington Spirit,North Carolina Courage,North Carolina Courage,Lynn Raenie Williams,19,26,1,Regular Play,Open Play,Right Foot,Normal,Blocked,0.008003449,,,,,,,110.0,21.0,114.0,29.0,,False,False
7430,2018-04-15,Regular Season,Washington Spirit,North Carolina Courage,North Carolina Courage,Crystal Alyssia Dunn Soubrier,19,28,1,From Counter,Open Play,Right Foot,Volley,Goal,0.15612374,True,,,,,,112.0,41.0,119.0,38.0,0.5,True,True
7430,2018-04-15,Regular Season,Washington Spirit,North Carolina Courage,North Carolina Courage,Lynn Raenie Williams,21,55,1,From Corner,Open Play,Head,Normal,Wayward,0.068219095,,,,,True,,111.0,44.0,103.0,40.0,,False,False
7430,2018-04-15,Regular Season,Washington Spirit,North Carolina Courage,North Carolina Courage,McCall Zerboni,23,21,1,From Free Kick,Open Play,Right Foot,Normal,Goal,0.06133352,True,,,,,,101.0,42.0,119.0,36.6,1.4,True,True
7430,2018-04-15,Regular Season,Washington Spirit,North Carolina Courage,Washington Spirit,Ashley Hatch,25,6,1,From Corner,Open Play,Right Foot,Normal,Wayward,0.06008085,,,,,,,109.0,47.0,120.0,42.0,,False,False
7430,2018-04-15,Regular Season,Washington Spirit,North Carolina Courage,North Carolina Courage,Jessica McDonald,25,48,1,From Goal Kick,Open Play,Right Foot,Normal,Off T,0.20509002,,True,,,,,110.0,28.0,120.0,45.8,0.2,False,False
7430,2018-04-15,Regular Season,Washington Spirit,North Carolina Courage,North Carolina Courage,Jessica McDonald,32,17,1,Regular Play,Open Play,Right Foot,Normal,Saved,0.10499528,True,,,,,,103.0,39.0,119.0,36.4,1.2,False,True
7430,2018-04-15,Regular Season,Washington Spirit,North Carolina Courage,North Carolina Courage,Lynn Raenie Williams,45,32,2,Regular Play,Open Play,Left Foot,Normal,Post,0.24550784,,True,,,,,116.0,34.0,120.0,35.8,2.0,False,False
7430,2018-04-15,Regular Season,Washington Spirit,North Carolina Courage,North Carolina Courage,Kristen Hamilton,45,36,2,Regular Play,Open Play,Right Foot,Normal,Saved,0.14212596,,,,True,,,108.0,38.0,119.0,39.9,1.5,False,True
7430,2018-04-15,Regular Season,Washington Spirit,North Carolina Courage,North Carolina Courage,Jessica McDonald,45,49,1,From Corner,Open Play,Head,Normal,Saved,0.13629091,,True,,,,,111.0,31.0,119.0,37.2,0.5,False,True
7430,2018-04-15,Regular Season,Washington Spirit,North Carolina Courage,Washington Spirit,Joanna Lohman,46,36,1,From Throw In,Open Play,Right Foot,Normal,Saved,0.083592586,,,,,,,105.0,46.0,120.0,37.8,1.8,False,True
7430,2018-04-15,Regular Season,Washington Spirit,North Carolina Courage,North Carolina Courage,McCall Zerboni,47,48,2,From Corner,Open Play,Right Foot,Volley,Goal,0.6626056,True,,True,,,,116.0,39.0,120.0,39.7,0.9,True,True
7430,2018-04-15,Regular Season,Washington Spirit,North Carolina Courage,Washington Spirit,Francisca Ordega,56,53,2,From Corner,Open Play,Right Foot,Normal,Goal,0.54280853,,,True,,,,116.0,39.0,120.0,40.3,0.7,True,True
7430,2018-04-15,Regular Season,Washington Spirit,North Carolina Courage,Washington Spirit,Havana Solaun,58,53,2,From Corner,Open Play,Right Foot,Normal,Off T,0.00988468,,True,,,,,105.0,16.0,120.0,34.6,0.5,False,False
7430,2018-04-15,Regular Season,Washington Spirit,North Carolina Courage,Washington Spirit,Mallory Pugh,64,14,2,From Counter,Open Play,Left Foot,Normal,Off T,0.018283706,,True,,,,,119.0,29.0,120.0,35.4,1.0,False,False
7430,2018-04-15,Regular Season,Washington Spirit,North Carolina Courage,North Carolina Courage,Lynn Raenie Williams,65,24,2,Regular Play,Open Play,Right Foot,Normal,Goal,0.057973385,,,,,True,,95.0,46.0,120.0,36.4,0.4,True,True
7430,2018-04-15,Regular Season,Washington Spirit,North Carolina Courage,North Carolina Courage,Kristen Hamilton,69,29,2,From Corner,Open Play,Right Foot,Half Volley,Saved,0.012583124,,,,,,,112.0,57.0,119.0,41.7,1.6,False,True
7430,2018-04-15,Regular Season,Washington Spirit,North Carolina Courage,North Carolina Courage,Lynn Raenie Williams,75,35,2,From Counter,Open Play,Right Foot,Normal,Post,0.046430565,,,,True,,,102.0,27.0,120.0,39.7,2.7,False,False
7430,2018-04-15,Regular Season,Washington Spirit,North Carolina Courage,Washington Spirit,Francisca Ordega,77,33,2,From Free Kick,Open Play,Right Foot,Normal,Blocked,0.0102871405,,True,,,,,111.0,61.0,112.0,58.0,,False,False
7430,2018-04-15,Regular Season,Washington Spirit,North Carolina Courage,Washington Spirit,Estelle Johnson,78,1,2,From Corner,Open Play,Left Foot,Normal,Blocked,0.12603746,,,,,,,115.0,48.0,119.0,43.0,,False,False
7430,2018-04-15,Regular Season,Washington Spirit,North Carolina Courage,North Carolina Courage,Denise O'Sullivan,85,1,2,Regular Play,Open Play,Right Foot,Normal,Blocked,0.06551418,,,,,True,,104.0,52.0,107.0,52.0,,False,False
7443,2018-05-05,Regular Season,Portland Thorns,OL Reign,Portland Thorns,Lindsey Michelle Horan,8,38,1,From Corner,Open Play,Right Foot,Normal,Saved,0.0384103,True,,,,True,,97.0,34.0,119.0,38.7,2.2,False,True
7443,2018-05-05,Regular Season,Portland Thorns,OL Reign,Portland Thorns,Mallory Weber,17,11,1,Regular Play,Open Play,Left Foot,Normal,Post,0.3215839,,,,,,,111.0,45.0,119.0,41.9,2.7,False,False
7443,2018-05-05,Regular Season,Portland Thorns,OL Reign,OL Reign,Stephanie-Elise Catley,21,5,1,From Corner,Open Play,Left Foot,Volley,Saved,0.061868846,,,,,,,106.0,30.0,118.0,38.7,0.8,False,True
7443,2018-05-05,Regular Season,Portland Thorns,OL Reign,Portland Thorns,Lindsey Michelle Horan,25,0,1,From Free Kick,Free Kick,Right Foot,Normal,Off T,0.053808708,,,,,,,93.0,47.0,120.0,43.0,4.4,False,False
7443,2018-05-05,Regular Season,Portland Thorns,OL Reign,Portland Thorns,Mallory Weber,27,34,1,From Throw In,Open Play,Right Foot,Half Volley,Saved,0.26365405,True,,,,True,,112.0,35.0,119.0,37.4,0.6,False,True
7443,2018-05-05,Regular Season,Portland Thorns,OL Reign,Portland Thorns,Ana-Maria Crnogorčević,28,5,1,Regular Play,Open Play,Right Foot,Normal,Off T,0.15594445,True,,,,,,108.0,52.0,120.0,45.6,1.8,False,False
7443,2018-05-05,Regular Season,Portland Thorns,OL Reign,OL Reign,Allie Long,33,31,1,From Free Kick,Open Play,Head,Normal,Saved,0.12907563,,,,,,,113.0,39.0,120.0,37.6,2.4,False,True
