team,attack_rating,defense_rating,n_matches,last_match_date
San Diego Wave FC,0.2615776770880427,-0.28669239288882575,43,2026-07-26
Angel City FC,0.24544480185931425,-0.11180312729572112,41,2026-07-27
North Carolina Courage,0.2256602041499167,-0.07903438032665092,41,2026-07-25
Kansas City Current,0.21433069174358413,-0.16698291664414353,43,2026-07-30
Utah Royals,0.07305883222202146,-0.047530387371683296,43,2026-07-30
Denver Summit FC,0.04992027093277489,0.08219989436327046,15,2026-07-26
Boston Legacy FC,0.028838105748021467,-0.11055143294988116,17,2026-07-25
Gotham FC,0.022480213230568806,-0.19614954014559638,43,2026-07-30
Orlando Pride,-0.007092846439715391,-0.23149656205681504,43,2026-07-25
Portland Thorns FC,-0.008507915406777361,-0.022413575544365117,43,2026-07-25
Racing Louisville FC,-0.09952976181086036,0.33163461379086934,42,2026-07-30
Bay FC,-0.10249547139635594,0.056837548950175884,42,2026-07-30
Washington Spirit,-0.11823738753894855,-0.19139875139230542,43,2026-07-30
Seattle Reign FC,-0.16894867909107308,0.22152011575048317,41,2026-07-26
Houston Dash,-0.27680823367349117,0.2283349795452352,42,2026-07-25
Chicago Stars FC,-0.3411988744812827,0.6010742339858265,42,2026-07-25
