team,attack_rating,defense_rating,n_matches,last_match_date
Denver Summit FC,0.26585345000452415,0.05860466305512182,10,2026-05-23
Kansas City Current,0.2544561304789311,0.024095961022103412,38,2026-05-24
Washington Spirit,0.2229995503191731,-0.2750916240437957,39,2026-05-16
North Carolina Courage,0.18063484313791978,-0.041233487380794284,36,2026-05-23
Utah Royals,0.11273665519480038,-0.3426356767730029,37,2026-05-23
Racing Louisville FC,0.10394257578553494,0.30376641755697026,37,2026-05-23
Portland Thorns FC,0.10068646355471784,-0.17039211915219632,40,2026-05-24
San Diego Wave FC,0.07564129692264461,-0.07879261046969357,39,2026-05-24
Orlando Pride,0.013322105093805702,0.09777051715471452,39,2026-05-24
Angel City FC,0.007321647917959529,-0.008696594222702471,36,2026-05-24
Gotham FC,-0.03404592348812029,-0.4777689769558436,39,2026-05-16
Houston Dash,-0.08083392763073168,0.2671344308275873,37,2026-05-24
Boston Legacy FC,-0.12515684926656248,0.20726228995834164,11,2026-05-23
Seattle Reign FC,-0.26446808592842486,-0.09293055578509268,37,2026-05-23
Bay FC,-0.36841841797483554,0.07719976357384624,36,2026-05-24
Chicago Stars FC,-0.4547887010236235,0.4672145942691658,37,2026-05-24
