team,attack_rating,defense_rating,n_matches,last_match_date
Houston Dash,0.5274426015752456,-0.3046592296339723,14,2026-04-04
Angel City FC,0.4222104687516711,-0.268367483474987,15,2026-04-05
San Diego Wave FC,0.25724346935027415,-0.19854859716875994,16,2026-04-04
Seattle Reign FC,0.20093212765853677,-0.02481881342797491,13,2026-04-05
Racing Louisville FC,0.17449092031326563,0.005066437738092951,15,2026-04-04
Orlando Pride,0.08131691317438096,-0.008502519133626337,16,2026-04-04
Portland Thorns FC,0.07375029806310433,-0.12810579771858427,14,2026-04-04
Bay FC,0.046013632037936646,0.3945346461254758,15,2026-04-05
North Carolina Courage,-0.04086241063478873,0.21239097678896848,14,2026-04-04
Utah Royals,-0.062020588311325064,0.16692959527762655,16,2026-04-05
Kansas City Current,-0.08086778643413808,0.344564139165675,16,2026-04-05
Denver Summit FC,-0.14467602135918345,-0.14478796622890341,5,2026-04-04
Chicago Stars FC,-0.2888517480228172,0.2782931609105131,14,2026-04-05
Washington Spirit,-0.33159987098837873,-0.1757112878074928,17,2026-04-05
Gotham FC,-0.3738215556671923,-0.0433919974552978,16,2026-04-04
Boston Legacy FC,-0.4406227500335092,-0.14361925080601898,4,2026-04-05
