pick_id,match_id,match_date,home_team,away_team,recorded_at,tier,market,side,line,odds,stake,prob_edge,ev,model_version,result,pnl_per_unit,settled_at
a9419c27e6669389,401853922,2026-05-29,Orlando Pride,Bay FC,2026-05-28T12:00:00Z,lean,total,over,2.5,1.77,10.0,0.077,0.058,20260527T160617Z,win,0.77,2026-07-29T15:08:25Z
1b4acd7c1799741c,401853922,2026-05-29,Orlando Pride,Bay FC,2026-05-28T12:00:00Z,lean,1x2,home,,1.85,10.0,0.086,0.042,20260527T160617Z,win,0.8500000000000001,2026-07-29T15:08:25Z
9be6a8278c3c3b5c,401853922,2026-05-29,Orlando Pride,Bay FC,2026-05-28T12:00:00Z,lean,1x2,away,,3.61,10.0,0.056,0.085,20260527T160617Z,loss,-1.0,2026-07-29T15:08:25Z
c8b1f3d7f92768df,401853923,2026-05-30,Portland Thorns FC,Utah Royals,2026-05-28T12:00:00Z,lean,total,over,2.5,1.91,10.0,0.061,0.041,20260527T160617Z,win,0.91,2026-07-29T15:08:25Z
efef45d71f05af09,401853923,2026-05-30,Portland Thorns FC,Utah Royals,2026-05-28T12:00:00Z,lean,1x2,home,,2.3,10.0,0.085,0.102,20260527T160617Z,loss,-1.0,2026-07-29T15:08:25Z
becfbf9a340ddfd6,401853924,2026-05-30,Washington Spirit,Seattle Reign FC,2026-05-28T12:00:00Z,lean,total,over,2.5,1.86,10.0,0.049,0.016,20260527T160617Z,win,0.8600000000000001,2026-07-29T15:08:25Z
00d4e0e06b693033,401854059,2026-05-30,Racing Louisville FC,Denver Summit FC,2026-05-28T12:00:00Z,lean,total,over,2.5,1.82,10.0,0.092,0.088,20260527T160617Z,loss,-1.0,2026-07-29T15:08:25Z
91d500f8ebbcea8a,401854059,2026-05-30,Racing Louisville FC,Denver Summit FC,2026-05-28T12:00:00Z,lean,1x2,home,,2.55,10.0,0.183,0.314,20260527T160617Z,loss,-1.0,2026-07-29T15:08:25Z
3babb100d4a57bc8,401853926,2026-05-31,Gotham FC,Houston Dash,2026-05-28T12:00:00Z,lean,total,over,2.5,1.79,10.0,0.08,0.073,20260527T160617Z,loss,-1.0,2026-07-29T15:08:25Z
ab4e2b5e13989979,401853927,2026-05-31,Angel City FC,North Carolina Courage,2026-05-28T12:00:00Z,lean,total,over,2.5,1.91,10.0,0.061,0.041,20260527T160617Z,win,0.91,2026-07-29T15:08:25Z
