season,team,games_played,xg_per_match,xg_against_per_match,xpoints_per_match,gplus_for_per90,gplus_against_per90,gplus_net_per90,gplus_shooting_net_per90,gplus_passing_net_per90,gplus_dribbling_net_per90,gplus_receiving_net_per90,gplus_interrupting_net_per90,gplus_fouling_net_per90,gplus_claiming_net_per90
2025,Angel City FC,26,1.197403846153846,1.4064615384615384,1.1930769230769231,1.41073988005997,1.3906416791604197,0.020098200899550122,0.013901424287856061,0.03760907046476763,0.06890667166416792,-0.10893103448275858,0.035446776611694174,-0.027360944527736127,0.0005262368815592204
2025,Bay FC,26,1.1835461538461538,1.4004807692307693,1.269923076923077,1.2642570781426954,1.5392785956964892,-0.27502151755379384,-0.03686976217440545,-0.027761041902604755,-0.13150736126840318,-0.06696828992072486,-0.023667044167610424,0.015808607021517547,-0.004056625141562854
2025,Chicago Stars,26,1.1643576923076924,1.7272461538461539,0.9937307692307692,1.278641142857143,1.6315405714285713,-0.3528994285714284,-0.10325485714285716,-0.07470514285714287,-0.028899428571428576,-0.18215999999999996,0.10874057142857142,-0.050567999999999995,-0.02205257142857143
2025,Current,27,1.7551259259259258,0.6841296296296296,2.040925925925926,1.764494117647059,0.8670577540106951,0.8974363636363639,0.1286149732620321,0.15565668449197861,0.2794106951871658,0.24920855614973264,0.04249090909090912,0.029281283422459888,0.012773262032085562
2025,Gotham FC,29,1.1204206896551723,0.9288103448275863,1.395344827586207,1.2110453642384105,1.132530794701987,0.07851456953642359,0.06845960264900662,0.04915132450331126,-0.01000430463576159,0.09069437086092721,-0.13100662251655626,0.013234768211920534,-0.0020145695364238406
2025,Houston Dash,26,0.9429576923076923,1.372876923076923,1.0184615384615385,1.1818738636363637,1.5278829545454544,-0.34600909090909066,-0.1196386363636364,-0.02197159090909091,-0.09168068181818183,-0.12642613636363634,0.02030454545454543,-0.006460227272727273,-0.00013636363636363648
2025,NC Courage,26,1.5257846153846155,1.2716230769230767,1.5558461538461539,1.5884249431387414,1.4302221379833207,0.15820280515542068,-0.0012725549658832488,0.1050216072782411,-0.13619408642911296,0.14635746777862016,0.018511751326762707,0.026945413191811988,-0.0011667930250189537
2025,Orlando Pride,29,1.3745103448275862,1.0778896551724138,1.3759655172413792,1.4153174015483003,1.2191410299562437,0.1961763715920565,0.02134432850891953,-0.044321440592393124,0.05044059239313362,0.14996465836418713,9.99663412992081e-05,0.03095321440592393,-0.0123049478290138
2025,Portland Thorns,28,1.5177214285714287,1.3846178571428571,1.4294285714285715,1.5309442925495556,1.3094046479835955,0.22153964456596015,0.0009781271360218334,0.09579186602870812,-0.02577887901572112,-0.03560013670539983,0.12122317156527679,0.06665721120984278,-0.0017317156527682843
2025,Racing Louisville,27,1.4411,1.3766740740740742,1.4043703703703703,1.5580124599501604,1.3483243147027413,0.20968814524741908,0.016702385190459242,0.07276895692417232,0.002880384478462085,-0.045961196155215434,0.16379102883588464,-0.009528657885368448,0.009035243859024565
2025,Reign,27,1.005011111111111,1.3296111111111113,1.097888888888889,1.1158537666174297,1.4361181683899555,-0.3202644017725259,-0.0802954209748892,-0.05870605612998523,-0.00036890694239290986,-0.13458788774002947,-0.03206166912850814,-0.010827917282127035,-0.0034165435745937963
2025,Royals,26,0.9873769230769232,1.5828115384615384,1.0012307692307691,1.015573919636088,1.5146304018195604,-0.4990564821834725,-0.041226686884003036,-0.11576497346474603,-0.07741091736163762,-0.14712509476876423,-0.08476307808946174,-0.04550151630022745,0.012735784685367704
2025,SD Wave,27,1.202888888888889,1.1837,1.313925925925926,1.3333233404710922,1.5171520342612421,-0.18382869379014985,0.08194432548179874,-0.13457922912205567,0.038646680942184146,0.07729014989293362,-0.21808458244111353,-0.03138758029978586,0.0023415417558886507
2025,Washington Spirit,30,1.4666,1.2843966666666666,1.2442666666666669,1.4669942528735633,1.3961925287356325,0.0708017241379309,0.021298850574712622,-0.04673275862068966,0.03275287356321839,0.07812068965517238,-0.01177873563218392,-0.011244252873563218,0.008385057471264369
2026,Angel City FC,16,1.56359375,1.2569625,1.5605,1.480837638376384,1.32840221402214,0.15243542435424381,0.08623062730627307,0.09697970479704797,-0.03419557195571955,0.15104612546125462,-0.17975645756457567,0.00019926199261992883,0.031931734317343176
2026,Bay FC,17,1.178594117647059,1.638064705882353,1.0651176470588235,1.0650314685314686,1.6259527972027972,-0.5609213286713287,-0.050297202797202775,-0.1521555944055944,-0.014166083916083929,-0.2750769230769231,-0.024251748251748237,-0.047863636363636365,0.00288986013986014
2026,Boston Legacy,18,1.3669055555555554,1.3790055555555556,1.2960555555555555,1.3762967213114754,1.1351901639344262,0.24110655737704936,0.007563934426229527,0.04810819672131148,-0.01121311475409836,0.1720131147540984,0.05276557377049184,-0.024506557377049192,-0.0036245901639344264
2026,Chicago Stars,17,0.7553411764705882,2.263947058823529,0.5269411764705882,0.9150052173913041,2.060326956521739,-1.145321739130435,-0.23284173913043474,-0.1887495652173913,-0.18962608695652172,-0.47684869565217397,0.0007200000000000365,-0.07478086956521739,0.016805217391304347
2026,Current,19,1.6716157894736843,1.2216736842105262,1.557842105263158,1.5930847723704866,1.189342229199372,0.40374254317111463,0.034271585557299825,0.10801883830455257,0.1258116169544741,0.13686499215070644,0.006047095761381478,0.0051098901098901115,-0.01238147566718995
2026,Denver Summit,16,1.48345,1.52594375,1.414125,1.3253407821229053,1.5018938547486036,-0.1765530726256983,-0.011452513966480452,0.08124581005586594,-0.10246368715083799,0.03527374301675984,-0.1689664804469274,-0.02264245810055866,0.012452513966480448
2026,Gotham FC,19,1.5417105263157895,1.0410052631578948,1.607842105263158,1.4008938053097344,1.1881546069755335,0.21273919833420096,0.13102706923477353,-0.01627121290994274,0.013328995314940134,0.24784903695991664,-0.19395679333680368,0.015156168662155122,0.015605934409161895
