team,player_name,player_name_key,status,reason,report_date,fetched_at,source_url
Bay FC,Â,a,out,,2026-08-04,2026-08-05T21:20:46.550061+00:00,https://www.nwslsoccer.com/news/availability-report
Bay FC,**INTERNATIONAL DUTY:**,international duty,questionable,,2026-08-04,2026-08-05T21:20:46.550061+00:00,https://www.nwslsoccer.com/news/availability-report
Boston Legacy,Â,a,out,,2026-08-04,2026-08-05T21:20:46.550061+00:00,https://www.nwslsoccer.com/news/availability-report
Boston Legacy,Â,a,questionable,,2026-08-04,2026-08-05T21:20:46.550061+00:00,https://www.nwslsoccer.com/news/availability-report
Angel City FC,Â,a,out,,2026-08-04,2026-08-05T21:20:46.550061+00:00,https://www.nwslsoccer.com/news/availability-report
Angel City FC,Â,a,questionable,,2026-08-04,2026-08-05T21:20:46.550061+00:00,https://www.nwslsoccer.com/news/availability-report
Houston Dash,Â,a,out,,2026-08-04,2026-08-05T21:20:46.550061+00:00,https://www.nwslsoccer.com/news/availability-report
Houston Dash,**INTERNATIONAL DUTY:**,international duty,questionable,,2026-08-04,2026-08-05T21:20:46.550061+00:00,https://www.nwslsoccer.com/news/availability-report
Current,Â,a,out,,2026-08-04,2026-08-05T21:20:46.550061+00:00,https://www.nwslsoccer.com/news/availability-report
Current,**INTERNATIONAL DUTY:**,international duty,questionable,,2026-08-04,2026-08-05T21:20:46.550061+00:00,https://www.nwslsoccer.com/news/availability-report
Chicago Stars,Â,a,out,,2026-08-04,2026-08-05T21:20:46.550061+00:00,https://www.nwslsoccer.com/news/availability-report
Chicago Stars,**INTERNATIONAL DUTY:**,international duty,questionable,,2026-08-04,2026-08-05T21:20:46.550061+00:00,https://www.nwslsoccer.com/news/availability-report
NC Courage,Payton Crawford,payton crawford,out,Knee - SEI,2026-08-04,2026-08-05T21:20:46.550061+00:00,https://www.nwslsoccer.com/news/availability-report
NC Courage,Sydney Schmidt,sydney schmidt,out,Knee - SEI,2026-08-04,2026-08-05T21:20:46.550061+00:00,https://www.nwslsoccer.com/news/availability-report
NC Courage,Â None,a none,questionable,,2026-08-04,2026-08-05T21:20:46.550061+00:00,https://www.nwslsoccer.com/news/availability-report
NC Courage,Â None,a none,international_duty,,2026-08-04,2026-08-05T21:20:46.550061+00:00,https://www.nwslsoccer.com/news/availability-report
Denver Summit,Jasmine Aikey,jasmine aikey,out,Knee - SEI,2026-08-04,2026-08-05T21:20:46.550061+00:00,https://www.nwslsoccer.com/news/availability-report
Denver Summit,Jordan Baggett,jordan baggett,out,Maternity Leave,2026-08-04,2026-08-05T21:20:46.550061+00:00,https://www.nwslsoccer.com/news/availability-report
Denver Summit,Nahikari Garcia,nahikari garcia,out,Knee - SEI,2026-08-04,2026-08-05T21:20:46.550061+00:00,https://www.nwslsoccer.com/news/availability-report
Denver Summit,Â None,a none,questionable,,2026-08-04,2026-08-05T21:20:46.550061+00:00,https://www.nwslsoccer.com/news/availability-report
Denver Summit,Lourdes Bosch,lourdes bosch,international_duty,U-23 Mexico,2026-08-04,2026-08-05T21:20:46.550061+00:00,https://www.nwslsoccer.com/news/availability-report
Gotham FC,Kayla Duran,kayla duran,out,Knee - SEI,2026-08-04,2026-08-05T21:20:46.550061+00:00,https://www.nwslsoccer.com/news/availability-report
Gotham FC,Denise O'Sullivan,denise o sullivan,out,Knee,2026-08-04,2026-08-05T21:20:46.550061+00:00,https://www.nwslsoccer.com/news/availability-report
Gotham FC,Emily Sonnett,emily sonnett,out,Knee,2026-08-04,2026-08-05T21:20:46.550061+00:00,https://www.nwslsoccer.com/news/availability-report
Gotham FC,Â None,a none,international_duty,,2026-08-04,2026-08-05T21:20:46.550061+00:00,https://www.nwslsoccer.com/news/availability-report
