team,player_name,player_name_key,status,reason,report_date,fetched_at,source_url
Bay FC,Abby Dahlkemper,abby dahlkemper,out,Maternity Leave,2026-05-23,2026-05-28T19:20:17.481341+00:00,https://www.nwslsoccer.com/news/availability-report
Bay FC,Caprice Dydasco,caprice dydasco,out,Maternity Leave,2026-05-23,2026-05-28T19:20:17.481341+00:00,https://www.nwslsoccer.com/news/availability-report
Bay FC,Heather Gilchrist,heather gilchrist,out,Knee - D45,2026-05-23,2026-05-28T19:20:17.481341+00:00,https://www.nwslsoccer.com/news/availability-report
Bay FC,Alyssa Malonson,alyssa malonson,out,Knee - SEI,2026-05-23,2026-05-28T19:20:17.481341+00:00,https://www.nwslsoccer.com/news/availability-report
Bay FC,"Emily, Menges",emily menges,out,Maternity Leave,2026-05-23,2026-05-28T19:20:17.481341+00:00,https://www.nwslsoccer.com/news/availability-report
Bay FC,Alex Pfeiffer,alex pfeiffer,out,Knee,2026-05-23,2026-05-28T19:20:17.481341+00:00,https://www.nwslsoccer.com/news/availability-report
Bay FC,Anouk Denton,anouk denton,questionable,Lower Leg,2026-05-23,2026-05-28T19:20:17.481341+00:00,https://www.nwslsoccer.com/news/availability-report
Angel City FC,Sveindis Jonsdottir,sveindis jonsdottir,out,Foot,2026-05-23,2026-05-28T19:20:17.481341+00:00,https://www.nwslsoccer.com/news/availability-report
Angel City FC,Savy King,savy king,out,Foot,2026-05-23,2026-05-28T19:20:17.481341+00:00,https://www.nwslsoccer.com/news/availability-report
Angel City FC,Sydney Leroux,sydney leroux,out,Excused Absence,2026-05-23,2026-05-28T19:20:17.481341+00:00,https://www.nwslsoccer.com/news/availability-report
Angel City FC,Hina Sugita,hina sugita,out,Knee - SEI,2026-05-23,2026-05-28T19:20:17.481341+00:00,https://www.nwslsoccer.com/news/availability-report
Angel City FC,Ary Borges,ary borges,questionable,Foot,2026-05-23,2026-05-28T19:20:17.481341+00:00,https://www.nwslsoccer.com/news/availability-report
Denver Summit,Jasmine Aikey,jasmine aikey,out,Knee - SEI,2026-05-23,2026-05-28T19:20:17.481341+00:00,https://www.nwslsoccer.com/news/availability-report
