match_id,match_date,season,competition,regular_season_flag,home_team,away_team,home_goals_90,away_goals_90,home_npxg,away_npxg,home_xg,away_xg,home_penalties,away_penalties,venue,stadium,match_status,resumed_flag,incomplete_flag
nwsl::Football_Match::0922c0db04954feaa9928edaed7b8c98,2025-03-15,2025,NWSL,True,Houston Dash,Washington Spirit,1,2,1.1262,1.2828,1.1262,1.2828,,,Shell Energy Stadium,Shell Energy Stadium,completed,False,False
nwsl::Football_Match::15fab6c3d4934435b04ea0ad02308c55,2025-03-15,2025,NWSL,True,Orlando Pride,Chicago Stars,6,0,2.3971,0.9863,2.3971,0.9863,,,Inter&Co Stadium,Inter&Co Stadium,completed,False,False
nwsl::Football_Match::69a7d4ea37034ac39bb187f91ff8e840,2025-03-15,2025,NWSL,True,Royals,Bay,1,1,1.0,1.0,,,,,America First Field,America First Field,completed,False,False
nwsl::Football_Match::b25348cccb264c0e8e2627551c31cff0,2025-03-15,2025,NWSL,True,Current,Portland Thorns,3,1,1.9829,1.4012,1.9829,1.4012,,,CPKC Stadium,CPKC Stadium,completed,False,False
nwsl::Football_Match::3114155112114d73a00ec74d39684a5d,2025-03-16,2025,NWSL,True,Reign,Gotham FC,1,1,1.0308,1.4024,1.0308,1.4024,,,Lumen Field,Lumen Field,completed,False,False
nwsl::Football_Match::76062d8d7aaa44d5bc069953f259ce75,2025-03-16,2025,NWSL,True,Racing Louisville,NC Courage,1,1,1.4978,1.214,1.4978,1.214,,,Lynn Family Stadium,Lynn Family Stadium,completed,False,False
nwsl::Football_Match::f3b0318a39584b77b318574b7870b53e,2025-03-16,2025,NWSL,True,Angel City FC,SD Wave,1,1,0.8654000000000001,1.0887,0.8654000000000001,1.0887,,,BMO Stadium,BMO Stadium,completed,False,False
nwsl::Football_Match::0bebb14ac1394bdea4bb466178321ce5,2025-03-22,2025,NWSL,True,NC Courage,Reign,1,2,1.2891,1.0141,1.2891,1.0141,,,First Horizon Stadium at WakeMed Soccer Park,First Horizon Stadium at WakeMed Soccer Park,completed,False,False
nwsl::Football_Match::c854204c4351492f8bf1e0ef45ac3530,2025-03-22,2025,NWSL,True,Portland Thorns,Angel City FC,1,1,1.5552,0.6746,1.5552,0.6746,,,Providence Park,Providence Park,completed,False,False
nwsl::Football_Match::f3839461958e416abb79cb52914e9f46,2025-03-22,2025,NWSL,True,Washington Spirit,Current,0,2,1.0212,3.3212,1.0212,3.3212,,,Audi Field,Audi Field,completed,False,False
nwsl::Football_Match::019de51fdb534993ae99648a3afe7b21,2025-03-23,2025,NWSL,True,SD Wave,Royals,3,2,1.1671,0.9585,1.1671,0.9585,,,Snapdragon Stadium,Snapdragon Stadium,completed,False,False
nwsl::Football_Match::1f4d10ae999b458eb77c6d8e501fafcc,2025-03-23,2025,NWSL,True,Bay,Racing Louisville,2,0,2.0,0.0,,,,,PayPal Park,PayPal Park,completed,False,False
nwsl::Football_Match::6fd6908d5ab34505baa2e14edce03c72,2025-03-23,2025,NWSL,True,Gotham FC,Orlando Pride,0,2,1.1838,1.0967,1.1838,1.0967,,,Sports Illustrated Stadium,Sports Illustrated Stadium,completed,False,False
nwsl::Football_Match::b9e87a18af524b88828082a34e4f5def,2025-03-23,2025,NWSL,True,Chicago Stars,Houston Dash,1,2,0.7491,1.6835,0.7491,1.6835,,,SeatGeek Stadium,SeatGeek Stadium,completed,False,False
nwsl::Football_Match::7aea592168784b87a8480893cff94a99,2025-03-29,2025,NWSL,True,Houston Dash,Gotham FC,0,0,0.1103,0.4731,0.1103,0.4731,,,Shell Energy Stadium,Shell Energy Stadium,completed,False,False
nwsl::Football_Match::7af7bd203b614dec9ced9dca5dbc4ac2,2025-03-29,2025,NWSL,True,Current,Royals,3,0,3.3313,0.333,3.3313,0.333,,,CPKC Stadium,CPKC Stadium,completed,False,False
nwsl::Football_Match::8a6406530b2f44a3a6b71a3bbf0a8c7c,2025-03-29,2025,NWSL,True,Orlando Pride,SD Wave,2,1,1.6384,0.1707,1.6384,0.1707,,,Inter&Co Stadium,Inter&Co Stadium,completed,False,False
nwsl::Football_Match::ab26e04de2634b2b9c4f688fecc361af,2025-03-29,2025,NWSL,True,Washington Spirit,Bay,2,0,2.0,0.0,,,,,Audi Field,Audi Field,completed,False,False
nwsl::Football_Match::58d12ced98ea4f398d3dfc2c77c1513d,2025-03-30,2025,NWSL,True,Chicago Stars,Racing Louisville,0,1,0.8525,1.904,0.8525,1.904,,,SeatGeek Stadium,SeatGeek Stadium,completed,False,False
nwsl::Football_Match::8292978b4bec460aae1213fa99ef6675,2025-03-30,2025,NWSL,True,Portland Thorns,NC Courage,0,0,1.6222,2.2292,1.6222,2.2292,,,Providence Park,Providence Park,completed,False,False
