match_id,match_date,season,home_team,away_team,market_type,source_type,reason,note
731409,2025-03-30,2025,Chicago Stars FC,Racing Louisville FC,1x2,close,absent_from_oddsportal_results_archive,"Not listed in OddsPortal free NWSL results archive; all 4 pages fetched, 246/246 archive matches parsed. Not a pipeline/join bug. Needs alternate source to fill."
731445,2025-05-11,2025,Kansas City Current,Bay FC,1x2,close,absent_from_oddsportal_results_archive,"Not listed in OddsPortal free NWSL results archive; all 4 pages fetched, 246/246 archive matches parsed. Not a pipeline/join bug. Needs alternate source to fill."
731460,2025-06-07,2025,Racing Louisville FC,Utah Royals,1x2,close,absent_from_oddsportal_results_archive,"Not listed in OddsPortal free NWSL results archive; all 4 pages fetched, 246/246 archive matches parsed. Not a pipeline/join bug. Needs alternate source to fill."
731464,2025-06-07,2025,Bay FC,Portland Thorns FC,1x2,close,absent_from_oddsportal_results_archive,"Not listed in OddsPortal free NWSL results archive; all 4 pages fetched, 246/246 archive matches parsed. Not a pipeline/join bug. Needs alternate source to fill."
731477,2025-06-21,2025,Gotham FC,Bay FC,1x2,close,absent_from_oddsportal_results_archive,"Not listed in OddsPortal free NWSL results archive; all 4 pages fetched, 246/246 archive matches parsed. Not a pipeline/join bug. Needs alternate source to fill."
731515,2025-09-02,2025,Angel City FC,Bay FC,1x2,close,absent_from_oddsportal_results_archive,"Not listed in OddsPortal free NWSL results archive; all 4 pages fetched, 246/246 archive matches parsed. Not a pipeline/join bug. Needs alternate source to fill."
731517,2025-09-06,2025,North Carolina Courage,Utah Royals,1x2,close,absent_from_oddsportal_results_archive,"Not listed in OddsPortal free NWSL results archive; all 4 pages fetched, 246/246 archive matches parsed. Not a pipeline/join bug. Needs alternate source to fill."
731518,2025-09-07,2025,Bay FC,Kansas City Current,1x2,close,absent_from_oddsportal_results_archive,"Not listed in OddsPortal free NWSL results archive; all 4 pages fetched, 246/246 archive matches parsed. Not a pipeline/join bug. Needs alternate source to fill."
731519,2025-09-07,2025,Chicago Stars FC,Orlando Pride,1x2,close,absent_from_oddsportal_results_archive,"Not listed in OddsPortal free NWSL results archive; all 4 pages fetched, 246/246 archive matches parsed. Not a pipeline/join bug. Needs alternate source to fill."
731520,2025-09-07,2025,Washington Spirit,Seattle Reign FC,1x2,close,absent_from_oddsportal_results_archive,"Not listed in OddsPortal free NWSL results archive; all 4 pages fetched, 246/246 archive matches parsed. Not a pipeline/join bug. Needs alternate source to fill."
731521,2025-09-07,2025,Gotham FC,Angel City FC,1x2,close,absent_from_oddsportal_results_archive,"Not listed in OddsPortal free NWSL results archive; all 4 pages fetched, 246/246 archive matches parsed. Not a pipeline/join bug. Needs alternate source to fill."
731522,2025-09-08,2025,San Diego Wave FC,Houston Dash,1x2,close,absent_from_oddsportal_results_archive,"Not listed in OddsPortal free NWSL results archive; all 4 pages fetched, 246/246 archive matches parsed. Not a pipeline/join bug. Needs alternate source to fill."
731523,2025-09-13,2025,San Diego Wave FC,Gotham FC,1x2,close,absent_from_oddsportal_results_archive,"Not listed in OddsPortal free NWSL results archive; all 4 pages fetched, 246/246 archive matches parsed. Not a pipeline/join bug. Needs alternate source to fill."
731524,2025-09-13,2025,North Carolina Courage,Angel City FC,1x2,close,absent_from_oddsportal_results_archive,"Not listed in OddsPortal free NWSL results archive; all 4 pages fetched, 246/246 archive matches parsed. Not a pipeline/join bug. Needs alternate source to fill."
731525,2025-09-13,2025,Orlando Pride,Bay FC,1x2,close,absent_from_oddsportal_results_archive,"Not listed in OddsPortal free NWSL results archive; all 4 pages fetched, 246/246 archive matches parsed. Not a pipeline/join bug. Needs alternate source to fill."
731526,2025-09-13,2025,Kansas City Current,Washington Spirit,1x2,close,absent_from_oddsportal_results_archive,"Not listed in OddsPortal free NWSL results archive; all 4 pages fetched, 246/246 archive matches parsed. Not a pipeline/join bug. Needs alternate source to fill."
731527,2025-09-14,2025,Chicago Stars FC,Portland Thorns FC,1x2,close,absent_from_oddsportal_results_archive,"Not listed in OddsPortal free NWSL results archive; all 4 pages fetched, 246/246 archive matches parsed. Not a pipeline/join bug. Needs alternate source to fill."
731528,2025-09-14,2025,Utah Royals,Houston Dash,1x2,close,absent_from_oddsportal_results_archive,"Not listed in OddsPortal free NWSL results archive; all 4 pages fetched, 246/246 archive matches parsed. Not a pipeline/join bug. Needs alternate source to fill."
731529,2025-09-17,2025,Seattle Reign FC,Racing Louisville FC,1x2,close,absent_from_oddsportal_results_archive,"Not listed in OddsPortal free NWSL results archive; all 4 pages fetched, 246/246 archive matches parsed. Not a pipeline/join bug. Needs alternate source to fill."
731536,2025-09-22,2025,Bay FC,Gotham FC,1x2,close,absent_from_oddsportal_results_archive,"Not listed in OddsPortal free NWSL results archive; all 4 pages fetched, 246/246 archive matches parsed. Not a pipeline/join bug. Needs alternate source to fill."
731541,2025-09-28,2025,Bay FC,Utah Royals,1x2,close,absent_from_oddsportal_results_archive,"Not listed in OddsPortal free NWSL results archive; all 4 pages fetched, 246/246 archive matches parsed. Not a pipeline/join bug. Needs alternate source to fill."
731546,2025-10-05,2025,Portland Thorns FC,Bay FC,1x2,close,absent_from_oddsportal_results_archive,"Not listed in OddsPortal free NWSL results archive; all 4 pages fetched, 246/246 archive matches parsed. Not a pipeline/join bug. Needs alternate source to fill."
731558,2025-10-18,2025,Seattle Reign FC,Utah Royals,1x2,close,absent_from_oddsportal_results_archive,"Not listed in OddsPortal free NWSL results archive; all 4 pages fetched, 246/246 archive matches parsed. Not a pipeline/join bug. Needs alternate source to fill."
731559,2025-10-18,2025,Bay FC,North Carolina Courage,1x2,close,absent_from_oddsportal_results_archive,"Not listed in OddsPortal free NWSL results archive; all 4 pages fetched, 246/246 archive matches parsed. Not a pipeline/join bug. Needs alternate source to fill."
731570,2025-11-02,2025,Racing Louisville FC,Bay FC,1x2,close,absent_from_oddsportal_results_archive,"Not listed in OddsPortal free NWSL results archive; all 4 pages fetched, 246/246 archive matches parsed. Not a pipeline/join bug. Needs alternate source to fill."
731571,2025-11-02,2025,Orlando Pride,Seattle Reign FC,1x2,close,absent_from_oddsportal_results_archive,"Not listed in OddsPortal free NWSL results archive; all 4 pages fetched, 246/246 archive matches parsed. Not a pipeline/join bug. Needs alternate source to fill."
760608,2025-11-08,2025,Orlando Pride,Seattle Reign FC,1x2,close,absent_from_oddsportal_results_archive,"Not listed in OddsPortal free NWSL results archive; all 4 pages fetched, 246/246 archive matches parsed. Not a pipeline/join bug. Needs alternate source to fill."
401854045,2026-03-28,2026,Denver Summit FC,Washington Spirit,1x2,close,absent_from_oddsportal_results_archive,"Not listed in OddsPortal free NWSL results archive; all 4 pages fetched, 246/246 archive matches parsed. Not a pipeline/join bug. Needs alternate source to fill."
