match_id,observed_at,sportsbook,market_type,selection,line,american_odds,decimal_odds,source_type,quality_status
401853857,2026-03-14T00:00:00+00:00,OddsPortalAvg,1x2,home,,-244,1.41,close,valid
401853857,2026-03-14T00:00:00+00:00,OddsPortalAvg,1x2,draw,,310,4.1,close,valid
401853857,2026-03-14T00:00:00+00:00,OddsPortalAvg,1x2,away,,525,6.25,close,valid
401853857,2026-03-14T00:00:00+00:00,OddsPortalAvg,total,over,2.5,-122,1.82,close,valid
401853857,2026-03-14T00:00:00+00:00,OddsPortalAvg,total,under,2.5,-115,1.87,close,valid
401853858,2026-03-14T20:00:00+00:00,OddsPortalAvg,1x2,home,,-238,1.42,close,valid
401853858,2026-03-14T20:00:00+00:00,OddsPortalAvg,1x2,draw,,333,4.33,close,valid
401853858,2026-03-14T20:00:00+00:00,OddsPortalAvg,1x2,away,,475,5.75,close,valid
401853859,2026-03-14T23:00:00+00:00,OddsPortalAvg,1x2,home,,-133,1.75,close,valid
401853859,2026-03-14T23:00:00+00:00,OddsPortalAvg,1x2,draw,,240,3.4,close,valid
401853859,2026-03-14T23:00:00+00:00,OddsPortalAvg,1x2,away,,290,3.9,close,valid
401853859,2026-03-14T23:00:00+00:00,OddsPortalAvg,total,over,2.5,-114,1.88,close,valid
401853859,2026-03-14T23:00:00+00:00,OddsPortalAvg,total,under,2.5,-125,1.8,close,valid
401853860,2026-03-15T00:45:00+00:00,OddsPortalAvg,1x2,home,,-164,1.61,close,valid
401853860,2026-03-15T00:45:00+00:00,OddsPortalAvg,1x2,draw,,250,3.5,close,valid
401853860,2026-03-15T00:45:00+00:00,OddsPortalAvg,1x2,away,,360,4.6,close,valid
401853860,2026-03-15T00:45:00+00:00,OddsPortalAvg,total,over,2.5,-120,1.83,close,valid
401853860,2026-03-15T00:45:00+00:00,OddsPortalAvg,total,under,2.5,-118,1.85,close,valid
401853861,2026-03-15T20:00:00+00:00,OddsPortalAvg,1x2,home,,-172,1.58,close,valid
401853861,2026-03-15T20:00:00+00:00,OddsPortalAvg,1x2,draw,,260,3.6,close,valid
401853861,2026-03-15T20:00:00+00:00,OddsPortalAvg,1x2,away,,380,4.8,close,valid
401853861,2026-03-15T20:00:00+00:00,OddsPortalAvg,total,over,2.5,100,2.0,close,valid
401853861,2026-03-15T20:00:00+00:00,OddsPortalAvg,total,under,2.5,-143,1.7,close,valid
401853862,2026-03-15T23:00:00+00:00,OddsPortalAvg,1x2,home,,-130,1.77,close,valid
401853862,2026-03-15T23:00:00+00:00,OddsPortalAvg,1x2,draw,,240,3.4,close,valid
401853862,2026-03-15T23:00:00+00:00,OddsPortalAvg,1x2,away,,280,3.8,close,valid
401853862,2026-03-15T23:00:00+00:00,OddsPortalAvg,total,over,2.5,-125,1.8,close,valid
401853862,2026-03-15T23:00:00+00:00,OddsPortalAvg,total,under,2.5,-115,1.87,close,valid
401853863,2026-03-21T00:00:00+00:00,OddsPortalAvg,1x2,home,,180,2.8,close,valid
401853863,2026-03-21T00:00:00+00:00,OddsPortalAvg,1x2,draw,,220,3.2,close,valid
401853863,2026-03-21T00:00:00+00:00,OddsPortalAvg,1x2,away,,120,2.2,close,valid
401853863,2026-03-21T00:00:00+00:00,OddsPortalAvg,total,over,2.5,-102,1.98,close,valid
401853863,2026-03-21T00:00:00+00:00,OddsPortalAvg,total,under,2.5,-139,1.72,close,valid
401853864,2026-03-21T02:00:00+00:00,OddsPortalAvg,1x2,home,,110,2.1,close,valid
401853864,2026-03-21T02:00:00+00:00,OddsPortalAvg,1x2,draw,,190,2.9,close,valid
401853864,2026-03-21T02:00:00+00:00,OddsPortalAvg,1x2,away,,230,3.3,close,valid
401853864,2026-03-21T02:00:00+00:00,OddsPortalAvg,total,over,2.5,110,2.1,close,valid
401853864,2026-03-21T02:00:00+00:00,OddsPortalAvg,total,under,2.5,-159,1.63,close,valid
401853865,2026-03-21T22:30:00+00:00,OddsPortalAvg,1x2,home,,-130,1.77,close,valid
401853865,2026-03-21T22:30:00+00:00,OddsPortalAvg,1x2,draw,,225,3.25,close,valid
401853865,2026-03-21T22:30:00+00:00,OddsPortalAvg,1x2,away,,300,4.0,close,valid
401853865,2026-03-21T22:30:00+00:00,OddsPortalAvg,total,over,2.5,110,2.1,close,valid
401853865,2026-03-21T22:30:00+00:00,OddsPortalAvg,total,under,2.5,-154,1.65,close,valid
401853866,2026-03-22T00:45:00+00:00,OddsPortalAvg,1x2,home,,155,2.55,close,valid
401853866,2026-03-22T00:45:00+00:00,OddsPortalAvg,1x2,draw,,190,2.9,close,valid
401853866,2026-03-22T00:45:00+00:00,OddsPortalAvg,1x2,away,,155,2.55,close,valid
401853866,2026-03-22T00:45:00+00:00,OddsPortalAvg,total,over,2.5,100,2.0,close,valid
401853866,2026-03-22T00:45:00+00:00,OddsPortalAvg,total,under,2.5,-141,1.71,close,valid
401853867,2026-03-22T18:00:00+00:00,OddsPortalAvg,1x2,home,,475,5.75,close,valid
401853867,2026-03-22T18:00:00+00:00,OddsPortalAvg,1x2,draw,,300,4.0,close,valid
401853867,2026-03-22T18:00:00+00:00,OddsPortalAvg,1x2,away,,-217,1.46,close,valid
401853867,2026-03-22T18:00:00+00:00,OddsPortalAvg,total,over,2.5,-118,1.85,close,valid
401853867,2026-03-22T18:00:00+00:00,OddsPortalAvg,total,under,2.5,-120,1.83,close,valid
401853868,2026-03-22T23:00:00+00:00,OddsPortalAvg,1x2,home,,195,2.95,close,valid
401853868,2026-03-22T23:00:00+00:00,OddsPortalAvg,1x2,draw,,230,3.3,close,valid
401853868,2026-03-22T23:00:00+00:00,OddsPortalAvg,1x2,away,,110,2.1,close,valid
401853868,2026-03-22T23:00:00+00:00,OddsPortalAvg,total,over,2.5,-133,1.75,close,valid
401853868,2026-03-22T23:00:00+00:00,OddsPortalAvg,total,under,2.5,-105,1.95,close,valid
401853869,2026-03-25T23:00:00+00:00,OddsPortalAvg,1x2,home,,-263,1.38,close,valid
401853869,2026-03-25T23:00:00+00:00,OddsPortalAvg,1x2,draw,,350,4.5,close,valid
401853869,2026-03-25T23:00:00+00:00,OddsPortalAvg,1x2,away,,500,6.0,close,valid
401853869,2026-03-25T23:00:00+00:00,OddsPortalAvg,total,over,2.5,-172,1.58,close,valid
401853869,2026-03-25T23:00:00+00:00,OddsPortalAvg,total,under,2.5,120,2.2,close,valid
401853870,2026-03-26T00:00:00+00:00,OddsPortalAvg,1x2,home,,300,4.0,close,valid
