match_id,timestamp,sportsbook,market_type,line,home_odds,draw_odds,away_odds,over_odds,under_odds,source_type
731390,2025-03-14T08:04:42+00:00,OddsPortalAvg,total,2.5,,,,1.98,1.73,open
731390,2025-03-14T08:04:42+00:00,OddsPortalEvent,1x2,,4.1,3.4,1.72,,,open
731391,2025-03-14T08:04:42+00:00,OddsPortalAvg,total,2.5,,,,1.65,2.1,open
731391,2025-03-14T08:04:42+00:00,OddsPortalEvent,1x2,,1.33,4.75,7.0,,,open
731390,2025-03-15T00:00:00+00:00,OddsPortalAvg,1x2,,3.5,3.3,1.87,,,close
731390,2025-03-15T00:00:00+00:00,OddsPortalAvg,total,2.5,,,,1.95,1.73,close
731390,2025-03-15T00:00:00+00:00,OddsPortalEvent,1x2,,3.5,3.3,1.87,,,close
731391,2025-03-15T00:00:00+00:00,OddsPortalAvg,1x2,,1.26,5.25,8.25,,,close
731391,2025-03-15T00:00:00+00:00,OddsPortalAvg,total,2.5,,,,1.71,2.0,close
731391,2025-03-15T00:00:00+00:00,OddsPortalEvent,1x2,,1.26,5.25,8.25,,,close
731392,2025-03-15T00:47:33+00:00,OddsPortalAvg,total,2.5,,,,1.61,2.15,open
731392,2025-03-15T00:47:33+00:00,OddsPortalEvent,1x2,,1.49,4.1,5.0,,,open
731393,2025-03-15T12:33:53+00:00,OddsPortalAvg,total,2.5,,,,2.1,1.65,open
731393,2025-03-15T12:33:53+00:00,OddsPortalEvent,1x2,,2.35,3.1,2.65,,,open
731394,2025-03-15T12:33:53+00:00,OddsPortalAvg,total,2.5,,,,1.9,1.78,open
731394,2025-03-15T12:33:53+00:00,OddsPortalEvent,1x2,,2.4,3.25,2.45,,,open
731395,2025-03-15T12:33:53+00:00,OddsPortalAvg,total,2.5,,,,2.2,1.6,open
731395,2025-03-15T12:33:53+00:00,OddsPortalEvent,1x2,,4.1,3.3,1.75,,,open
731392,2025-03-15T16:45:00+00:00,OddsPortalAvg,1x2,,1.42,4.33,5.75,,,close
731392,2025-03-15T16:45:00+00:00,OddsPortalAvg,total,2.5,,,,1.61,2.15,close
731392,2025-03-15T16:45:00+00:00,OddsPortalEvent,1x2,,1.42,4.33,5.75,,,close
731394,2025-03-15T23:30:00+00:00,OddsPortalAvg,1x2,,2.0,3.4,3.0,,,close
731394,2025-03-15T23:30:00+00:00,OddsPortalAvg,total,2.5,,,,1.9,1.77,close
731394,2025-03-15T23:30:00+00:00,OddsPortalEvent,1x2,,2.0,3.4,3.0,,,close
731393,2025-03-16T00:00:00+00:00,OddsPortalAvg,1x2,,2.4,2.95,2.65,,,close
731393,2025-03-16T00:00:00+00:00,OddsPortalAvg,total,2.5,,,,2.25,1.55,close
731393,2025-03-16T00:00:00+00:00,OddsPortalEvent,1x2,,2.4,2.95,2.65,,,close
731395,2025-03-16T02:00:00+00:00,OddsPortalAvg,1x2,,3.75,3.2,1.83,,,close
731395,2025-03-16T02:00:00+00:00,OddsPortalAvg,total,2.5,,,,2.15,1.6,close
731395,2025-03-16T02:00:00+00:00,OddsPortalEvent,1x2,,3.75,3.2,1.83,,,close
731396,2025-03-16T06:51:08+00:00,OddsPortalEvent,1x2,,2.55,3.2,2.37,,,open
731396,2025-03-16T06:51:09+00:00,OddsPortalAvg,total,2.5,,,,1.98,1.72,open
731396,2025-03-16T22:50:00+00:00,OddsPortalAvg,1x2,,2.65,3.2,2.3,,,close
731396,2025-03-16T22:50:00+00:00,OddsPortalAvg,total,2.5,,,,2.0,1.7,close
731396,2025-03-16T22:50:00+00:00,OddsPortalEvent,1x2,,2.65,3.2,2.3,,,close
731397,2025-03-21T12:10:58+00:00,OddsPortalAvg,total,2.5,,,,1.83,1.85,open
731397,2025-03-21T12:10:58+00:00,OddsPortalEvent,1x2,,2.1,3.3,2.9,,,open
731397,2025-03-22T02:00:00+00:00,OddsPortalAvg,1x2,,2.2,3.25,2.75,,,close
731397,2025-03-22T02:00:00+00:00,OddsPortalAvg,total,2.5,,,,1.88,1.8,close
731397,2025-03-22T02:00:00+00:00,OddsPortalEvent,1x2,,2.2,3.25,2.75,,,close
731398,2025-03-22T07:01:30+00:00,OddsPortalAvg,total,2.5,,,,2.1,1.63,open
731398,2025-03-22T07:01:30+00:00,OddsPortalEvent,1x2,,1.62,3.3,5.0,,,open
731399,2025-03-22T07:31:33+00:00,OddsPortalAvg,total,2.5,,,,1.87,1.82,open
731400,2025-03-22T10:02:43+00:00,OddsPortalAvg,total,2.5,,,,2.0,1.71,open
731400,2025-03-22T10:02:43+00:00,OddsPortalEvent,1x2,,1.98,3.25,3.25,,,open
731401,2025-03-22T10:02:43+00:00,OddsPortalEvent,1x2,,1.82,3.4,3.7,,,open
731398,2025-03-22T23:00:00+00:00,OddsPortalAvg,1x2,,1.66,3.3,4.6,,,close
731398,2025-03-22T23:00:00+00:00,OddsPortalAvg,total,2.5,,,,2.1,1.65,close
731398,2025-03-22T23:00:00+00:00,OddsPortalEvent,1x2,,1.66,3.3,4.6,,,close
731399,2025-03-22T23:30:00+00:00,OddsPortalAvg,1x2,,2.9,3.3,2.1,,,close
731399,2025-03-22T23:30:00+00:00,OddsPortalAvg,total,2.5,,,,1.85,1.82,close
731400,2025-03-23T02:00:00+00:00,OddsPortalAvg,1x2,,1.98,3.25,3.25,,,close
731400,2025-03-23T02:00:00+00:00,OddsPortalAvg,total,2.5,,,,2.0,1.71,close
731400,2025-03-23T02:00:00+00:00,OddsPortalEvent,1x2,,1.98,3.25,3.25,,,close
731401,2025-03-23T02:00:00+00:00,OddsPortalAvg,1x2,,1.82,3.4,3.7,,,close
731401,2025-03-23T02:00:00+00:00,OddsPortalAvg,total,2.5,,,,1.9,1.78,close
731401,2025-03-23T02:00:00+00:00,OddsPortalEvent,1x2,,1.82,3.4,3.7,,,close
731403,2025-03-23T03:04:12+00:00,OddsPortalAvg,total,2.5,,,,1.98,1.72,open
731403,2025-03-23T03:04:12+00:00,OddsPortalEvent,1x2,,3.5,3.3,1.87,,,open
731402,2025-03-23T05:04:15+00:00,OddsPortalAvg,total,2.5,,,,2.1,1.65,open
731402,2025-03-23T05:04:15+00:00,OddsPortalEvent,1x2,,2.7,3.1,2.3,,,open
731403,2025-03-23T19:00:00+00:00,OddsPortalAvg,1x2,,3.3,3.3,1.93,,,close
731403,2025-03-23T19:00:00+00:00,OddsPortalAvg,total,2.5,,,,2.0,1.71,close
731403,2025-03-23T19:00:00+00:00,OddsPortalEvent,1x2,,3.3,3.3,1.93,,,close
731402,2025-03-23T21:00:00+00:00,OddsPortalAvg,1x2,,2.75,3.1,2.25,,,close
731402,2025-03-23T21:00:00+00:00,OddsPortalAvg,total,2.5,,,,2.1,1.63,close
731402,2025-03-23T21:00:00+00:00,OddsPortalEvent,1x2,,2.75,3.1,2.25,,,close
731404,2025-03-28T08:02:22+00:00,OddsPortalAvg,total,2.5,,,,2.2,1.6,open
731404,2025-03-28T08:02:22+00:00,OddsPortalEvent,1x2,,4.33,3.25,1.73,,,open
731405,2025-03-28T08:02:22+00:00,OddsPortalAvg,total,2.5,,,,1.88,1.8,open
731405,2025-03-28T08:02:22+00:00,OddsPortalEvent,1x2,,2.45,3.25,2.4,,,open
731404,2025-03-29T00:00:00+00:00,OddsPortalAvg,1x2,,3.8,3.2,1.83,,,close
731404,2025-03-29T00:00:00+00:00,OddsPortalAvg,total,2.5,,,,2.2,1.6,close
731404,2025-03-29T00:00:00+00:00,OddsPortalEvent,1x2,,3.8,3.2,1.83,,,close
731405,2025-03-29T00:00:00+00:00,OddsPortalAvg,1x2,,1.8,3.4,3.7,,,close
731405,2025-03-29T00:00:00+00:00,OddsPortalAvg,total,2.5,,,,1.85,1.83,close
731405,2025-03-29T00:00:00+00:00,OddsPortalEvent,1x2,,1.8,3.4,3.7,,,close
731406,2025-03-29T00:04:57+00:00,OddsPortalEvent,1x2,,1.66,3.6,4.2,,,open
731407,2025-03-29T07:31:08+00:00,OddsPortalAvg,total,2.5,,,,1.58,2.2,open
731407,2025-03-29T07:31:08+00:00,OddsPortalEvent,1x2,,1.4,4.5,5.5,,,open
731408,2025-03-29T10:01:13+00:00,OddsPortalAvg,total,2.5,,,,2.05,1.66,open
731408,2025-03-29T10:01:13+00:00,OddsPortalEvent,1x2,,2.1,3.25,3.0,,,open
731406,2025-03-29T16:00:00+00:00,OddsPortalAvg,1x2,,1.7,3.6,3.9,,,close
731406,2025-03-29T16:00:00+00:00,OddsPortalEvent,1x2,,1.7,3.6,3.9,,,close
731407,2025-03-29T23:30:00+00:00,OddsPortalAvg,1x2,,1.34,4.6,6.75,,,close
731407,2025-03-29T23:30:00+00:00,OddsPortalAvg,total,2.5,,,,1.58,2.2,close
731407,2025-03-29T23:30:00+00:00,OddsPortalEvent,1x2,,1.34,4.6,6.75,,,close
731408,2025-03-30T02:00:00+00:00,OddsPortalAvg,1x2,,2.2,3.3,2.7,,,close
