match_id,timestamp,sportsbook,market_type,line,home_odds,draw_odds,away_odds,over_odds,under_odds,source_type
401853857,2026-03-14T00:00:00+00:00,OddsPortalAvg,1x2,,1.41,4.1,6.25,,,close
401853858,2026-03-14T20:00:00+00:00,OddsPortalAvg,1x2,,1.42,4.33,5.75,,,close
401853859,2026-03-14T23:00:00+00:00,OddsPortalAvg,1x2,,1.75,3.4,3.9,,,close
401853860,2026-03-15T00:45:00+00:00,OddsPortalAvg,1x2,,1.61,3.5,4.6,,,close
401853861,2026-03-15T20:00:00+00:00,OddsPortalAvg,1x2,,1.58,3.6,4.8,,,close
401853862,2026-03-15T23:00:00+00:00,OddsPortalAvg,1x2,,1.77,3.4,3.8,,,close
401853863,2026-03-21T00:00:00+00:00,OddsPortalAvg,1x2,,2.8,3.2,2.2,,,close
401853864,2026-03-21T02:00:00+00:00,OddsPortalAvg,1x2,,2.1,2.9,3.3,,,close
401853865,2026-03-21T22:30:00+00:00,OddsPortalAvg,1x2,,1.77,3.25,4.0,,,close
401853866,2026-03-22T00:45:00+00:00,OddsPortalAvg,1x2,,2.55,2.9,2.55,,,close
401853867,2026-03-22T18:00:00+00:00,OddsPortalAvg,1x2,,5.75,4.0,1.46,,,close
401853868,2026-03-22T23:00:00+00:00,OddsPortalAvg,1x2,,2.95,3.3,2.1,,,close
401853869,2026-03-25T23:00:00+00:00,OddsPortalAvg,1x2,,1.38,4.5,6.0,,,close
401853870,2026-03-26T00:00:00+00:00,OddsPortalAvg,1x2,,4.0,3.4,1.72,,,close
401853871,2026-03-26T01:00:00+00:00,OddsPortalAvg,1x2,,3.2,3.1,2.05,,,close
401853872,2026-03-26T02:00:00+00:00,OddsPortalAvg,1x2,,2.0,3.25,3.1,,,close
401853873,2026-03-28T02:00:00+00:00,OddsPortalAvg,1x2,,1.75,3.3,4.1,,,close
401853874,2026-03-28T20:00:00+00:00,OddsPortalAvg,1x2,,3.1,3.25,2.0,,,close
401853875,2026-03-28T22:30:00+00:00,OddsPortalAvg,1x2,,1.95,3.2,3.3,,,close
401853876,2026-03-28T23:00:00+00:00,OddsPortalAvg,1x2,,1.71,3.4,4.1,,,close
401853877,2026-03-29T00:45:00+00:00,OddsPortalAvg,1x2,,1.33,5.0,6.5,,,close
401853878,2026-03-29T23:00:00+00:00,OddsPortalAvg,1x2,,2.0,3.2,3.2,,,close
401853879,2026-04-04T00:00:00+00:00,OddsPortalAvg,1x2,,1.72,3.5,3.9,,,close
401853880,2026-04-04T00:30:00+00:00,OddsPortalAvg,1x2,,2.3,3.3,2.55,,,close
401853881,2026-04-04T01:00:00+00:00,OddsPortalAvg,1x2,,1.58,3.8,4.5,,,close
401853882,2026-04-04T20:00:00+00:00,OddsPortalAvg,1x2,,2.45,3.0,2.6,,,close
401853883,2026-04-04T22:30:00+00:00,OddsPortalAvg,1x2,,2.45,3.1,2.6,,,close
401853884,2026-04-05T21:00:00+00:00,OddsPortalAvg,1x2,,4.5,3.6,1.61,,,close
401853885,2026-04-24T21:30:00+00:00,OddsPortalAvg,1x2,,3.3,3.4,1.9,,,close
401853886,2026-04-25T00:00:00+00:00,OddsPortalAvg,1x2,,1.98,3.3,3.2,,,close
401853887,2026-04-25T17:00:00+00:00,OddsPortalAvg,1x2,,1.44,4.1,6.5,,,close
401853888,2026-04-26T00:00:00+00:00,OddsPortalAvg,1x2,,2.75,3.43,2.23,,,close
401853889,2026-04-26T22:00:00+00:00,OddsPortalAvg,1x2,,2.4,3.4,2.55,,,close
401853890,2026-04-27T00:00:00+00:00,OddsPortalAvg,1x2,,2.4,3.33,2.6,,,close
401853891,2026-04-29T23:00:00+00:00,OddsPortalAvg,1x2,,1.34,4.8,6.88,,,close
401853892,2026-04-30T00:00:00+00:00,OddsPortalAvg,1x2,,9.38,5.03,1.27,,,close
401853893,2026-04-30T02:00:00+00:00,OddsPortalAvg,1x2,,2.6,3.2,2.49,,,close
401853894,2026-05-02T00:00:00+00:00,OddsPortalAvg,1x2,,2.18,3.13,3.13,,,close
401853895,2026-05-02T20:00:00+00:00,OddsPortalAvg,1x2,,3.13,3.38,2.05,,,close
