season,page,oddsportal_event_id,oddsportal_encoded_event_id,oddsportal_url,match_datetime,match_date,home_team_raw,away_team_raw,home_team,away_team,home_key,away_key,home_result,away_result,result,home_avg_odds,draw_avg_odds,away_avg_odds,home_max_odds,draw_max_odds,away_max_odds
2026,1,9938045,zylbbtqB,/football/h2h/boston-legacy-I7e4N6Na/washington-spirit-Iw8EhkKp/#zylbbtqB,2026-07-19T23:00:00+00:00,2026-07-19,Boston Legacy W,Washington Spirit W,Boston Legacy,Washington Spirit,boston legacy,washington spirit,1,2,1:2,3.73,3.75,1.76,3.85,4.0,1.77
2026,1,9938043,ELak02Eb,/football/h2h/orlando-pride-MqPAFyfb/utah-royals-z7PteVfk/#ELak02Eb,2026-07-19T00:45:00+00:00,2026-07-19,Utah Royals W,Orlando Pride W,Royals,Orlando Pride,royals,orlando pride,1,0,1:0,1.75,3.5,3.75,1.75,3.5,3.75
2026,1,9938041,8Ods2Oqn,/football/h2h/houston-dash-M5AysivR/racing-louisville-08vkTDXh/#8Ods2Oqn,2026-07-19T00:00:00+00:00,2026-07-19,Racing Louisville W,Houston Dash W,Racing Louisville,Houston Dash,racing louisville,houston dash,1,1,1:1,2.08,3.45,3.0,2.1,3.65,3.1
2026,1,9938039,UcRWsLbU,/football/h2h/angel-city-bRtQszad/chicago-stars-I9zHnxqt/#UcRWsLbU,2026-07-18T22:30:00+00:00,2026-07-18,Chicago W,Angel City W,Chicago Stars,Angel City FC,chicago stars,angel city fc,0,2,0:2,4.2,3.9,1.65,4.4,4.1,1.68
2026,1,9938037,dpTOqsUH,/football/h2h/bay-fc-4QbExvzF/north-carolina-courage-QNeQX1Ir/#dpTOqsUH,2026-07-18T20:00:00+00:00,2026-07-18,Bay FC W,North Carolina Courage W,Bay FC,NC Courage,bay fc,nc courage,3,0,3:0,2.58,3.4,2.38,2.6,3.5,2.45
2026,1,9938035,0IZFo3a5,/football/h2h/denver-summit-x2WvVrRL/portland-thorns-fc-h6A8LOSq/#0IZFo3a5,2026-07-18T18:00:00+00:00,2026-07-18,Denver Summit W,Portland Thorns W,Denver Summit FC,Portland Thorns,denver summit fc,portland thorns,2,1,2:1,2.13,3.63,2.83,2.15,3.75,2.85
2026,1,9938033,E1y8mPUh,/football/h2h/gotham-fc-l8iSqzTb/seattle-reign-OjKxRp5M/#E1y8mPUh,2026-07-18T16:00:00+00:00,2026-07-18,Gotham W,Seattle Reign W,Gotham FC,Reign,gotham fc,reign,3,2,3:2,1.35,4.56,7.38,1.38,4.8,8.5
2026,1,9938031,hnmako0t,/football/h2h/kansas-city-current-nHE01nbk/san-diego-wave-QXU76Jyc/#hnmako0t,2026-07-18T00:00:00+00:00,2026-07-18,Kansas City Current W,San Diego Wave W,Current,SD Wave,current,sd wave,2,2,2:2,1.81,3.55,3.75,1.82,3.7,3.9
2026,1,9938027,WvwupjO0,/football/h2h/gotham-fc-l8iSqzTb/washington-spirit-Iw8EhkKp/#WvwupjO0,2026-07-16T00:00:00+00:00,2026-07-16,Gotham W,Washington Spirit W,Gotham FC,Washington Spirit,gotham fc,washington spirit,1,0,1:0,2.1,2.93,3.5,2.15,3.0,3.6
2026,1,9938029,S6WmrUhD,/football/h2h/boston-legacy-I7e4N6Na/orlando-pride-MqPAFyfb/#S6WmrUhD,2026-07-15T23:00:00+00:00,2026-07-15,Orlando Pride W,Boston Legacy W,Orlando Pride,Boston Legacy,orlando pride,boston legacy,0,1,0:1,1.72,3.78,3.88,1.76,3.95,3.9
2026,1,9938025,bRvXoCgl,/football/h2h/denver-summit-x2WvVrRL/houston-dash-M5AysivR/#bRvXoCgl,2026-07-12T23:00:00+00:00,2026-07-12,Denver Summit W,Houston Dash W,Denver Summit FC,Houston Dash,denver summit fc,houston dash,2,2,2:2,1.65,3.8,4.3,1.68,4.0,4.4
2026,1,9938023,faq1iYVQ,/football/h2h/portland-thorns-fc-h6A8LOSq/seattle-reign-OjKxRp5M/#faq1iYVQ,2026-07-12T20:00:00+00:00,2026-07-12,Seattle Reign W,Portland Thorns W,Reign,Portland Thorns,reign,portland thorns,2,0,2:0,2.84,3.53,2.13,2.87,3.8,2.15
2026,1,9938021,nZuggf1E,/football/h2h/angel-city-bRtQszad/san-diego-wave-QXU76Jyc/#nZuggf1E,2026-07-12T00:45:00+00:00,2026-07-12,San Diego Wave W,Angel City W,SD Wave,Angel City FC,sd wave,angel city fc,0,2,0:2,1.94,3.5,3.33,1.95,3.75,3.4
