match_id,timestamp,sportsbook,market_type,line,home_odds,draw_odds,away_odds,over_odds,under_odds,source_type
401853857,2026-03-13T08:00:54+00:00,OddsPortalAvg,total,2.5,,,,1.85,1.82,open
401853857,2026-03-14T00:00:00+00:00,OddsPortalAvg,total,2.5,,,,1.82,1.87,close
401853858,2026-03-14T04:05:39+00:00,OddsPortalAvg,total,2.5,,,,1.61,2.15,open
401853858,2026-03-14T20:00:00+00:00,OddsPortalAvg,total,2.5,,,,1.65,2.1,close
401853859,2026-03-14T07:00:43+00:00,OddsPortalAvg,total,2.5,,,,1.88,1.8,open
401853859,2026-03-14T23:00:00+00:00,OddsPortalAvg,total,2.5,,,,1.88,1.8,close
401853861,2026-03-15T05:02:10+00:00,OddsPortalAvg,total,2.5,,,,2.0,1.7,open
401853861,2026-03-15T20:00:00+00:00,OddsPortalAvg,total,2.5,,,,2.0,1.7,close
401853862,2026-03-15T07:01:10+00:00,OddsPortalAvg,total,2.5,,,,1.8,1.88,open
401853862,2026-03-15T23:00:00+00:00,OddsPortalAvg,total,2.5,,,,1.8,1.87,close
401853863,2026-03-20T08:01:28+00:00,OddsPortalAvg,total,2.5,,,,1.93,1.75,open
401853863,2026-03-21T00:00:00+00:00,OddsPortalAvg,total,2.5,,,,1.98,1.72,close
401853864,2026-03-20T10:01:28+00:00,OddsPortalAvg,total,2.5,,,,2.05,1.66,open
401853864,2026-03-21T02:00:00+00:00,OddsPortalAvg,total,2.5,,,,2.1,1.63,close
401853865,2026-03-21T06:31:31+00:00,OddsPortalAvg,total,2.5,,,,2.1,1.63,open
401853865,2026-03-21T22:30:00+00:00,OddsPortalAvg,total,2.5,,,,2.1,1.65,close
401853866,2026-03-21T08:46:20+00:00,OddsPortalAvg,total,2.5,,,,1.93,1.77,open
401853866,2026-03-22T00:45:00+00:00,OddsPortalAvg,total,2.5,,,,2.0,1.71,close
401853868,2026-03-22T07:01:20+00:00,OddsPortalAvg,total,2.5,,,,1.82,1.87,open
401853868,2026-03-22T23:00:00+00:00,OddsPortalAvg,total,2.5,,,,1.75,1.95,close
401853869,2026-03-25T07:01:25+00:00,OddsPortalAvg,total,2.5,,,,1.65,2.1,open
401853869,2026-03-25T23:00:00+00:00,OddsPortalAvg,total,2.5,,,,1.58,2.2,close
401853870,2026-03-25T08:01:25+00:00,OddsPortalAvg,total,2.5,,,,1.87,1.82,open
401853870,2026-03-26T00:00:00+00:00,OddsPortalAvg,total,2.5,,,,1.8,1.9,close
401853871,2026-03-25T09:02:26+00:00,OddsPortalAvg,total,2.5,,,,2.1,1.63,open
401853871,2026-03-26T01:00:00+00:00,OddsPortalAvg,total,2.5,,,,2.0,1.7,close
401853872,2026-03-25T10:01:12+00:00,OddsPortalAvg,total,2.5,,,,1.82,1.87,open
