season,page,oddsportal_event_id,oddsportal_encoded_event_id,oddsportal_url,match_datetime,match_date,home_team_raw,away_team_raw,home_team,away_team,home_key,away_key,home_result,away_result,result,home_avg_odds,draw_avg_odds,away_avg_odds,home_max_odds,draw_max_odds,away_max_odds,reason,market_type
2025,2,8562127,WUTAFo2k,/football/h2h/kansas-city-current-nHE01nbk/orlando-pride-MqPAFyfb/#WUTAFo2k,2025-08-16T20:00:00+00:00,2025-08-16,Kansas City Current W,Orlando Pride W,Current,Orlando Pride,current,orlando pride,0,0,0:0,2.05,3.2,3.0,2.05,3.2,3.0,no_total_market_payload,total
2025,2,8562105,OxUD8wk5,/football/h2h/portland-thorns-fc-h6A8LOSq/washington-spirit-Iw8EhkKp/#OxUD8wk5,2025-08-03T16:30:00+00:00,2025-08-03,Washington Spirit W,Portland Thorns W,Washington Spirit,Portland Thorns,washington spirit,portland thorns,2,1,2:1,2.5,3.1,2.45,2.5,3.1,2.45,no_total_market_payload,total
2025,2,8562067,QVctoOZq,/football/h2h/houston-dash-M5AysivR/san-diego-wave-QXU76Jyc/#QVctoOZq,2025-06-14T00:00:00+00:00,2025-06-14,Houston Dash W,San Diego Wave W,Houston Dash,SD Wave,houston dash,sd wave,2,3,2:3,3.4,3.3,1.9,3.4,3.3,1.9,no_total_market_payload,total
2025,3,8562017,pMy100ve,/football/h2h/chicago-stars-I9zHnxqt/washington-spirit-Iw8EhkKp/#pMy100ve,2025-05-10T16:50:00+00:00,2025-05-10,Chicago W,Washington Spirit W,Chicago Stars,Washington Spirit,chicago stars,washington spirit,2,3,2:3,3.9,3.9,1.65,3.9,3.9,1.65,no_total_market_payload,total
2025,3,8562011,bP3D94H8,/football/h2h/bay-fc-4QbExvzF/san-diego-wave-QXU76Jyc/#bP3D94H8,2025-05-05T00:00:00+00:00,2025-05-05,San Diego Wave W,Bay FC W,SD Wave,Bay FC,sd wave,bay fc,2,1,2:1,1.93,3.25,3.3,1.93,3.25,3.3,no_total_market_payload,total
2025,3,8561991,EkJv89Qc,/football/h2h/kansas-city-current-nHE01nbk/north-carolina-courage-QNeQX1Ir/#EkJv89Qc,2025-04-26T23:00:00+00:00,2025-04-26,North Carolina Courage W,Kansas City Current W,NC Courage,Current,nc courage,current,3,2,3:2,4.2,3.4,1.7,4.2,3.4,1.7,no_total_market_payload,total
2025,3,8561989,nqRhp6Yj,/football/h2h/gotham-fc-l8iSqzTb/washington-spirit-Iw8EhkKp/#nqRhp6Yj,2025-04-26T17:00:00+00:00,2025-04-26,Washington Spirit W,Gotham W,Washington Spirit,Gotham FC,washington spirit,gotham fc,0,3,0:3,2.7,3.1,2.3,2.7,3.1,2.3,no_total_market_payload,total
2025,3,8561971,fRkcaurQ,/football/h2h/portland-thorns-fc-h6A8LOSq/seattle-reign-OjKxRp5M/#fRkcaurQ,2025-04-19T02:00:00+00:00,2025-04-19,Seattle Reign W,Portland Thorns W,Reign,Portland Thorns,reign,portland thorns,1,0,1:0,2.35,3.0,2.7,2.35,3.0,2.7,no_total_market_payload,total
2025,3,8561961,ttHGn2bK,/football/h2h/orlando-pride-MqPAFyfb/seattle-reign-OjKxRp5M/#ttHGn2bK,2025-04-12T23:30:00+00:00,2025-04-12,Seattle Reign W,Orlando Pride W,Reign,Orlando Pride,reign,orlando pride,0,1,0:1,4.5,3.5,1.63,4.5,3.5,1.63,no_total_market_payload,total
2025,3,8561945,CliwG3Nr,/football/h2h/orlando-pride-MqPAFyfb/san-diego-wave-QXU76Jyc/#CliwG3Nr,2025-03-29T16:00:00+00:00,2025-03-29,Orlando Pride W,San Diego Wave W,Orlando Pride,SD Wave,orlando pride,sd wave,2,1,2:1,1.7,3.6,3.9,1.7,3.6,3.9,no_total_market_payload,total
2025,4,8561933,6V0OLYg4,/football/h2h/san-diego-wave-QXU76Jyc/utah-royals-z7PteVfk/#6V0OLYg4,2025-03-23T02:00:00+00:00,2025-03-23,San Diego Wave W,Utah Royals W,SD Wave,Royals,sd wave,royals,3,2,3:2,1.82,3.4,3.7,1.82,3.4,3.7,no_total_market_payload,total
2026,1,9937933,zwcThof4,/football/h2h/bay-fc-4QbExvzF/utah-royals-z7PteVfk/#zwcThof4,2026-05-10T20:00:00+00:00,2026-05-10,Bay FC W,Utah Royals W,Bay FC,Royals,bay fc,royals,0,0,0:0,3.43,3.47,1.92,3.55,3.65,1.93,no_total_market_payload,total
2026,2,9937843,61canUEs,/football/h2h/gotham-fc-l8iSqzTb/orlando-pride-MqPAFyfb/#61canUEs,2026-03-29T23:00:00+00:00,2026-03-29,Gotham W,Orlando Pride W,Gotham FC,Orlando Pride,gotham fc,orlando pride,0,0,0:0,2.0,3.2,3.2,2.0,3.2,3.2,no_total_market_payload,total
2026,2,9937791,290DJJNt,/football/h2h/angel-city-bRtQszad/chicago-stars-I9zHnxqt/#290DJJNt,2026-03-15T23:00:00+00:00,2026-03-15,Angel City W,Chicago W,Angel City FC,Chicago Stars,angel city fc,chicago stars,4,0,4:0,1.77,3.4,3.8,1.77,3.4,3.8,no_total_market_payload,total
