2026-03-14 23:58:05 | nwsl_model.train | INFO | Loading data...
2026-03-14 23:58:05 | nwsl_model.data.loaders | INFO | Loaded 446 matches from data/raw/matches.csv
2026-03-14 23:58:05 | nwsl_model.data.loaders | INFO | Loaded 2676 odds records from data/raw/odds.csv
2026-03-14 23:58:05 | nwsl_model.data.loaders | INFO | Loaded 14 venue records from data/raw/venues.csv
2026-03-14 23:58:05 | nwsl_model.data.loaders | INFO | Loaded 14231 appearance records from data/raw/appearances.csv
2026-03-14 23:58:05 | nwsl_model.data.loaders | WARNING | Projected lineups not found at data/raw/projected_lineups.csv.
2026-03-14 23:58:06 | nwsl_model.models.team_ratings | INFO | Computed ratings for 14 teams (league avg attack=1.502, defense=1.502)
2026-03-14 23:58:06 | nwsl_model.models.lineup_adjustment | INFO | Fitting APM with 684 players
2026-03-14 23:58:09 | nwsl_model.models.lineup_adjustment | INFO | Fitted APM ratings for 684 players
2026-03-14 23:58:09 | nwsl_model.data.transforms | INFO | Encoded 14 teams
2026-03-14 23:58:09 | nwsl_model.train | INFO | Training dixon_coles...
2026-03-14 23:58:26 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.3415, rho=0.0768, intercept=0.1034, n_teams=14
2026-03-14 23:58:26 | nwsl_model.train | INFO | dixon_coles training complete: converged=True
2026-03-14 23:58:26 | nwsl_model.train | INFO | Training bivariate_poisson...
2026-03-14 23:59:45 | nwsl_model.models.bivariate_poisson | INFO | Bivariate Poisson fit: converged=True, home_adv=0.3385, lambda3=0.2426, intercept=0.1134, n_teams=14
2026-03-14 23:59:45 | nwsl_model.train | INFO | bivariate_poisson training complete: converged=True
2026-03-14 23:59:45 | nwsl_model.train | INFO | Training complete. Artifacts saved to data/processed/models
2026-03-14 23:59:58 | nwsl_model.backtest | INFO | Loading data...
2026-03-14 23:59:58 | nwsl_model.data.loaders | INFO | Loaded 446 matches from data/raw/matches.csv
2026-03-14 23:59:58 | nwsl_model.data.loaders | INFO | Loaded 2676 odds records from data/raw/odds.csv
2026-03-14 23:59:58 | nwsl_model.data.loaders | INFO | Loaded 14 venue records from data/raw/venues.csv
2026-03-14 23:59:58 | nwsl_model.data.loaders | INFO | Loaded 14231 appearance records from data/raw/appearances.csv
